Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR4588253_1.pr	15.338054783156407	70.09355844714487
ERR4588253_2.pr	14.502327439202373	69.02278278770376
ERR4588254_1.pr	10.533353142177983	71.12719400640957
ERR4588254_2.pr	10.374174926247427	70.70908589256533
ERR4588255_1.pr	21.229429914781075	69.70687628563033
ERR4588255_2.pr	20.97230384954452	68.92631501616225
ERR4588256_1.pr	8.380335606768327	79.557347456258
ERR4588256_2.pr	8.791239665938512	77.65524798235572
ERR4588257_1.pr	17.839473035126154	69.38249931082507
ERR4588257_2.pr	18.4800429464765	67.57976292384255
ERR4588258_1.pr	6.378125751214522	74.05367934390671
ERR4588258_2.pr	6.302095853575363	71.95614863844989
ERR4588259_1.pr	9.38326016339067	75.18825322699432
ERR4588259_2.pr	9.57165611459041	72.4456648949835
ERR4588260_1.pr	4.791432615007514	76.73514349494455
ERR4588260_2.pr	4.891375713097652	75.13897197216187
ERR4588261_1.pr	7.609448416207636	73.86769234047541
ERR4588261_2.pr	7.485856142855621	73.42766122931694
ERR4588262_1.pr	9.785689265356813	75.35744992516642
ERR4588262_2.pr	9.04531414196096	76.05961213896762
ERR4588263_1.pr	44.99306074516921	46.13003095975231
ERR4588263_2.pr	41.27077328208961	49.71887121454746
ERR4588264_1.pr	8.533833693561029	77.51466641331973
ERR4588264_2.pr	7.476901883476236	77.4398498919316
ERR4588265_1.pr	9.864237506339485	69.39882183123316
ERR4588265_2.pr	11.477392423828658	65.20891038895168
ERR4588266_1.pr	9.324988824318284	71.58158247653104
ERR4588266_2.pr	9.496647295485024	70.63567277603939
ERR4588267_1.pr	5.21530888287729	78.11876358153354
ERR4588267_2.pr	4.864960752139784	76.58654485786505
ERR4588268_1.pr	8.721131951146267	75.15620307712045
ERR4588268_2.pr	8.570687176915474	73.37389899790954
ERR4588269_1.pr	9.206790754755573	77.19779095929646
ERR4588269_2.pr	9.325424422172224	75.27347105747596
ERR4588270_1.pr	9.282074028478062	75.10658905957224
ERR4588270_2.pr	9.165301300793875	73.34141992016005
ERR4588271_1.pr	11.614594518539363	77.96529839969786
ERR4588271_2.pr	11.45760050948999	77.16477706110173
ERR4588272_1.pr	6.979367245580254	78.58144360733579
ERR4588272_2.pr	7.7433586958553775	75.68562935820984
ERR4588273_1.pr	10.72884912308484	79.47464270161129
ERR4588273_2.pr	13.527851458885943	76.03230531691673
ERR4588274_1.pr	11.981376237359589	80.80658502094501
ERR4588274_2.pr	15.520691587288882	76.811014167934
ERR4588275_1.pr	8.385996725171523	83.6705143645885
ERR4588275_2.pr	9.06126094428732	82.61228466649527
ERR4588276_1.pr	9.501759585108353	82.5708464530469
ERR4588276_2.pr	8.538618262641231	83.13155634881882
ERR4588277_1.pr	15.01676687104391	72.2384268904895
ERR4588277_2.pr	13.96114848106038	71.57767327420282
ERR4588278_1.pr	9.931885532310142	79.58888053430044
ERR4588278_2.pr	9.747224556592506	78.89888982263702
ERR4588279_1.pr	8.411196452609074	80.72689840842509
ERR4588279_2.pr	8.87837516826352	79.50550320690473
ERR4588280_1.pr	9.849223970171765	80.76405845405786
ERR4588280_2.pr	9.742694561199036	79.31325447344415
ERR4588281_1.pr	11.650849267840247	73.66941792596893
ERR4588281_2.pr	11.334189003082285	71.144567590103
ERR4588282_1.pr	14.30937562738406	68.8541457538647
ERR4588282_2.pr	13.526400321220638	68.13892792611927
ERR4588283_1.pr	4.461800277184406	75.84626136673235
ERR4588283_2.pr	4.492598544584441	73.42978192457588
ERR4588284_1.pr	24.409654784559145	65.23715169468798
ERR4588284_2.pr	25.04397753058809	63.15304180644654
ERR4588285_1.pr	29.63588951129998	61.708035541819626
ERR4588285_2.pr	29.517577747730346	59.696735561135796
ERR4588286_1.pr	29.912424740010945	61.68582375478931
ERR4588286_2.pr	30.596606458675424	61.43951833607011
ERR4588287_1.pr	61.984815618221255	34.86984815618225
ERR4588287_2.pr	63.06941431670282	32.917570498915424
