Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ERR4588253_1.pr	(1, 37.57500806538337)	(2, 37.407939409767565)	(3, 37.36782756978477)	(4, 37.23428018373711)	(5, 37.45040173290523)	(6, 37.37589295315932)	(7, 37.52441890833116)	(8, 37.52130029342633)	(9, 37.64529212050451)	(10, 37.490473630037016)	(15, 37.674831395080886)	(20, 37.4690120289432)	(25, 37.56452767578695)	(30, 37.555832424377435)	(35, 37.60072204384496)	(40, 37.656709630835884)	(45, 37.596779991704175)	(50, 37.614852595517185)	(55, 37.514617547201695)	(60, 37.633094188315184)	(65, 37.52246785368626)	(70, 37.562103451984086)	(75, 37.51255280905781)	(80, 37.526308512436046)	(85, 37.47169741754105)	(90, 37.473928072142925)	(95, 37.34054967508027)	(100, 37.36195289816109)	(105, 37.23530026270106)	(110, 37.23619129553101)	(115, 37.224961209346624)	(120, 37.121106724225335)	(125, 37.10890264698201)	(130, 37.181743044567)	(135, 37.08636566143825)	(140, 37.010809149985405)	(145, 37.06439094833546)	(150, 37.1017743843424)	(155, 37.11289385955479)	(160, 36.8474152366614)	(165, 36.666747576544324)	(170, 36.489183168697096)	(175, 36.39697970595917)	(180, 36.552406556772624)	(185, 36.44096292996174)	(190, 36.13012151844284)	(195, 36.12206228012228)	(200, 35.88617209223726)	(205, 35.6127356244143)	(210, 34.972365692163514)	(215, 34.560502665417175)	(220, 34.97372682162445)	(225, 34.55383835435454)	(230, 34.551030064676695)	(235, 32.772903384388485)	(240, 32.44487732935953)	(245, 31.88572350329528)	(250, 30.311827167111534)	(255, 28.41980684514301)	(260, 25.543076165963107)	(265, 27.986215326876533)	(270, 29.779245630318314)	(275, 29.437262950598075)	(280, 22.612807845920102)
ERR4588253_2.pr	(1, 37.25618730124591)	(2, 37.04343016914261)	(3, 36.82448189513465)	(4, 36.31431951208271)	(5, 36.86854193231223)	(6, 36.581875163228)	(7, 37.08208255880049)	(8, 37.15029265819673)	(9, 37.3054552716882)	(10, 37.067208455594304)	(15, 37.343213555989124)	(20, 37.06047962146467)	(25, 37.23679351082298)	(30, 37.19908131442705)	(35, 37.27072342648211)	(40, 37.39042600586853)	(45, 37.25318851489408)	(50, 37.29620389289171)	(55, 37.054936782756975)	(60, 37.36624214585286)	(65, 36.919997541978404)	(70, 37.10457652896625)	(75, 36.984446868326856)	(80, 37.03610526477502)	(85, 36.88080746009556)	(90, 36.76884150369471)	(95, 36.50481311354524)	(100, 36.29405619651883)	(105, 36.00891647335351)	(110, 36.07872121426267)	(115, 36.00275912924585)	(120, 35.62040772433288)	(125, 35.46220023658458)	(130, 35.44381116249059)	(135, 35.15425929055352)	(140, 34.85572027714194)	(145, 34.92323291290923)	(150, 34.79800592997711)	(155, 34.618005008219015)	(160, 33.47578080592383)	(165, 33.16334782541902)	(170, 32.81563608990214)	(175, 32.58048023597007)	(180, 32.664857972439435)	(185, 31.25249105126511)	(190, 29.917370531393544)	(195, 28.813847879188238)	(200, 29.252435745779117)	(205, 27.18345136957891)	(210, 25.785531470357796)	(215, 24.30331064784232)	(220, 24.70315394896533)	(225, 23.454863042108983)	(230, 22.766844361144827)	(235, 19.42656506844054)	(240, 18.8999431582505)	(245, 17.917911296145515)	(250, 17.07296916058293)	(255, 16.67804867997166)	(260, 16.660382786539902)	(265, 17.368141360767034)	(270, 19.541150812520822)	(275, 19.30675619978795)	(280, 15.058263108614232)
ERR4588254_1.pr	(1, 37.50448882568924)	(2, 37.40552242290468)	(3, 37.413205424793595)	(4, 37.23339771207844)	(5, 37.47583674682174)	(6, 37.34813337012119)	(7, 37.52201965320373)	(8, 37.50620795042129)	(9, 37.61841798077127)	(10, 37.52742746779295)	(15, 37.657456968822295)	(20, 37.47149012033874)	(25, 37.55262856293906)	(30, 37.54935161406711)	(35, 37.56728144830953)	(40, 37.65245240571344)	(45, 37.5713309421228)	(50, 37.599978776237876)	(55, 37.52826368402063)	(60, 37.6084343230681)	(65, 37.53317061782371)	(70, 37.52930364836471)	(75, 37.47500053059405)	(80, 37.46257614024662)	(85, 37.41300592142964)	(90, 37.42479359891335)	(95, 37.2763079143409)	(100, 37.334571386123905)	(105, 37.18356856336354)	(110, 37.185134877008295)	(115, 37.170133921939005)	(120, 37.04591548697922)	(125, 36.98305494832014)	(130, 37.09301950463738)	(135, 37.06059384086423)	(140, 37.03844047795913)	(145, 37.008400365048715)	(150, 37.00836216227689)	(155, 36.98380202474691)	(160, 36.706411698537686)	(165, 36.504017658170085)	(170, 36.20789948426258)	(175, 36.15493770825816)	(180, 36.25057622514167)	(185, 36.15678842031539)	(190, 35.783861451280856)	(195, 35.660330666213895)	(200, 35.657643737928986)	(205, 35.277661990364415)	(210, 34.693550098690494)	(215, 34.503801175796426)	(220, 34.17862767154106)	(225, 33.985512659974106)	(230, 33.984625506717315)	(235, 32.00940212662097)	(240, 32.023426788632555)	(245, 31.313360358257103)	(250, 29.817613685557564)	(255, 27.357695792377324)	(260, 24.531517094054447)	(265, 26.90232825563168)	(270, 28.252495852283698)	(275, 28.221898343488704)	(280, 21.35672514619883)
ERR4588254_2.pr	(1, 37.10565188785364)	(2, 37.154593883311755)	(3, 37.036122843135175)	(4, 36.58291062673769)	(5, 37.04484580936817)	(6, 36.71167519154445)	(7, 37.18935840567099)	(8, 37.23774858331388)	(9, 37.35539189676762)	(10, 37.19382812997432)	(15, 37.378143769764634)	(20, 37.213833648152466)	(25, 37.32994036122843)	(30, 37.26360761508585)	(35, 37.30156419126854)	(40, 37.439794553982644)	(45, 37.31434089606724)	(50, 37.33405352632808)	(55, 37.14847295031517)	(60, 37.37975677568606)	(65, 37.01464015111319)	(70, 37.09760383725619)	(75, 36.9760001697901)	(80, 37.01504764734597)	(85, 36.79882844833075)	(90, 36.82452617951058)	(95, 36.498474011503276)	(100, 36.33321306534797)	(105, 36.06034340047117)	(110, 36.05129783305389)	(115, 35.99258017276142)	(120, 35.59575100282276)	(125, 35.309208990385635)	(130, 35.41079016066387)	(135, 35.233750026529705)	(140, 35.02280705477853)	(145, 34.92966869707325)	(150, 34.823363117346176)	(155, 34.59106055139334)	(160, 33.453967782329094)	(165, 33.175261582868174)	(170, 32.38652715580364)	(175, 32.10329180550544)	(180, 32.25015599465162)	(185, 30.785011779187975)	(190, 29.257669206443534)	(195, 27.910134346414246)	(200, 28.967705923552007)	(205, 26.609470042659762)	(210, 25.354381645690516)	(215, 24.058221024258764)	(220, 23.263658552114947)	(225, 22.63645393382431)	(230, 21.906381985270706)	(235, 18.762043423817307)	(240, 18.92291529596536)	(245, 17.973831101301016)	(250, 17.15569933447876)	(255, 15.946246602416972)	(260, 15.520830474348731)	(265, 16.905999129110093)	(270, 18.816001138576617)	(275, 19.576449883276243)	(280, 15.692939244663384)
ERR4588255_1.pr	(1, 37.46189024390244)	(2, 37.36664340287981)	(3, 37.39874742873935)	(4, 37.24676755803703)	(5, 37.424147810755215)	(6, 37.28522627093741)	(7, 37.5066301792536)	(8, 37.51520717014399)	(9, 37.614182339112546)	(10, 37.52311196003526)	(15, 37.6557632970908)	(20, 37.41223552747575)	(25, 37.552685130766974)	(30, 37.53212606523656)	(35, 37.5774977960623)	(40, 37.650562004114015)	(45, 37.58277255362915)	(50, 37.62101087275933)	(55, 37.51785189538642)	(60, 37.642690273288274)	(65, 37.558518219218335)	(70, 37.57351968851013)	(75, 37.54422568322069)	(80, 37.53200117543344)	(85, 37.44394284454892)	(90, 37.46582794593006)	(95, 37.28877828386718)	(100, 37.4234829562151)	(105, 37.275345283573316)	(110, 37.24735527475757)	(115, 37.2609792829856)	(120, 37.07935645019101)	(125, 36.98544666470761)	(130, 37.146256979136055)	(135, 37.114972083455775)	(140, 37.11160373200118)	(145, 37.13501322362622)	(150, 37.12665662650602)	(155, 37.11336320893329)	(160, 36.82940787540405)	(165, 36.61997134880987)	(170, 36.530080076403166)	(175, 36.38056494269762)	(180, 36.522109168380844)	(185, 36.379136056420805)	(190, 36.07458859829562)	(195, 36.07724801645607)	(200, 35.929158095797824)	(205, 35.52913238319131)	(210, 34.949992653540995)	(215, 34.72475756685277)	(220, 34.486868204525415)	(225, 34.26761313546871)	(230, 34.144181604466645)	(235, 32.18218483690861)	(240, 32.184704672347934)	(245, 31.69039817807817)	(250, 30.112468186929124)	(255, 27.52388483512159)	(260, 25.409441929640973)	(265, 27.914849804076812)	(270, 29.84272707030984)	(275, 29.46865280946214)	(280, 24.445608380338438)
ERR4588255_2.pr	(1, 37.01476638260358)	(2, 37.03338965618572)	(3, 36.91189759036145)	(4, 36.5319570966794)	(5, 36.933459447546284)	(6, 36.501726417866585)	(7, 37.11442109903027)	(8, 37.20494784014105)	(9, 37.29007493388187)	(10, 37.13678739347635)	(15, 37.34808992065824)	(20, 37.142679253599766)	(25, 37.2726087275933)	(30, 37.21963341169556)	(35, 37.280017631501615)	(40, 37.42523508668821)	(45, 37.28269541580958)	(50, 37.275411401704375)	(55, 37.08139876579489)	(60, 37.40329121363503)	(65, 37.01581325301205)	(70, 37.13669556273876)	(75, 37.04052674111078)	(80, 37.06975830149868)	(85, 36.86790699382897)	(90, 36.78884072876873)	(95, 36.451065236555976)	(100, 36.43326476638261)	(105, 36.157070966794)	(110, 35.92138554216867)	(115, 35.95780928592418)	(120, 35.456865265941815)	(125, 35.22124963267705)	(130, 35.44039450484867)	(135, 35.298475609756096)	(140, 35.19775933000294)	(145, 35.330186600058774)	(150, 35.00112400822803)	(155, 34.857063620335)	(160, 33.641742580076404)	(165, 33.4111960035263)	(170, 33.338969291801355)	(175, 32.833819424037614)	(180, 32.999228621804285)	(185, 31.50258595357038)	(190, 30.20840067587423)	(195, 28.96349911842492)	(200, 29.75292756391419)	(205, 27.10053261827799)	(210, 25.71274243314722)	(215, 24.324199235968265)	(220, 23.958404349103734)	(225, 23.02813326476638)	(230, 22.0283720246841)	(235, 18.72662356744049)	(240, 18.787874669409344)	(245, 18.118277990008814)	(250, 17.500454323750354)	(255, 16.118696407718865)	(260, 16.364453123958537)	(265, 17.54698642329021)	(270, 20.030505513646954)	(275, 21.12546046031427)	(280, 16.1651246805886)
ERR4588256_1.pr	(1, 37.68647669085264)	(2, 37.65356222211296)	(3, 37.65301435003407)	(4, 37.596421973884766)	(5, 37.64867351740899)	(6, 37.61099677598354)	(7, 37.64000590016085)	(8, 37.71491687094803)	(9, 37.74047721062872)	(10, 37.69504035288581)	(15, 37.75375257254037)	(20, 37.64758760685261)	(25, 37.65439105423231)	(30, 37.6561653168878)	(35, 37.72018346690643)	(40, 37.73266230710337)	(45, 37.657738693114375)	(50, 37.65455682065618)	(55, 37.65084533852173)	(60, 37.7053375383686)	(65, 37.684081506507745)	(70, 37.666049491111124)	(75, 37.650391588056394)	(80, 37.639066088825516)	(85, 37.596266041062314)	(90, 37.60875331006048)	(95, 37.494963088874684)	(100, 37.54526757931853)	(105, 37.492933152582374)	(110, 37.44115924112693)	(115, 37.43541079869915)	(120, 37.381233274097596)	(125, 37.284566162577526)	(130, 37.36913232515506)	(135, 37.31191340811553)	(140, 37.32098982222253)	(145, 37.25139882980143)	(150, 37.28817649909742)	(155, 37.28060884040767)	(160, 37.06182806650324)	(165, 36.870932576614294)	(170, 36.839015516018236)	(175, 36.73092316445293)	(180, 36.77350265858438)	(185, 36.51064065913225)	(190, 36.42495065639289)	(195, 36.42103828782951)	(200, 36.302513889962)	(205, 35.972103477582905)	(210, 35.63327409759147)	(215, 35.3272243255203)	(220, 34.96434336126545)	(225, 34.885066271449546)	(230, 34.85508643033245)	(235, 33.46853739226938)	(240, 33.20501232712178)	(245, 32.50888465887939)	(250, 31.499667793969344)	(255, 29.57467381779299)	(260, 26.26952663013132)	(265, 30.11706677470167)	(270, 29.62930298021184)	(275, 28.71425716139974)	(280, 22.22682229338727)
ERR4588256_2.pr	(1, 37.041209813934216)	(2, 37.12155033750325)	(3, 37.056184984090635)	(4, 36.83906608882552)	(5, 37.02300360331252)	(6, 36.84035850501162)	(7, 37.0963201258701)	(8, 37.26484698213797)	(9, 37.30276253959781)	(10, 37.17419241548371)	(15, 37.29347681026066)	(20, 37.107696197908254)	(25, 37.107298639451)	(30, 37.07774866719581)	(35, 37.25367741572954)	(40, 37.31651834317864)	(45, 37.05063321369118)	(50, 37.037287611769415)	(55, 36.91904417394237)	(60, 37.15913998131616)	(65, 36.96432228926241)	(70, 36.942736129354)	(75, 36.83324740638763)	(80, 36.79923719349016)	(85, 36.630763719629975)	(90, 36.60063777929184)	(95, 36.302053115495646)	(100, 36.16166159767927)	(105, 35.861927807317606)	(110, 35.7150812325717)	(115, 35.73331694399764)	(120, 35.41675224241232)	(125, 35.04073499146584)	(130, 35.19478538164909)	(135, 34.91687375762982)	(140, 34.81615379752615)	(145, 34.617207397677866)	(150, 34.56624967513996)	(155, 34.15045269686519)	(160, 33.15282399960665)	(165, 32.87138351747923)	(170, 32.44331420463725)	(175, 31.804756653484958)	(180, 31.827612752776236)	(185, 30.28404779130288)	(190, 29.222554067247785)	(195, 28.333176463977413)	(200, 28.544219598367626)	(205, 26.669966074075113)	(210, 25.266813702421175)	(215, 24.138910858403165)	(220, 23.135483145909568)	(225, 22.855759329629343)	(230, 22.336306358828114)	(235, 19.980773904431445)	(240, 19.02262992645871)	(245, 18.359786189409213)	(250, 18.01741274562143)	(255, 16.778421210772766)	(260, 15.758553946755)	(265, 17.89181218166645)	(270, 18.607370474047904)	(275, 18.07661775172666)	(280, 14.004179757894837)
ERR4588257_1.pr	(1, 37.69130043671924)	(2, 37.676348969139475)	(3, 37.66667875745397)	(4, 37.63399735937205)	(5, 37.65310563962683)	(6, 37.67067597173658)	(7, 37.59240021473238)	(8, 37.68546784092393)	(9, 37.74453375506)	(10, 37.685698533145676)	(15, 37.740648259652076)	(20, 37.66170509118872)	(25, 37.62617268546059)	(30, 37.6435297360823)	(35, 37.70779130333851)	(40, 37.70656094482248)	(45, 37.57256793813386)	(50, 37.57467608780813)	(55, 37.626422239310536)	(60, 37.64020863862571)	(65, 37.61618037520132)	(70, 37.59570099966629)	(75, 37.5808191750214)	(80, 37.60679163704424)	(85, 37.60596607808714)	(90, 37.577963814691756)	(95, 37.52131654164792)	(100, 37.521126474471515)	(105, 37.4696951670705)	(110, 37.42060850514342)	(115, 37.43949479854329)	(120, 37.41184220071675)	(125, 37.33335896580241)	(130, 37.34721645894694)	(135, 37.27574104435384)	(140, 37.277371849745364)	(145, 37.142470583114495)	(150, 37.17002887280008)	(155, 37.24564949291238)	(160, 37.030225033733295)	(165, 36.84244881969734)	(170, 36.865332327379825)	(175, 36.73110862846945)	(180, 36.72855070150748)	(185, 36.41461631095571)	(190, 36.46827764316701)	(195, 36.502267748066686)	(200, 36.3252107424227)	(205, 36.14270562801968)	(210, 35.8343209088403)	(215, 35.47091391843071)	(220, 35.07573959345937)	(225, 35.167896057919705)	(230, 35.15439113213296)	(235, 34.128086415275014)	(240, 33.66406424560742)	(245, 32.84048430857624)	(250, 32.08100519357224)	(255, 30.721566359109836)	(260, 26.653148933278054)	(265, 30.719467314983916)	(270, 28.771664189488945)	(275, 28.822942071224343)	(280, 24.084760121276975)
ERR4588257_2.pr	(1, 37.20804375897741)	(2, 37.272688362375405)	(3, 37.193433251599615)	(4, 37.015024012303584)	(5, 37.1390392176777)	(6, 37.09966194158699)	(7, 37.01935493231577)	(8, 37.2151894142739)	(9, 37.2968892822425)	(10, 37.26962842592458)	(15, 37.313236510308606)	(20, 37.23232737982967)	(25, 37.14551020704264)	(30, 37.21894723096789)	(35, 37.325920229821676)	(40, 37.33543229400926)	(45, 37.00304687840054)	(50, 36.94353989234363)	(55, 37.05243967906215)	(60, 37.06914817985288)	(65, 36.94584101098327)	(70, 36.892166620721675)	(75, 36.82786152663117)	(80, 36.84722951699723)	(85, 36.8601598885713)	(90, 36.708299116405264)	(95, 36.55115853923944)	(100, 36.405646881302324)	(105, 36.087764606880135)	(110, 35.88441884421746)	(115, 35.97317441202502)	(120, 35.82317949015568)	(125, 35.495001668528644)	(130, 35.55900932925149)	(135, 35.294692628005166)	(140, 35.10260870826865)	(145, 34.69554285216836)	(150, 34.733086197640844)	(155, 34.412396442406745)	(160, 33.7422355382093)	(165, 33.522935739883636)	(170, 33.01867011012289)	(175, 32.545128621795335)	(180, 32.35156624058732)	(185, 31.3727623579937)	(190, 30.295940397254906)	(195, 29.4363782772079)	(200, 29.40794945083644)	(205, 28.527868781103553)	(210, 26.879699084485587)	(215, 25.716550353292803)	(220, 24.460193259144262)	(225, 24.755887004338174)	(230, 24.34145785876993)	(235, 22.624177705555475)	(240, 20.75896580241719)	(245, 19.599821539979395)	(250, 19.44393468088353)	(255, 18.768744558204368)	(260, 16.68023671007902)	(265, 19.476170186278033)	(270, 19.188798016467583)	(275, 19.077300312436687)	(280, 13.962437649099977)
