Sample	0	1	2	3	4	5	6	7	8	9	10	11
ERR4588253_1.pr	(27.0, 1.0)	(28.0, 21.0)	(29.0, 215.0)	(30.0, 489.0)	(31.0, 884.0)	(32.0, 1624.0)	(33.0, 2946.0)	(34.0, 5154.0)	(35.0, 9294.0)	(36.0, 19242.0)	(37.0, 25223.0)	
ERR4588253_2.pr	(27.0, 47.0)	(28.0, 2332.0)	(29.0, 6655.0)	(30.0, 8499.0)	(31.0, 10218.0)	(32.0, 12155.0)	(33.0, 12321.0)	(34.0, 8823.0)	(35.0, 3357.0)	(36.0, 568.0)	(37.0, 118.0)	
ERR4588254_1.pr	(27.0, 1.0)	(28.0, 20.0)	(29.0, 194.0)	(30.0, 466.0)	(31.0, 795.0)	(32.0, 1447.0)	(33.0, 2493.0)	(34.0, 4240.0)	(35.0, 7622.0)	(36.0, 14573.0)	(37.0, 15266.0)	
ERR4588254_2.pr	(27.0, 40.0)	(28.0, 1776.0)	(29.0, 5132.0)	(30.0, 6659.0)	(31.0, 7950.0)	(32.0, 9133.0)	(33.0, 8770.0)	(34.0, 5594.0)	(35.0, 1764.0)	(36.0, 251.0)	(37.0, 48.0)	
ERR4588255_1.pr	(27.0, 1.0)	(28.0, 17.0)	(29.0, 202.0)	(30.0, 453.0)	(31.0, 833.0)	(32.0, 1434.0)	(33.0, 2539.0)	(34.0, 4605.0)	(35.0, 8020.0)	(36.0, 16317.0)	(37.0, 20027.0)	
ERR4588255_2.pr	(27.0, 54.0)	(28.0, 1985.0)	(29.0, 5255.0)	(30.0, 6760.0)	(31.0, 8592.0)	(32.0, 10201.0)	(33.0, 10419.0)	(34.0, 7710.0)	(35.0, 2869.0)	(36.0, 504.0)	(37.0, 99.0)	
ERR4588256_1.pr	(28.0, 14.0)	(29.0, 207.0)	(30.0, 528.0)	(31.0, 987.0)	(32.0, 1972.0)	(33.0, 4132.0)	(34.0, 8802.0)	(35.0, 18613.0)	(36.0, 42021.0)	(37.0, 65093.0)		
ERR4588256_2.pr	(26.0, 1.0)	(27.0, 201.0)	(28.0, 6175.0)	(29.0, 17316.0)	(30.0, 21573.0)	(31.0, 24132.0)	(32.0, 25660.0)	(33.0, 22601.0)	(34.0, 15616.0)	(35.0, 7471.0)	(36.0, 1569.0)	(37.0, 54.0)
ERR4588257_1.pr	(27.0, 1.0)	(28.0, 25.0)	(29.0, 223.0)	(30.0, 508.0)	(31.0, 1026.0)	(32.0, 1975.0)	(33.0, 4024.0)	(34.0, 7952.0)	(35.0, 16452.0)	(36.0, 35687.0)	(37.0, 69973.0)	
ERR4588257_2.pr	(27.0, 88.0)	(28.0, 3863.0)	(29.0, 12403.0)	(30.0, 15970.0)	(31.0, 18822.0)	(32.0, 22199.0)	(33.0, 23784.0)	(34.0, 22117.0)	(35.0, 14535.0)	(36.0, 3968.0)	(37.0, 97.0)	
ERR4588258_1.pr	(27.0, 1.0)	(28.0, 31.0)	(29.0, 405.0)	(30.0, 913.0)	(31.0, 1623.0)	(32.0, 3198.0)	(33.0, 6208.0)	(34.0, 11677.0)	(35.0, 22904.0)	(36.0, 48358.0)	(37.0, 83559.0)	
