Sample	Unique Reads	Duplicate Reads
ERR4588253_1.pr	3125.0	61968.0
ERR4588253_2.pr	3953.0	61140.0
ERR4588254_1.pr	2453.0	44664.0
ERR4588254_2.pr	2853.0	44264.0
ERR4588255_1.pr	1562.0	52886.0
ERR4588255_2.pr	1926.0	52522.0
ERR4588256_1.pr	4465.0	137904.0
ERR4588256_2.pr	5395.0	136974.0
ERR4588257_1.pr	4433.0	133413.0
ERR4588257_2.pr	5395.0	132451.0
ERR4588258_1.pr	8870.0	170007.0
ERR4588258_2.pr	10263.0	168614.0
ERR4588259_1.pr	6708.0	168455.0
ERR4588259_2.pr	8679.0	166484.0
ERR4588260_1.pr	7536.0	129542.0
ERR4588260_2.pr	8454.0	128624.0
ERR4588261_1.pr	4232.0	89625.0
ERR4588261_2.pr	4825.0	89032.0
ERR4588262_1.pr	2601.0	60205.0
ERR4588262_2.pr	2667.0	60139.0
ERR4588263_1.pr	1267.0	54935.0
ERR4588263_2.pr	1332.0	54870.0
ERR4588264_1.pr	3774.0	80432.0
ERR4588264_2.pr	4112.0	80094.0
ERR4588265_1.pr	3437.0	47829.0
ERR4588265_2.pr	4249.0	47017.0
ERR4588266_1.pr	3622.0	52303.0
ERR4588266_2.pr	4144.0	51781.0
ERR4588267_1.pr	2548.0	42550.0
ERR4588267_2.pr	2990.0	42108.0
ERR4588268_1.pr	10114.0	332869.0
ERR4588268_2.pr	12339.0	330644.0
ERR4588269_1.pr	4762.0	117463.0
ERR4588269_2.pr	5754.0	116471.0
ERR4588270_1.pr	5226.0	105245.0
ERR4588270_2.pr	6298.0	104173.0
ERR4588271_1.pr	3719.0	131318.0
ERR4588271_2.pr	4260.0	130777.0
ERR4588272_1.pr	5394.0	155079.0
ERR4588272_2.pr	6687.0	153786.0
ERR4588273_1.pr	1921.0	48597.0
ERR4588273_2.pr	2139.0	48379.0
ERR4588274_1.pr	1928.0	73030.0
ERR4588274_2.pr	2074.0	72884.0
ERR4588275_1.pr	2243.0	71654.0
ERR4588275_2.pr	2411.0	71486.0
ERR4588276_1.pr	1905.0	57484.0
ERR4588276_2.pr	2153.0	57236.0
ERR4588277_1.pr	2507.0	47890.0
ERR4588277_2.pr	2796.0	47601.0
ERR4588278_1.pr	3135.0	87301.0
ERR4588278_2.pr	3466.0	86970.0
ERR4588279_1.pr	1951.0	48565.0
ERR4588279_2.pr	2244.0	48272.0
ERR4588280_1.pr	4254.0	185365.0
ERR4588280_2.pr	5297.0	184322.0
ERR4588281_1.pr	4682.0	102057.0
ERR4588281_2.pr	6058.0	100681.0
ERR4588282_1.pr	2220.0	37628.0
ERR4588282_2.pr	2619.0	37229.0
ERR4588283_1.pr	10778.0	242483.0
ERR4588283_2.pr	13405.0	239856.0
ERR4588284_1.pr	3196.0	149723.0
ERR4588284_2.pr	3866.0	149053.0
ERR4588285_1.pr	1354.0	40062.0
ERR4588285_2.pr	1700.0	39716.0
ERR4588286_1.pr	272.0	3382.0
ERR4588286_2.pr	258.0	3396.0
ERR4588287_1.pr	85.0	1759.0
ERR4588287_2.pr	99.0	1745.0
