Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR4588253_1.pr	(1.0, 2.7483754013488393)	(2.0, 1.3457668259259827)	(3.0, 0.9862811669457546)	(4.0, 0.8172921819550489)	(5.0, 0.698999892461555)	(6.0, 0.7558416419584286)	(7.0, 0.49467684697279274)	(8.0, 0.4055735639776935)	(9.0, 0.34565928748098873)	('>10', 5.60889803819151)	('>50', 0.857235032952852)	('>100', 13.443841887760588)	('>500', 12.809365062295486)	('>1k', 26.363817922049993)	('>5k', 32.31837524772249)	('>10k+', 0.0)
ERR4588253_2.pr	(1.0, 3.7192939332954387)	(2.0, 1.5577711889143226)	(3.0, 1.1706327869356152)	(4.0, 1.0569492879418678)	(5.0, 0.8987141474505708)	(6.0, 0.7281888989599496)	(7.0, 0.5484460694698354)	(8.0, 0.5530548599695819)	(9.0, 0.5115757454718634)	('>10', 5.3892123577035935)	('>50', 1.5516261349146605)	('>100', 13.004470526784754)	('>500', 10.892108214400933)	('>1k', 27.88471878696634)	('>5k', 30.533237060820674)	('>10k+', 0.0)
ERR4588254_1.pr	(1.0, 3.1050363987520426)	(2.0, 1.2734257274444467)	(3.0, 0.7640554364666681)	(4.0, 0.6112443491733345)	(5.0, 0.6048772205361123)	(6.0, 0.6621813782711123)	(7.0, 0.4159857376318526)	(8.0, 0.6452023685718531)	(9.0, 0.49663603370333426)	('>10', 10.074919880297982)	('>50', 2.2348621516650042)	('>100', 13.933399834454654)	('>500', 14.548888936052803)	('>1k', 50.629284546978795)	('>5k', 0.0)	('>10k+', 0.0)
ERR4588254_2.pr	(1.0, 3.737504510049451)	(2.0, 1.4262368147377804)	(3.0, 0.8595623660250016)	(4.0, 0.8998875140607425)	(5.0, 0.7852791985907421)	(6.0, 0.6749156355455568)	(7.0, 0.6834051403951865)	(8.0, 0.526349300677038)	(9.0, 0.5348388055266676)	('>10', 8.892756329987053)	('>50', 2.920389668272598)	('>100', 13.801812509285396)	('>500', 14.703822399558547)	('>1k', 49.55323980728824)	('>5k', 0.0)	('>10k+', 0.0)
ERR4588255_1.pr	(1.0, 1.623567440493682)	(2.0, 0.8338230972671173)	(3.0, 0.6226124008228034)	(4.0, 0.44813399941228327)	(5.0, 0.3673229503379371)	(6.0, 0.36364972083455777)	(7.0, 0.3342638848075228)	(8.0, 0.2644725242433147)	(9.0, 0.29753158977372907)	('>10', 3.8109756097560976)	('>50', 0.9238172200999117)	('>100', 5.08558624742874)	('>500', 8.666985013223625)	('>1k', 28.21591243020864)	('>5k', 26.911915956508963)	('>10k+', 21.229429914781075)
ERR4588255_2.pr	(1.0, 2.119453423449897)	(2.0, 0.9734058183955334)	(3.0, 0.7603585071995298)	(4.0, 0.5877167205406993)	(5.0, 0.45915368792242134)	(6.0, 0.39670878636497203)	(7.0, 0.4242580076403174)	(8.0, 0.16162209814869233)	(9.0, 0.23141345871290037)	('>10', 3.79811930649427)	('>50', 0.6960769908903908)	('>100', 6.246326770496621)	('>500', 10.8084778136938)	('>1k', 24.619820746400233)	('>5k', 26.7447840141052)	('>10k+', 20.97230384954452)
ERR4588256_1.pr	(1.0, 1.7391426504365415)	(2.0, 0.8723809256228532)	(3.0, 0.6279456904241795)	(4.0, 0.5506816792981618)	(5.0, 0.48816807029620213)	(6.0, 0.3835104552255056)	(7.0, 0.33434244814531255)	(8.0, 0.34277124935905995)	(9.0, 0.29079364187428447)	('>10', 4.923122308929613)	('>50', 0.8274273191495339)	('>100', 5.382491975078844)	('>500', 3.0491188390731128)	('>1k', 44.08122554769648)	('>5k', 20.30427972381628)	('>10k+', 15.802597475574037)
ERR4588256_2.pr	(1.0, 2.1985123165857736)	(2.0, 0.9974081436267725)	(3.0, 0.79441451439569)	(4.0, 0.6349696914356355)	(5.0, 0.530312076364939)	(6.0, 0.46358406675610564)	(7.0, 0.3982608573495635)	(8.0, 0.34839045016822484)	(9.0, 0.3476880500670792)	('>10', 5.322085566380322)	('>50', 0.9833601416038604)	('>100', 4.473586244196419)	('>500', 3.627896522417099)	('>1k', 42.96300458667266)	('>5k', 20.057034888213025)	('>10k+', 15.859491883766832)
ERR4588257_1.pr	(1.0, 1.8803592414723675)	(2.0, 0.9111617312072893)	(3.0, 0.6246100721094555)	(4.0, 0.47879517722676024)	(5.0, 0.42801387055119483)	(6.0, 0.3656254080640715)	(7.0, 0.2945315787182798)	(8.0, 0.2727681615716089)	(9.0, 0.3133932069120613)	('>10', 3.9007297999216517)	('>50', 1.8506159047052508)	('>100', 8.431147802620316)	('>500', 8.769206215631938)	('>1k', 32.506565297505915)	('>5k', 21.13300349665569)	('>10k+', 17.839473035126154)
ERR4588257_2.pr	(1.0, 2.377290599654687)	(2.0, 1.030135078275757)	(3.0, 0.7856593589948203)	(4.0, 0.597768524295228)	(5.0, 0.46791346865342487)	(6.0, 0.46138444350942354)	(7.0, 0.3757816693991846)	(8.0, 0.30178605110050344)	(9.0, 0.30033515662405874)	('>10', 4.148107308155478)	('>50', 2.078406337507073)	('>100', 7.753580082120627)	('>500', 8.773558899061271)	('>1k', 31.66794829012086)	('>5k', 20.400301786051102)	('>10k+', 18.4800429464765)
ERR4588258_1.pr	(1.0, 2.9780240053220925)	(2.0, 1.282445479295829)	(3.0, 0.9341614629046775)	(4.0, 0.7200478541120434)	(5.0, 0.6065620510182975)	(6.0, 0.5132018090643291)	(7.0, 0.5048161585894217)	(8.0, 0.5456263242339708)	(9.0, 0.3974798325106078)	('>10', 6.857784958379222)	('>50', 2.79186256477915)	('>100', 9.171106402723659)	('>500', 10.882897186334745)	('>1k', 43.4751253654746)	('>5k', 11.960732794042835)	('>10k+', 6.378125751214522)
ERR4588258_2.pr	(1.0, 3.526445546381033)	(2.0, 1.4501584887939758)	(3.0, 1.0062780569888807)	(4.0, 0.8788161697702891)	(5.0, 0.7994320119411662)	(6.0, 0.6004125740033655)	(7.0, 0.5361225870290759)	(8.0, 0.5456263242339708)	(9.0, 0.4427623450751075)	('>10', 7.0221437076874045)	('>50', 2.885781850098112)	('>100', 9.317016720987047)	('>500', 10.22266697227704)	('>1k', 42.578419808024506)	('>5k', 11.885820983133662)	('>10k+', 6.302095853575363)
ERR4588259_1.pr	(1.0, 2.208228906789676)	(2.0, 0.9568230733659505)	(3.0, 0.7433076620062457)	(4.0, 0.618852154850054)	(5.0, 0.570896821817393)	(6.0, 0.4966802349811319)	(7.0, 0.4595719415630013)	(8.0, 0.3790754896867489)	(9.0, 0.36994114053767063)	('>10', 5.749501892522964)	('>50', 1.617350696208674)	('>100', 7.289781517786291)	('>500', 5.897364169373669)	('>1k', 43.2054714751403)	('>5k', 20.05389265997956)	('>10k+', 9.38326016339067)
ERR4588259_2.pr	(1.0, 3.017760600126739)	(2.0, 1.285659642732769)	(3.0, 0.9591066606532201)	(4.0, 0.6827925988936019)	(5.0, 0.5880237264719148)	(6.0, 0.4932548540502275)	(7.0, 0.5634751631337668)	(8.0, 0.4704189811775318)	(9.0, 0.39563149751945337)	('>10', 6.0726294936716085)	('>50', 1.7343845446812396)	('>100', 7.544401500316848)	('>500', 6.965512122994011)	('>1k', 40.015870931646525)	('>5k', 13.885352500242632)	('>10k+', 15.325725181687913)
ERR4588260_1.pr	(1.0, 3.4126555683625384)	(2.0, 1.620974919388961)	(3.0, 0.976086607624856)	(4.0, 0.7849545514232772)	(5.0, 0.5544288653175564)	(6.0, 0.5296254687112447)	(7.0, 0.36256729745108623)	(8.0, 0.39685434570098777)	(9.0, 0.3282802492011847)	('>10', 4.800916266651104)	('>50', 2.658340506864705)	('>100', 19.475772917608953)	('>500', 17.08151563343498)	('>1k', 42.225594187251055)	('>5k', 4.791432615007514)	('>10k+', 0.0)
ERR4588260_2.pr	(1.0, 3.9123710588132306)	(2.0, 1.6968441325376793)	(3.0, 1.1686776871562177)	(4.0, 0.8345613446359007)	(5.0, 0.6675031733757423)	(6.0, 0.5558878886473394)	(7.0, 0.5259779103867871)	(8.0, 0.4143626256583843)	(9.0, 0.31514903923313736)	('>10', 4.964326879586805)	('>50', 2.6488568552211147)	('>100', 20.317629378893766)	('>500', 15.932534761230832)	('>1k', 41.153941551525406)	('>5k', 4.891375713097652)	('>10k+', 0.0)
ERR4588261_1.pr	(1.0, 2.672150185921135)	(2.0, 1.1634720905206857)	(3.0, 0.8118733818468522)	(4.0, 0.5540343288193742)	(5.0, 0.5007617972021267)	(6.0, 0.5369871187018549)	(7.0, 0.35799141246790334)	(8.0, 0.3409442023503841)	(9.0, 0.38356222764418213)	('>10', 7.693619016162886)	('>50', 3.919792876397072)	('>100', 12.179166178335127)	('>500', 15.77612751313168)	('>1k', 32.13825287405308)	('>5k', 20.971264796445656)	('>10k+', 0.0)
ERR4588261_2.pr	(1.0, 3.2368390210639593)	(2.0, 1.2508390423729716)	(3.0, 0.7543390477002249)	(4.0, 0.6691029971126288)	(5.0, 0.5433798224959246)	(6.0, 0.5433798224959246)	(7.0, 0.42511480230563514)	(8.0, 0.3409442023503841)	(9.0, 0.35479506057086846)	('>10', 7.490117945385001)	('>50', 3.8920911599561037)	('>100', 14.59454276186113)	('>500', 14.7905856782126)	('>1k', 37.4623096838808)	('>5k', 13.651618952235847)	('>10k+', 0.0)
ERR4588262_1.pr	(1.0, 2.4424418049230967)	(2.0, 0.9744291946629303)	(3.0, 0.74992835079451)	(4.0, 0.5795624621851415)	(5.0, 0.5891156895837978)	(6.0, 0.42034200554087187)	(7.0, 0.42352641467375723)	(8.0, 0.31844091328853935)	(9.0, 0.4298952329395281)	('>10', 7.193580231188103)	('>50', 1.8596949336050697)	('>100', 16.146546508295387)	('>500', 14.239085437697035)	('>1k', 43.84772155526542)	('>5k', 9.785689265356813)	('>10k+', 0.0)
ERR4588262_2.pr	(1.0, 2.5618571474062986)	(2.0, 1.0253797407890965)	(3.0, 0.6161831672133236)	(4.0, 0.5413495525905169)	(5.0, 0.477661369932809)	(6.0, 0.43944846033818424)	(7.0, 0.39009011877846067)	(8.0, 0.624144190045537)	(9.0, 0.4585549151354966)	('>10', 7.042320797376046)	('>50', 2.240231824984874)	('>100', 15.388657134668662)	('>500', 15.899754800496769)	('>1k', 34.84539693659842)	('>5k', 17.44896984364551)	('>10k+', 0.0)
ERR4588263_1.pr	(1.0, 1.2988861606348527)	(2.0, 0.5409060175794456)	(3.0, 0.48040994982384966)	(4.0, 0.3487420376499057)	(5.0, 0.23130849435963136)	(6.0, 0.2028397565922921)	(7.0, 0.13700580050532007)	(8.0, 0.29892174655706205)	(9.0, 0.09608198996476994)	('>10', 4.761396391587488)	('>50', 2.7632468595423654)	('>100', 7.85915091989609)	('>500', 7.476602256147467)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 73.50450161915946)
ERR4588263_2.pr	(1.0, 1.4198782961460445)	(2.0, 0.5693747553467848)	(3.0, 0.3576385182021992)	(4.0, 0.30603893099889684)	(5.0, 0.24020497491192483)	(6.0, 0.29892174655706205)	(7.0, 0.3362869648766948)	(8.0, 0.24198427102238357)	(9.0, 0.17615031493541156)	('>10', 4.490943382797765)	('>50', 2.7169851606704385)	('>100', 6.352087114337568)	('>500', 8.878687591188926)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 73.61481797800789)
ERR4588264_1.pr	(1.0, 2.7931501318195853)	(2.0, 1.1186851293257012)	(3.0, 0.8194190437736029)	(4.0, 0.4987768092534974)	(5.0, 0.5047146284112771)	(6.0, 0.420397596370805)	(7.0, 0.43227323468636436)	(8.0, 0.2850153195734271)	(9.0, 0.32064223452010543)	('>10', 4.922452081799396)	('>50', 2.381065482269672)	('>100', 22.077999192456595)	('>500', 19.942759423319004)	('>1k', 34.94881599885994)	('>5k', 8.533833693561029)	('>10k+', 0.0)
ERR4588264_2.pr	(1.0, 3.0947913450347957)	(2.0, 1.2089399805239531)	(3.0, 0.769541362848253)	(4.0, 0.6555352350188823)	(5.0, 0.65909792651355)	(6.0, 0.3776452984347909)	(7.0, 0.40733439422368956)	(8.0, 0.29451583022587463)	(9.0, 0.3420183834881125)	('>10', 4.746692634729117)	('>50', 2.9617841959005298)	('>100', 22.43308077809182)	('>500', 17.72676531363561)	('>1k', 36.845355437854785)	('>5k', 7.476901883476236)	('>10k+', 0.0)
ERR4588265_1.pr	(1.0, 4.111887020637459)	(2.0, 1.5565872117972925)	(3.0, 1.129403503296532)	(4.0, 1.006515039207272)	(5.0, 0.8387625326727266)	(6.0, 0.6437014785627901)	(7.0, 0.8329107010494284)	(8.0, 0.5617758358366168)	(9.0, 0.5968868255764055)	('>10', 9.35902937619475)	('>50', 3.8914680294932316)	('>100', 19.952795224905394)	('>500', 13.65037256661335)	('>1k', 32.00366714781727)	('>5k', 9.864237506339485)	('>10k+', 0.0)
ERR4588265_2.pr	(1.0, 5.405141809386338)	(2.0, 1.8881910037841847)	(3.0, 1.2756992938789842)	(4.0, 1.1001443451800412)	(5.0, 0.8972808489057075)	(6.0, 0.6554051418093864)	(7.0, 0.846564974837124)	(8.0, 0.7958491007685407)	(9.0, 0.31599890765809696)	('>10', 9.834978348222993)	('>50', 3.9519369562673115)	('>100', 20.08933796278235)	('>500', 10.630827448991534)	('>1k', 30.835251433698748)	('>5k', 11.477392423828658)	('>10k+', 0.0)
ERR4588266_1.pr	(1.0, 3.8855610192221723)	(2.0, 1.7130084935181047)	(3.0, 1.2123379526151095)	(4.0, 1.0800178810907466)	(5.0, 0.8404112650871703)	(6.0, 0.8261063924899418)	(7.0, 0.5131873044255699)	(8.0, 0.4720607957085382)	(9.0, 0.4184175234689316)	('>10', 7.848010728654447)	('>50', 2.741171211443898)	('>100', 19.37058560572195)	('>500', 9.230219043361645)	('>1k', 31.361645060348682)	('>5k', 18.487259722843095)	('>10k+', 0.0)
ERR4588266_2.pr	(1.0, 4.5829235583370584)	(2.0, 1.991953509164059)	(3.0, 1.4483683504693785)	(4.0, 0.9941886455073758)	(5.0, 1.117568171658471)	(6.0, 0.7724631202503353)	(7.0, 0.5507375949932946)	(8.0, 0.48636566830576666)	(9.0, 0.5471613768439875)	('>10', 7.2829682610639255)	('>50', 3.3187304425569963)	('>100', 20.540008940545373)	('>500', 7.238265534197586)	('>1k', 30.319177469825657)	('>5k', 18.809119356280732)	('>10k+', 0.0)
ERR4588267_1.pr	(1.0, 3.2130027939154733)	(2.0, 1.5122621845758126)	(3.0, 1.1574792673732759)	(4.0, 1.0466096057474834)	(5.0, 0.6984788682424942)	(6.0, 0.6120005321743758)	(7.0, 0.5898265998492173)	(8.0, 0.5676526675240587)	(9.0, 0.7783050246130648)	('>10', 6.709831921592975)	('>50', 2.8826112022706107)	('>100', 23.994412169054062)	('>500', 20.266974145194908)	('>1k', 35.97055301787219)	('>5k', 0.0)	('>10k+', 0.0)
ERR4588267_2.pr	(1.0, 4.057829615504013)	(2.0, 1.7162623619672714)	(3.0, 1.051044392212515)	(4.0, 0.9667834493769125)	(5.0, 0.8980442591689209)	(6.0, 0.8115659231008028)	(7.0, 0.745044126125327)	(8.0, 0.6563483968246929)	(9.0, 0.5587830945939953)	('>10', 7.401658610137922)	('>50', 2.4657412745576304)	('>100', 22.86575901370349)	('>500', 16.885449465608232)	('>1k', 38.91968601711827)	('>5k', 0.0)	('>10k+', 0.0)
ERR4588268_1.pr	(1.0, 1.6977517836160976)	(2.0, 0.6770014840385675)	(3.0, 0.5554211141660081)	(4.0, 0.45949799261187874)	(5.0, 0.40235230317537607)	(6.0, 0.33937542093923023)	(7.0, 0.297973952061764)	(8.0, 0.3078869798211573)	(9.0, 0.301764227381532)	('>10', 5.799704358525058)	('>50', 2.2951574859395363)	('>100', 4.779828737867475)	('>500', 3.7176769694124783)	('>1k', 20.966928390036824)	('>5k', 13.946463818906476)	('>10k+', 43.45521498150054)
ERR4588268_2.pr	(1.0, 2.175034914266888)	(2.0, 0.8134513955502168)	(3.0, 0.5869095552840812)	(4.0, 0.5423009303668112)	(5.0, 0.4664954239714505)	(6.0, 0.3971042296556972)	(7.0, 0.37348789881714256)	(8.0, 0.3428741366190161)	(9.0, 0.3227565214602473)	('>10', 6.3758262071297995)	('>50', 2.211188309624675)	('>100', 5.405807284909164)	('>500', 4.218867990541805)	('>1k', 24.191869567879458)	('>5k', 11.977561570106973)	('>10k+', 39.59846406381657)
ERR4588269_1.pr	(1.0, 2.32194722847208)	(2.0, 1.0063407649826142)	(3.0, 0.7829822049498876)	(4.0, 0.6610758846389855)	(5.0, 0.5318060953160155)	(6.0, 0.5448967068930252)	(7.0, 0.3722642667212109)	(8.0, 0.32726528942524036)	(9.0, 0.30190222949478424)	('>10', 4.269993863775824)	('>50', 1.6575986909388423)	('>100', 8.790345673961955)	('>500', 8.261812231540192)	('>1k', 55.763550828390265)	('>5k', 5.199427285743506)	('>10k+', 9.206790754755573)
