Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR4588253_1.pr	95.19917656276405	55.0	262.39179328038347	262	36.36363636363637	0.065093
ERR4588253_2.pr	93.92715038483401	55.0	262.1435638240671	262	45.45454545454545	0.065093
ERR4588254_1.pr	94.79381115096461	55.0	262.278307192733	262	36.36363636363637	0.047117
ERR4588254_2.pr	93.94486066600166	55.0	261.9962221703419	262	45.45454545454545	0.047117
ERR4588255_1.pr	97.13120775786071	55.0	262.27058845136645	262	36.36363636363637	0.054447999999999996
ERR4588255_2.pr	96.46267998824567	55.0	261.89984939759034	261	45.45454545454545	0.054447999999999996
ERR4588256_1.pr	96.86378354838483	53.0	262.08593865237515	262	45.45454545454545	0.142369
ERR4588256_2.pr	96.21055145431941	54.0	261.83171898376753	261	54.54545454545454	0.142369
ERR4588257_1.pr	96.78409239296026	52.0	261.83372749299946	261	45.45454545454545	0.137846
ERR4588257_2.pr	96.08621214979034	52.0	261.6329236974595	261	54.54545454545454	0.137846
ERR4588258_1.pr	95.04128535250479	53.0	262.0651509137564	262	36.36363636363637	0.17887699999999998
ERR4588258_2.pr	94.2625379450684	53.0	261.7796306959531	261	45.45454545454545	0.17887699999999998
ERR4588259_1.pr	96.17042411924893	53.0	262.2215878924202	262	36.36363636363637	0.17516299999999999
ERR4588259_2.pr	95.04518648344684	53.0	261.9973224939057	261	45.45454545454545	0.17516299999999999
ERR4588260_1.pr	94.50240009337749	53.0	261.9826449174922	262	36.36363636363637	0.137078
ERR4588260_2.pr	93.83270838500708	53.0	261.7650680634383	261	45.45454545454545	0.137078
ERR4588261_1.pr	95.49101292391617	54.0	262.09677488093587	262	36.36363636363637	0.093857
ERR4588261_2.pr	94.85920069893561	54.0	261.5701332878741	261	54.54545454545454	0.093857
ERR4588262_1.pr	95.86026812724899	54.0	261.92045345986054	262	45.45454545454545	0.062806
ERR4588262_2.pr	95.75359042129733	54.0	261.5078177244212	261	54.54545454545454	0.062806
ERR4588263_1.pr	97.74563182804883	53.0	262.123340806377	262	45.45454545454545	0.056201999999999995
ERR4588263_2.pr	97.62997758086901	53.0	261.6511867905057	261	54.54545454545454	0.056201999999999995
ERR4588264_1.pr	95.51813409970786	53.0	261.9757855734746	262	45.45454545454545	0.084206
ERR4588264_2.pr	95.11673752464195	53.0	261.52413129705724	261	45.45454545454545	0.084206
ERR4588265_1.pr	93.29575157024149	53.0	262.2733195490188	262	45.45454545454545	0.051266
ERR4588265_2.pr	91.7138064214099	52.0	262.11725119962546	262	54.54545454545454	0.051266
ERR4588266_1.pr	93.52346893160482	53.0	261.61868573983014	261	45.45454545454545	0.055924999999999996
ERR4588266_2.pr	92.59186410371032	52.0	261.54310236924454	261	54.54545454545454	0.055924999999999996
ERR4588267_1.pr	94.3500820435496	53.0	261.75677413632536	262	45.45454545454545	0.045098
ERR4588267_2.pr	93.3699942347776	53.0	261.6272561976141	262	54.54545454545454	0.045098
ERR4588268_1.pr	97.05116580122046	53.0	261.90090470956284	261	45.45454545454545	0.342983
ERR4588268_2.pr	96.40244560226017	53.0	261.62055262214164	261	54.54545454545454	0.342983
