Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
ERR4588253_1 - illumina_universal_adapter	(1, 0.0012853690723062948)	(2, 0.0012853690723062948)	(3, 0.0012853690723062948)	(4, 0.0012853690723062948)	(5, 0.0012853690723062948)	(6, 0.0012853690723062948)	(7, 0.0012853690723062948)	(8, 0.0012853690723062948)	(9, 0.0012853690723062948)	(10, 0.0012853690723062948)	(15, 0.0012853690723062948)	(20, 0.0012853690723062948)	(25, 0.0013710603437933813)	(30, 0.002399355601638417)	(35, 0.003084885773535108)	(40, 0.005055785017738093)	(45, 0.006683919175992733)	(50, 0.008997583506144064)	(55, 0.009426039863579495)	(60, 0.011054174021834135)	(65, 0.01491028123875302)	(70, 0.017995167012288128)	(75, 0.02125143532879741)	(80, 0.03504773003821831)	(85, 0.04370254845841402)	(90, 0.046958816774923307)	(95, 0.04944386364804881)	(100, 0.0508149239918422)	(105, 0.05218598433563557)	(110, 0.05347135340794187)	(115, 0.055785017738093204)	(120, 0.058355755882705786)	(125, 0.06084080275583129)	(130, 0.06289739327152136)	(135, 0.06666780921695317)	(140, 0.07095237279130748)	(145, 0.07429433237930386)	(150, 0.07737921815283895)	(155, 0.08054979519786115)	(160, 0.08252069444206414)	(165, 0.08432021114329294)	(170, 0.08731940564534095)	(175, 0.0927179557490274)	(180, 0.09683113678040756)	(185, 0.10103000908327478)	(190, 0.10505749884316784)	(195, 0.1084851497026513)	(200, 0.1120841831051089)	(205, 0.11508337760715695)	(210, 0.11868241100961456)	(215, 0.12168160551166259)	(220, 0.12690877307237486)	(225, 0.1316217930041646)	(230, 0.13539220894959642)	(235, 0.13796294709420898)	(240, 0.1418190543111279)	(245, 0.14430410118425335)	(250, 0.1483315909441464)	(255, 0.15321599341891035)	(260, 0.16015698640936435)	(265, 0.16632675795643456)	(270, 0.17189669060309515)	(275, 0.17789507960719123)	(280, 0.18200826063857134)	(285, 0.1868069718418482)	(290, 0.18723542819928363)
ERR4588253_2 - illumina_universal_adapter	(1, 0.0021422817871771583)	(2, 0.0021422817871771583)	(3, 0.0021422817871771583)	(4, 0.0021422817871771583)	(5, 0.0021422817871771583)	(6, 0.0021422817871771583)	(7, 0.0021422817871771583)	(8, 0.0021422817871771583)	(9, 0.0021422817871771583)	(10, 0.0021422817871771583)	(15, 0.0021422817871771583)	(20, 0.0022279730586642447)	(25, 0.0027421206875867625)	(30, 0.004370254845841403)	(35, 0.005741315189634784)	(40, 0.007112375533428164)	(45, 0.009083274777631151)	(50, 0.011311247836295394)	(55, 0.015424428867675538)	(60, 0.020223140070952376)	(65, 0.02699275051843219)	(70, 0.03427650859483453)	(75, 0.04241717938610773)	(80, 0.06821025210372071)	(85, 0.0839774460573446)	(90, 0.08826200963169892)	(95, 0.09306072083497577)	(100, 0.09605991533702377)	(105, 0.1009443178117877)	(110, 0.10617148537249996)	(115, 0.11208418310510893)	(120, 0.11816826338069204)	(125, 0.12313835712694306)	(130, 0.12793706833021987)	(135, 0.13384976606282883)	(140, 0.13933400743800234)	(145, 0.14524670517061133)	(150, 0.1515878592606557)	(155, 0.15870023479408385)	(160, 0.16461293252669282)	(165, 0.17515295891960445)	(170, 0.18312224716790348)	(175, 0.1912629179591767)	(180, 0.19837529349260485)	(185, 0.20651596428387803)	(190, 0.21345695727433203)	(195, 0.21911258119247976)	(200, 0.22468251383914034)	(205, 0.23445131878866823)	(210, 0.24490565391009272)	(215, 0.2562169017463881)	(220, 0.2678709146686319)	(225, 0.27866801487600473)	(230, 0.29040771906973556)	(235, 0.303775557421721)	(240, 0.3157723354299131)	(245, 0.3284546436100019)	(250, 0.3438790724776774)	(255, 0.361360091861043)	(260, 0.38149754066050834)	(265, 0.40214913708889616)	(270, 0.4251143978474353)	(275, 0.4441378601175684)	(280, 0.4581912286414506)	(285, 0.4685598724913881)	(290, 0.46958816774923307)
ERR4588254_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.000615202893914413)	(9, 0.000615202893914413)	(10, 0.000615202893914413)	(15, 0.000615202893914413)	(20, 0.000615202893914413)	(25, 0.001230405787828826)	(30, 0.0014764869453945911)	(35, 0.002460811575657652)	(40, 0.0029529738907891827)	(45, 0.004183379678618008)	(50, 0.005536826045229717)	(55, 0.0063981100967098956)	(60, 0.00799763762088737)	(65, 0.008366759357236016)	(70, 0.009351083987499077)	(75, 0.013411423087334205)	(80, 0.0332209562713783)	(85, 0.04589413588601521)	(90, 0.04933927209193592)	(95, 0.05278440829785663)	(100, 0.05536826045229717)	(105, 0.05733690971282329)	(110, 0.058690356079435)	(115, 0.06176637054900706)	(120, 0.06361197923075032)	(125, 0.06521150675492778)	(130, 0.0677953589093683)	(135, 0.06964096759111155)	(140, 0.07185569800920343)	(145, 0.07480867189999262)	(150, 0.0762851588453872)	(155, 0.08071461968157098)	(160, 0.08354455299357728)	(165, 0.08932746019637276)	(170, 0.091173068878116)	(175, 0.09449516450525383)	(180, 0.09670989492334572)	(185, 0.1004011122868322)	(190, 0.10273888328370698)	(195, 0.10716834411989073)	(200, 0.11012131801067992)	(205, 0.11319733248025199)	(210, 0.11541206289834387)	(215, 0.11701159042252134)	(220, 0.11910328026183034)	(225, 0.1200876048920934)	(230, 0.12119497010113936)	(235, 0.12316361936166549)	(240, 0.1251322686221916)	(245, 0.12710091788271774)	(250, 0.12956172945837538)	(255, 0.1316534192976844)	(260, 0.13608288013386816)	(265, 0.14038930039126904)	(270, 0.14260403080936093)	(275, 0.1471565322243276)	(280, 0.14937126264241946)	(285, 0.15109383074537983)	(290, 0.1513399119029456)
ERR4588254_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0001230405787828826)	(25, 0.0009843246302630609)	(30, 0.003076014469572065)	(35, 0.005782907202795483)	(40, 0.006275069517927012)	(45, 0.0075054753057558375)	(50, 0.011073652090459433)	(55, 0.016856559293254917)	(60, 0.021162979550655804)	(65, 0.025838521544405347)	(70, 0.03272879395624677)	(75, 0.04121859389226566)	(80, 0.08551320225410339)	(85, 0.11295125132268621)	(90, 0.1264857149888033)	(95, 0.13694416418534833)	(100, 0.1419888279154465)	(105, 0.1449418018062357)	(110, 0.15170903363929425)	(115, 0.15613849447547798)	(120, 0.1598297118389645)	(125, 0.16475133499027977)	(130, 0.16782734945985184)	(135, 0.1725028914536014)	(140, 0.178162758077614)	(145, 0.18529911164702118)	(150, 0.19255850579521125)	(155, 0.20104830573123014)	(160, 0.20756945640672292)	(165, 0.21704358097300486)	(170, 0.2240568939636292)	(175, 0.23156236926938503)	(180, 0.23697615473583186)	(185, 0.24608115756576518)	(190, 0.25309447055638945)	(195, 0.26256859512267144)	(200, 0.2720427196889534)	(205, 0.28028643846740653)	(210, 0.28779191377316243)	(215, 0.2946821861850038)	(220, 0.30477151364520016)	(225, 0.31424563821148216)	(230, 0.3231045598838497)	(235, 0.3355316583409208)	(240, 0.34894308142825503)	(245, 0.3654305189851613)	(250, 0.3803184290178901)	(255, 0.3960676231020991)	(260, 0.4148928316558801)	(265, 0.4331028373157467)	(270, 0.4530354110785737)	(275, 0.4684154834264341)	(280, 0.48145778477741963)	(285, 0.49105494992248444)	(290, 0.49216231513153036)
ERR4588255_1 - illumina_universal_adapter	(1, 0.0010036432249064104)	(2, 0.0010036432249064104)	(3, 0.0010036432249064104)	(4, 0.0010036432249064104)	(5, 0.0010036432249064104)	(6, 0.0010036432249064104)	(7, 0.0010036432249064104)	(8, 0.0010036432249064104)	(9, 0.0010036432249064104)	(10, 0.0010036432249064104)	(15, 0.0010036432249064104)	(20, 0.0010036432249064104)	(25, 0.0012043718698876923)	(30, 0.0016058291598502565)	(35, 0.0027098367072473078)	(40, 0.0040145728996256414)	(45, 0.0051185804470226925)	(50, 0.00672440960687295)	(55, 0.008330238766723206)	(60, 0.011742625731405)	(65, 0.014452462438652308)	(70, 0.017965213725824745)	(75, 0.026496181137529228)	(80, 0.06644118148880436)	(85, 0.09002679727410498)	(90, 0.09805594307335627)	(95, 0.10036432249064102)	(100, 0.10166905868301937)	(105, 0.10357598081034154)	(110, 0.105683631582645)	(115, 0.10789164667743911)	(120, 0.11120366931963026)	(125, 0.11411423467185884)	(130, 0.11712516434657808)	(135, 0.12134046589118501)	(140, 0.12465248853337615)	(145, 0.12926924736794565)	(150, 0.13338418459006193)	(155, 0.13719802884470628)	(160, 0.1406104158093881)	(165, 0.14562863193392014)	(170, 0.14894065457611128)	(175, 0.15205194857332116)	(180, 0.15536397121551232)	(185, 0.15957927276011924)	(190, 0.16469785320714195)	(195, 0.16710659694691732)	(200, 0.17011752662163654)	(205, 0.17393137087628088)	(210, 0.17754448648594395)	(215, 0.18115760209560705)	(220, 0.1844696247377982)	(225, 0.18607545389764846)	(230, 0.18938747653983962)	(235, 0.19269949918203078)	(240, 0.19470678563184357)	(245, 0.19731625801660024)	(250, 0.2006282806587914)	(255, 0.20353884601101999)	(260, 0.20715196162068308)	(265, 0.21196944910023383)	(270, 0.2142778285175186)	(275, 0.21779057980469102)	(280, 0.22120296676937282)	(285, 0.22511717534650783)	(290, 0.2258197256039423)
ERR4588255_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.00010036432249064103)	(30, 0.0014051005148689746)	(35, 0.0028102010297379487)	(40, 0.0043156658670975645)	(45, 0.0076276885092887185)	(50, 0.010638618184007948)	(55, 0.01274626895631141)	(60, 0.01585756295352128)	(65, 0.022180515270431668)	(70, 0.03251804048696769)	(75, 0.04887742505294219)	(80, 0.11551933518672783)	(85, 0.15867599385770348)	(90, 0.17503537842367795)	(95, 0.18416853177032627)	(100, 0.18878529060489577)	(105, 0.19340204943946526)	(110, 0.19771771530656285)	(115, 0.20424139626845447)	(120, 0.20996216265042103)	(125, 0.21789094412718168)	(130, 0.2265222758613768)	(135, 0.2326444995333059)	(140, 0.23936890914017886)	(145, 0.2470969619719582)	(150, 0.2556279293836627)	(155, 0.2659654546001987)	(160, 0.27309132149703425)	(165, 0.2791131808464727)	(170, 0.2903539849654245)	(175, 0.29948713831207285)	(180, 0.30500717604905814)	(185, 0.31544506558808477)	(190, 0.32237020383993903)	(195, 0.3304997139616809)	(200, 0.34224233969308593)	(205, 0.3481638347200337)	(210, 0.35719662374419137)	(215, 0.3696417997330309)	(220, 0.378273131467226)	(225, 0.3890121139737246)	(230, 0.39653943816052273)	(235, 0.405672591507171)	(240, 0.41631120969117896)	(245, 0.43116512941979385)	(250, 0.4433092124411614)	(255, 0.4578620392023044)	(260, 0.47592761725061977)	(265, 0.4986099541335046)	(270, 0.5189839115991047)	(275, 0.5369491253249296)	(280, 0.5486917510563345)	(285, 0.5628431205275148)	(290, 0.5645493140098558)
ERR4588256_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0007907309683541144)	(20, 0.0022889580662882256)	(25, 0.0022889580662882256)	(30, 0.0023721929050623423)	(35, 0.0027467496795458707)	(40, 0.0031213064540293986)	(45, 0.0033293935509646918)	(50, 0.0038288025836093953)	(55, 0.004120124519318807)	(60, 0.004369829035641158)	(65, 0.004827620648898803)	(70, 0.0055351167784788)	(75, 0.0062009954886717384)	(80, 0.009114214845765845)	(85, 0.011528025170215245)	(90, 0.012235521299795243)	(95, 0.013026252268149357)	(100, 0.01323433936508465)	(105, 0.013692130978342296)	(110, 0.01527359291505052)	(115, 0.016730202593597577)	(120, 0.01814519485275757)	(125, 0.019185630337434034)	(130, 0.020184448402723442)	(135, 0.022182084533302258)	(140, 0.0233473722761399)	(145, 0.02451266001897754)	(150, 0.0264686787301693)	(155, 0.02809175808626459)	(160, 0.02909057615155399)	(165, 0.031088212282132804)	(170, 0.03300261357393751)	(175, 0.03391819680045279)	(180, 0.03616553744735397)	(185, 0.03841287809425513)	(190, 0.04157580196767159)	(195, 0.0461953355196351)	(200, 0.04873399810224567)	(205, 0.05148074778179155)	(210, 0.05535116778478799)	(215, 0.059429674884719744)	(220, 0.06255098133874915)	(225, 0.06483993940503736)	(230, 0.06858550714987265)	(235, 0.07274724908857852)	(240, 0.0793228013517338)	(245, 0.08435850909756788)	(250, 0.08960230394033727)	(255, 0.09705182201062076)	(260, 0.1053753058880325)	(265, 0.11240864976444542)	(270, 0.11989978525411596)	(275, 0.12734930332439945)	(280, 0.13380000332939357)	(285, 0.13900218075277587)	(290, 0.13941835494664648)
ERR4588258_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00014863059204023727)	(7, 0.00014863059204023727)	(8, 0.00014863059204023727)	(9, 0.00014863059204023727)	(10, 0.00014863059204023727)	(15, 0.0004161656577126643)	(20, 0.0008620574338333761)	(25, 0.0016052103940345625)	(30, 0.0024969939462759863)	(35, 0.002883433485580603)	(40, 0.003864395393046169)	(45, 0.004726452826879545)	(50, 0.00538042743185659)	(55, 0.006064128155241681)	(60, 0.007372077365195769)	(65, 0.008323313154253288)	(70, 0.009898797429879803)	(75, 0.012484969731379933)	(80, 0.019946225451799842)	(85, 0.03311489590656487)	(90, 0.04247862320509981)	(95, 0.04530260445386432)	(100, 0.047680693926508116)	(105, 0.049731796096663394)	(110, 0.050920840832985294)	(115, 0.052734134055876195)	(120, 0.053507013134485415)	(125, 0.05546893694941655)	(130, 0.05743086076434769)	(135, 0.06037374648674439)	(140, 0.06301937102506061)	(145, 0.06551636497133659)	(150, 0.06822144174646891)	(155, 0.07054007898229661)	(160, 0.07288844233653236)	(165, 0.07574214970370492)	(170, 0.07856613095246942)	(175, 0.08168737338531441)	(180, 0.08460053298930306)	(185, 0.08733533588284341)	(190, 0.09096192232862521)	(195, 0.0942020692351024)	(200, 0.09830427357541292)	(205, 0.10163359883711424)	(210, 0.1061222427167294)	(215, 0.11084869554360896)	(220, 0.11548597001526437)	(225, 0.12157982428891409)	(230, 0.1272277867864431)	(235, 0.13317301046805258)	(240, 0.13965330428100695)	(245, 0.14741182118550733)	(250, 0.15552705151090426)	(255, 0.1633747467706288)	(260, 0.17232230841145108)	(265, 0.1812401439338653)	(270, 0.19259552116573947)	(275, 0.20329692379263653)	(280, 0.2120958548414186)	(285, 0.21925984937775805)	(290, 0.2201219068115914)
ERR4588259_2 - illumina_universal_adapter	(1, 0.00025636917160711426)	(2, 0.00025636917160711426)	(3, 0.00025636917160711426)	(4, 0.00025636917160711426)	(5, 0.00025636917160711426)	(6, 0.00025636917160711426)	(7, 0.00025636917160711426)	(8, 0.00025636917160711426)	(9, 0.00025636917160711426)	(10, 0.00025636917160711426)	(15, 0.0017176734497676657)	(20, 0.005255568017945842)	(25, 0.005383752603749399)	(30, 0.005563211023874378)	(35, 0.005665758692517225)	(40, 0.005922127864124339)	(45, 0.006204133952892165)	(50, 0.006460503124499278)	(55, 0.0069988783848742185)	(60, 0.007485979810927736)	(65, 0.008331998077231213)	(70, 0.00971639160390963)	(75, 0.012921006248998557)	(80, 0.025560006409229293)	(85, 0.03484057042140683)	(90, 0.03953212626181702)	(95, 0.04332639000160231)	(100, 0.04571062329754847)	(105, 0.04771030283608396)	(110, 0.048812690273994555)	(115, 0.04917160711424451)	(120, 0.05012017304919083)	(125, 0.0516071142445121)	(130, 0.0527351385995834)	(135, 0.054068258291940396)	(140, 0.055221919564172404)	(145, 0.05652940233936869)	(150, 0.05850344496074348)	(155, 0.060169844576189714)	(160, 0.061220958179778885)	(165, 0.06211825028040378)	(170, 0.06340009613843936)	(175, 0.06516904342252844)	(180, 0.06657907386636756)	(185, 0.06819419964749239)	(190, 0.07150136196122416)	(195, 0.07444960743470597)	(200, 0.07739785290818779)	(205, 0.07955135394968756)	(210, 0.08247396250600866)	(215, 0.08608876782566896)	(220, 0.08939593013940075)	(225, 0.09403621214548949)	(230, 0.09798429738823906)	(235, 0.10152219195641723)	(240, 0.10813651658388079)	(245, 0.11477647812850504)	(250, 0.12208299951930782)	(255, 0.13254286172087806)	(260, 0.142233616407627)	(265, 0.15177054959141162)	(270, 0.16158948886396413)	(275, 0.16956257010094536)	(280, 0.1777151097580516)	(285, 0.18435507130267587)	(290, 0.18522672648614005)
ERR4588260_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0006939781778561974)	(20, 0.0019778378068901624)	(25, 0.002914708346996029)	(30, 0.0032963963448169376)	(35, 0.003504589798173797)	(40, 0.0038168799782090854)	(45, 0.0039903745226731345)	(50, 0.004684352700529333)	(55, 0.005725319967313627)	(60, 0.00759906104752536)	(65, 0.009125813038808994)	(70, 0.009854490125558002)	(75, 0.010999554119020727)	(80, 0.012803897381446841)	(85, 0.015406315548407578)	(90, 0.017592346808654603)	(95, 0.018980303164367)	(100, 0.020611151882329058)	(105, 0.02262368859811203)	(110, 0.024115741680502855)	(115, 0.025364902400644013)	(120, 0.02692635330082046)	(125, 0.028800094381032187)	(130, 0.031159620185743264)	(135, 0.033415049263775906)	(140, 0.03504589798173797)	(145, 0.03709313360641374)	(150, 0.03865458450659019)	(155, 0.0404589277690163)	(160, 0.04205507757808556)	(165, 0.04437990447390382)	(170, 0.04621894664522275)	(175, 0.048127386634327286)	(180, 0.0496194397167181)	(185, 0.05128498734357299)	(190, 0.05295053497042786)	(195, 0.05576114659074546)	(200, 0.057704285488742804)	(205, 0.0597862200223114)	(210, 0.0629785196404499)	(215, 0.06606672253191)	(220, 0.06995300032790469)	(225, 0.07286770867490071)	(230, 0.07682338428868105)	(235, 0.07987688827124831)	(240, 0.08341617697831491)	(245, 0.08737185259209525)	(250, 0.0921256031104102)	(255, 0.09930827725122184)	(260, 0.10617866121199819)	(265, 0.11808038696223197)	(270, 0.14011419410916623)	(275, 0.15760244419114242)	(280, 0.16409114015409784)	(285, 0.16978176121251867)	(290, 0.1705451372081605)
