Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
ERR4588253_1	(1, 0.21465663507515123)	(2, 0.21465663507515123)	(3, 0.21465663507515123)	(4, 0.21465663507515123)	(5, 0.21465663507515123)	(6, 0.21465663507515123)	(7, 0.21465663507515123)	(8, 0.21465663507515123)	(9, 0.21465663507515123)	(10, 0.21465663507515123)	(15, 0.21465663507515123)	(20, 0.21465663507515123)	(25, 0.21465663507515123)	(30, 0.21465663507515123)	(35, 0.043018508262387144)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 9.742448628068385e-05)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
ERR4588253_2	(1, 0.2116574405731032)	(2, 0.2116574405731032)	(3, 0.2116574405731032)	(4, 0.2116574405731032)	(5, 0.2116574405731032)	(6, 0.2116574405731032)	(7, 0.2116574405731032)	(8, 0.2116574405731032)	(9, 0.2116574405731032)	(10, 0.2116574405731032)	(15, 0.2116574405731032)	(20, 0.2116574405731032)	(25, 0.2116574405731032)	(30, 0.2116574405731032)	(35, 0.04241610369449415)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
ERR4588254_1	(1, 0.14887910032728793)	(2, 0.14887910032728793)	(3, 0.14887910032728793)	(4, 0.14887910032728793)	(5, 0.14887910032728793)	(6, 0.14887910032728793)	(7, 0.14887910032728793)	(8, 0.14887910032728793)	(9, 0.14887910032728793)	(10, 0.14887910032728793)	(15, 0.14887910032728793)	(20, 0.14887910032728793)	(25, 0.14887910032728793)	(30, 0.14887910032728793)	(35, 0.02981896683440862)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
ERR4588254_2	(1, 0.14395747717597263)	(2, 0.14395747717597263)	(3, 0.14395747717597263)	(4, 0.14395747717597263)	(5, 0.14395747717597263)	(6, 0.14395747717597263)	(7, 0.14395747717597263)	(8, 0.14395747717597263)	(9, 0.14395747717597263)	(10, 0.14395747717597263)	(15, 0.14395747717597263)	(20, 0.14395747717597263)	(25, 0.14395747717597263)	(30, 0.14395747717597263)	(35, 0.028831794816191147)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
ERR4588255_1	(1, 0.18416853177032627)	(2, 0.18416853177032627)	(3, 0.18416853177032627)	(4, 0.18416853177032627)	(5, 0.18416853177032627)	(6, 0.18416853177032627)	(7, 0.18416853177032627)	(8, 0.18416853177032627)	(9, 0.18416853177032627)	(10, 0.18416853177032627)	(15, 0.18416853177032627)	(20, 0.18416853177032627)	(25, 0.18416853177032627)	(30, 0.18416853177032627)	(35, 0.03689858820170156)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.00011004211311668976)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
ERR4588255_2	(1, 0.18115760209560705)	(2, 0.18115760209560705)	(3, 0.18115760209560705)	(4, 0.18115760209560705)	(5, 0.18115760209560705)	(6, 0.18115760209560705)	(7, 0.18115760209560705)	(8, 0.18115760209560705)	(9, 0.18115760209560705)	(10, 0.18115760209560705)	(15, 0.18115760209560705)	(20, 0.18115760209560705)	(25, 0.18115760209560705)	(30, 0.18115760209560705)	(35, 0.036294502237490714)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
ERR4588256_1	(1, 0.08864510329443492)	(2, 0.08864510329443492)	(3, 0.08864510329443492)	(4, 0.08864510329443492)	(5, 0.08864510329443492)	(6, 0.08864510329443492)	(7, 0.08864510329443492)	(8, 0.08864510329443492)	(9, 0.08864510329443492)	(10, 0.08864510329443492)	(15, 0.08864510329443492)	(20, 0.08864510329443492)	(25, 0.08864510329443492)	(30, 0.08864510329443492)	(35, 0.01774200870357976)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 4.2385794655236065e-05)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
ERR4588256_2	(1, 0.08760466780975845)	(2, 0.08760466780975845)	(3, 0.08760466780975845)	(4, 0.08760466780975845)	(5, 0.08760466780975845)	(6, 0.08760466780975845)	(7, 0.08760466780975845)	(8, 0.08760466780975845)	(9, 0.08760466780975845)	(10, 0.08760466780975845)	(15, 0.08760466780975845)	(20, 0.08760466780975845)	(25, 0.08760466780975845)	(30, 0.08760466780975845)	(35, 0.01753363041939111)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
ERR4588257_1	(1, 0.11505809915727716)	(2, 0.11505809915727716)	(3, 0.11505809915727716)	(4, 0.11505809915727716)	(5, 0.11505809915727716)	(6, 0.11505809915727716)	(7, 0.11505809915727716)	(8, 0.11505809915727716)	(9, 0.11505809915727716)	(10, 0.11505809915727716)	(15, 0.11505809915727716)	(20, 0.11505809915727716)	(25, 0.11505809915727716)	(30, 0.11505809915727716)	(35, 0.023033912074784817)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
ERR4588257_2	(1, 0.11246670052760877)	(2, 0.11246670052760877)	(3, 0.11246670052760877)	(4, 0.11246670052760877)	(5, 0.11246670052760877)	(6, 0.11246670052760877)	(7, 0.11246670052760877)	(8, 0.11246670052760877)	(9, 0.11246670052760877)	(10, 0.11246670052760877)	(15, 0.11246670052760877)	(20, 0.11246670052760877)	(25, 0.11246670052760877)	(30, 0.11246670052760877)	(35, 0.02251462413028186)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 6.976169057690475e-05)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 6.988166588108027e-05)	(200, 3.495990099356039e-05)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 3.51195240321147e-05)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
