Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
ERR4588253_1	(1, 33.62046478945655)	(2, 33.69903940084663)	(3, 33.702239969836675)	(4, 33.74656378001337)	(5, 33.75394608305198)	(6, 37.47774169223123)	(7, 37.382153078887384)	(8, 37.31930710037876)	(9, 37.283698092512296)	(10, 37.27690791615966)	(15, 37.139789885002315)	(20, 37.09665632658657)	(25, 37.0390400863768)	(30, 36.919329380109346)	(35, 36.98802165570644)	(40, 36.78860692064093)	(45, 36.848673538285105)	(50, 36.83441153316049)	(55, 36.966893949967286)	(60, 36.70575528669603)	(65, 36.846079872102095)	(70, 36.740328868821386)	(75, 36.707572563616765)	(80, 36.63445007310647)	(85, 36.58946055274181)	(90, 36.65273592619183)	(95, 36.5525062532384)	(100, 36.54031077748309)	(105, 36.42255169227627)	(110, 36.44552058206075)	(115, 36.35582787700572)	(120, 36.42688108137644)	(125, 36.40936300102355)	(130, 36.28547676361868)	(135, 36.180977353855596)	(140, 36.20266077002634)	(145, 36.17837106565103)	(150, 36.09797082581923)	(155, 36.0841961996561)	(160, 35.81473738541176)	(165, 35.8946535506153)	(170, 35.77634962238466)	(175, 35.71600791277868)	(180, 35.60307069773501)	(185, 35.64195012642959)	(190, 35.580879272424674)	(195, 35.45296882957679)	(200, 35.14118921241752)	(205, 34.9860209802125)	(210, 34.99806162915471)	(215, 34.708324444076574)	(220, 34.91806945892022)	(225, 34.588439350870416)	(230, 34.327338093811186)	(235, 34.17661754692294)	(240, 33.96316326625688)	(245, 33.815613174731496)	(250, 32.96787745636785)	(255, 32.47869840003049)	(260, 32.68397063300526)	(265, 32.30585880275685)	(270, 31.83982591905026)	(275, 30.370505756209063)	(280, 30.17015904569434)	(285, 29.477418264532712)	(290, 27.650622589819243)	(295, 27.357489681676704)	(300, 20.58614705999962)
ERR4588253_2	(1, 32.59955183465012)	(2, 32.960423486263686)	(3, 33.046607482561825)	(4, 33.233178803407085)	(5, 33.22090352876656)	(6, 36.63160037018629)	(7, 35.97995252703559)	(8, 36.28742137825841)	(9, 36.462188726456326)	(10, 36.45277211263261)	(15, 36.215703782412724)	(20, 36.17248453272549)	(25, 36.175557421721024)	(30, 35.91166343896211)	(35, 36.19636584580973)	(40, 35.74844435388801)	(45, 35.72249810486784)	(50, 35.711538177381094)	(55, 35.935000503865105)	(60, 35.57502913258)	(65, 35.87442161717384)	(70, 35.733873841979666)	(75, 35.823442038899785)	(80, 35.71774648118861)	(85, 35.57422510112082)	(90, 35.62740369392654)	(95, 35.47316842391478)	(100, 35.427768096811455)	(105, 35.24865670402645)	(110, 35.246171715182776)	(115, 35.083610084523414)	(120, 35.12087531451384)	(125, 34.939597155398076)	(130, 34.58281676348078)	(135, 34.424259193422635)	(140, 34.235504362548724)	(145, 34.082955752095984)	(150, 33.81373615413952)	(155, 33.78734729833403)	(160, 33.140909449539556)	(165, 33.16229759479471)	(170, 32.86293603164653)	(175, 32.59456362562209)	(180, 32.228959855714606)	(185, 32.2959548235252)	(190, 31.84165285520596)	(195, 31.355802274953685)	(200, 30.419658593777363)	(205, 30.16713229456398)	(210, 30.016045779780274)	(215, 29.46249916454584)	(220, 29.376848079034755)	(225, 28.317454853301065)	(230, 26.482288349780845)	(235, 26.32593926409981)	(240, 26.117036389603335)	(245, 25.342652612903542)	(250, 23.40006004839312)	(255, 21.89270718937239)	(260, 21.979965453906033)	(265, 21.007260182536164)	(270, 20.16071690390997)	(275, 17.506477680587818)	(280, 17.503781566881337)	(285, 16.46711941867246)	(290, 15.236224602887054)	(295, 15.99209712378356)	(300, 13.25349490838116)
ERR4588254_1	(1, 33.58522405689396)	(2, 33.7150626276546)	(3, 33.71331545143588)	(4, 33.75842827964663)	(5, 33.788400964638136)	(6, 37.51908974579816)	(7, 37.3585217904865)	(8, 37.33377833009327)	(9, 37.30472844944263)	(10, 37.31156827521717)	(15, 37.14481507001009)	(20, 37.11369687723011)	(25, 37.05728523266974)	(30, 36.92932056992396)	(35, 37.00408259294391)	(40, 36.78974412547904)	(45, 36.82568360434381)	(50, 36.85761915196416)	(55, 36.949905526454515)	(60, 36.74188338773981)	(65, 36.80872595739626)	(70, 36.72404269538223)	(75, 36.729284848845545)	(80, 36.68362481537745)	(85, 36.618143685227)	(90, 36.69389598963227)	(95, 36.61437882455621)	(100, 36.63292326985926)	(105, 36.476137399596404)	(110, 36.44506856545341)	(115, 36.33802893119271)	(120, 36.422622014955756)	(125, 36.41633570652052)	(130, 36.32484069709969)	(135, 36.19457056006077)	(140, 36.24716768606228)	(145, 36.155365901878)	(150, 36.07414692444754)	(155, 36.09668109121516)	(160, 35.85478788646553)	(165, 35.863144696385476)	(170, 35.75821105348733)	(175, 35.7145231222848)	(180, 35.71873476792314)	(185, 35.644512758920165)	(190, 35.54359361204823)	(195, 35.43958978343034)	(200, 35.16207423422784)	(205, 35.003603010896214)	(210, 34.91860864579438)	(215, 34.619911934935466)	(220, 34.777278061447696)	(225, 34.515176241565804)	(230, 34.126883088775365)	(235, 33.94645243516881)	(240, 33.929473318053326)	(245, 33.673844489906124)	(250, 32.877590562549635)	(255, 32.53770760195577)	(260, 32.346460405770785)	(265, 32.14937822562224)	(270, 31.634841122577882)	(275, 29.97022014663488)	(280, 29.831950297829195)	(285, 29.209215390766197)	(290, 27.335757402134657)	(295, 26.76586452028841)	(300, 20.202158130270693)
ERR4588254_2	(1, 32.59247729901321)	(2, 33.01055688165957)	(3, 33.10142850111967)	(4, 33.27510643010065)	(5, 33.289951275930804)	(6, 36.67372099318355)	(7, 35.97911386175161)	(8, 36.31980092034353)	(9, 36.53171986121023)	(10, 36.51511922632084)	(15, 36.27295198956615)	(20, 36.21326500479858)	(25, 36.23074414942048)	(30, 35.95427689051849)	(35, 36.2299335194071)	(40, 35.81486717271415)	(45, 35.788862647142395)	(50, 35.83900385429403)	(55, 36.00655279211399)	(60, 35.837711339005686)	(65, 35.974251952177475)	(70, 35.811399354430264)	(75, 35.89028527156829)	(80, 35.78128540879598)	(85, 35.66203044105377)	(90, 35.67663267286644)	(95, 35.562624763770145)	(100, 35.5294384074762)	(105, 35.35263732290203)	(110, 35.23572510028803)	(115, 35.035795504413855)	(120, 35.122784870152)	(125, 34.94122011030366)	(130, 34.6697189465727)	(135, 34.447422351895746)	(140, 34.29377859008815)	(145, 34.0773607371456)	(150, 33.77509632555077)	(155, 33.746623581148114)	(160, 33.17977661591924)	(165, 33.098268339161336)	(170, 32.87500189022509)	(175, 32.62742804478862)	(180, 32.48874888067034)	(185, 32.31008566922012)	(190, 31.867107872828825)	(195, 31.414674726842172)	(200, 30.628661654009846)	(205, 30.33275722752766)	(210, 29.91999280596851)	(215, 29.37537633704474)	(220, 29.253073014654596)	(225, 28.202831661345094)	(230, 26.08186295592867)	(235, 25.93701134176148)	(240, 26.09651617477968)	(245, 24.982948375043073)	(250, 23.211480094792904)	(255, 21.91841639016378)	(260, 21.309174321018386)	(265, 20.86813015874252)	(270, 19.94444535755928)	(275, 17.384666205176437)	(280, 17.380629630295328)	(285, 16.561903213238907)	(290, 15.359582922236001)	(295, 15.720276194751088)	(300, 12.877149474731178)
ERR4588255_1	(1, 33.55616889308189)	(2, 33.69443580196112)	(3, 33.69377339743268)	(4, 33.74785973082289)	(5, 33.7417676164477)	(6, 37.50863634995032)	(7, 37.35081847104991)	(8, 37.329586398627015)	(9, 37.28923994098578)	(10, 37.26740467898471)	(15, 37.12140770998725)	(20, 37.07474934010458)	(25, 37.02238525848831)	(30, 36.906118209099034)	(35, 36.989302067009454)	(40, 36.76435050793731)	(45, 36.80631017858514)	(50, 36.84267068758605)	(55, 36.94519629581855)	(60, 36.742889546469385)	(65, 36.78378341721455)	(70, 36.685902301527435)	(75, 36.703372183877136)	(80, 36.65398413824551)	(85, 36.61716996215791)	(90, 36.68501895276485)	(95, 36.57858005627606)	(100, 36.63065201597611)	(105, 36.49652307389199)	(110, 36.506813318342836)	(115, 36.42739313947712)	(120, 36.45979996487772)	(125, 36.414812298563504)	(130, 36.32975858078421)	(135, 36.17579971524731)	(140, 36.26316173925382)	(145, 36.15688793528501)	(150, 36.079211677213166)	(155, 36.10131451598176)	(160, 35.84892427111928)	(165, 35.83257825849256)	(170, 35.79437221825201)	(175, 35.760526207687995)	(180, 35.76965810282601)	(185, 35.69588818902814)	(190, 35.60602180245424)	(195, 35.5146567378834)	(200, 35.21552655771744)	(205, 35.078374744515955)	(210, 35.0889634635578)	(215, 34.76385303756097)	(220, 34.93731599564668)	(225, 34.598824523356015)	(230, 34.33709079793512)	(235, 34.26416284003061)	(240, 34.097770838444895)	(245, 33.83151849831164)	(250, 33.03234528610909)	(255, 32.64671515641573)	(260, 32.550444285022905)	(265, 32.3106508558046)	(270, 31.830932443424995)	(275, 30.236357387411157)	(280, 30.1412506447)	(285, 29.542346354461177)	(290, 27.598061105035562)	(295, 27.129452522659115)	(300, 20.601606930354475)
ERR4588255_2	(1, 32.60492588094784)	(2, 32.97266075855355)	(3, 33.058206288828444)	(4, 33.2343005108544)	(5, 33.235274044782564)	(6, 36.673705551150675)	(7, 36.0123147023696)	(8, 36.30948342483214)	(9, 36.474517498519624)	(10, 36.487135301143155)	(15, 36.20089926432952)	(20, 36.135186727821996)	(25, 36.14064453967903)	(30, 35.912443168702396)	(35, 36.19700716658692)	(40, 35.789154762454714)	(45, 35.79433691506826)	(50, 35.8354342831071)	(55, 36.072166729335585)	(60, 35.85734397835914)	(65, 35.95592958901468)	(70, 35.79397471385939)	(75, 35.90978558466685)	(80, 35.79744347505458)	(85, 35.66905081899108)	(90, 35.67691876969174)	(95, 35.55509746933619)	(100, 35.57382624723738)	(105, 35.42721710140627)	(110, 35.362696626191074)	(115, 35.19151264227031)	(120, 35.21007429509043)	(125, 34.9993908355372)	(130, 34.70957351118888)	(135, 34.44098384706217)	(140, 34.382855086028506)	(145, 34.106849500760916)	(150, 33.74464416866401)	(155, 33.65670444479884)	(160, 33.154288532062594)	(165, 33.04558104918735)	(170, 32.985102751313924)	(175, 32.75938340411325)	(180, 32.68060191008208)	(185, 32.535596782848714)	(190, 32.090341802018784)	(195, 31.59446717933332)	(200, 30.908332982101047)	(205, 30.76401421747483)	(210, 30.676759667354254)	(215, 30.061937425420666)	(220, 29.851747901422073)	(225, 28.829740681571298)	(230, 27.0305743430285)	(235, 26.9260792161172)	(240, 26.839219800634282)	(245, 25.594005938584495)	(250, 23.746244665678553)	(255, 22.358715588563477)	(260, 21.947124543708284)	(265, 21.313276603934938)	(270, 20.319724277986342)	(275, 17.66614421989229)	(280, 17.715122466008236)	(285, 16.82865534828787)	(290, 15.588261421563965)	(295, 15.980646060062218)	(300, 13.037201621210034)
ERR4588256_1	(1, 33.58039444990095)	(2, 33.722753075527294)	(3, 33.7290060927902)	(4, 33.77422758069618)	(5, 33.80382797023522)	(6, 37.508664746716384)	(7, 37.41883562784039)	(8, 37.287680411513044)	(9, 37.284908691381865)	(10, 37.288340047610326)	(15, 37.15140958199464)	(20, 37.113924356178515)	(25, 37.098122222037254)	(30, 37.015238218108564)	(35, 37.02080402522696)	(40, 36.89551704835202)	(45, 36.879949445076974)	(50, 36.86339363299876)	(55, 36.936155752386775)	(60, 36.767680472545315)	(65, 36.79250277517581)	(70, 36.742860079336666)	(75, 36.793754586816156)	(80, 36.76543653506458)	(85, 36.726975760561814)	(90, 36.725936966287264)	(95, 36.718353751321004)	(100, 36.70877968995004)	(105, 36.61982157973405)	(110, 36.57014895365733)	(115, 36.520912032089996)	(120, 36.5564907071141)	(125, 36.515087274764866)	(130, 36.48838980698791)	(135, 36.3259807692794)	(140, 36.39932422285192)	(145, 36.3541302624669)	(150, 36.269959488989215)	(155, 36.24294562590524)	(160, 36.06139736681972)	(165, 35.98100797377441)	(170, 35.96034441069684)	(175, 35.893964267496656)	(180, 35.90905006227709)	(185, 35.78915595347391)	(190, 35.74900202600669)	(195, 35.62601301078208)	(200, 35.35841910036437)	(205, 35.19201769881771)	(210, 35.1867923092197)	(215, 34.9279304012322)	(220, 35.047030684142634)	(225, 34.720356493205806)	(230, 34.54380795156264)	(235, 34.51974283458349)	(240, 34.2320011503261)	(245, 33.999809855413574)	(250, 33.39713709333903)	(255, 33.01469405355004)	(260, 32.809574988775694)	(265, 32.63687483135338)	(270, 32.18203535306982)	(275, 30.725728426983757)	(280, 30.586736943239384)	(285, 29.939546664930088)	(290, 28.31673129388499)	(295, 27.796837975006184)	(300, 21.179949751795604)
ERR4588256_2	(1, 32.118291271994806)	(2, 32.61328677731351)	(3, 32.521268582177754)	(4, 32.523601238534404)	(5, 32.55794185214163)	(6, 36.14815177040502)	(7, 35.95041492567129)	(8, 36.023245409598644)	(9, 36.00666711058581)	(10, 35.819699605466866)	(15, 35.50880541359392)	(20, 35.397232025436566)	(25, 35.41737568876829)	(30, 35.21937623811823)	(35, 35.40883860574725)	(40, 35.036118655918315)	(45, 34.9131514405923)	(50, 34.8156402293515)	(55, 35.09794583089065)	(60, 34.89116976720682)	(65, 35.05093025611806)	(70, 34.84999383284331)	(75, 35.02267926525229)	(80, 34.96793057104677)	(85, 34.82675485253468)	(90, 34.74147321504704)	(95, 34.73584710332731)	(100, 34.694385836707276)	(105, 34.55101097305611)	(110, 34.32431233669054)	(115, 34.18351985992349)	(120, 34.15842694872787)	(125, 33.93157672151041)	(130, 33.77550878444904)	(135, 33.53194750693179)	(140, 33.35366372806272)	(145, 33.06755290849135)	(150, 32.757126596683065)	(155, 32.6143992490431)	(160, 32.14015031828209)	(165, 31.896411704457336)	(170, 31.853763771400423)	(175, 31.553157590911486)	(180, 31.381047570964814)	(185, 31.070436268948896)	(190, 30.7515651789429)	(195, 30.09354958177393)	(200, 29.335411654903908)	(205, 29.14377066821686)	(210, 28.916042494432123)	(215, 28.279828852293274)	(220, 28.128028469961258)	(225, 27.082703522146325)	(230, 25.434081082098846)	(235, 25.442550603143733)	(240, 25.136263570122235)	(245, 24.153489974228233)	(250, 22.477907036484627)	(255, 21.366684776017827)	(260, 20.567505617312275)	(265, 20.13539432640668)	(270, 19.493049177565837)	(275, 17.14664166327246)	(280, 16.98030917326016)	(285, 16.20015811155294)	(290, 15.196051518529117)	(295, 15.551000857724938)	(300, 12.628873838971225)
ERR4588257_1	(1, 33.55319104827257)	(2, 33.72672837650603)	(3, 33.69694456825571)	(4, 33.76604334891628)	(5, 33.738234186421764)	(6, 37.440048856502166)	(7, 37.43268237399756)	(8, 37.18741340409579)	(9, 37.25727923875074)	(10, 37.236871801782186)	(15, 37.127264968782285)	(20, 37.09705755323596)	(25, 37.08264281197848)	(30, 37.042175876497396)	(35, 36.972289636470556)	(40, 36.99871494369651)	(45, 36.94590292548149)	(50, 36.8548533575426)	(55, 36.88030524951375)	(60, 36.78231046802341)	(65, 36.77119051447488)	(70, 36.80449775756517)	(75, 36.771502384300405)	(80, 36.76811745030666)	(85, 36.70993240088379)	(90, 36.6842006116602)	(95, 36.705769457537635)	(100, 36.67794669201632)	(105, 36.620288234108756)	(110, 36.576369437389076)	(115, 36.502861221993136)	(120, 36.54229037580363)	(125, 36.562914255483804)	(130, 36.53746810561231)	(135, 36.41157492978699)	(140, 36.43578679311328)	(145, 36.41447528338145)	(150, 36.3437295455205)	(155, 36.33187094031639)	(160, 36.15152472254704)	(165, 36.06752831032793)	(170, 36.04054032382339)	(175, 35.95559229000754)	(180, 35.977167401879704)	(185, 35.79419915854565)	(190, 35.685734330118734)	(195, 35.70864521353166)	(200, 35.45444854781457)	(205, 35.33346199435911)	(210, 35.28449599113155)	(215, 35.000202655138104)	(220, 35.06827919029681)	(225, 34.78269135032359)	(230, 34.78661425040407)	(235, 34.699344307313275)	(240, 34.45253551689329)	(245, 34.29406699482864)	(250, 33.713761474284375)	(255, 33.27877858339812)	(260, 33.187136959152646)	(265, 33.023563334337766)	(270, 32.60637073710044)	(275, 31.33172539926624)	(280, 31.271890965295505)	(285, 30.64497131067452)	(290, 29.162774555248717)	(295, 28.701515501653933)	(300, 22.184592682841085)
ERR4588257_2	(1, 32.16678587100363)	(2, 32.70889264353757)	(3, 32.57729451072666)	(4, 32.55928083505229)	(5, 32.458254295675125)	(6, 36.01265984610547)	(7, 36.063098829033336)	(8, 35.90758726966785)	(9, 36.0806806049361)	(10, 35.79257063288865)	(15, 35.552325521130264)	(20, 35.45717385520647)	(25, 35.512825350097955)	(30, 35.410420532169624)	(35, 35.41952174552254)	(40, 35.44636011857837)	(45, 35.2144891698543)	(50, 34.996099436441305)	(55, 35.234954535047336)	(60, 35.15828783651552)	(65, 35.20689477166563)	(70, 35.219860008814905)	(75, 35.245819684750586)	(80, 35.221295876486735)	(85, 35.04061433230917)	(90, 35.023895267220624)	(95, 35.005415494757315)	(100, 34.88526843579855)	(105, 34.781672568307684)	(110, 34.67183019651649)	(115, 34.46658187613427)	(120, 34.46987704519854)	(125, 34.38412926375298)	(130, 34.27078364581557)	(135, 34.06680433791858)	(140, 33.92897577468845)	(145, 33.6460942790271)	(150, 33.38740036068919)	(155, 33.20424917983583)	(160, 32.78506906611695)	(165, 32.579573093289596)	(170, 32.47507955150121)	(175, 32.210791202485474)	(180, 31.988472960641655)	(185, 31.450979726252786)	(190, 31.12461192468398)	(195, 30.809276707261755)	(200, 30.225407759227714)	(205, 30.052696019048874)	(210, 29.80490896028948)	(215, 29.24115508151027)	(220, 28.92573956372319)	(225, 28.088456180015037)	(230, 26.689348096871676)	(235, 26.428938099522206)	(240, 26.248952653879552)	(245, 25.520310637719923)	(250, 23.741397896661674)	(255, 22.49631356618883)	(260, 21.73651918507389)	(265, 21.264415442435283)	(270, 20.643719767737572)	(275, 18.37450842583394)	(280, 18.20864540006685)	(285, 17.20507672852788)	(290, 16.134074238513463)	(295, 16.66472417570171)	(300, 13.514457036694028)
