Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ERR4588253_1	(2.0, 501.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 6.0)	(17.0, 25.0)	(18.0, 175.0)	(19.0, 695.0)	(20.0, 786.0)	(21.0, 533.0)	(22.0, 560.0)	(23.0, 686.0)	(24.0, 968.0)	(25.0, 1358.0)	(26.0, 1823.0)	(27.0, 2408.0)	(28.0, 3191.0)	(29.0, 4202.0)	(30.0, 5474.0)	(31.0, 6914.0)	(32.0, 8928.0)	(33.0, 12427.0)	(34.0, 17320.0)	(35.0, 27431.0)	(36.0, 53357.0)	(37.0, 83628.0)
ERR4588253_2	(2.0, 494.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 7.0)	(13.0, 16.0)	(14.0, 39.0)	(15.0, 152.0)	(16.0, 368.0)	(17.0, 947.0)	(18.0, 1601.0)	(19.0, 1583.0)	(20.0, 1756.0)	(21.0, 2325.0)	(22.0, 3127.0)	(23.0, 3989.0)	(24.0, 4770.0)	(25.0, 5811.0)	(26.0, 7194.0)	(27.0, 8603.0)	(28.0, 10729.0)	(29.0, 13599.0)	(30.0, 16773.0)	(31.0, 21215.0)	(32.0, 26889.0)	(33.0, 32221.0)	(34.0, 30775.0)	(35.0, 17486.0)	(36.0, 6789.0)	(37.0, 14136.0)
ERR4588254_1	(2.0, 242.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 13.0)	(18.0, 102.0)	(19.0, 358.0)	(20.0, 433.0)	(21.0, 336.0)	(22.0, 352.0)	(23.0, 503.0)	(24.0, 646.0)	(25.0, 1003.0)	(26.0, 1226.0)	(27.0, 1749.0)	(28.0, 2375.0)	(29.0, 3042.0)	(30.0, 3902.0)	(31.0, 5146.0)	(32.0, 6631.0)	(33.0, 9050.0)	(34.0, 12987.0)	(35.0, 20484.0)	(36.0, 39284.0)	(37.0, 52683.0)
ERR4588254_2	(2.0, 234.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 9.0)	(14.0, 27.0)	(15.0, 98.0)	(16.0, 179.0)	(17.0, 414.0)	(18.0, 782.0)	(19.0, 1222.0)	(20.0, 1252.0)	(21.0, 1594.0)	(22.0, 2034.0)	(23.0, 2658.0)	(24.0, 3354.0)	(25.0, 4258.0)	(26.0, 4988.0)	(27.0, 6171.0)	(28.0, 7819.0)	(29.0, 9544.0)	(30.0, 12291.0)	(31.0, 15899.0)	(32.0, 19859.0)	(33.0, 23441.0)	(34.0, 20915.0)	(35.0, 10611.0)	(36.0, 3686.0)	(37.0, 9207.0)
ERR4588255_1	(2.0, 367.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 6.0)	(17.0, 18.0)	(18.0, 118.0)	(19.0, 436.0)	(20.0, 548.0)	(21.0, 419.0)	(22.0, 467.0)	(23.0, 582.0)	(24.0, 824.0)	(25.0, 1144.0)	(26.0, 1421.0)	(27.0, 1930.0)	(28.0, 2563.0)	(29.0, 3482.0)	(30.0, 4487.0)	(31.0, 5823.0)	(32.0, 7678.0)	(33.0, 10372.0)	(34.0, 14722.0)	(35.0, 23120.0)	(36.0, 44697.0)	(37.0, 74048.0)
ERR4588255_2	(2.0, 361.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 7.0)	(13.0, 15.0)	(14.0, 46.0)	(15.0, 95.0)	(16.0, 236.0)	(17.0, 463.0)	(18.0, 958.0)	(19.0, 1573.0)	(20.0, 1531.0)	(21.0, 1885.0)	(22.0, 2433.0)	(23.0, 2977.0)	(24.0, 3783.0)	(25.0, 4638.0)	(26.0, 5651.0)	(27.0, 6656.0)	(28.0, 8217.0)	(29.0, 10422.0)	(30.0, 12919.0)	(31.0, 16496.0)	(32.0, 21358.0)	(33.0, 26331.0)	(34.0, 26864.0)	(35.0, 16716.0)	(36.0, 7268.0)	(37.0, 19375.0)
ERR4588256_1	(2.0, 426.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 6.0)	(17.0, 27.0)	(18.0, 153.0)	(19.0, 509.0)	(20.0, 723.0)	(21.0, 718.0)	(22.0, 927.0)	(23.0, 1318.0)	(24.0, 1885.0)	(25.0, 2684.0)	(26.0, 3642.0)	(27.0, 5003.0)	(28.0, 6693.0)	(29.0, 8699.0)	(30.0, 11417.0)	(31.0, 14885.0)	(32.0, 19513.0)	(33.0, 26748.0)	(34.0, 38019.0)	(35.0, 59232.0)	(36.0, 111278.0)	(37.0, 166060.0)
ERR4588256_2	(2.0, 421.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 7.0)	(13.0, 53.0)	(14.0, 226.0)	(15.0, 933.0)	(16.0, 1807.0)	(17.0, 2839.0)	(18.0, 3951.0)	(19.0, 5260.0)	(20.0, 6476.0)	(21.0, 8034.0)	(22.0, 9916.0)	(23.0, 11639.0)	(24.0, 14059.0)	(25.0, 16846.0)	(26.0, 19950.0)	(27.0, 23219.0)	(28.0, 27662.0)	(29.0, 32973.0)	(30.0, 40036.0)	(31.0, 48840.0)	(32.0, 56578.0)	(33.0, 61157.0)	(34.0, 50080.0)	(35.0, 26338.0)	(36.0, 6542.0)	(37.0, 4726.0)
ERR4588257_1	(2.0, 666.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 12.0)	(17.0, 48.0)	(18.0, 288.0)	(19.0, 875.0)	(20.0, 1130.0)	(21.0, 1042.0)	(22.0, 1198.0)	(23.0, 1673.0)	(24.0, 2249.0)	(25.0, 3126.0)	(26.0, 4216.0)	(27.0, 5622.0)	(28.0, 7575.0)	(29.0, 9902.0)	(30.0, 12850.0)	(31.0, 16692.0)	(32.0, 21868.0)	(33.0, 29185.0)	(34.0, 41708.0)	(35.0, 64871.0)	(36.0, 124978.0)	(37.0, 227062.0)
ERR4588257_2	(2.0, 651.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 13.0)	(13.0, 67.0)	(14.0, 299.0)	(15.0, 1068.0)	(16.0, 2116.0)	(17.0, 3126.0)	(18.0, 4409.0)	(19.0, 5884.0)	(20.0, 6667.0)	(21.0, 8476.0)	(22.0, 10102.0)	(23.0, 12172.0)	(24.0, 14639.0)	(25.0, 17279.0)	(26.0, 20431.0)	(27.0, 24099.0)	(28.0, 29033.0)	(29.0, 34600.0)	(30.0, 42227.0)	(31.0, 52590.0)	(32.0, 64956.0)	(33.0, 77500.0)	(34.0, 77838.0)	(35.0, 50480.0)	(36.0, 13018.0)	(37.0, 5096.0)
