Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR4588253_1	(1.0, 13.888841282626952)	(2.0, 3.2802618725256645)	(3.0, 1.9871805857855318)	(4.0, 1.3881985980907985)	(5.0, 1.1975355190320314)	(6.0, 0.9768804949527841)	(7.0, 0.8097825155529658)	(8.0, 0.6752472193182402)	(9.0, 0.6285454763577782)	('>10', 7.737064902569024)	('>50', 3.034756379715162)	('>100', 10.902072014944558)	('>500', 6.222471679034774)	('>1k', 23.30888275720235)	('>5k', 16.45572332002262)	('>10k+', 7.506555382268762)
ERR4588253_2	(1.0, 17.651973469982348)	(2.0, 3.177432346741161)	(3.0, 1.966614680628631)	(4.0, 1.4876004730158185)	(5.0, 1.178254982947437)	(6.0, 0.93317794649437)	(7.0, 0.8067833210509178)	(8.0, 0.7232343313510086)	(9.0, 0.601552725839346)	('>10', 7.7910504036058885)	('>50', 2.9207869886373374)	('>100', 10.642855918696121)	('>500', 6.1941935594440345)	('>1k', 20.809696824281477)	('>5k', 16.331470976366347)	('>10k+', 6.7833210509177535)
ERR4588254_1	(1.0, 14.285011196692668)	(2.0, 3.2175111351723795)	(3.0, 1.8419174643797525)	(4.0, 1.2845436424932943)	(5.0, 0.9689445579152004)	(6.0, 0.7899205157861062)	(7.0, 0.5684474739769175)	(8.0, 0.5807515318552058)	(9.0, 0.6367349952014174)	('>10', 8.428894849521372)	('>50', 4.242439156433791)	('>100', 11.677781332283386)	('>500', 8.585771587469546)	('>1k', 22.999360188990327)	('>5k', 11.242217683391981)	('>10k+', 8.649752688436646)
ERR4588254_2	(1.0, 17.521593621576397)	(2.0, 3.1055442084799565)	(3.0, 1.769938725791766)	(4.0, 1.3731328592169698)	(5.0, 1.0735290498806507)	(6.0, 0.7640819942417009)	(7.0, 0.6373501980953319)	(8.0, 0.7874597042104485)	(9.0, 0.5702930826586609)	('>10', 8.182813691955607)	('>50', 3.573713610748825)	('>100', 11.691315795949505)	('>500', 8.851539237640575)	('>1k', 24.318970396436747)	('>5k', 8.312621502571547)	('>10k+', 7.466102320545316)
ERR4588255_1	(1.0, 13.094533155353934)	(2.0, 3.1444142236317836)	(3.0, 2.086574264580427)	(4.0, 1.5275449883075565)	(5.0, 1.1115348715838493)	(6.0, 0.9454319178618384)	(7.0, 0.6814737497114526)	(8.0, 0.6182442265423488)	(9.0, 0.6232624426668808)	('>10', 7.290966207332618)	('>50', 3.7752039904854624)	('>100', 10.152854863153246)	('>500', 5.263606893021669)	('>1k', 20.851189819043125)	('>5k', 16.61631723155053)	('>10k+', 12.216847155173278)
ERR4588255_2	(1.0, 16.89031183194998)	(2.0, 3.217680179049951)	(3.0, 2.0143119523871658)	(4.0, 1.5074721238094282)	(5.0, 1.0563344942139967)	(6.0, 0.8490821682708231)	(7.0, 0.8079327960496603)	(8.0, 0.6864919658359846)	(9.0, 0.4742214237682788)	('>10', 7.521302327448638)	('>50', 2.6164978873310116)	('>100', 11.071188413942611)	('>500', 4.272509208426588)	('>1k', 25.052942180113813)	('>5k', 16.108473759747884)	('>10k+', 5.853247287654185)
ERR4588256_1	(1.0, 8.261682009621946)	(2.0, 2.3072697308185313)	(3.0, 1.4351767075627175)	(4.0, 1.0212914717584192)	(5.0, 0.8854105974596728)	(6.0, 0.6629654908358442)	(7.0, 0.6176025037039503)	(8.0, 0.53936175525628)	(9.0, 0.43074029065605696)	('>10', 7.116578715187029)	('>50', 3.4519568510595797)	('>100', 11.446871202410481)	('>500', 8.665787151870287)	('>1k', 17.15615688102412)	('>5k', 12.121073396480831)	('>10k+', 23.880075244294254)
ERR4588256_2	(1.0, 15.312505202177423)	(2.0, 2.591516705232142)	(3.0, 1.5331857302192407)	(4.0, 1.096202826655125)	(5.0, 0.8968553877911138)	(6.0, 0.7166519618451499)	(7.0, 0.6292553811323267)	(8.0, 0.5809791746433387)	(9.0, 0.5093972132975979)	('>10', 7.701927718866008)	('>50', 3.253649847680245)	('>100', 10.941011469760783)	('>500', 7.417056483161592)	('>1k', 15.2074212182251)	('>5k', 11.579214596061327)	('>10k+', 20.033169083251487)
ERR4588257_1	(1.0, 7.384276775194441)	(2.0, 2.1135447223575508)	(3.0, 1.2630476921003804)	(4.0, 0.9031888023937612)	(5.0, 0.7428676071716094)	(6.0, 0.6240087900241519)	(7.0, 0.544193712230365)	(8.0, 0.41877001855441415)	(9.0, 0.3840452769168575)	('>10', 6.753875868550441)	('>50', 3.3213092436916716)	('>100', 12.059850942750822)	('>500', 9.082852196987758)	('>1k', 18.845341874583216)	('>5k', 8.993017044492586)	('>10k+', 26.56580943199997)
ERR4588257_2	(1.0, 14.173741184925662)	(2.0, 2.4041268886977014)	(3.0, 1.3775875115317238)	(4.0, 1.062818957981335)	(5.0, 0.8102439715429878)	(6.0, 0.6519958952245706)	(7.0, 0.590147847929818)	(8.0, 0.5224259637411504)	(9.0, 0.45556787909570556)	('>10', 7.154160576879887)	('>50', 3.014487645938933)	('>100', 12.004222252167274)	('>500', 8.809200501694775)	('>1k', 16.94740151821408)	('>5k', 9.064539646671435)	('>10k+', 20.95733175776297)
