Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR4588253_1	82.26319217124544	56.0	283.406043805378	301	36.36363636363637	0.233396
ERR4588253_2	78.53990642513153	56.0	284.2492116403023	301	45.45454545454545	0.233396
ERR4588254_1	82.06560523660704	56.0	283.8805306740163	301	36.36363636363637	0.162548
ERR4588254_2	78.8462484927529	56.0	284.67200457710953	301	45.45454545454545	0.162548
ERR4588255_1	83.1387938215723	56.0	272.5086413681664	301	36.36363636363637	0.19927399999999998
ERR4588255_2	79.35104429077552	57.0	273.36904212290614	301	45.45454545454545	0.19927399999999998
ERR4588256_1	88.87587188493616	55.0	297.3155973764379	301	36.36363636363637	0.480568
ERR4588256_2	81.57555226315526	55.0	297.71610573321567	301	45.45454545454545	0.480568
ERR4588257_1	90.02587943431496	55.0	297.92288947857605	301	36.36363636363637	0.578838
ERR4588257_2	82.95602569285361	55.0	298.2234131138591	301	45.45454545454545	0.578838
ERR4588258_1	86.1528308925713	55.0	291.63432266809747	301	36.36363636363637	0.672809
ERR4588258_2	81.07001904293844	55.0	292.07527842225653	301	45.45454545454545	0.672809
ERR4588259_1	88.75885274795706	56.0	294.41012401858677	301	36.36363636363637	0.780125
ERR4588259_2	81.2097616595088	56.0	294.91448229450407	301	45.45454545454545	0.780125
ERR4588260_1	87.31633433786675	55.0	295.65980322248765	301	36.36363636363637	0.576387
ERR4588260_2	83.7159755511488	56.0	296.0401475050617	301	45.45454545454545	0.576387
ERR4588261_1	86.87938307293258	55.0	295.8734956726025	301	45.45454545454545	0.458012
ERR4588261_2	84.15128861252543	56.0	296.9232956778425	301	45.45454545454545	0.458012
ERR4588262_1	88.09556137059346	56.0	297.99694196208156	301	45.45454545454545	0.32406399999999996
ERR4588262_2	85.28130245877358	56.0	298.5818773452158	301	45.45454545454545	0.32406399999999996
ERR4588263_1	90.88423488836449	55.0	298.51416054032796	301	45.45454545454545	0.264432
ERR4588263_2	88.02111696012585	56.0	298.92212742784534	301	45.45454545454545	0.264432
ERR4588264_1	88.1532180138578	56.0	295.7124910402223	301	45.45454545454545	0.472947
ERR4588264_2	85.44678367766367	56.0	296.6264042271121	301	36.36363636363637	0.472947
ERR4588265_1	85.61979975432823	55.0	301.0	301	36.36363636363637	0.345176
ERR4588265_2	79.09588152131087	55.0	301.0	301	63.63636363636363	0.345176
ERR4588266_1	87.24023475081778	55.0	301.0	301	36.36363636363637	0.37418399999999996
ERR4588266_2	81.82231201761701	55.0	301.0	301	63.63636363636363	0.37418399999999996
ERR4588267_1	88.89012520824254	56.0	301.0	301	36.36363636363637	0.32354099999999997
ERR4588267_2	82.11262251152095	56.0	301.0	301	54.54545454545454	0.32354099999999997
ERR4588268_1	90.7096384358552	56.0	295.5266065087452	301	36.36363636363637	1.450848
ERR4588268_2	85.7623892616688	56.0	295.9712912724145	301	45.45454545454545	1.450848
ERR4588269_1	89.44311870420037	55.0	297.1329242843402	301	36.36363636363637	0.520883
ERR4588269_2	82.68766690408403	55.0	297.59082749868975	301	45.45454545454545	0.520883
ERR4588270_1	87.42823458753656	55.0	294.2309895340948	301	36.36363636363637	0.449555
ERR4588270_2	81.08529545884264	55.0	294.6065153318281	301	45.45454545454545	0.449555
ERR4588271_1	89.8775592747811	55.0	298.8150153750594	301	36.36363636363637	0.553819
ERR4588271_2	85.69659040227944	55.0	299.05530326695185	301	45.45454545454545	0.553819
ERR4588272_1	88.70771791461527	55.0	295.0782439274798	301	36.36363636363637	0.642855
ERR4588272_2	84.19100058602635	55.0	295.5648458828196	301	45.45454545454545	0.642855
ERR4588273_1	85.30590510355651	55.0	291.1454660743813	301	45.45454545454545	0.285448
ERR4588273_2	82.42306829965528	56.0	292.8275482749923	301	45.45454545454545	0.285448
ERR4588274_1	89.3292160741901	55.0	295.66708410180286	301	36.36363636363637	0.40285699999999997
ERR4588274_2	86.82510171102898	56.0	296.4863909526209	301	45.45454545454545	0.40285699999999997
ERR4588275_1	89.43295859764497	56.0	298.4899629379203	301	45.45454545454545	0.356429
