Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR4588253_1	ERR4588253_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48348.0	14.2 Mbp	0.0	250-301	56.0	18.788781335318937	295.13953007363284	300	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
ERR4588253_2	ERR4588253_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48348.0	13 Mbp	0.0	250-301	56.0	18.470257301232728	270.10494746421773	264	pass	fail	warn	pass	fail	warn	pass	warn	fail	fail	pass
ERR4588254_1	ERR4588254_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30559.0	9 Mbp	0.0	250-301	56.0	19.876304852907488	294.9028436794398	300	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
ERR4588254_2	ERR4588254_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30559.0	8.2 Mbp	0.0	250-301	56.0	19.238194967112797	269.47976046336595	262	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588255_1	ERR4588255_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42752.0	12.6 Mbp	0.0	250-301	56.0	16.50449101796407	294.938997005988	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588255_2	ERR4588255_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42752.0	11.5 Mbp	0.0	250-301	56.0	16.27994011976048	269.9647735778443	264	pass	warn	warn	pass	fail	warn	pass	warn	fail	fail	pass
ERR4588256_1	ERR4588256_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87370.0	25.9 Mbp	0.0	250-301	54.0	15.31189195375987	296.81352867116857	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588256_2	ERR4588256_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87370.0	23.6 Mbp	0.0	250-301	54.0	15.590019457479684	270.2368318644844	264	pass	warn	warn	pass	fail	warn	pass	warn	fail	fail	pass
ERR4588257_1	ERR4588257_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145190.0	43.2 Mbp	0.0	250-301	54.0	11.71774915627798	297.4071630277567	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588257_2	ERR4588257_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145190.0	39.5 Mbp	0.0	250-301	54.0	12.554583649011638	271.7063020869206	266	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588258_1	ERR4588258_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	169139.0	50.2 Mbp	0.0	250-301	54.0	15.321717640520518	296.7042728170321	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588258_2	ERR4588258_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	169139.0	45.9 Mbp	0.0	250-301	55.0	15.594865761296923	271.2618851950171	266	pass	warn	warn	pass	fail	warn	pass	warn	fail	fail	pass
ERR4588259_1	ERR4588259_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	148053.0	44 Mbp	0.0	250-301	55.0	14.17397823752305	297.03104969166446	300	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588259_2	ERR4588259_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	148053.0	40 Mbp	0.0	250-301	55.0	14.827798153363997	270.3038101220509	264	pass	warn	warn	pass	fail	warn	pass	warn	fail	fail	pass
