Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR4588253_1	81.21121866468107	56.0	295.13953007363284	300	27.27272727272727	48348.0
ERR4588253_2	81.52974269876728	56.0	270.10494746421773	264	36.36363636363637	48348.0
ERR4588254_1	80.12369514709252	56.0	294.9028436794398	300	27.27272727272727	30559.0
ERR4588254_2	80.7618050328872	56.0	269.47976046336595	262	45.45454545454545	30559.0
ERR4588255_1	83.49550898203593	56.0	294.938997005988	300	36.36363636363637	42752.0
ERR4588255_2	83.72005988023952	56.0	269.9647735778443	264	27.27272727272727	42752.0
ERR4588256_1	84.68810804624013	54.0	296.81352867116857	300	36.36363636363637	87370.0
ERR4588256_2	84.40998054252032	54.0	270.2368318644844	264	27.27272727272727	87370.0
ERR4588257_1	88.28225084372203	54.0	297.4071630277567	300	36.36363636363637	145190.0
ERR4588257_2	87.44541635098837	54.0	271.7063020869206	266	36.36363636363637	145190.0
ERR4588258_1	84.67828235947948	54.0	296.7042728170321	300	36.36363636363637	169139.0
ERR4588258_2	84.40513423870308	55.0	271.2618851950171	266	27.27272727272727	169139.0
ERR4588259_1	85.82602176247696	55.0	297.03104969166446	300	36.36363636363637	148053.0
ERR4588259_2	85.172201846636	55.0	270.3038101220509	264	27.27272727272727	148053.0
ERR4588260_1	85.41018315392071	55.0	296.328541911127	300	36.36363636363637	156808.0
ERR4588260_2	85.53836538952095	55.0	271.4624508953625	266	36.36363636363637	156808.0
ERR4588261_1	74.80884842117551	54.0	291.5708865931244	298	36.36363636363637	17133.0
ERR4588261_2	76.08708340629195	54.0	270.22191093211933	260	45.45454545454545	17133.0
ERR4588262_1	75.69861134921996	53.0	292.08297617006684	298	36.36363636363637	11666.0
ERR4588262_2	76.06720384021943	53.0	270.26590090862334	260	45.45454545454545	11666.0
ERR4588263_1	83.21615557217652	52.0	292.62976813762157	298	36.36363636363637	13370.0
ERR4588263_2	83.58264771877337	53.0	269.37187733732236	260	54.54545454545454	13370.0
ERR4588264_1	78.23784030071762	54.0	292.05809317689943	298	36.36363636363637	17558.0
ERR4588264_2	78.55678323271444	54.0	271.9771044538102	262	36.36363636363637	17558.0
ERR4588265_1	83.07549736185223	54.0	297.4861814866299	300	36.36363636363637	66903.0
ERR4588265_2	82.15177196837212	55.0	262.20061880633153	258	45.45454545454545	66903.0
ERR4588266_1	84.91517708858736	54.0	297.6824584496906	300	36.36363636363637	81287.0
ERR4588266_2	83.44999815468648	55.0	262.26368299974166	258	36.36363636363637	81287.0
ERR4588267_1	85.75199663724254	55.0	297.6737452711223	300	36.36363636363637	59475.0
ERR4588267_2	84.22698612862547	56.0	261.90779319041616	258	54.54545454545454	59475.0
ERR4588268_1	88.67084259719867	55.0	296.80099356013307	300	36.36363636363637	295503.0
ERR4588268_2	88.18624514810341	55.0	270.74822929039635	264	36.36363636363637	295503.0
ERR4588269_1	86.75270058547044	54.0	296.9750803991094	300	36.36363636363637	121270.0
ERR4588269_2	85.72359198482724	54.0	271.08948627030594	266	36.36363636363637	121270.0
ERR4588270_1	84.31771269747195	54.0	296.96842492489424	300	36.36363636363637	97862.0
ERR4588270_2	83.52067196664692	54.0	270.6106762584047	264	36.36363636363637	97862.0
ERR4588271_1	87.7236466643061	54.0	297.1702457075809	300	36.36363636363637	144033.0
ERR4588271_2	87.23695264279714	54.0	271.6687009227052	266	27.27272727272727	144033.0
ERR4588272_1	86.81327395839688	54.0	296.959690111633	300	36.36363636363637	163930.0
ERR4588272_2	85.9061794668456	54.0	270.90276337461114	266	27.27272727272727	163930.0
ERR4588273_1	74.9069788547055	53.0	292.3827933569289	298	36.36363636363637	11019.0
ERR4588273_2	75.22461203375987	53.0	270.9861148924585	260	45.45454545454545	11019.0
ERR4588274_1	82.55894406301559	53.0	292.94108254829956	298	36.36363636363637	18789.0
ERR4588274_2	81.97881739315557	53.0	270.45856618234075	260	45.45454545454545	18789.0
ERR4588275_1	79.76382525650126	53.0	292.50629154029815	298	36.36363636363637	15497.0
ERR4588275_2	80.06065690133573	53.0	270.44021423501323	260	45.45454545454545	15497.0
ERR4588276_1	78.34246802856669	54.0	291.6686596910812	298	36.36363636363637	12042.0
ERR4588276_2	78.57498754359742	54.0	271.89968443780106	260	45.45454545454545	12042.0
ERR4588277_1	85.61986513394575	56.0	296.7273731238392	300	45.45454545454545	59763.0
ERR4588277_2	84.30132356140086	56.0	261.42241855328547	256	54.54545454545454	59763.0
ERR4588278_1	88.12832835433173	55.0	297.2293325859134	300	45.45454545454545	146281.0
ERR4588278_2	87.09606852564585	55.0	262.66461126188636	258	45.45454545454545	146281.0
ERR4588279_1	86.83147073148258	55.0	297.60199555081675	300	36.36363636363637	75969.0
ERR4588279_2	85.66520554436678	55.0	262.32028853874607	258	54.54545454545454	75969.0
ERR4588280_1	87.6181018998525	55.0	296.77781509659894	300	36.36363636363637	205437.0
ERR4588280_2	86.83051251721939	55.0	271.50422757341664	266	36.36363636363637	205437.0
ERR4588281_1	82.60944259632353	53.0	296.57945618391665	300	36.36363636363637	64029.0
ERR4588281_2	81.74889503193866	53.0	270.826188133502	264	45.45454545454545	64029.0
ERR4588282_1	84.53259917407082	54.0	297.00398662781345	300	36.36363636363637	55937.0
ERR4588282_2	83.25616318358153	55.0	271.94104081377264	266	36.36363636363637	55937.0
ERR4588283_1	85.6631504204419	55.0	296.59437692408704	300	27.27272727272727	205617.0
ERR4588283_2	85.15541030167739	55.0	270.7497337282423	264	27.27272727272727	205617.0
ERR4588284_1	90.62818003114131	54.0	297.48807271211444	300	36.36363636363637	244691.0
ERR4588284_2	89.71560049204916	54.0	272.269817851903	268	36.36363636363637	244691.0
ERR4588285_1	86.85579799526462	54.0	297.3830689180951	300	36.36363636363637	70533.0
ERR4588285_2	85.74000822310124	54.0	271.57183162491316	266	36.36363636363637	70533.0
ERR4588286_1	79.9140154772141	58.0	294.3841788478074	300	45.45454545454545	5815.0
ERR4588286_2	80.01719690455718	58.0	269.6	260	54.54545454545454	5815.0
ERR4588287_1	86.99353618161753	59.0	295.46933627621	300	27.27272727272727	6343.0
ERR4588287_2	86.29985811130379	59.0	265.2643859372537	256	54.54545454545454	6343.0
