.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR4588253_1	1	0.5	0.5	1	0.25	1	1	0.5	0.25	0.25	1
ERR4588253_2	1	0.25	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR4588254_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR4588254_2	1	0.25	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR4588255_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588255_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588256_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588256_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588257_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588257_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588258_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588258_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588259_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588259_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588260_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588260_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588261_1	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588261_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588262_1	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588262_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588263_1	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR4588263_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
