Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR4588253_1	8.06887701067793	58.096911249828686
ERR4588253_2	8.02339924494449	57.77607495732567
ERR4588254_1	9.43029000695735	57.103100863944235
ERR4588254_2	8.657055544302459	58.39505411760563
ERR4588255_1	7.534696747370995	62.977653460503795
ERR4588255_2	7.2664465639520675	63.235204206407424
ERR4588256_1	5.02948538458275	59.58805311611727
ERR4588256_2	4.838572822536167	59.25016818487612
ERR4588257_1	6.319090906929242	57.77682136054843
ERR4588257_2	6.3511916509531545	56.345365960371055
ERR4588258_1	4.593215985125564	52.9424716517229
ERR4588258_2	4.862529714213486	52.411795166623854
ERR4588259_1	4.505222495171301	55.54840887355368
ERR4588259_2	4.597295928891556	54.9569636394322
ERR4588260_1	4.796999645502968	51.86810904057752
ERR4588260_2	4.815288982819313	53.080172777789045
ERR4588261_1	4.544327824542698	58.36760056910208
ERR4588261_2	6.251973690912363	56.53669452188294
ERR4588262_1	5.535500555184365	61.30677421060472
ERR4588262_2	6.406971769716255	60.63142007027525
ERR4588263_1	11.135246817065	62.331360285905774
ERR4588263_2	11.722693768148314	61.031941031941074
ERR4588264_1	3.8813304818674066	62.36324989111995
ERR4588264_2	3.5631406860419013	61.89685320367397
ERR4588265_1	3.711318938247834	58.33035345894651
ERR4588265_2	3.185944161738413	55.84032457708706
ERR4588266_1	4.785295894984354	60.34211455273219
ERR4588266_2	4.666830205161036	57.74304911539635
ERR4588267_1	5.185630542612355	62.74863470113736
ERR4588267_2	4.890024550328173	60.35658814856162
ERR4588268_1	4.708095760286517	58.39149735539584
ERR4588268_2	4.5440372403246245	58.55853003566112
ERR4588269_1	4.928735266430665	58.180661071556436
ERR4588269_2	4.984421197777866	56.79169484109623
ERR4588270_1	4.053581432201475	55.7392981055225
ERR4588270_2	3.9728007378589094	55.0456983506501
ERR4588271_1	4.695438308836446	61.061310534637244
ERR4588271_2	4.63781694677051	61.34192188323473
ERR4588272_1	5.962482689160267	56.45515967938225
ERR4588272_2	6.322967812329515	55.115195769860186
ERR4588273_1	3.9522235136141544	61.51702192482598
ERR4588273_2	4.0137213527267805	61.618013789056825
ERR4588274_1	5.940488450787112	66.21229954391642
ERR4588274_2	5.390245696630867	65.18500809180519
ERR4588275_1	6.403365951720357	65.48404246482038
ERR4588275_2	6.7335648186605965	64.41577644498352
ERR4588276_1	6.388459343912543	64.24720290418337
ERR4588276_2	5.718644824649174	63.55464776852533
ERR4588277_1	4.989589748101229	63.181431629571
ERR4588277_2	5.2520453945632095	60.87431453623063
ERR4588278_1	4.453759882331311	63.10056995771285
ERR4588278_2	4.594594594594595	61.17006802721092
ERR4588279_1	4.909976433621367	65.3467399842891
ERR4588279_2	5.036292223095051	63.23016496465036
ERR4588280_1	4.390821261699845	60.671949000313035
ERR4588280_2	4.561913961465638	59.80024676187814
ERR4588281_1	5.846318521170958	55.035634666697455
ERR4588281_2	5.772777501838525	54.46694311929428
ERR4588282_1	5.890839292901148	60.339927556422424
ERR4588282_2	6.131698709018297	58.98083650660972
ERR4588283_1	3.9076569246457944	53.71896403335573
ERR4588283_2	3.937743640926613	53.59659210079049
ERR4588284_1	7.428505291338107	60.85248497474682
ERR4588284_2	7.6266054753481844	60.063942243983604
ERR4588285_1	7.594329214474846	62.258384819064425
ERR4588285_2	7.540269196822595	61.67089585172113
ERR4588286_1	20.62800250644016	55.04560328622153
ERR4588286_2	19.976328065167444	53.98593608577597
ERR4588287_1	23.132477992445043	59.962058808846294
ERR4588287_2	22.887857154743482	58.48434925864912
