Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
ERR4588253_1	(1, 33.90792932879802)	(2, 33.92565319777221)	(3, 33.921921529049705)	(4, 33.93538419367298)	(5, 33.92861859729127)	(6, 37.8038288540849)	(7, 37.775227700320215)	(8, 37.72415554641847)	(9, 37.734260332174586)	(10, 37.73237892323603)	(15, 37.68595671513475)	(20, 37.67472059208313)	(25, 37.68111115264332)	(30, 37.60886131150401)	(35, 37.63009631318606)	(40, 37.535102605315295)	(45, 37.57624067082819)	(50, 37.58411143921554)	(55, 37.64329607894442)	(60, 37.51797555414346)	(65, 37.61265278660337)	(70, 37.5735431540388)	(75, 37.59899201335676)	(80, 37.58020658119339)	(85, 37.56851194258588)	(90, 37.58639404926551)	(95, 37.54274909978943)	(100, 37.55067469068889)	(105, 37.50215676746533)	(110, 37.51196501326954)	(115, 37.4651229145641)	(120, 37.473946847082566)	(125, 37.45638370774617)	(130, 37.3928319565407)	(135, 37.33608193473629)	(140, 37.32602823359374)	(145, 37.30331177811834)	(150, 37.25426805716493)	(155, 37.23830723034177)	(160, 37.113339313971025)	(165, 37.17081199616242)	(170, 37.11848390834673)	(175, 37.0686552286971)	(180, 36.987117955618686)	(185, 37.024640227264236)	(190, 36.972010615631895)	(195, 36.88647379110131)	(200, 36.67668797268842)	(205, 36.55907748663701)	(210, 36.531778367535104)	(215, 36.348780822088486)	(220, 36.49213172354503)	(225, 36.27817939421124)	(230, 36.075683723943726)	(235, 35.9295231687412)	(240, 35.73071306644738)	(245, 35.60480195367498)	(250, 34.94416861935394)	(255, 34.43562405519409)	(260, 34.63808411872688)	(265, 34.26563175920406)	(270, 33.87733188197505)	(275, 32.45644001788085)	(280, 32.265623787080806)	(285, 31.502261809308994)	(290, 29.69348432910768)	(295, 29.383017806133164)	(300, 21.81927584464796)
ERR4588253_2	(1, 33.46019138040594)	(2, 33.688670429484546)	(3, 33.725501189897706)	(4, 33.814830735493835)	(5, 33.7481777744552)	(6, 37.41348010814986)	(7, 36.9422619270113)	(8, 37.11631717315192)	(9, 37.388915884822886)	(10, 37.370140420388985)	(15, 37.341291319353594)	(20, 37.32000523305798)	(25, 37.34744888423729)	(30, 37.1887863043397)	(35, 37.34339949413773)	(40, 37.06813690676435)	(45, 37.096998467461596)	(50, 37.089903936007175)	(55, 37.225898653110555)	(60, 37.01966757622198)	(65, 37.260607533111546)	(70, 37.15438517798626)	(75, 37.195146961711465)	(80, 37.18744066086046)	(85, 37.14150687150351)	(90, 37.13784497688732)	(95, 37.054974519991525)	(100, 37.003146064615805)	(105, 36.88208176030103)	(110, 36.90294297212774)	(115, 36.79502236509301)	(120, 36.77897182870457)	(125, 36.66719246439652)	(130, 36.40098057538718)	(135, 36.282262425397775)	(140, 36.078494623655914)	(145, 36.017752526196446)	(150, 35.816938910277976)	(155, 35.80236484381815)	(160, 35.29035871366451)	(165, 35.29033753223938)	(170, 35.0273153166623)	(175, 34.815813802813395)	(180, 34.48032245604854)	(185, 34.54250115251872)	(190, 34.166100998018905)	(195, 33.71909069387856)	(200, 32.84546904397015)	(205, 32.60596942398983)	(210, 32.42079268368657)	(215, 31.963029691374174)	(220, 31.801487683624266)	(225, 30.750880275109335)	(230, 28.90584233543902)	(235, 28.671567051670216)	(240, 28.385834610448672)	(245, 27.53595983005021)	(250, 25.546627074659224)	(255, 23.90165596631385)	(260, 23.983490471508567)	(265, 22.870088918191932)	(270, 21.918280176809162)	(275, 18.973525577191197)	(280, 18.91955596750259)	(285, 17.685368929263547)	(290, 16.33310818804045)	(295, 17.126638427301646)	(300, 13.889673918254388)
ERR4588254_1	(1, 33.87285665219421)	(2, 33.9218575240645)	(3, 33.92301121101903)	(4, 33.93746312164792)	(5, 33.946366766770296)	(6, 37.81255669358603)	(7, 37.735752846788614)	(8, 37.71253819936767)	(9, 37.728707430272394)	(10, 37.73323234902993)	(15, 37.679496957260746)	(20, 37.67062677786682)	(25, 37.67884877894126)	(30, 37.594351337308126)	(35, 37.62360566803759)	(40, 37.52818959215845)	(45, 37.56282133704392)	(50, 37.59588547675453)	(55, 37.63553179684541)	(60, 37.531067644805326)	(65, 37.59659177976028)	(70, 37.56287065495953)	(75, 37.597218821830225)	(80, 37.58853182326573)	(85, 37.55706170904191)	(90, 37.5796792574131)	(95, 37.54272957049379)	(100, 37.56936476763336)	(105, 37.50935543245647)	(110, 37.488608442170346)	(115, 37.42226351619125)	(120, 37.435871738192326)	(125, 37.42400373407075)	(130, 37.378715796704505)	(135, 37.30560022545333)	(140, 37.31149019366089)	(145, 37.25107398568019)	(150, 37.20434878334463)	(155, 37.20604144466266)	(160, 37.13594131168041)	(165, 37.106630617618826)	(170, 37.07351363728434)	(175, 37.04350192427938)	(180, 37.020616650080584)	(185, 36.97164924393874)	(190, 36.90451875401809)	(195, 36.8373495143066)	(200, 36.65725105461078)	(205, 36.51616658887353)	(210, 36.39786171608733)	(215, 36.22191829078196)	(220, 36.306568970224305)	(225, 36.11748408176206)	(230, 35.82448986781037)	(235, 35.64992029872566)	(240, 35.61751138275106)	(245, 35.40113431205911)	(250, 34.76904194892292)	(255, 34.37220291956348)	(260, 34.2377700910298)	(265, 34.032104403355376)	(270, 33.56488838084643)	(275, 31.931473860793204)	(280, 31.85229445051707)	(285, 31.10081062108237)	(290, 29.229043558615825)	(295, 28.64364002403274)	(300, 21.336519494966602)
ERR4588254_2	(1, 33.4320689746277)	(2, 33.69492465807713)	(3, 33.7331636562189)	(4, 33.819329100212244)	(5, 33.76961487991968)	(6, 37.420576138935616)	(7, 36.909299069124344)	(8, 37.115280627746614)	(9, 37.39619019101885)	(10, 37.38047715083356)	(15, 37.351546909263845)	(20, 37.31785748883742)	(25, 37.35283093642392)	(30, 37.18178935965971)	(35, 37.352188042166816)	(40, 37.092479898546)	(45, 37.07338505843292)	(50, 37.10448528828964)	(55, 37.21172533443711)	(60, 37.12388660402117)	(65, 37.26318505667157)	(70, 37.15492518648337)	(75, 37.22768320284635)	(80, 37.206421897154534)	(85, 37.14743238601837)	(90, 37.122540929466574)	(95, 37.06930752362416)	(100, 37.022651014099644)	(105, 36.920175430871254)	(110, 36.8435336286537)	(115, 36.693799152788664)	(120, 36.74069168376648)	(125, 36.61624320777814)	(130, 36.41302345243023)	(135, 36.250762225999345)	(140, 36.07503016318946)	(145, 35.951745942280425)	(150, 35.745272965856145)	(155, 35.71037701785132)	(160, 35.29747157614774)	(165, 35.2079595593092)	(170, 35.0145012285445)	(175, 34.80050022457266)	(180, 34.67207284960678)	(185, 34.50822640445975)	(190, 34.12792010497671)	(195, 33.697212657090766)	(200, 33.00081022289936)	(205, 32.71339421747439)	(210, 32.25619952619574)	(215, 31.81227487692538)	(220, 31.57166861883416)	(225, 30.529963275766413)	(230, 28.397069106729255)	(235, 28.18184572299184)	(240, 28.273138468854853)	(245, 27.056819522849167)	(250, 25.24499270211477)	(255, 23.83687262682857)	(260, 23.11817311998344)	(265, 22.60387378704027)	(270, 21.5707150143886)	(275, 18.75426356234372)	(280, 18.701368972195713)	(285, 17.701816101474446)	(290, 16.414865223458218)	(295, 16.75558514780902)	(300, 13.425436871847285)
ERR4588255_1	(1, 33.85932532404011)	(2, 33.908603876253366)	(3, 33.90722823428711)	(4, 33.92865767913916)	(5, 33.91454970652971)	(6, 37.804964539007095)	(7, 37.74257917583761)	(8, 37.70549033993642)	(9, 37.711787723159695)	(10, 37.69315388848129)	(15, 37.64665871851308)	(20, 37.638658596233796)	(25, 37.657920640743455)	(30, 37.58031303497187)	(35, 37.612035338713625)	(40, 37.504580887747615)	(45, 37.55024608706285)	(50, 37.58860968451944)	(55, 37.6254340914649)	(60, 37.51800868182929)	(65, 37.579221692345314)	(70, 37.53727836879433)	(75, 37.5887976889215)	(80, 37.57230679872829)	(85, 37.55601919784788)	(90, 37.576863230618734)	(95, 37.53695738566887)	(100, 37.567554719980436)	(105, 37.505083761310836)	(110, 37.507436109073126)	(115, 37.462788884812916)	(120, 37.45806431890438)	(125, 37.41605221325507)	(130, 37.375110051357304)	(135, 37.284550012227925)	(140, 37.32601033259966)	(145, 37.25400311812179)	(150, 37.21235785033015)	(155, 37.209057838102225)	(160, 37.119015957446805)	(165, 37.08414954756664)	(170, 37.100194118366346)	(175, 37.07094491318171)	(180, 37.06094552457813)	(185, 37.02107636341403)	(190, 36.94193415260455)	(195, 36.88038028857911)	(200, 36.70615829053558)	(205, 36.60177610662753)	(210, 36.552818537539736)	(215, 36.35786255808266)	(220, 36.45359653949621)	(225, 36.24365370506236)	(230, 36.03324926632428)	(235, 35.931384507214474)	(240, 35.77858431156762)	(245, 35.54552152115432)	(250, 34.923291579452645)	(255, 34.50328564577227)	(260, 34.45245921693084)	(265, 34.19656151955749)	(270, 33.73563531296789)	(275, 32.22524231133016)	(280, 32.17498016324795)	(285, 31.45763576735346)	(290, 29.53547356292878)	(295, 29.04841003342517)	(300, 21.791142985480423)
ERR4588255_2	(1, 33.419586084617265)	(2, 33.665413303986305)	(3, 33.70084372707263)	(4, 33.78812820983126)	(5, 33.7341113352898)	(6, 37.38750305698215)	(7, 36.889749938860355)	(8, 37.06816305942773)	(9, 37.338797688921495)	(10, 37.32221508926388)	(15, 37.294955979457086)	(20, 37.25762105649303)	(25, 37.29619252873563)	(30, 37.13211206896552)	(35, 37.307825874296896)	(40, 37.03858370017119)	(45, 37.05472915138175)	(50, 37.08327372218146)	(55, 37.24592657128883)	(60, 37.12181615309366)	(65, 37.21664679628272)	(70, 37.11463071655662)	(75, 37.19941000244559)	(80, 37.18799828809)	(85, 37.12521093176816)	(90, 37.0991654438738)	(95, 37.03313921496699)	(100, 37.025920151626316)	(105, 36.938320799706524)	(110, 36.90135118610907)	(115, 36.78661500366837)	(120, 36.78097640009783)	(125, 36.639853876253355)	(130, 36.41825629738322)	(135, 36.20518464172169)	(140, 36.12614025434091)	(145, 35.95719613597457)	(150, 35.69472670579604)	(155, 35.62904133039863)	(160, 35.26326118855466)	(165, 35.15208944729763)	(170, 35.11560283687944)	(175, 34.92753270970898)	(180, 34.843312851552945)	(185, 34.71616226461238)	(190, 34.34209311567621)	(195, 33.88331957691368)	(200, 33.28018769870384)	(205, 33.15053955734898)	(210, 33.03070738566887)	(215, 32.510567987282954)	(220, 32.20293164587919)	(225, 31.20193354120812)	(230, 29.403569026656886)	(235, 29.22188187820983)	(240, 29.05874144044999)	(245, 27.738106810956225)	(250, 25.84732373354574)	(255, 24.345015622204812)	(260, 23.883776602001603)	(265, 23.135432477994716)	(270, 22.014486180427152)	(275, 19.083094265851074)	(280, 19.1065391682943)	(285, 18.02747539846779)	(290, 16.70079057357858)	(295, 17.073941253431258)	(300, 13.609885393318418)
ERR4588256_1	(1, 33.889249501506086)	(2, 33.93385940350431)	(3, 33.936747334800025)	(4, 33.94796572058886)	(5, 33.95091122868901)	(6, 37.818784583962135)	(7, 37.80304793420486)	(8, 37.70832803020661)	(9, 37.75950168790948)	(10, 37.756797396316294)	(15, 37.73086419753086)	(20, 37.729863573277086)	(25, 37.75328945374764)	(30, 37.725924107711045)	(35, 37.71110929289624)	(40, 37.684079710540196)	(45, 37.66739819511871)	(50, 37.66133020600375)	(55, 37.69426413813585)	(60, 37.637052188827674)	(65, 37.660012000218195)	(70, 37.65166093928981)	(75, 37.67018066995157)	(80, 37.66404055831318)	(85, 37.65903319454293)	(90, 37.651690030727835)	(95, 37.65761256265266)	(100, 37.651543967466075)	(105, 37.63664733298181)	(110, 37.609783208179536)	(115, 37.58092631987248)	(120, 37.580652981569365)	(125, 37.55528282332407)	(130, 37.55676588059176)	(135, 37.47647896628423)	(140, 37.50029515688164)	(145, 37.4830833287878)	(150, 37.436047322072525)	(155, 37.40984987605835)	(160, 37.3678109298957)	(165, 37.2946095989624)	(170, 37.30140608617127)	(175, 37.26321205840106)	(180, 37.260908380152365)	(185, 37.18727249586356)	(190, 37.1594689600417)	(195, 37.080438432213924)	(200, 36.93906616483936)	(205, 36.832924234986095)	(210, 36.793454426444114)	(215, 36.67063946617211)	(220, 36.71218446395996)	(225, 36.49505566767881)	(230, 36.38456941641363)	(235, 36.33311211719001)	(240, 36.10413401455784)	(245, 35.91836518239726)	(250, 35.49501063806373)	(255, 35.093074036330044)	(260, 34.961427986212)	(265, 34.80650126381343)	(270, 34.43028206445881)	(275, 33.08111367690308)	(280, 32.98338141938363)	(285, 32.25060972439029)	(290, 30.72260243281379)	(295, 30.203308665204805)	(300, 22.7538366556003)
ERR4588256_2	(1, 33.34198803614611)	(2, 33.604114014194195)	(3, 33.53791281053595)	(4, 33.52694594447172)	(5, 33.49838784947605)	(6, 37.36201567301224)	(7, 37.33851827608987)	(8, 37.251943974738936)	(9, 37.37084613659642)	(10, 37.24324684691237)	(15, 37.18549488778584)	(20, 37.14046982672412)	(25, 37.18871858276211)	(30, 37.110663830251454)	(35, 37.18439607992873)	(40, 37.011477784444565)	(45, 36.92078583246968)	(50, 36.833840009212295)	(55, 37.01546149323927)	(60, 36.92663381758456)	(65, 37.018437304920695)	(70, 36.93618550640314)	(75, 37.02952780959654)	(80, 37.00031455117366)	(85, 36.92983326969581)	(90, 36.8456796184173)	(95, 36.842992902901265)	(100, 36.794902937629175)	(105, 36.75110456553755)	(110, 36.61006806184355)	(115, 36.503230967835776)	(120, 36.45370279459627)	(125, 36.3105389794966)	(130, 36.1854560992018)	(135, 35.99717691836821)	(140, 35.836882488772524)	(145, 35.67731655727074)	(150, 35.470704921907675)	(155, 35.34034194561114)	(160, 34.99681630575101)	(165, 34.759303502487924)	(170, 34.70110911107474)	(175, 34.4613077813536)	(180, 34.29220410068062)	(185, 33.982435438220094)	(190, 33.71664575719559)	(195, 33.10662799929696)	(200, 32.46603635217609)	(205, 32.26262295678103)	(210, 32.02653684612447)	(215, 31.46701333963648)	(220, 31.171438268574583)	(225, 30.138517670018246)	(230, 28.46069443686855)	(235, 28.339487990690742)	(240, 27.93697461165961)	(245, 26.873407395285973)	(250, 25.13186492805828)	(255, 23.8772819691071)	(260, 22.90409575421298)	(265, 22.372874197577932)	(270, 21.63611411909352)	(275, 18.97825527322616)	(280, 18.69352230311109)	(285, 17.704521964599998)	(290, 16.61720484912622)	(295, 16.933989719791192)	(300, 13.318007762350481)
ERR4588257_1	(1, 33.84817299209846)	(2, 33.92246600293424)	(3, 33.90683650734394)	(4, 33.937498662469)	(5, 33.9122698554991)	(6, 37.76817793799087)	(7, 37.791718483608406)	(8, 37.62825673937287)	(9, 37.72248312333106)	(10, 37.69748972181733)	(15, 37.67927457074172)	(20, 37.71059395887776)	(25, 37.72570984256369)	(30, 37.71426200389489)	(35, 37.66491198451555)	(40, 37.697208661969654)	(45, 37.65848660447841)	(50, 37.623872966655654)	(55, 37.65878526028948)	(60, 37.63161328828133)	(65, 37.630432932034395)	(70, 37.658183668568135)	(75, 37.64713958592418)	(80, 37.644695649279164)	(85, 37.62378593797185)	(90, 37.62766323228337)	(95, 37.64382108234197)	(100, 37.62717054530842)	(105, 37.61813050022471)	(110, 37.59149116278407)	(115, 37.55032231524832)	(120, 37.55831563829357)	(125, 37.5625144156119)	(130, 37.56417509410274)	(135, 37.50440303316364)	(140, 37.514247261330965)	(145, 37.49742694702902)	(150, 37.46472223345088)	(155, 37.45018368759081)	(160, 37.39361456755542)	(165, 37.317812583967225)	(170, 37.31494111296847)	(175, 37.253724280765)	(180, 37.26124917073078)	(185, 37.142588175988166)	(190, 37.097876833011924)	(195, 37.098718585855224)	(200, 36.95901757456289)	(205, 36.87044425051896)	(210, 36.82371079845251)	(215, 36.67359059899989)	(220, 36.709386019769305)	(225, 36.512965609402904)	(230, 36.49766045021888)	(235, 36.41314085568694)	(240, 36.221990198572826)	(245, 36.07846468085916)	(250, 35.662505850332664)	(255, 35.2204381377489)	(260, 35.15705851362476)	(265, 35.03880738758009)	(270, 34.69481979902206)	(275, 33.49387127603358)	(280, 33.47417120087608)	(285, 32.79881833462518)	(290, 31.4104627172698)	(295, 30.943806309283183)	(300, 23.744158468965225)
ERR4588257_2	(1, 33.335431374553856)	(2, 33.6063045861263)	(3, 33.5245047568547)	(4, 33.50707524176616)	(5, 33.429902675299786)	(6, 37.24942278106579)	(7, 37.33612094609215)	(8, 37.12485762725567)	(9, 37.336411041704814)	(10, 37.16392161711659)	(15, 37.15937044496387)	(20, 37.14338332330681)	(25, 37.19999048866843)	(30, 37.15758707029587)	(35, 37.13268497756515)	(40, 37.162873468378386)	(45, 37.010889999072646)	(50, 36.86794657485061)	(55, 37.04310868360794)	(60, 37.01852046481877)	(65, 37.038904675057246)	(70, 37.087493312344996)	(75, 37.07398864822578)	(80, 37.07258667795345)	(85, 36.952192243033544)	(90, 36.92585013470423)	(95, 36.93596828922057)	(100, 36.826461951107)	(105, 36.79623351270119)	(110, 36.725899593628355)	(115, 36.57161913775023)	(120, 36.562564350102605)	(125, 36.52439442540857)	(130, 36.42471947516473)	(135, 36.27360201259776)	(140, 36.152771483125704)	(145, 35.98704176187906)	(150, 35.810834833349574)	(155, 35.67118185428164)	(160, 35.36392494608264)	(165, 35.16850037213085)	(170, 35.05409760052883)	(175, 34.83400443703617)	(180, 34.61314513578615)	(185, 34.12347467964646)	(190, 33.86550168707244)	(195, 33.57172138456453)	(200, 33.075857624877834)	(205, 32.894811806415866)	(210, 32.61362640916322)	(215, 32.14464072133938)	(220, 31.735912647930927)	(225, 30.922122168298255)	(230, 29.479518536396302)	(235, 29.118601548920346)	(240, 28.87618576581675)	(245, 28.09178767854553)	(250, 26.257722508777796)	(255, 24.878554506641855)	(260, 23.959563289520794)	(265, 23.423700005692353)	(270, 22.70376420391953)	(275, 20.18438948763264)	(280, 19.901545288857466)	(285, 18.71212010699556)	(290, 17.528247307953905)	(295, 18.06115436526681)	(300, 14.282783410010207)
