Sample	0	1	2	3	4	5	6	7	8	9	10	11
ERR4588253_1	(27.0, 1.0)	(28.0, 46.0)	(29.0, 467.0)	(30.0, 925.0)	(31.0, 1632.0)	(32.0, 2892.0)	(33.0, 5920.0)	(34.0, 11115.0)	(35.0, 22046.0)	(36.0, 48553.0)	(37.0, 66921.0)	
ERR4588253_2	(27.0, 120.0)	(28.0, 4909.0)	(29.0, 12655.0)	(30.0, 16060.0)	(31.0, 20437.0)	(32.0, 26066.0)	(33.0, 31325.0)	(34.0, 29622.0)	(35.0, 15832.0)	(36.0, 3080.0)	(37.0, 412.0)	
ERR4588254_1	(28.0, 34.0)	(29.0, 342.0)	(30.0, 704.0)	(31.0, 1307.0)	(32.0, 2427.0)	(33.0, 4563.0)	(34.0, 8699.0)	(35.0, 17038.0)	(36.0, 36129.0)	(37.0, 42306.0)		
ERR4588254_2	(27.0, 110.0)	(28.0, 3616.0)	(29.0, 8895.0)	(30.0, 11819.0)	(31.0, 15421.0)	(32.0, 19309.0)	(33.0, 22908.0)	(34.0, 20283.0)	(35.0, 9560.0)	(36.0, 1464.0)	(37.0, 164.0)	
ERR4588255_1	(27.0, 1.0)	(28.0, 46.0)	(29.0, 414.0)	(30.0, 810.0)	(31.0, 1469.0)	(32.0, 2610.0)	(33.0, 4911.0)	(34.0, 9407.0)	(35.0, 18246.0)	(36.0, 39416.0)	(37.0, 53518.0)	
ERR4588255_2	(27.0, 92.0)	(28.0, 3785.0)	(29.0, 9658.0)	(30.0, 12250.0)	(31.0, 15797.0)	(32.0, 20515.0)	(33.0, 25278.0)	(34.0, 25529.0)	(35.0, 14628.0)	(36.0, 2969.0)	(37.0, 347.0)	
ERR4588256_1	(27.0, 1.0)	(28.0, 84.0)	(29.0, 498.0)	(30.0, 1018.0)	(31.0, 1921.0)	(32.0, 3534.0)	(33.0, 7811.0)	(34.0, 17356.0)	(35.0, 40677.0)	(36.0, 99871.0)	(37.0, 157223.0)	
ERR4588256_2	(27.0, 429.0)	(28.0, 13570.0)	(29.0, 31663.0)	(30.0, 39378.0)	(31.0, 48147.0)	(32.0, 55991.0)	(33.0, 60522.0)	(34.0, 49558.0)	(35.0, 25601.0)	(36.0, 4886.0)	(37.0, 249.0)	
ERR4588257_1	(27.0, 4.0)	(28.0, 89.0)	(29.0, 612.0)	(30.0, 1286.0)	(31.0, 2464.0)	(32.0, 4597.0)	(33.0, 9728.0)	(34.0, 21136.0)	(35.0, 47342.0)	(36.0, 114773.0)	(37.0, 218520.0)	
ERR4588257_2	(27.0, 347.0)	(28.0, 13101.0)	(29.0, 33109.0)	(30.0, 41642.0)	(31.0, 51977.0)	(32.0, 64396.0)	(33.0, 76897.0)	(34.0, 77283.0)	(35.0, 49802.0)	(36.0, 11648.0)	(37.0, 349.0)	
ERR4588258_1	(27.0, 1.0)	(28.0, 134.0)	(29.0, 1067.0)	(30.0, 2058.0)	(31.0, 3794.0)	(32.0, 7146.0)	(33.0, 14134.0)	(34.0, 29112.0)	(35.0, 60158.0)	(36.0, 136366.0)	(37.0, 236536.0)	
ERR4588258_2	(27.0, 348.0)	(28.0, 13815.0)	(29.0, 35877.0)	(30.0, 46590.0)	(31.0, 58292.0)	(32.0, 74195.0)	(33.0, 91319.0)	(34.0, 94286.0)	(35.0, 60525.0)	(36.0, 14444.0)	(37.0, 815.0)	
ERR4588259_1	(27.0, 7.0)	(28.0, 99.0)	(29.0, 632.0)	(30.0, 1338.0)	(31.0, 2399.0)	(32.0, 4550.0)	(33.0, 9673.0)	(34.0, 22721.0)	(35.0, 56870.0)	(36.0, 152612.0)	(37.0, 282369.0)	
ERR4588259_2	(27.0, 527.0)	(28.0, 19756.0)	(29.0, 48464.0)	(30.0, 61297.0)	(31.0, 75174.0)	(32.0, 90965.0)	(33.0, 99960.0)	(34.0, 85682.0)	(35.0, 42977.0)	(36.0, 8078.0)	(37.0, 390.0)	
ERR4588260_1	(27.0, 6.0)	(28.0, 147.0)	(29.0, 1214.0)	(30.0, 2618.0)	(31.0, 4792.0)	(32.0, 8653.0)	(33.0, 16367.0)	(34.0, 30461.0)	(35.0, 58024.0)	(36.0, 123414.0)	(37.0, 197185.0)	
ERR4588260_2	(27.0, 299.0)	(28.0, 11605.0)	(29.0, 30501.0)	(30.0, 39224.0)	(31.0, 50843.0)	(32.0, 65733.0)	(33.0, 81724.0)	(34.0, 86636.0)	(35.0, 59986.0)	(36.0, 15474.0)	(37.0, 856.0)	
ERR4588261_1	(27.0, 4.0)	(28.0, 146.0)	(29.0, 661.0)	(30.0, 1505.0)	(31.0, 3242.0)	(32.0, 8057.0)	(33.0, 18507.0)	(34.0, 40215.0)	(35.0, 77548.0)	(36.0, 107621.0)	(37.0, 36993.0)	
ERR4588261_2	(26.0, 1.0)	(27.0, 1060.0)	(28.0, 21991.0)	(29.0, 47166.0)	(30.0, 57547.0)	(31.0, 62502.0)	(32.0, 55173.0)	(33.0, 33952.0)	(34.0, 12437.0)	(35.0, 2378.0)	(36.0, 279.0)	(37.0, 13.0)
ERR4588262_1	(27.0, 2.0)	(28.0, 80.0)	(29.0, 474.0)	(30.0, 989.0)	(31.0, 2238.0)	(32.0, 5312.0)	(33.0, 12484.0)	(34.0, 28372.0)	(35.0, 54997.0)	(36.0, 77839.0)	(37.0, 25252.0)	
ERR4588262_2	(26.0, 1.0)	(27.0, 821.0)	(28.0, 16556.0)	(29.0, 34233.0)	(30.0, 42180.0)	(31.0, 44281.0)	(32.0, 37461.0)	(33.0, 22586.0)	(34.0, 8333.0)	(35.0, 1457.0)	(36.0, 125.0)	(37.0, 5.0)
ERR4588263_1	(27.0, 2.0)	(28.0, 111.0)	(29.0, 516.0)	(30.0, 1159.0)	(31.0, 2355.0)	(32.0, 4963.0)	(33.0, 10923.0)	(34.0, 23096.0)	(35.0, 44471.0)	(36.0, 65677.0)	(37.0, 25807.0)	
ERR4588263_2	(27.0, 769.0)	(28.0, 13518.0)	(29.0, 27245.0)	(30.0, 33933.0)	(31.0, 36411.0)	(32.0, 32421.0)	(33.0, 21621.0)	(34.0, 10363.0)	(35.0, 2627.0)	(36.0, 168.0)	(37.0, 4.0)	
ERR4588264_1	(27.0, 1.0)	(28.0, 111.0)	(29.0, 649.0)	(30.0, 1346.0)	(31.0, 3070.0)	(32.0, 7658.0)	(33.0, 17801.0)	(34.0, 40449.0)	(35.0, 79898.0)	(36.0, 116199.0)	(37.0, 40496.0)	
ERR4588264_2	(26.0, 1.0)	(27.0, 1109.0)	(28.0, 23332.0)	(29.0, 49666.0)	(30.0, 61745.0)	(31.0, 66837.0)	(32.0, 57173.0)	(33.0, 33494.0)	(34.0, 12124.0)	(35.0, 1975.0)	(36.0, 214.0)	(37.0, 8.0)
ERR4588265_1	(27.0, 1.0)	(28.0, 35.0)	(29.0, 197.0)	(30.0, 404.0)	(31.0, 871.0)	(32.0, 1999.0)	(33.0, 4116.0)	(34.0, 8563.0)	(35.0, 18159.0)	(36.0, 41726.0)	(37.0, 69349.0)	
ERR4588265_2	(27.0, 105.0)	(28.0, 4318.0)	(29.0, 11013.0)	(30.0, 14075.0)	(31.0, 17871.0)	(32.0, 23333.0)	(33.0, 28060.0)	(34.0, 26928.0)	(35.0, 16108.0)	(36.0, 3336.0)	(37.0, 273.0)	
ERR4588266_1	(27.0, 1.0)	(28.0, 32.0)	(29.0, 246.0)	(30.0, 546.0)	(31.0, 1202.0)	(32.0, 2462.0)	(33.0, 5099.0)	(34.0, 10444.0)	(35.0, 20868.0)	(36.0, 46501.0)	(37.0, 79736.0)	
ERR4588266_2	(27.0, 102.0)	(28.0, 4461.0)	(29.0, 11980.0)	(30.0, 15567.0)	(31.0, 19807.0)	(32.0, 25438.0)	(33.0, 32211.0)	(34.0, 32415.0)	(35.0, 20704.0)	(36.0, 4174.0)	(37.0, 278.0)	
ERR4588267_1	(27.0, 1.0)	(28.0, 20.0)	(29.0, 179.0)	(30.0, 368.0)	(31.0, 812.0)	(32.0, 1641.0)	(33.0, 3632.0)	(34.0, 8049.0)	(35.0, 17613.0)	(36.0, 41449.0)	(37.0, 65949.0)	
ERR4588267_2	(27.0, 99.0)	(28.0, 4365.0)	(29.0, 11321.0)	(30.0, 14540.0)	(31.0, 18396.0)	(32.0, 22960.0)	(33.0, 27070.0)	(34.0, 25234.0)	(35.0, 13487.0)	(36.0, 2112.0)	(37.0, 129.0)	
ERR4588268_1	(27.0, 9.0)	(28.0, 279.0)	(29.0, 2183.0)	(30.0, 4214.0)	(31.0, 7561.0)	(32.0, 14534.0)	(33.0, 29506.0)	(34.0, 61511.0)	(35.0, 132287.0)	(36.0, 306831.0)	(37.0, 483396.0)	
ERR4588268_2	(27.0, 982.0)	(28.0, 35798.0)	(29.0, 90104.0)	(30.0, 113804.0)	(31.0, 143653.0)	(32.0, 177068.0)	(33.0, 199380.0)	(34.0, 174268.0)	(35.0, 89938.0)	(36.0, 16684.0)	(37.0, 632.0)	
ERR4588269_1	(27.0, 5.0)	(28.0, 82.0)	(29.0, 538.0)	(30.0, 1064.0)	(31.0, 2060.0)	(32.0, 3879.0)	(33.0, 8472.0)	(34.0, 18654.0)	(35.0, 42000.0)	(36.0, 103521.0)	(37.0, 196840.0)	
ERR4588269_2	(27.0, 331.0)	(28.0, 12317.0)	(29.0, 31029.0)	(30.0, 38733.0)	(31.0, 47630.0)	(32.0, 58952.0)	(33.0, 68716.0)	(34.0, 66617.0)	(35.0, 41698.0)	(36.0, 10548.0)	(37.0, 544.0)	
ERR4588270_1	(27.0, 6.0)	(28.0, 85.0)	(29.0, 513.0)	(30.0, 1050.0)	(31.0, 1904.0)	(32.0, 3813.0)	(33.0, 8120.0)	(34.0, 17722.0)	(35.0, 39112.0)	(36.0, 93743.0)	(37.0, 157029.0)	
ERR4588270_2	(26.0, 1.0)	(27.0, 242.0)	(28.0, 10776.0)	(29.0, 26746.0)	(30.0, 34068.0)	(31.0, 42674.0)	(32.0, 53164.0)	(33.0, 60793.0)	(34.0, 56630.0)	(35.0, 31475.0)	(36.0, 6271.0)	(37.0, 257.0)
ERR4588271_1	(27.0, 6.0)	(28.0, 142.0)	(29.0, 890.0)	(30.0, 1982.0)	(31.0, 3614.0)	(32.0, 6849.0)	(33.0, 13316.0)	(34.0, 26725.0)	(35.0, 53867.0)	(36.0, 121074.0)	(37.0, 198460.0)	
