Sample	Unique Reads	Duplicate Reads
ERR4588253_1	21359.0	139159.0
ERR4588253_2	22361.0	138157.0
ERR4588254_1	15742.0	97807.0
ERR4588254_2	15981.0	97568.0
ERR4588255_1	15554.0	115294.0
ERR4588255_2	16408.0	114440.0
ERR4588256_1	33572.0	296422.0
ERR4588256_2	37058.0	292936.0
ERR4588257_1	37076.0	383475.0
ERR4588257_2	41527.0	379024.0
ERR4588258_1	56373.0	434133.0
ERR4588258_2	59975.0	430531.0
ERR4588259_1	53003.0	480267.0
ERR4588259_2	58646.0	474624.0
ERR4588260_1	48407.0	394474.0
ERR4588260_2	49339.0	393542.0
ERR4588261_1	35095.0	259404.0
ERR4588261_2	35585.0	258914.0
ERR4588262_1	23415.0	184624.0
ERR4588262_2	23269.0	184770.0
ERR4588263_1	14843.0	164237.0
ERR4588263_2	15267.0	163813.0
ERR4588264_1	32007.0	275671.0
ERR4588264_2	32816.0	274862.0
ERR4588265_1	19790.0	125630.0
ERR4588265_2	22439.0	122981.0
ERR4588266_1	20929.0	146208.0
ERR4588266_2	23818.0	143319.0
ERR4588267_1	15568.0	124145.0
ERR4588267_2	17908.0	121805.0
ERR4588268_1	81744.0	960567.0
ERR4588268_2	88498.0	953813.0
ERR4588269_1	36015.0	341100.0
ERR4588269_2	40603.0	336512.0
ERR4588270_1	36763.0	286334.0
ERR4588270_2	40235.0	282862.0
ERR4588271_1	39071.0	387854.0
ERR4588271_2	40917.0	386008.0
ERR4588272_1	46273.0	430307.0
ERR4588272_2	51371.0	425209.0
ERR4588273_1	22797.0	154445.0
ERR4588273_2	22996.0	154246.0
ERR4588274_1	24659.0	247221.0
ERR4588274_2	25549.0	246331.0
ERR4588275_1	23741.0	217023.0
ERR4588275_2	24096.0	216668.0
ERR4588276_1	23435.0	218423.0
ERR4588276_2	23802.0	218056.0
ERR4588277_1	15403.0	121001.0
ERR4588277_2	17698.0	118706.0
ERR4588278_1	26921.0	245029.0
ERR4588278_2	29910.0	242040.0
ERR4588279_1	17065.0	142060.0
ERR4588279_2	19305.0	139820.0
ERR4588280_1	54470.0	542867.0
ERR4588280_2	58966.0	538371.0
ERR4588281_1	31682.0	228037.0
ERR4588281_2	34418.0	225301.0
ERR4588282_1	18467.0	143038.0
ERR4588282_2	20507.0	140998.0
ERR4588283_1	70354.0	620981.0
ERR4588283_2	75401.0	615934.0
ERR4588284_1	42278.0	553885.0
ERR4588284_2	47649.0	548514.0
ERR4588285_1	18238.0	163042.0
ERR4588285_2	20058.0	161222.0
ERR4588286_1	7282.0	64533.0
ERR4588286_2	8062.0	63753.0
ERR4588287_1	3977.0	56116.0
ERR4588287_2	4562.0	55531.0
