Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR4588253_1	(1.0, 9.685518135037816)	(2.0, 2.935496330629587)	(3.0, 1.893245617313946)	(4.0, 1.298296764225819)	(5.0, 1.130714312413561)	(6.0, 1.0204463050872798)	(7.0, 0.7893195778666567)	(8.0, 0.6628540101421647)	(9.0, 0.6335738048069375)	('>10', 7.888834897020895)	('>50', 3.4301449058672553)	('>100', 12.28958746059632)	('>500', 6.656574340572396)	('>1k', 34.098356570602675)	('>5k', 7.518159957138764)	('>10k+', 8.06887701067793)
ERR4588253_2	(1.0, 10.371422519592818)	(2.0, 2.925528601153765)	(3.0, 1.8016671027548312)	(4.0, 1.3780386000323952)	(5.0, 1.1151397351075891)	(6.0, 0.8335513774156169)	(7.0, 0.7718760512839681)	(8.0, 0.6927571985696308)	(9.0, 0.5775053265054386)	('>10', 7.5013394136483145)	('>50', 3.596481391495035)	('>100', 12.700756301473978)	('>500', 5.461692769658232)	('>1k', 34.637236945389304)	('>5k', 7.611607420974595)	('>10k+', 8.02339924494449)
ERR4588254_1	(1.0, 10.457159464196074)	(2.0, 2.846348272551938)	(3.0, 1.6618376207628425)	(4.0, 1.2259024738218742)	(5.0, 0.9159041471082969)	(6.0, 0.8084615452359775)	(7.0, 0.6472976424274982)	(8.0, 0.6411329029758078)	(9.0, 0.515196082748417)	('>10', 8.4932496103004)	('>50', 4.405146676765097)	('>100', 14.60690979224828)	('>500', 10.077587649384848)	('>1k', 28.248597521774744)	('>5k', 5.018978590740562)	('>10k+', 9.43029000695735)
ERR4588254_2	(1.0, 10.664118574359968)	(2.0, 2.8111211899708497)	(3.0, 1.7278884006023831)	(4.0, 1.2223797655637656)	(5.0, 0.9423244590441131)	(6.0, 0.8613021691076099)	(7.0, 0.7212745158477838)	(8.0, 0.6059058203947194)	(9.0, 0.6103092057173555)	('>10', 8.004473839487797)	('>50', 3.940149186694731)	('>100', 14.438700472923582)	('>500', 9.191626522470475)	('>1k', 30.175518938960273)	('>5k', 14.082906938854592)	('>10k+', 0.0)
ERR4588255_1	(1.0, 8.76283932501834)	(2.0, 2.4853264856933235)	(3.0, 1.6714049889948643)	(4.0, 1.2075079481535829)	(5.0, 0.9285583272193692)	(6.0, 0.7245047688921497)	(7.0, 0.6366165321594521)	(8.0, 0.6113964294448521)	(9.0, 0.45396184886280266)	('>10', 7.554567131327953)	('>50', 3.6699070677427246)	('>100', 11.433113230618734)	('>500', 2.562515284910736)	('>1k', 33.79875886524823)	('>5k', 23.49902176571289)	('>10k+', 0.0)
ERR4588255_2	(1.0, 9.332202249938861)	(2.0, 2.641232575201761)	(3.0, 1.7103815113719736)	(4.0, 1.2839325018341892)	(5.0, 0.8979885057471264)	(6.0, 0.7978723404255319)	(7.0, 0.6633651259476645)	(8.0, 0.5380288579114698)	(9.0, 0.5365003668378576)	('>10', 6.779622157006602)	('>50', 3.3191183663487402)	('>100', 10.706315725116164)	('>500', 4.583944729762778)	('>1k', 33.20341159207631)	('>5k', 23.006083394472977)	('>10k+', 0.0)
ERR4588256_1	(1.0, 7.332860597465409)	(2.0, 2.247919659145318)	(3.0, 1.4372988599792724)	(4.0, 1.046079625690164)	(5.0, 0.8212270526130778)	(6.0, 0.7018309423807706)	(7.0, 0.6194052013066904)	(8.0, 0.4872815869379443)	(9.0, 0.47728140511645667)	('>10', 7.2058885919137925)	('>50', 3.499154530082365)	('>100', 13.085692467135765)	('>500', 8.841675909258957)	('>1k', 20.647951174869846)	('>5k', 12.160827166554542)	('>10k+', 19.38762522954963)
ERR4588256_2	(1.0, 8.321363418728826)	(2.0, 2.341254689479203)	(3.0, 1.448208149239077)	(4.0, 1.052140341945611)	(5.0, 0.8469850966987278)	(6.0, 0.6927398679975999)	(7.0, 0.6151626999278774)	(8.0, 0.5091001654575538)	(9.0, 0.5045546282659684)	('>10', 7.2558895010212305)	('>50', 3.4321836154596754)	('>100', 13.241452874900755)	('>500', 9.003800069092165)	('>1k', 20.39764359351988)	('>5k', 10.341703182482105)	('>10k+', 19.99581810578374)
ERR4588257_1	(1.0, 6.3264621888902886)	(2.0, 1.9308003072160094)	(3.0, 1.212694774236656)	(4.0, 0.9311593599824992)	(5.0, 0.6990828698540724)	(6.0, 0.5820934916335949)	(7.0, 0.48935800889785064)	(8.0, 0.4812733770696063)	(9.0, 0.41302957310766114)	('>10', 6.92187154471158)	('>50', 3.317790232338052)	('>100', 14.643883857130287)	('>500', 9.894400441325784)	('>1k', 20.703315412399448)	('>5k', 7.540583662861342)	('>10k+', 23.912200898345265)
ERR4588257_2	(1.0, 7.255243715982128)	(2.0, 2.0615811162023157)	(3.0, 1.3061436068395986)	(4.0, 0.9444752241701958)	(5.0, 0.7525841098939249)	(6.0, 0.6348813818062494)	(7.0, 0.5542728468128717)	(8.0, 0.43371671925640415)	(9.0, 0.45797061474113726)	('>10', 6.984884116314073)	('>50', 3.1004563061317176)	('>100', 14.671942285240078)	('>500', 9.679206564721046)	('>1k', 19.39954963845051)	('>5k', 7.793109515849444)	('>10k+', 23.969982237588308)
ERR4588258_1	(1.0, 8.400101120067848)	(2.0, 2.454200356366691)	(3.0, 1.5773507357708165)	(4.0, 1.1441246386384674)	(5.0, 0.9378070808512027)	(6.0, 0.7192572567919658)	(7.0, 0.5622765063016558)	(8.0, 0.5789939368733512)	(9.0, 0.5265990630084036)	('>10', 7.856376884278683)	('>50', 3.8081083615694817)	('>100', 14.3044121784443)	('>500', 8.587662536238089)	('>1k', 21.33551883157393)	('>5k', 9.939327959291019)	('>10k+', 17.2678825539341)
ERR4588258_2	(1.0, 9.142803553881095)	(2.0, 2.5035371636636454)	(3.0, 1.5522745899132733)	(4.0, 1.089487182623658)	(5.0, 0.9194586814432443)	(6.0, 0.6898998177392326)	(7.0, 0.6450481747420012)	(8.0, 0.5333268094579883)	(9.0, 0.4972416239556703)	('>10', 7.732830994931765)	('>50', 3.72207475545661)	('>100', 14.000644232690323)	('>500', 9.461250219161437)	('>1k', 19.727995172332243)	('>5k', 10.226174603368767)	('>10k+', 17.555952424639045)
