Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR4588253_1	ERR4588253_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160518.0	0.0	250-301	56.0	13.306295867130165	299.4320200849749	300	pass	warn	warn	pass	fail	pass	pass	warn	fail	fail	pass
ERR4588253_2	ERR4588253_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160518.0	0.0	250-301	56.0	13.93052492555352	299.4501115139735	300	pass	fail	pass	pass	fail	pass	pass	warn	fail	fail	pass
ERR4588254_1	ERR4588254_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113549.0	0.0	250-301	56.0	13.863618349787316	299.8007952513893	300	pass	warn	warn	pass	fail	warn	pass	warn	fail	fail	pass
ERR4588254_2	ERR4588254_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113549.0	0.0	250-301	56.0	14.07410016820932	299.7937146077905	300	pass	fail	pass	pass	fail	pass	pass	warn	fail	fail	pass
ERR4588255_1	ERR4588255_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130848.0	0.0	250-301	56.0	11.887075079481537	299.57252690144287	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588255_2	ERR4588255_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130848.0	0.0	250-301	56.0	12.539740767913916	299.56913365125945	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588256_1	ERR4588256_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	329994.0	0.0	250-301	55.0	10.173518306393449	300.0521918580338	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588256_2	ERR4588256_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	329994.0	0.0	250-301	55.0	11.229901149717874	300.0851500330309	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588257_1	ERR4588257_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	420551.0	0.0	250-301	55.0	8.816053225411425	300.1659239901938	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588257_2	ERR4588257_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	420551.0	0.0	250-301	55.0	9.874426645044238	300.21219186258026	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588258_1	ERR4588258_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	490506.0	0.0	250-301	55.0	11.492621904726956	299.9011286304347	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588258_2	ERR4588258_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	490506.0	0.0	250-301	55.0	12.226965623254353	299.9357051697635	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588259_1	ERR4588259_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	533270.0	0.0	250-301	55.0	9.939242785080728	299.9266244116489	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588259_2	ERR4588259_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	533270.0	0.0	250-301	56.0	10.99743094492471	299.9564967089842	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588260_1	ERR4588260_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	442881.0	0.0	250-301	55.0	10.929798297962657	299.8921662929771	300	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588260_2	ERR4588260_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	442881.0	0.0	250-301	56.0	11.140464368532404	299.9184126209975	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588261_1	ERR4588261_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	294499.0	0.0	250-301	55.0	11.916848614086975	299.7719296160598	300	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588261_2	ERR4588261_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	294499.0	0.0	250-301	56.0	12.083232880247472	299.8978926923351	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588262_1	ERR4588262_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	208039.0	0.0	250-301	55.0	11.255101206985229	300.08892323074036	300	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4588262_2	ERR4588262_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	208039.0	0.0	250-301	56.0	11.184922057883377	300.1738111604074	300	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
