Module	Section	Sample Name	Source
FastQC	all_sections	ERR4588253_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588253_1.trim_fastqc.zip
FastQC	all_sections	ERR4588253_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588253_2.trim_fastqc.zip
FastQC	all_sections	ERR4588254_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588254_1.trim_fastqc.zip
FastQC	all_sections	ERR4588254_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588254_2.trim_fastqc.zip
FastQC	all_sections	ERR4588255_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588255_1.trim_fastqc.zip
FastQC	all_sections	ERR4588255_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588255_2.trim_fastqc.zip
FastQC	all_sections	ERR4588256_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588256_1.trim_fastqc.zip
FastQC	all_sections	ERR4588256_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588256_2.trim_fastqc.zip
FastQC	all_sections	ERR4588257_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588257_1.trim_fastqc.zip
FastQC	all_sections	ERR4588257_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588257_2.trim_fastqc.zip
FastQC	all_sections	ERR4588258_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588258_1.trim_fastqc.zip
FastQC	all_sections	ERR4588258_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588258_2.trim_fastqc.zip
FastQC	all_sections	ERR4588259_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588259_1.trim_fastqc.zip
FastQC	all_sections	ERR4588259_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588259_2.trim_fastqc.zip
FastQC	all_sections	ERR4588260_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588260_1.trim_fastqc.zip
FastQC	all_sections	ERR4588260_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588260_2.trim_fastqc.zip
FastQC	all_sections	ERR4588261_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588261_1.trim_fastqc.zip
FastQC	all_sections	ERR4588261_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588261_2.trim_fastqc.zip
FastQC	all_sections	ERR4588262_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588262_1.trim_fastqc.zip
FastQC	all_sections	ERR4588262_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588262_2.trim_fastqc.zip
FastQC	all_sections	ERR4588263_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588263_1.trim_fastqc.zip
FastQC	all_sections	ERR4588263_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588263_2.trim_fastqc.zip
FastQC	all_sections	ERR4588264_1	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588264_1.trim_fastqc.zip
FastQC	all_sections	ERR4588264_2	/home/sa_110818210310663084911/results/qc_trim_pipeline/PRJEB40348/qc_trimmed/ERR4588264_2.trim_fastqc.zip
