Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR33022240_1	(14.0, 6.0)	(15.0, 23.0)	(16.0, 60.0)	(17.0, 119.0)	(18.0, 164.0)	(19.0, 321.0)	(20.0, 551.0)	(21.0, 836.0)	(22.0, 1158.0)	(23.0, 1597.0)	(24.0, 2157.0)	(25.0, 2885.0)	(26.0, 3913.0)	(27.0, 4960.0)	(28.0, 6465.0)	(29.0, 8423.0)	(30.0, 10691.0)	(31.0, 13848.0)	(32.0, 18216.0)	(33.0, 24842.0)	(34.0, 36185.0)	(35.0, 61251.0)	(36.0, 135361.0)	(37.0, 134224.0)												
SRR33022240_2	(11.0, 1.0)	(12.0, 20.0)	(13.0, 130.0)	(14.0, 373.0)	(15.0, 518.0)	(16.0, 598.0)	(17.0, 877.0)	(18.0, 1295.0)	(19.0, 1993.0)	(20.0, 2731.0)	(21.0, 3735.0)	(22.0, 5027.0)	(23.0, 6890.0)	(24.0, 8775.0)	(25.0, 11219.0)	(26.0, 14338.0)	(27.0, 18144.0)	(28.0, 22917.0)	(29.0, 29124.0)	(30.0, 36530.0)	(31.0, 47276.0)	(32.0, 58357.0)	(33.0, 70431.0)	(34.0, 72559.0)	(35.0, 46460.0)	(36.0, 7908.0)	(37.0, 30.0)									
SRR33022241_1	(13.0, 2.0)	(14.0, 23.0)	(15.0, 124.0)	(16.0, 319.0)	(17.0, 339.0)	(18.0, 473.0)	(19.0, 717.0)	(20.0, 968.0)	(21.0, 1103.0)	(22.0, 1324.0)	(23.0, 1524.0)	(24.0, 2070.0)	(25.0, 2847.0)	(26.0, 3666.0)	(27.0, 4714.0)	(28.0, 6007.0)	(29.0, 7940.0)	(30.0, 10205.0)	(31.0, 13461.0)	(32.0, 17520.0)	(33.0, 24262.0)	(34.0, 34929.0)	(35.0, 59174.0)	(36.0, 132294.0)	(37.0, 133234.0)											
SRR33022241_2	(11.0, 2.0)	(12.0, 61.0)	(13.0, 530.0)	(14.0, 1009.0)	(15.0, 739.0)	(16.0, 650.0)	(17.0, 873.0)	(18.0, 1187.0)	(19.0, 1803.0)	(20.0, 2579.0)	(21.0, 3600.0)	(22.0, 4825.0)	(23.0, 6350.0)	(24.0, 8221.0)	(25.0, 10676.0)	(26.0, 13500.0)	(27.0, 17479.0)	(28.0, 21618.0)	(29.0, 27720.0)	(30.0, 35187.0)	(31.0, 44953.0)	(32.0, 56516.0)	(33.0, 68158.0)	(34.0, 71825.0)	(35.0, 49520.0)	(36.0, 9607.0)	(37.0, 51.0)									
SRR33022242_1	(14.0, 23.0)	(15.0, 183.0)	(16.0, 513.0)	(17.0, 600.0)	(18.0, 647.0)	(19.0, 968.0)	(20.0, 1499.0)	(21.0, 2077.0)	(22.0, 2679.0)	(23.0, 3488.0)	(24.0, 4540.0)	(25.0, 6115.0)	(26.0, 8072.0)	(27.0, 10589.0)	(28.0, 13091.0)	(29.0, 16692.0)	(30.0, 21484.0)	(31.0, 27867.0)	(32.0, 36580.0)	(33.0, 50067.0)	(34.0, 74159.0)	(35.0, 125500.0)	(36.0, 203666.0)	(37.0, 72155.0)												
SRR33022242_2	(11.0, 13.0)	(12.0, 56.0)	(13.0, 354.0)	(14.0, 1027.0)	(15.0, 1064.0)	(16.0, 1381.0)	(17.0, 2260.0)	(18.0, 3390.0)	(19.0, 4854.0)	(20.0, 6721.0)	(21.0, 9408.0)	(22.0, 12615.0)	(23.0, 16515.0)	(24.0, 20750.0)	(25.0, 26553.0)	(26.0, 31808.0)	(27.0, 39636.0)	(28.0, 47848.0)	(29.0, 57767.0)	(30.0, 68461.0)	(31.0, 78793.0)	(32.0, 87392.0)	(33.0, 85253.0)	(34.0, 58749.0)	(35.0, 19089.0)	(36.0, 1492.0)	(37.0, 5.0)									
SRR33022243_1	(15.0, 20.0)	(16.0, 42.0)	(17.0, 147.0)	(18.0, 361.0)	(19.0, 753.0)	(20.0, 1313.0)	(21.0, 1802.0)	(22.0, 2328.0)	(23.0, 3073.0)	(24.0, 4072.0)	(25.0, 5827.0)	(26.0, 7477.0)	(27.0, 9930.0)	(28.0, 12881.0)	(29.0, 15944.0)	(30.0, 20926.0)	(31.0, 26968.0)	(32.0, 35566.0)	(33.0, 49410.0)	(34.0, 73856.0)	(35.0, 124646.0)	(36.0, 203810.0)	(37.0, 71002.0)													
SRR33022243_2	(11.0, 13.0)	(12.0, 71.0)	(13.0, 458.0)	(14.0, 1263.0)	(15.0, 1200.0)	(16.0, 1557.0)	(17.0, 2352.0)	(18.0, 3805.0)	(19.0, 5275.0)	(20.0, 7564.0)	(21.0, 10156.0)	(22.0, 13408.0)	(23.0, 17525.0)	(24.0, 21695.0)	(25.0, 26452.0)	(26.0, 32338.0)	(27.0, 39375.0)	(28.0, 47177.0)	(29.0, 56041.0)	(30.0, 66923.0)	(31.0, 76507.0)	(32.0, 84423.0)	(33.0, 80808.0)	(34.0, 55936.0)	(35.0, 18533.0)	(36.0, 1296.0)	(37.0, 3.0)									
SRR33022244_1	(13.0, 1.0)	(14.0, 4.0)	(15.0, 33.0)	(16.0, 132.0)	(17.0, 342.0)	(18.0, 703.0)	(19.0, 1159.0)	(20.0, 1588.0)	(21.0, 2230.0)	(22.0, 2757.0)	(23.0, 3661.0)	(24.0, 4821.0)	(25.0, 6594.0)	(26.0, 8338.0)	(27.0, 10798.0)	(28.0, 14046.0)	(29.0, 17781.0)	(30.0, 22480.0)	(31.0, 29494.0)	(32.0, 38609.0)	(33.0, 53264.0)	(34.0, 78961.0)	(35.0, 131580.0)	(36.0, 208420.0)	(37.0, 67938.0)											
SRR33022244_2	(11.0, 10.0)	(12.0, 90.0)	(13.0, 625.0)	(14.0, 1465.0)	(15.0, 1205.0)	(16.0, 1334.0)	(17.0, 2042.0)	(18.0, 3057.0)	(19.0, 4381.0)	(20.0, 6241.0)	(21.0, 8979.0)	(22.0, 12462.0)	(23.0, 16365.0)	(24.0, 21043.0)	(25.0, 25667.0)	(26.0, 30728.0)	(27.0, 37928.0)	(28.0, 46660.0)	(29.0, 56640.0)	(30.0, 68015.0)	(31.0, 80559.0)	(32.0, 91196.0)	(33.0, 92562.0)	(34.0, 68887.0)	(35.0, 25357.0)	(36.0, 2235.0)	(37.0, 1.0)									
