.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR33022240_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR33022240_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022241_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR33022241_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022242_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022242_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022243_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022243_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022244_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022244_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022245_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022245_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022246_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022246_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022247_1	1	0.5	0.5	1	0.25	1	1	0.5	0.25	0.5	1
SRR33022247_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022248_1	1	0.5	0.5	1	0.25	1	1	0.5	0.25	0.5	1
SRR33022248_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022249_1	1	0.5	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR33022249_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022250_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022250_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022251_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022251_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022252_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR33022252_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022253_1	1	0.5	0.5	1	0.25	1	1	0.5	0.25	0.5	1
SRR33022253_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022254_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR33022254_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022255_1	1	0.5	0.5	1	0.25	1	1	0.5	0.25	0.5	1
SRR33022255_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022256_1	1	0.5	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR33022256_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022257_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR33022257_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022258_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR33022258_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022259_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR33022259_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022260_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR33022260_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022261_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR33022261_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022262_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33022262_2	1	0.25	0.5	1	0.25	1	1	0.5	0.25	0.25	1
SRR33022263_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33022263_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR33075535_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075535_2	1	0.25	0.5	1	0.25	0.25	1	0.5	1	1	1
SRR33075536_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075536_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075537_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075537_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075538_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075538_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075539_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075539_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075540_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075540_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.5	1	1
SRR33075541_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075541_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075542_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075542_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
SRR33075543_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075543_2	1	0.25	0.5	1	0.25	0.25	1	0.5	1	1	1
SRR33075544_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR33075544_2	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	1	1
