Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR33022240_1	(1, 33.95651515191788)	(2, 33.963178753026796)	(3, 33.96342063084926)	(4, 33.967928595540414)	(5, 33.96884294686928)	(6, 37.865146468982495)	(7, 37.86426401363021)	(8, 37.81846404924739)	(9, 37.815141551686104)	(10, 37.84537840589225)	(15, 37.82175411923248)	(20, 37.80589703447158)	(25, 37.78990386021057)	(30, 37.803597334559555)	(35, 37.82099446339006)	(40, 37.81441379182027)	(45, 37.79487963255835)	(50, 37.7432400464618)	(55, 37.72346507257664)	(60, 37.72984479949392)	(65, 37.71414825781518)	(70, 37.58563458374421)	(75, 37.50954035239738)	(80, 37.64754839549947)	(85, 37.571004962482355)	(90, 37.579775292844936)	(95, 37.66130672500087)	(100, 37.59279044609181)	(105, 37.53946515763258)	(110, 37.512274900790224)	(115, 37.57436786161399)	(120, 37.57944197988959)	(125, 37.58589240955497)	(130, 37.57370123570329)	(135, 37.59129930918631)	(140, 37.531343910393566)	(145, 37.509983706471964)	(150, 37.39888736201667)	(155, 37.366797351570746)	(160, 37.394047679169)	(165, 37.39783532638887)	(170, 37.23427701124067)	(175, 37.17807842689043)	(180, 36.96727898081723)	(185, 36.91482179452081)	(190, 36.87382270621414)	(195, 36.76777017885669)	(200, 36.663276833154804)	(205, 36.71144135260205)	(210, 36.650798595513834)	(215, 36.5778328278707)	(220, 36.43765479516138)	(225, 36.30154775226394)	(230, 36.2154940022274)	(235, 36.05656804607905)	(240, 35.71385800442823)	(245, 34.947219601140816)	(250, 34.09390972907026)	(255, 33.693349954681125)	(260, 32.83024854939756)	(265, 32.7297901585819)	(270, 32.62627491215293)	(275, 32.66482980793255)	(280, 32.156567137863334)	(285, 30.704474811079773)	(290, 30.010469432621143)	(295, 28.17258900519385)	(300, 22.195381331595023)
SRR33022240_2	(1, 33.22339410402873)	(2, 32.91556337597648)	(3, 33.836854737748624)	(4, 33.75102000675132)	(5, 33.54883141115774)	(6, 37.40739136097474)	(7, 37.53608099451655)	(8, 37.38119147420546)	(9, 37.53131520401464)	(10, 37.10966793630374)	(15, 37.206254801008974)	(20, 37.565852699064116)	(25, 37.32200955284499)	(30, 37.410820178457996)	(35, 37.06059225512528)	(40, 37.36104810179069)	(45, 37.077031973058524)	(50, 37.56179765724052)	(55, 37.20986436235956)	(60, 37.41663747298809)	(65, 36.64181030931123)	(70, 36.626374251441305)	(75, 37.01347445530975)	(80, 36.89593140238635)	(85, 36.95620469774575)	(90, 37.10695093069802)	(95, 36.80948054744128)	(100, 36.92051788433987)	(105, 36.866117169869995)	(110, 36.878168533024294)	(115, 36.9218527309601)	(120, 36.71877051642244)	(125, 36.50735919919835)	(130, 36.23788285139399)	(135, 36.187566416726256)	(140, 36.13117486171765)	(145, 35.897858450971896)	(150, 36.071696839374525)	(155, 36.24758454427295)	(160, 35.67225661376364)	(165, 35.550660645415086)	(170, 35.35884887420493)	(175, 34.52000329591758)	(180, 34.79499339487485)	(185, 33.59537667819352)	(190, 33.81713186062522)	(195, 33.13107385779179)	(200, 33.23491386757322)	(205, 32.59744619547449)	(210, 31.71886673595182)	(215, 30.875607286104252)	(220, 29.225769822684953)	(225, 28.670142973715052)	(230, 29.488063728161222)	(235, 29.2276644436943)	(240, 30.09751556922357)	(245, 29.644157321588523)	(250, 26.7009108959314)	(255, 26.267544514822326)	(260, 23.622333562807164)	(265, 23.293669983253)	(270, 22.428262036776157)	(275, 21.81460786450553)	(280, 20.961006662455492)	(285, 19.560087927977737)	(290, 19.590295254860205)	(295, 17.86845625096355)	(300, 14.213064596483807)
SRR33022241_1	(1, 33.963413941026026)	(2, 33.96745199399164)	(3, 33.95797393669567)	(4, 33.96956845338782)	(5, 33.96874839303354)	(6, 37.882804444023435)	(7, 37.866089286439234)	(8, 37.81800073074685)	(9, 37.8273759421898)	(10, 37.84002868858005)	(15, 37.81739827056579)	(20, 37.810796108096405)	(25, 37.7922546246803)	(30, 37.79675873174824)	(35, 37.82389055036064)	(40, 37.809525149870765)	(45, 37.794043601228736)	(50, 37.74366050042627)	(55, 37.724305452183444)	(60, 37.73384738216707)	(65, 37.7178380719109)	(70, 37.58117325466527)	(75, 37.51718256492144)	(80, 37.648643382004686)	(85, 37.57583772006983)	(90, 37.59002286966995)	(95, 37.66818409407689)	(100, 37.59671596952515)	(105, 37.53883757121398)	(110, 37.52463943055875)	(115, 37.58115593325846)	(120, 37.58838329025535)	(125, 37.58773265491156)	(130, 37.57410828585734)	(135, 37.59753981893717)	(140, 37.54257899508776)	(145, 37.51305357457001)	(150, 37.404097595301565)	(155, 37.374187314775966)	(160, 37.37298293570781)	(165, 37.37685427013275)	(170, 37.22308781141318)	(175, 37.18139735036605)	(180, 37.026660351570435)	(185, 36.98345535001421)	(190, 36.925880617616414)	(195, 36.82906532064901)	(200, 36.75510291351476)	(205, 36.75177936858059)	(210, 36.683985006157215)	(215, 36.58616398500616)	(220, 36.50636913541822)	(225, 36.3112922040137)	(230, 36.24659999729353)	(235, 36.05980107446852)	(240, 35.7244548493173)	(245, 34.95750680000542)	(250, 34.105565313882835)	(255, 33.77984757120741)	(260, 32.90701464745429)	(265, 32.84660553636964)	(270, 32.61525803553063)	(275, 32.55832133461801)	(280, 32.081805116879536)	(285, 30.749522982112843)	(290, 29.910488980548497)	(295, 28.04987563703878)	(300, 21.933674891672958)
SRR33022241_2	(1, 33.25736904069177)	(2, 33.10142224988836)	(3, 33.8545813767812)	(4, 33.74872592933407)	(5, 33.59378865177206)	(6, 37.44337388527274)	(7, 37.55767081207627)	(8, 37.40787853363465)	(9, 37.56082384941202)	(10, 37.16357037498139)	(15, 37.32296358444863)	(20, 37.6200500696916)	(25, 37.41237560388108)	(30, 37.39311095173011)	(35, 37.32621946763739)	(40, 37.44505135526476)	(45, 37.14894244691936)	(50, 37.56910564704928)	(55, 37.27773306088204)	(60, 37.42505000202985)	(65, 36.68343234502077)	(70, 36.669137312746116)	(75, 37.04930376063981)	(80, 36.906607846056)	(85, 36.930663491075414)	(90, 37.098933921539434)	(95, 36.876487002178706)	(100, 36.90094699378865)	(105, 36.88913054657157)	(110, 36.927624125471944)	(115, 36.981596546544516)	(120, 36.76351895205489)	(125, 36.518900631960705)	(130, 36.31520305289795)	(135, 36.27686590795297)	(140, 36.16246830047228)	(145, 35.91255829059366)	(150, 36.04874839303354)	(155, 36.257672706605135)	(160, 35.76803713276587)	(165, 35.68419773468476)	(170, 35.42275708080166)	(175, 34.591493565368005)	(180, 34.85576626926668)	(185, 33.90702518370164)	(190, 33.96404454849317)	(195, 33.2167990581485)	(200, 33.30821061748109)	(205, 32.805060015968174)	(210, 31.85892904989377)	(215, 30.906205664641323)	(220, 29.342450167124515)	(225, 28.728846908534855)	(230, 29.777786919631374)	(235, 29.302381422791182)	(240, 30.182569793090387)	(245, 29.683549805810788)	(250, 26.66633936425024)	(255, 26.326400060625087)	(260, 23.541172012861175)	(265, 23.257495317794547)	(270, 22.472125450628447)	(275, 21.8323640536532)	(280, 21.008095636335092)	(285, 19.668820487004815)	(290, 20.023327189613596)	(295, 18.14190747612204)	(300, 14.417062490019838)
SRR33022242_1	(1, 33.98284520612184)	(2, 33.98510892270964)	(3, 33.98594875730059)	(4, 33.986157650168394)	(5, 33.98491281920109)	(6, 37.93486592488383)	(7, 37.93177089994458)	(8, 37.90933196913501)	(9, 37.894327919171246)	(10, 37.902228332693866)	(15, 37.83129769365222)	(20, 37.87920237029458)	(25, 37.86246962527177)	(30, 37.86515666965085)	(35, 37.858166432195084)	(40, 37.87629193844055)	(45, 37.86733171334783)	(50, 37.8600771624675)	(55, 37.85815833226756)	(60, 37.868947862045445)	(65, 37.840673146608694)	(70, 37.691220531184726)	(75, 37.53175640533742)	(80, 37.71981753847466)	(85, 37.67048940614742)	(90, 37.74134799846528)	(95, 37.73688920151768)	(100, 37.73246024640832)	(105, 37.725672080828744)	(110, 37.70699407426355)	(115, 37.69711855736028)	(120, 37.6909434284009)	(125, 37.581348424777254)	(130, 37.55518310099332)	(135, 37.49183228886899)	(140, 37.52286183228887)	(145, 37.427086157650166)	(150, 37.48164641684785)	(155, 37.399910474485225)	(160, 37.37783476147845)	(165, 37.29868354862087)	(170, 37.22272370720894)	(175, 37.1691831862557)	(180, 37.092866948032565)	(185, 37.00303832544656)	(190, 36.821590996291086)	(195, 36.85675875005329)	(200, 36.66914140768215)	(205, 36.669479899390375)	(210, 36.51543419874664)	(215, 36.263373406659)	(220, 36.01109050603232)	(225, 35.81819670034531)	(230, 35.91811740631795)	(235, 35.297776356737856)	(240, 34.74806241207315)	(245, 33.81949865711728)	(250, 32.325770600643025)	(255, 31.87845256468544)	(260, 30.58648599006937)	(265, 30.444337058676826)	(270, 30.36975920733579)	(275, 30.418313302803448)	(280, 29.28189238216843)	(285, 28.32063173865658)	(290, 27.959022851296044)	(295, 26.448138942604192)	(300, 22.74919263555729)
SRR33022242_2	(1, 33.55385812337469)	(2, 33.840435690838554)	(3, 33.97726265080786)	(4, 33.97903824018417)	(5, 33.76640874792173)	(6, 37.29358826789444)	(7, 37.332001108411134)	(8, 37.16176621051285)	(9, 37.55178837873556)	(10, 37.89629364368845)	(15, 37.551273820181606)	(20, 37.34152960736667)	(25, 37.28076181949951)	(30, 37.08098179647866)	(35, 37.300220829603106)	(40, 36.49727032442341)	(45, 37.105615381336065)	(50, 37.735837916187066)	(55, 37.338869846954005)	(60, 36.87041053843202)	(65, 37.16863196487189)	(70, 37.346441147631836)	(75, 37.43949737818135)	(80, 37.560838129343054)	(85, 37.570093362322545)	(90, 37.18179988915889)	(95, 37.00573645393699)	(100, 36.914087052905316)	(105, 36.931015475124696)	(110, 36.88900797203393)	(115, 36.57693439058703)	(120, 36.42288741100738)	(125, 36.242492646118436)	(130, 36.15691435392421)	(135, 36.04694163789061)	(140, 35.906853817623734)	(145, 35.876771965724515)	(150, 35.350315044549596)	(155, 34.821398729590314)	(160, 34.5748305409899)	(165, 34.31100566994927)	(170, 33.46614400818519)	(175, 32.727143283454836)	(180, 33.00296414716289)	(185, 32.6273372554035)	(190, 32.18356183655199)	(195, 31.640513279618027)	(200, 31.303233150019185)	(205, 30.94389393358059)	(210, 29.973488937204245)	(215, 28.70238436287675)	(220, 27.25509655966236)	(225, 27.514885961546657)	(230, 27.041360787824527)	(235, 26.673633030651832)	(240, 26.472429978258088)	(245, 26.185935115317385)	(250, 24.03938121977011)	(255, 23.923859490684418)	(260, 21.851493479521235)	(265, 21.320185705850626)	(270, 21.025356379428096)	(275, 20.182466209600367)	(280, 19.915018022991838)	(285, 19.89789111909257)	(290, 19.4303116473397)	(295, 18.281260087927812)	(300, 16.637701734527912)
SRR33022243_1	(1, 33.981143816738644)	(2, 33.9795527917964)	(3, 33.98260906023607)	(4, 33.98244576502702)	(5, 33.98519530327672)	(6, 37.93704749021884)	(7, 37.928818735697874)	(8, 37.89412071046656)	(9, 37.89862898225157)	(10, 37.89824236981069)	(15, 37.83038703171237)	(20, 37.87067151844684)	(25, 37.872311090613394)	(30, 37.874999282825094)	(35, 37.8663305139165)	(40, 37.87667681009429)	(45, 37.85955067337207)	(50, 37.859690136307364)	(55, 37.8422775709617)	(60, 37.857074764932136)	(65, 37.82715599326518)	(70, 37.64945505740709)	(75, 37.40608296720635)	(80, 37.67710888039067)	(85, 37.65410455748101)	(90, 37.757558251152446)	(95, 37.74488036419245)	(100, 37.729229180412524)	(105, 37.71473253789442)	(110, 37.69344634538702)	(115, 37.703997863922126)	(120, 37.693864292854514)	(125, 37.614799842000856)	(130, 37.55102114672958)	(135, 37.50196373522344)	(140, 37.51285243629832)	(145, 37.45759245487867)	(150, 37.51052923094577)	(155, 37.413686345210486)	(160, 37.41309451041228)	(165, 37.31057336478605)	(170, 37.23435466395391)	(175, 37.24113097379112)	(180, 37.134082137490154)	(185, 37.09711342617622)	(190, 36.924548345312)	(195, 36.95009345340681)	(200, 36.75204284513215)	(205, 36.7385330352828)	(210, 36.582845176281594)	(215, 36.405063475495794)	(220, 36.18190909752916)	(225, 35.926070521463394)	(230, 35.94767271226722)	(235, 35.61570017234264)	(240, 34.96066527350844)	(245, 34.15895861790466)	(250, 32.71920285457679)	(255, 32.15246534781078)	(260, 30.925078668743907)	(265, 30.641697744314445)	(270, 30.376519369324637)	(275, 30.44540774331645)	(280, 29.267916983880042)	(285, 28.056830955612195)	(290, 27.722292321781246)	(295, 26.53031147595247)	(300, 22.08361192942968)
SRR33022243_2	(1, 33.539454549867926)	(2, 33.833076989277686)	(3, 33.97715853096099)	(4, 33.97915779392586)	(5, 33.740446678597515)	(6, 37.235403283999055)	(7, 37.28579530283538)	(8, 37.09599330930981)	(9, 37.52357960751776)	(10, 37.893989191622516)	(15, 37.53686477612006)	(20, 37.32784955656524)	(25, 37.26694662232687)	(30, 37.06176839884634)	(35, 37.27769718448165)	(40, 36.4458043061388)	(45, 37.07768394432958)	(50, 37.75488506444644)	(55, 37.33554340894196)	(60, 36.84226874419364)	(65, 37.1570551253732)	(70, 37.30821132165404)	(75, 37.36818126650881)	(80, 37.521514143792466)	(85, 37.54992883418254)	(90, 37.15228249188489)	(95, 37.047943914715766)	(100, 36.93041902874658)	(105, 36.83610236402916)	(110, 36.79052578850623)	(115, 36.51762815915546)	(120, 36.32948427400936)	(125, 36.13557650932216)	(130, 36.12735084417003)	(135, 35.95900451709855)	(140, 35.92404257150234)	(145, 35.68547489115492)	(150, 35.224492516004034)	(155, 34.8741466170308)	(160, 34.41645706770352)	(165, 34.07821928781222)	(170, 33.41443000041927)	(175, 32.695417804032516)	(180, 32.827834771728746)	(185, 32.28678037015052)	(190, 32.05888116301496)	(195, 31.607041995555722)	(200, 31.30024692883639)	(205, 31.23697180068275)	(210, 30.297998309673915)	(215, 29.06597964988625)	(220, 27.5165164277187)	(225, 27.64583299313498)	(230, 27.41142978195676)	(235, 27.15862187670329)	(240, 27.030240066024227)	(245, 26.096363592229796)	(250, 23.70013262219005)	(255, 23.86077113328664)	(260, 21.788952392721434)	(265, 21.472901320928752)	(270, 21.111871834762173)	(275, 20.29030706254896)	(280, 19.519105403109243)	(285, 19.29357165712268)	(290, 19.486479759028168)	(295, 18.773107808414156)	(300, 15.995331722441055)
SRR33022244_1	(1, 33.97689792865501)	(2, 33.979885716124)	(3, 33.98398738936541)	(4, 33.984389514193)	(5, 33.98426686612058)	(6, 37.91757446346495)	(7, 37.91853554180289)	(8, 37.88202059683367)	(9, 37.87776410553364)	(10, 37.8712802448136)	(15, 37.84512564390238)	(20, 37.822806107471884)	(25, 37.82453604848017)	(30, 37.832693552732636)	(35, 37.83011593258779)	(40, 37.84064717969752)	(45, 37.83718046155887)	(50, 37.8338910804692)	(55, 37.83400970729334)	(60, 37.820039890782894)	(65, 37.791176174908216)	(70, 37.56901105441151)	(75, 37.32829350286916)	(80, 37.631779925124356)	(85, 37.59436301416686)	(90, 37.68967504292682)	(95, 37.685399249635076)	(100, 37.66893826981772)	(105, 37.66959212478737)	(110, 37.646888559146525)	(115, 37.64084824211132)	(120, 37.626551498116044)	(125, 37.54348738735479)	(130, 37.47586647847225)	(135, 37.40462684826624)	(140, 37.44997647569759)	(145, 37.38954274385854)	(150, 37.40050144966)	(155, 37.33397592880782)	(160, 37.26060383064111)	(165, 37.225271132665)	(170, 37.12581199055811)	(175, 37.11617667756425)	(180, 36.99623168824066)	(185, 36.94081406150097)	(190, 36.80011581195034)	(195, 36.798942813828276)	(200, 36.559143313267306)	(205, 36.48904611969648)	(210, 36.3624708962156)	(215, 36.16919241270875)	(220, 35.92245786737119)	(225, 35.712925900458025)	(230, 35.69789487652757)	(235, 35.34308847952582)	(240, 34.69232182854201)	(245, 33.86163688932319)	(250, 32.34035400876458)	(255, 31.749088870816404)	(260, 30.486890864353448)	(265, 30.20910848396256)	(270, 29.914194027059796)	(275, 30.108837196209443)	(280, 29.05039600595969)	(285, 27.785521000681626)	(290, 27.300442955638083)	(295, 26.07717697559601)	(300, 22.10729947701458)
SRR33022244_2	(1, 33.53288576840023)	(2, 33.85196377659553)	(3, 33.97720153289984)	(4, 33.97916189143434)	(5, 33.76401505555354)	(6, 37.270296245360484)	(7, 37.32110672795049)	(8, 37.15583543443556)	(9, 37.558054761359024)	(10, 37.89658917721239)	(15, 37.562218361823874)	(20, 37.369171904342544)	(25, 37.32261509817878)	(30, 37.12446849150914)	(35, 37.3122012715187)	(40, 36.407052063101425)	(45, 37.11795447142702)	(50, 37.747173263524466)	(55, 37.364949191528034)	(60, 36.9457497416348)	(65, 37.155331169901764)	(70, 37.39335810422271)	(75, 37.44835470626792)	(80, 37.53830037920371)	(85, 37.574140156587404)	(90, 37.22879776740295)	(95, 37.079410404577786)	(100, 37.03311296892781)	(105, 36.978514470461924)	(110, 36.877664780701224)	(115, 36.63084257215125)	(120, 36.36672577901633)	(125, 36.274478745692235)	(130, 36.21888740102703)	(135, 36.0148480571339)	(140, 36.01814628496978)	(145, 35.914447138680785)	(150, 35.48824347854061)	(155, 35.03773137257268)	(160, 34.693972550959266)	(165, 34.41908765919116)	(170, 33.48627588175921)	(175, 32.89096465724891)	(180, 33.01812497235392)	(185, 32.62804700034985)	(190, 32.27380880572947)	(195, 31.821562737504973)	(200, 31.560288966901105)	(205, 31.285686768886798)	(210, 30.486701329826804)	(215, 29.550386643021728)	(220, 27.618187703827022)	(225, 27.813720096992505)	(230, 27.515169354871137)	(235, 27.212746552784914)	(240, 27.098320726719987)	(245, 26.018977879113237)	(250, 23.856297540287226)	(255, 24.04053592642925)	(260, 22.208959990389438)	(265, 22.018224124926686)	(270, 21.210934103827743)	(275, 20.214351521390753)	(280, 20.07129394117919)	(285, 20.016278971570816)	(290, 19.68308142702894)	(295, 19.062363345754825)	(300, 16.01485210229683)
