Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR33022240_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.00026700505106805355)	(42.0, 0.00026700505106805355)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.00020025378830104018)	(47.0, 0.028436037938747705)	(48.0, 0.32741494387220066)	(49.0, 0.03677994578462438)	(50.0, 0.04839466550608471)	(51.0, 0.2921702771312176)	(52.0, 0.48414690884914807)	(53.0, 3.066553011516595)	(54.0, 12.576738920458528)	(55.0, 19.97611639818196)	(56.0, 20.154609274820956)	(57.0, 18.236111231634222)	(58.0, 15.483823165224727)	(59.0, 8.50778219596969)	(60.0, 0.7595626190258453)	(61.0, 0.018423348523695697)	(62.0, 0.0008010151532041607)	(63.0, 0.00040050757660208035)	(64.0, 0.0)	(65.0, 0.00020025378830104018)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.00020025378830104018)	(69.0, 0.00020025378830104018)	(70.0, 0.00020025378830104018)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.00020025378830104018)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR33022240_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.00019910165334012932)	(40.0, 0.0)	(41.0, 0.00019910165334012932)	(42.0, 0.00039820330668025863)	(43.0, 0.0)	(44.0, 0.001194609920040776)	(45.0, 0.0075658628269249135)	(46.0, 0.07705233984263005)	(47.0, 0.5231064105422998)	(48.0, 1.7714737769849105)	(49.0, 5.5634974992832325)	(50.0, 12.580237966296073)	(51.0, 19.82634353795674)	(52.0, 24.611818143204527)	(53.0, 16.42535546281843)	(54.0, 6.403905578031919)	(55.0, 3.0691519862380936)	(56.0, 3.4115404627653363)	(57.0, 3.3775604472619536)	(58.0, 1.762646937020165)	(59.0, 0.49815233665700354)	(60.0, 0.0760568315759294)	(61.0, 0.008163167786945303)	(62.0, 0.0009955082667006466)	(63.0, 0.00039820330668025863)	(64.0, 0.00019910165334012932)	(65.0, 0.00019910165334012932)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.00019910165334012932)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.00019910165334012932)	(75.0, 0.00019910165334012932)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.00019910165334012932)	(79.0, 0.00019910165334012932)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.00019910165334012932)	(92.0, 0.00019910165334012932)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.00019910165334012932)	(97.0, 0.00019910165334012932)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0007964066133605173)
SRR33022241_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.00026814593842698886)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.000603328361460725)	(43.0, 0.029965308619216004)	(44.0, 0.028557542442474316)	(45.0, 0.00040221890764048336)	(46.0, 0.00020110945382024168)	(47.0, 0.003418860714944108)	(48.0, 0.12388342355326887)	(49.0, 0.013139150982922456)	(50.0, 0.042836313663711476)	(51.0, 0.67411888920545)	(52.0, 1.337377867904607)	(53.0, 4.130989290921584)	(54.0, 12.036803030049104)	(55.0, 21.048115436826492)	(56.0, 19.68378890210997)	(57.0, 16.08654410162731)	(58.0, 13.230387638472237)	(59.0, 8.824682833632204)	(60.0, 2.4597697296753758)	(61.0, 0.23831470277698635)	(62.0, 0.005027736345506041)	(63.0, 0.00040221890764048336)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.00020110945382024168)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.00020110945382024168)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR33022241_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.000608119613073761)	(42.0, 0.0008108261507650146)	(43.0, 0.0004054130753825073)	(44.0, 0.0008108261507650146)	(45.0, 0.0016216523015300291)	(46.0, 0.00979748265507726)	(47.0, 0.1058128126748344)	(48.0, 0.9979242850540417)	(49.0, 4.022508533945237)	(50.0, 10.377831472487317)	(51.0, 19.366582611022373)	(52.0, 23.57355409426665)	(53.0, 17.09606668234264)	(54.0, 7.77420113353496)	(55.0, 2.4572086498933765)	(56.0, 3.0237734227404305)	(57.0, 5.69808077450114)	(58.0, 4.071766222604212)	(59.0, 1.2048876600368117)	(60.0, 0.1866927212136446)	(61.0, 0.01885170800528659)	(62.0, 0.003851424216133819)	(63.0, 0.0010135326884562683)	(64.0, 0.0008108261507650146)	(65.0, 0.0004054130753825073)	(66.0, 0.0004054130753825073)	(67.0, 0.0004054130753825073)	(68.0, 0.00020270653769125364)	(69.0, 0.0004054130753825073)	(70.0, 0.0)	(71.0, 0.00020270653769125364)	(72.0, 0.00020270653769125364)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.00020270653769125364)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.00020270653769125364)	(91.0, 0.00020270653769125364)	(92.0, 0.00020270653769125364)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.00020270653769125364)	(99.0, 0.00020270653769125364)	(100.0, 0.0010811015343533527)
SRR33022242_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0001596590534134041)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0001596590534134041)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0004789771602402123)	(46.0, 0.0001596590534134041)	(47.0, 0.0003193181068268082)	(48.0, 0.0001596590534134041)	(49.0, 0.0001596590534134041)	(50.0, 0.0006918558981247511)	(51.0, 0.09435850056732183)	(52.0, 0.10255433197587657)	(53.0, 0.14741852598504313)	(54.0, 1.5489589165323754)	(55.0, 4.189453561567723)	(56.0, 4.703449274189942)	(57.0, 13.87681984711049)	(58.0, 18.13471392290809)	(59.0, 28.207124625599516)	(60.0, 19.64764311305351)	(61.0, 7.773958969752061)	(62.0, 1.478176736185766)	(63.0, 0.07764751964338552)	(64.0, 0.0036721582285082948)	(65.0, 0.004630112548988719)	(66.0, 0.005907384976295952)	(67.0, 0.0004789771602402123)	(68.0, 0.0003193181068268082)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0002128787378845388)	(74.0, 0.0002128787378845388)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR33022242_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.00016010545612710236)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.00016010545612710236)	(47.0, 0.000960632736762614)	(48.0, 0.0044829527715588655)	(49.0, 0.022895080226175635)	(50.0, 0.1310196315973454)	(51.0, 0.7302943538810897)	(52.0, 3.1726497186146596)	(53.0, 3.670470950199197)	(54.0, 5.755470936857075)	(55.0, 9.502579032055781)	(56.0, 15.94255416234159)	(57.0, 21.29391892793386)	(58.0, 21.386619987031455)	(59.0, 11.298001617065104)	(60.0, 4.750755831174133)	(61.0, 1.8292582047375199)	(62.0, 0.42833546362537445)	(63.0, 0.058812070884022266)	(64.0, 0.010887171016642959)	(65.0, 0.006084007332829889)	(66.0, 0.0008005272806355118)	(67.0, 0.0)	(68.0, 0.00016010545612710236)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.00021347394150280312)	(73.0, 0.00016010545612710236)	(74.0, 0.00016010545612710236)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.00016010545612710236)	(78.0, 0.0003202109122542047)	(79.0, 0.00016010545612710236)	(80.0, 0.00016010545612710236)	(81.0, 0.0)	(82.0, 0.00016010545612710236)	(83.0, 0.0003202109122542047)	(84.0, 0.0003202109122542047)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.00016010545612710236)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.00016010545612710236)	(100.0, 0.00021347394150280312)
SRR33022243_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.00016569266992197534)	(35.0, 0.01557511097266568)	(36.0, 0.015409418302743706)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0006627706796879014)	(49.0, 0.0008284633496098766)	(50.0, 0.0003313853398439507)	(51.0, 0.0013255413593758027)	(52.0, 0.006959092136722964)	(53.0, 0.7156818722829854)	(54.0, 2.6290455936519823)	(55.0, 3.5796244409943547)	(56.0, 7.768500829291813)	(57.0, 12.982352073726611)	(58.0, 24.29452203463971)	(59.0, 23.72503632811788)	(60.0, 17.65096397233816)	(61.0, 5.386889622723314)	(62.0, 0.40975797271704495)	(63.0, 0.012095564904304199)	(64.0, 0.0011598486894538274)	(65.0, 0.008284633496098766)	(66.0, 0.6337744624515556)	(67.0, 0.1565795730762667)	(68.0, 0.0029824680585955558)	(69.0, 0.0004970780097659259)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0003313853398439507)	(75.0, 0.00016569266992197534)	(76.0, 0.0)	(77.0, 0.00016569266992197534)	(78.0, 0.00016569266992197534)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.00016569266992197534)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR33022243_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.00016576609630236614)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0003315321926047323)	(47.0, 0.0011603626741165632)	(48.0, 0.009117135296630137)	(49.0, 0.09365784441083688)	(50.0, 0.8817098662322855)	(51.0, 2.0261589951038212)	(52.0, 2.979811347131334)	(53.0, 5.3351818094916545)	(54.0, 6.578759063952005)	(55.0, 9.478836918761901)	(56.0, 14.000770259794146)	(57.0, 19.766999175037387)	(58.0, 16.930741267303905)	(59.0, 11.569147393134738)	(60.0, 6.931896104441479)	(61.0, 2.1502072905034253)	(62.0, 0.3464511412719452)	(63.0, 0.276166316439742)	(64.0, 0.4482315244015981)	(65.0, 0.16079311341329516)	(66.0, 0.025030680541657288)	(67.0, 0.0034810880223496887)	(68.0, 0.0006630643852094646)	(69.0, 0.0003315321926047323)	(70.0, 0.0)	(71.0, 0.0006630643852094646)	(72.0, 0.00016576609630236614)	(73.0, 0.0)	(74.0, 0.00016576609630236614)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.00016576609630236614)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.00016576609630236614)	(82.0, 0.00016576609630236614)	(83.0, 0.00016576609630236614)	(84.0, 0.0)	(85.0, 0.00016576609630236614)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.00016576609630236614)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0003315321926047323)	(99.0, 0.0003315321926047323)	(100.0, 0.0015471502321554172)
SRR33022244_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.00015371206962541906)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.00015371206962541906)	(40.0, 0.0003074241392508381)	(41.0, 0.00015371206962541906)	(42.0, 0.0003074241392508381)	(43.0, 0.00015371206962541906)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.00015371206962541906)	(48.0, 0.00046113620887625723)	(49.0, 0.0012296965570033525)	(50.0, 0.0013834086266287715)	(51.0, 0.008249214403230823)	(52.0, 0.13859704944558618)	(53.0, 3.1196376904044207)	(54.0, 2.951015550025337)	(55.0, 3.4088725680829186)	(56.0, 6.621915959463053)	(57.0, 12.475630232294803)	(58.0, 19.73360673586784)	(59.0, 25.471473345558564)	(60.0, 16.749133192020704)	(61.0, 8.77588319112405)	(62.0, 0.518317098776913)	(63.0, 0.017062039728421515)	(64.0, 0.001844544835505029)	(65.0, 0.002766817253257543)	(66.0, 0.0007685603481270952)	(67.0, 0.00015371206962541906)	(68.0, 0.00015371206962541906)	(69.0, 0.00015371206962541906)	(70.0, 0.0)	(71.0, 0.00015371206962541906)	(72.0, 0.00015371206962541906)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR33022244_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.00015057088952764408)	(45.0, 0.00030114177905528816)	(46.0, 0.0004517126685829322)	(47.0, 0.0010539962266935086)	(48.0, 0.007377973586854559)	(49.0, 0.06474548249688694)	(50.0, 0.8749674390451396)	(51.0, 2.444668962370829)	(52.0, 3.5727962570084473)	(53.0, 5.315252780918855)	(54.0, 9.770243879669769)	(55.0, 11.331111910809835)	(56.0, 15.534649624049585)	(57.0, 15.8419648095755)	(58.0, 15.311453375473102)	(59.0, 13.267704501617883)	(60.0, 5.541008734617302)	(61.0, 0.983328289208534)	(62.0, 0.11659205879090573)	(63.0, 0.012045671162211525)	(64.0, 0.003161988680080525)	(65.0, 0.0007528544476382203)	(66.0, 0.0004517126685829322)	(67.0, 0.00030114177905528816)	(68.0, 0.00015057088952764408)	(69.0, 0.0007528544476382203)	(70.0, 0.0004517126685829322)	(71.0, 0.0)	(72.0, 0.00015057088952764408)	(73.0, 0.0)	(74.0, 0.0004517126685829322)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.00015057088952764408)	(80.0, 0.00030114177905528816)	(81.0, 0.00015057088952764408)	(82.0, 0.00030114177905528816)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.00015057088952764408)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.00015057088952764408)	(92.0, 0.0)	(93.0, 0.00015057088952764408)	(94.0, 0.00015057088952764408)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
