Sample	0	1	2	3	4	5	6	7	8	9	10	11
SRR33022240_1	(28.0, 101.0)	(29.0, 1090.0)	(30.0, 2336.0)	(31.0, 4121.0)	(32.0, 7718.0)	(33.0, 14024.0)	(34.0, 26939.0)	(35.0, 54756.0)	(36.0, 131796.0)	(37.0, 133342.0)		
SRR33022240_2	(27.0, 265.0)	(28.0, 11013.0)	(29.0, 27893.0)	(30.0, 35935.0)	(31.0, 46787.0)	(32.0, 57917.0)	(33.0, 70006.0)	(34.0, 72229.0)	(35.0, 46264.0)	(36.0, 7885.0)	(37.0, 29.0)	
SRR33022241_1	(27.0, 1.0)	(28.0, 86.0)	(29.0, 1066.0)	(30.0, 2237.0)	(31.0, 4011.0)	(32.0, 7509.0)	(33.0, 14002.0)	(34.0, 26246.0)	(35.0, 53088.0)	(36.0, 128937.0)	(37.0, 132302.0)	
SRR33022241_2	(27.0, 272.0)	(28.0, 10195.0)	(29.0, 26480.0)	(30.0, 34479.0)	(31.0, 44312.0)	(32.0, 55913.0)	(33.0, 67593.0)	(34.0, 71328.0)	(35.0, 49282.0)	(36.0, 9580.0)	(37.0, 51.0)	
SRR33022242_1	(27.0, 9.0)	(28.0, 201.0)	(29.0, 1271.0)	(30.0, 2597.0)	(31.0, 5188.0)	(32.0, 11289.0)	(33.0, 24033.0)	(34.0, 50879.0)	(35.0, 107630.0)	(36.0, 194865.0)	(37.0, 71178.0)	
SRR33022242_2	(27.0, 238.0)	(28.0, 18175.0)	(29.0, 55123.0)	(30.0, 67636.0)	(31.0, 78001.0)	(32.0, 86586.0)	(33.0, 84579.0)	(34.0, 58347.0)	(35.0, 18958.0)	(36.0, 1491.0)	(37.0, 6.0)	
SRR33022243_1	(27.0, 9.0)	(28.0, 231.0)	(29.0, 1134.0)	(30.0, 2216.0)	(31.0, 4439.0)	(32.0, 9490.0)	(33.0, 21725.0)	(34.0, 47792.0)	(35.0, 104226.0)	(36.0, 192393.0)	(37.0, 69512.0)	
SRR33022243_2	(27.0, 206.0)	(28.0, 16912.0)	(29.0, 53609.0)	(30.0, 66396.0)	(31.0, 76043.0)	(32.0, 84019.0)	(33.0, 80478.0)	(34.0, 55726.0)	(35.0, 18482.0)	(36.0, 1293.0)	(37.0, 3.0)	
SRR33022244_1	(27.0, 13.0)	(28.0, 289.0)	(29.0, 1748.0)	(30.0, 3495.0)	(31.0, 6947.0)	(32.0, 14175.0)	(33.0, 29092.0)	(34.0, 58133.0)	(35.0, 116660.0)	(36.0, 200049.0)	(37.0, 66757.0)	
SRR33022244_2	(27.0, 237.0)	(28.0, 17392.0)	(29.0, 53938.0)	(30.0, 67240.0)	(31.0, 79900.0)	(32.0, 90617.0)	(33.0, 92001.0)	(34.0, 68549.0)	(35.0, 25247.0)	(36.0, 2232.0)	(37.0, 5.0)	
