Sample	Unique Reads	Duplicate Reads
SRR33022240_1	8086.0	368137.0
SRR33022240_2	2796.0	373427.0
SRR33022241_1	8443.0	361042.0
SRR33022241_2	3031.0	366454.0
SRR33022242_1	7053.0	462087.0
SRR33022242_2	1943.0	467197.0
SRR33022243_1	7893.0	445274.0
SRR33022243_2	1569.0	451598.0
SRR33022244_1	7921.0	489437.0
SRR33022244_2	2112.0	495246.0
SRR33022245_1	5194.0	429537.0
SRR33022245_2	1849.0	432882.0
SRR33022246_1	5972.0	308116.0
SRR33022246_2	1227.0	312861.0
SRR33022247_1	8418.0	314581.0
SRR33022247_2	2397.0	320602.0
SRR33022248_1	25538.0	1355840.0
SRR33022248_2	4781.0	1376597.0
SRR33022249_1	59799.0	9481454.0
SRR33022249_2	21345.0	9519908.0
SRR33022250_1	6817.0	318543.0
SRR33022250_2	2166.0	323194.0
SRR33022251_1	6739.0	492684.0
SRR33022251_2	1739.0	497684.0
SRR33022252_1	9698.0	411935.0
SRR33022252_2	3095.0	418538.0
SRR33022253_1	14329.0	636102.0
SRR33022253_2	2823.0	647608.0
SRR33022254_1	10072.0	381949.0
SRR33022254_2	2811.0	389210.0
SRR33022255_1	7984.0	325067.0
SRR33022255_2	2418.0	330633.0
SRR33022256_1	8184.0	330938.0
SRR33022256_2	2516.0	336606.0
SRR33022257_1	9268.0	383822.0
SRR33022257_2	2322.0	390768.0
SRR33022258_1	10674.0	454588.0
SRR33022258_2	2739.0	462523.0
SRR33022259_1	7591.0	365801.0
SRR33022259_2	3085.0	370307.0
SRR33022260_1	6373.0	270844.0
SRR33022260_2	3051.0	274166.0
SRR33022261_1	6496.0	281331.0
SRR33022261_2	2412.0	285415.0
SRR33022262_1	7173.0	426554.0
SRR33022262_2	1879.0	431848.0
SRR33022263_1	7323.0	521878.0
SRR33022263_2	1713.0	527488.0
SRR33075535_1	36632.0	1249555.0
SRR33075535_2	957675.0	328512.0
SRR33075536_1	33913.0	980973.0
SRR33075536_2	653770.0	361116.0
SRR33075537_1	36954.0	1091432.0
SRR33075537_2	746333.0	382053.0
SRR33075538_1	40604.0	1123049.0
SRR33075538_2	751889.0	411764.0
SRR33075539_1	60285.0	1585327.0
SRR33075539_2	1063878.0	581734.0
SRR33075540_1	44070.0	1121463.0
SRR33075540_2	768542.0	396991.0
SRR33075541_1	21816.0	300136.0
SRR33075541_2	209945.0	112007.0
SRR33075542_1	24813.0	338410.0
SRR33075542_2	213612.0	149611.0
SRR33075543_1	24300.0	334509.0
SRR33075543_2	264579.0	94230.0
SRR33075544_1	20922.0	303984.0
SRR33075544_2	192067.0	132839.0
SRR33075545_1	28025.0	360172.0
SRR33075545_2	233332.0	154865.0
SRR33075546_1	23905.0	303015.0
SRR33075546_2	198863.0	128057.0
SRR33075547_1	50105.0	1350533.0
SRR33075547_2	1029703.0	370935.0
SRR33075548_1	33275.0	394918.0
SRR33075548_2	291435.0	136758.0
SRR33075549_1	35248.0	359220.0
SRR33075549_2	253404.0	141064.0
SRR33075550_1	32507.0	397390.0
SRR33075550_2	331705.0	98192.0
SRR33075551_1	31063.0	382217.0
SRR33075551_2	265920.0	147360.0
SRR33075552_1	32951.0	332393.0
SRR33075552_2	252593.0	112751.0
SRR33075553_1	33133.0	324675.0
SRR33075553_2	234175.0	123633.0
SRR33075554_1	24868.0	352823.0
SRR33075554_2	280932.0	96759.0
SRR33075555_1	23650.0	388761.0
SRR33075555_2	285616.0	126795.0
SRR33075556_1	27712.0	436410.0
SRR33075556_2	354311.0	109811.0
SRR33075557_1	23355.0	397267.0
SRR33075557_2	286673.0	133949.0
SRR33075558_1	46439.0	1041160.0
SRR33075558_2	718095.0	369504.0
SRR33075559_1	26786.0	400872.0
SRR33075559_2	294290.0	133368.0
SRR33075560_1	20955.0	328512.0
SRR33075560_2	254304.0	95163.0
SRR33075561_1	36874.0	334752.0
SRR33075561_2	268408.0	103218.0
SRR33075562_1	34106.0	288951.0
SRR33075562_2	220168.0	102889.0
SRR33075563_1	45305.0	492833.0
SRR33075563_2	417712.0	120426.0
SRR33075564_1	35573.0	348740.0
SRR33075564_2	253566.0	130747.0
SRR33075565_1	41024.0	346345.0
SRR33075565_2	259296.0	128073.0
SRR33075566_1	31388.0	281299.0
SRR33075566_2	221777.0	90910.0
SRR33075567_1	47431.0	1415203.0
SRR33075567_2	953762.0	508872.0
SRR33075568_1	38088.0	1212342.0
SRR33075568_2	801452.0	448978.0
SRR33075569_1	46035.0	1150480.0
SRR33075569_2	799594.0	396921.0
SRR33075570_1	52560.0	1346222.0
SRR33075570_2	937126.0	461656.0
