Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR22279249_1.pr	98.21082725532567	57.0	265.5347671438593	274	40.0	1418365.0
SRR22279249_2.pr	96.08669136646773	58.0	264.9844941182277	256	40.0	1418365.0
SRR22279250_1.pr	92.72543625190508	59.0	268.60330693140395	278	40.0	1225668.0
SRR22279250_2.pr	90.88550510741295	60.0	265.93716732426725	256	40.0	1225668.0
SRR22279251_1.pr	96.86079765889995	51.0	265.2040901977902	272	40.0	1308103.0
SRR22279251_2.pr	94.17484708772933	52.0	264.1318076634638	256	40.0	1308103.0
SRR22279252_1.pr	98.13454699624215	57.0	265.2043808228258	260	40.0	1210001.0
SRR22279252_2.pr	95.90727610968916	58.0	265.3183162658543	274	40.0	1210001.0
SRR22279253_1.pr	92.40838610050983	59.0	269.22565493339164	278	40.0	1526911.0
SRR22279253_2.pr	90.5324438778483	61.0	265.43685257359465	256	40.0	1526911.0
SRR22279254_1.pr	96.51007320162192	50.0	265.46695400850825	272	40.0	1786026.0
SRR22279254_2.pr	93.44200607548362	51.0	264.0595288086512	256	40.0	1786026.0
SRR22279255_1.pr	98.16244161516126	57.0	265.5083287082149	274	40.0	1430594.0
SRR22279255_2.pr	95.70059709463342	58.0	265.03050061722615	256	40.0	1430594.0
SRR22279256_1.pr	91.22093519520564	59.0	268.44162068258294	278	40.0	1233579.0
SRR22279256_2.pr	89.16585585943865	60.0	265.94942196648935	256	40.0	1233579.0
SRR22279257_1.pr	92.27534722041392	59.0	268.85080677157987	278	40.0	1776897.0
SRR22279257_2.pr	90.38171619602711	61.0	265.67275086850844	256	40.0	1776897.0
SRR22279258_1.pr	96.82192248820174	50.0	265.3387593601754	272	40.0	1791366.0
SRR22279258_2.pr	94.18740312111545	51.0	264.05133289344553	256	40.0	1791366.0
SRR22279259_1.pr	96.57427577220412	51.0	265.6052630275125	272	40.0	1211014.0
SRR22279259_2.pr	94.35671263916024	52.0	263.69598534781596	256	40.0	1211014.0
SRR22279260_1.pr	97.65330439627739	57.0	265.99173149617684	274	40.0	1231178.0
SRR22279260_2.pr	95.4105742630229	58.0	264.6009659041991	256	40.0	1231178.0
