Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR22279249_1	99.3836176601806	57.0	301.0	301	40.0	1947817.0
SRR22279249_2	95.60867371010727	58.0	301.0	301	40.0	1947817.0
SRR22279250_1	98.66179297513347	58.0	301.0	301	40.0	1700559.0
SRR22279250_2	94.86280687703278	60.0	301.0	301	50.0	1700559.0
SRR22279251_1	98.7152658138975	51.0	301.0	301	40.0	1541097.0
SRR22279251_2	94.77138687571257	51.0	301.0	301	40.0	1541097.0
SRR22279252_1	99.29939627046318	56.0	301.0	301	40.0	1672272.0
SRR22279252_2	95.63725279141192	57.0	301.0	301	40.0	1672272.0
SRR22279253_1	98.4318794887495	58.0	301.0	301	30.0	2203147.0
SRR22279253_2	94.13093859522063	60.0	301.0	301	40.0	2203147.0
SRR22279254_1	98.65513831580023	50.0	301.0	301	40.0	2171227.0
SRR22279254_2	93.92429911684506	51.0	301.0	301	40.0	2171227.0
SRR22279255_1	99.31977219147852	57.0	301.0	301	40.0	2057693.0
SRR22279255_2	95.22761655893275	58.0	301.0	301	40.0	2057693.0
SRR22279256_1	98.23523108559166	58.0	301.0	301	40.0	1371851.0
SRR22279256_2	95.45096369795262	59.0	301.0	301	30.0	1371851.0
SRR22279257_1	98.81265850881483	59.0	301.0	301	40.0	2432830.0
SRR22279257_2	95.02938245507012	60.0	301.0	301	40.0	2432830.0
SRR22279258_1	98.90785152401907	50.0	301.0	301	40.0	2134783.0
SRR22279258_2	94.54892382199729	51.0	301.0	301	40.0	2134783.0
SRR22279259_1	98.00054668911406	51.0	301.0	301	30.0	1287752.0
SRR22279259_2	95.56941088035585	52.0	301.0	301	30.0	1287752.0
SRR22279260_1	98.94407170356766	57.0	301.0	301	40.0	1398201.0
SRR22279260_2	95.38528437613762	57.0	301.0	301	30.0	1398201.0
