.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR22279249_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279249_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR22279250_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279250_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279251_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279251_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279252_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279252_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR22279253_1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR22279253_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR22279254_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279254_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279255_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279255_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR22279256_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279256_2	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR22279257_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279257_2	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
SRR22279258_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279258_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279259_1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR22279259_2	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR22279260_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR22279260_2	1	1	1	0.25	0.5	1	1	0.25	0.25	1
