Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
SRR22279250_1 - illumina_universal_adapter	(1, 5.8804193209409377e-05)	(2, 5.8804193209409377e-05)	(3, 5.8804193209409377e-05)	(4, 5.8804193209409377e-05)	(5, 5.8804193209409377e-05)	(6, 5.8804193209409377e-05)	(7, 5.8804193209409377e-05)	(8, 5.8804193209409377e-05)	(9, 5.8804193209409377e-05)	(10, 0.00011760838641881874)	(15, 0.0001411300637025825)	(20, 0.00017641257962822812)	(25, 0.00017641257962822812)	(30, 0.00017641257962822812)	(35, 0.00021169509555387373)	(40, 0.00037634683654022)	(45, 0.0006350852866616213)	(50, 0.0008820628981411405)	(55, 0.00131721392789077)	(60, 0.0018111691508498086)	(65, 0.00395164178367231)	(70, 0.0054335074525494265)	(75, 0.006115636093778575)	(80, 0.007526936730804399)	(85, 0.008456042983513068)	(90, 0.009326345043012326)	(95, 0.010620037293619333)	(100, 0.011455056837192947)	(105, 0.012431206444469142)	(110, 0.01336031269717781)	(115, 0.014877460881980572)	(120, 0.017288432803566355)	(125, 0.019076080277132403)	(130, 0.02128711794180619)	(135, 0.023039482899446594)	(140, 0.024944738759431456)	(145, 0.027014646360402666)	(150, 0.02828481693372591)	(155, 0.030237116148278304)	(160, 0.032283502071965745)	(165, 0.03461214812305835)	(170, 0.03688198998094156)	(175, 0.03885781087277772)	(180, 0.04140991285806608)	(185, 0.04387968897286128)	(190, 0.04650235599000093)	(195, 0.04940728313454575)	(200, 0.05245334034279316)	(205, 0.055946309419432086)	(210, 0.059274626755084645)	(215, 0.0624853357043184)	(220, 0.06648402084255825)	(225, 0.06978881650092705)	(230, 0.07369341493003183)	(235, 0.07837422870950081)	(240, 0.08411351796673917)	(245, 0.08919420026003214)	(250, 0.0937691664917242)	(255, 0.09703867963416735)	(260, 0.10188414515462267)	(265, 0.10851725814864406)	(270, 0.11584426062253646)	(275, 0.1225126561324835)	(280, 0.1296397243494639)	(285, 0.1392953728744489)	(290, 0.146657657864267)
SRR22279250_2 - illumina_universal_adapter	(1, 0.00011760838641881875)	(2, 0.00011760838641881875)	(3, 0.00011760838641881875)	(4, 0.00011760838641881875)	(5, 0.00011760838641881875)	(6, 0.00011760838641881875)	(7, 0.00011760838641881875)	(8, 0.00011760838641881875)	(9, 0.00011760838641881875)	(10, 0.00017641257962822812)	(15, 0.00019993425691199187)	(20, 0.00023521677283763748)	(25, 0.00023521677283763748)	(30, 0.00023521677283763748)	(35, 0.00030578180468892875)	(40, 0.0004939552229590387)	(45, 0.00075269367308044)	(50, 0.0010467146391274868)	(55, 0.0015524307007284076)	(60, 0.002058146762329328)	(65, 0.00413981520194242)	(70, 0.005562876677610127)	(75, 0.006186201125629866)	(80, 0.007585740924013809)	(85, 0.008514847176722478)	(90, 0.009432192590789264)	(95, 0.010831732389173208)	(100, 0.011901968705584458)	(105, 0.012842835796935006)	(110, 0.01380722456556932)	(115, 0.015383176943581493)	(120, 0.01787647473566045)	(125, 0.01971116556379402)	(130, 0.02207509413081228)	(135, 0.023827459088452678)	(140, 0.025697432432511897)	(145, 0.027732057517557463)	(150, 0.029025749768164473)	(155, 0.030989809821358738)	(160, 0.03307147826097183)	(165, 0.03537660263478068)	(170, 0.03768172700858953)	(175, 0.039704591254993205)	(180, 0.04209204149929523)	(185, 0.044432448389029724)	(190, 0.04706687624481126)	(195, 0.049560174036890225)	(200, 0.052500383697360695)	(205, 0.0556052450988175)	(210, 0.05841608553422728)	(215, 0.061226925969637046)	(220, 0.06464933001442466)	(225, 0.06746017044983443)	(230, 0.07061207520585878)	(235, 0.07444610860311227)	(240, 0.07872705386875727)	(245, 0.08226706629996372)	(250, 0.08600701298808215)	(255, 0.08859439748929618)	(260, 0.09206384488865131)	(265, 0.09633302931565445)	(270, 0.10062573541994131)	(275, 0.10427159539892472)	(280, 0.10772928195963798)	(285, 0.11243361741639073)	(290, 0.11590306481574589)
SRR22279251_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.2977768433784504e-05)	(35, 6.488884216892252e-05)	(40, 6.488884216892252e-05)	(45, 6.488884216892252e-05)	(50, 6.488884216892252e-05)	(55, 0.00027253313710947464)	(60, 0.00040231082144731963)	(65, 0.0005839995795203027)	(70, 0.0007916438744608548)	(75, 0.000973332632533838)	(80, 0.0011160880853054674)	(85, 0.0013107546118122351)	(90, 0.0017779542754284773)	(95, 0.002154309560008228)	(100, 0.0027902202132636684)	(105, 0.003594841856158308)	(110, 0.004555196720258362)	(115, 0.006411017606289546)	(120, 0.008500438324128851)	(125, 0.0101356371467857)	(130, 0.012263991169926356)	(135, 0.01785740936488748)	(140, 0.018804786460553752)	(145, 0.01951856372441189)	(150, 0.02071251842032007)	(155, 0.024372249118647302)	(160, 0.04674592189849179)	(165, 0.053442450410324596)	(170, 0.05758235854070185)	(175, 0.06242306616650347)	(180, 0.06503159762169415)	(185, 0.06701719619206319)	(190, 0.07113114878557288)	(195, 0.07909949860391656)	(200, 0.091298600931674)	(205, 0.09665841929482702)	(210, 0.10615814578835725)	(215, 0.11136223093030484)	(220, 0.11606018310333484)	(225, 0.12504079885951372)	(230, 0.13364505933111284)	(235, 0.14202869773933763)	(240, 0.1526964233919085)	(245, 0.1679453013016053)	(250, 0.17843133819610318)	(255, 0.18706155420456988)	(260, 0.1971452802776204)	(265, 0.20484109695885463)	(270, 0.21736464349745668)	(275, 0.22990116780449252)	(280, 0.24717457758985972)	(285, 0.27845099951528035)	(290, 0.29219445628665813)
SRR22279251_2 - illumina_universal_adapter	(1, 0.00012977768433784505)	(2, 0.00012977768433784505)	(3, 0.00012977768433784505)	(4, 0.00012977768433784505)	(5, 0.00012977768433784505)	(6, 0.00012977768433784505)	(7, 0.00012977768433784505)	(8, 0.00012977768433784505)	(9, 0.00012977768433784505)	(10, 0.00012977768433784505)	(15, 0.00012977768433784505)	(20, 0.00014275545277162954)	(25, 0.00019466652650676757)	(30, 0.00020764429494055206)	(35, 0.0002595553686756901)	(40, 0.0002595553686756901)	(45, 0.0002595553686756901)	(50, 0.0002595553686756901)	(55, 0.00046719966361624226)	(60, 0.0005969773479540871)	(65, 0.0007786661060270704)	(70, 0.0009863104009676224)	(75, 0.0011679991590406054)	(80, 0.001310754611812235)	(85, 0.001544354443620356)	(90, 0.0021023984862730905)	(95, 0.002465776002419056)	(100, 0.003049775581939359)	(105, 0.003789508382665076)	(110, 0.004620085562427284)	(115, 0.006294217690385485)	(120, 0.0082927940291883)	(125, 0.009876081778110007)	(130, 0.011965502495949314)	(135, 0.01780549829115234)	(140, 0.018856697534288886)	(145, 0.01962238587188217)	(150, 0.020842296104657914)	(155, 0.024527982339852712)	(160, 0.04653827760355124)	(165, 0.05328671718911918)	(170, 0.05747853639323158)	(175, 0.06233222178746698)	(180, 0.06496670877952523)	(185, 0.06697826288676183)	(190, 0.07097541556436746)	(195, 0.07894376538271114)	(200, 0.09101309002613073)	(205, 0.09632099731554859)	(210, 0.1061321902514897)	(215, 0.11083014242451968)	(220, 0.11515173931296992)	(225, 0.12360026656336365)	(230, 0.1319968827400222)	(235, 0.13975758826342535)	(240, 0.14921838145165425)	(245, 0.16069072874711976)	(250, 0.16832165658618503)	(255, 0.17519987385609082)	(260, 0.1835835122643156)	(265, 0.18978688557566462)	(270, 0.19955914520630433)	(275, 0.2089680273207981)	(280, 0.2215305071647015)	(285, 0.24387822440767842)	(290, 0.25339092866964247)
SRR22279253_1 - illumina_universal_adapter	(1, 0.00018155847067853392)	(2, 0.00018155847067853392)	(3, 0.00018155847067853392)	(4, 0.00018155847067853392)	(5, 0.00018155847067853392)	(6, 0.00018155847067853392)	(7, 0.00018155847067853392)	(8, 0.00018155847067853392)	(9, 0.00018155847067853392)	(10, 0.00022694808834816741)	(15, 0.00032680524722136106)	(20, 0.0004085065590267013)	(25, 0.000508363717899895)	(30, 0.0010984287476051304)	(35, 0.0019063639421246063)	(40, 0.002786922524915496)	(45, 0.003731026572443873)	(50, 0.004520805919895495)	(55, 0.0058461827558487925)	(60, 0.00717155959180209)	(65, 0.009513663863555179)	(70, 0.01195562529418146)	(75, 0.013653196995025752)	(80, 0.015042119295716536)	(85, 0.01643104159640732)	(90, 0.017892587285369518)	(95, 0.019372288821399568)	(100, 0.020861068280963548)	(105, 0.022195523040450773)	(110, 0.023629834958811193)	(115, 0.025345562506723335)	(120, 0.028050783719833487)	(125, 0.030347498373916947)	(130, 0.032190316851304066)	(135, 0.034114836640496526)	(140, 0.036348005829842496)	(145, 0.038481317860315264)	(150, 0.04013349994348993)	(155, 0.04272978607419296)	(160, 0.04550763067557453)	(165, 0.048031293418006146)	(170, 0.0498831898189272)	(175, 0.05259748895557128)	(180, 0.055357177709885)	(185, 0.05891572373518426)	(190, 0.06249242560755138)	(195, 0.06590572485630783)	(200, 0.0697729202817606)	(205, 0.07422110281338468)	(210, 0.07844233725666058)	(215, 0.08169223388180635)	(220, 0.08583176701327691)	(225, 0.09087909249814016)	(230, 0.09579024912999451)	(235, 0.1018724578977254)	(240, 0.10930727727201135)	(245, 0.11566182374576003)	(250, 0.12026433097746088)	(255, 0.12562938378601157)	(260, 0.13150280031246214)	(265, 0.13815691826283039)	(270, 0.14656307545524655)	(275, 0.15401605067660035)	(280, 0.16352063661662158)	(285, 0.17414180715131583)	(290, 0.17996983406009676)
SRR22279253_2 - illumina_universal_adapter	(1, 0.0004992857943659683)	(2, 0.0005446754120356018)	(3, 0.0005446754120356018)	(4, 0.0005446754120356018)	(5, 0.0005446754120356018)	(6, 0.0005446754120356018)	(7, 0.0005446754120356018)	(8, 0.0005446754120356018)	(9, 0.0005446754120356018)	(10, 0.0005446754120356018)	(15, 0.0006445325709087955)	(20, 0.0007262338827141357)	(25, 0.0008442468886551829)	(30, 0.001497857383097905)	(35, 0.002333026348219161)	(40, 0.0032771303957475372)	(45, 0.004194000672674133)	(50, 0.004947468325990049)	(55, 0.006227455544273714)	(60, 0.007561910303760938)	(65, 0.009913092499047954)	(70, 0.012318742235538528)	(75, 0.013970924318713187)	(80, 0.01538708039000575)	(85, 0.016748768920094755)	(90, 0.018255704226726586)	(95, 0.01967186029801915)	(100, 0.021088016369311714)	(105, 0.02251325036413821)	(110, 0.02394756228249863)	(115, 0.02561790021274114)	(120, 0.02825049803757988)	(125, 0.030574446462265113)	(130, 0.03239910909258438)	(135, 0.03432362888177684)	(140, 0.03656587599465673)	(145, 0.0387990451840027)	(150, 0.04048753896131306)	(155, 0.04303843547434647)	(160, 0.04584351384632982)	(165, 0.048285475276956105)	(170, 0.0500193586719361)	(175, 0.05268826819091055)	(180, 0.05528455432161359)	(185, 0.05881586657631107)	(190, 0.062247321672135356)	(195, 0.0653247377501365)	(200, 0.06905576432258038)	(205, 0.07332238838352592)	(210, 0.07715327211484299)	(215, 0.07990388294562278)	(220, 0.08378923421814341)	(225, 0.08831911806157283)	(230, 0.09235879403417022)	(235, 0.09717917143068529)	(240, 0.10305258795713586)	(245, 0.10790019912425272)	(250, 0.11154044646135733)	(255, 0.11559827828102257)	(260, 0.11969242179482349)	(265, 0.12432216279712609)	(270, 0.12909715057597154)	(275, 0.13351809933699385)	(280, 0.1389103859161463)	(285, 0.14467486736018978)	(290, 0.14792476398533552)
SRR22279254_1 - illumina_universal_adapter	(1, 9.211381398628517e-05)	(2, 9.211381398628517e-05)	(3, 9.211381398628517e-05)	(4, 9.211381398628517e-05)	(5, 9.211381398628517e-05)	(6, 9.211381398628517e-05)	(7, 9.211381398628517e-05)	(8, 9.211381398628517e-05)	(9, 9.211381398628517e-05)	(10, 9.211381398628517e-05)	(15, 9.211381398628517e-05)	(20, 9.211381398628517e-05)	(25, 0.00013817072097942776)	(30, 0.0001658048651753133)	(35, 0.00020265039076982735)	(40, 0.00023028453496571293)	(45, 0.00024870729776296996)	(50, 0.00048820321412731146)	(55, 0.0008935039956669662)	(60, 0.0010777316236395365)	(65, 0.0014922437865778197)	(70, 0.0021462518658804447)	(75, 0.0028186827079803266)	(80, 0.003527959075674722)	(85, 0.003988528145606148)	(90, 0.004688593131901915)	(95, 0.005858438569527736)	(100, 0.00696380433736316)	(105, 0.008492893649535493)	(110, 0.010399649599051595)	(115, 0.014609250898224829)	(120, 0.0191228277835528)	(125, 0.022033624305519417)	(130, 0.026160323172104993)	(135, 0.040972224461099646)	(140, 0.04308163080138558)	(145, 0.04510813470908385)	(150, 0.04881111003133251)	(155, 0.057239524011077604)	(160, 0.10802186966171663)	(165, 0.12501686834218623)	(170, 0.13771936329089499)	(175, 0.15406956527346058)	(180, 0.1612083858573977)	(185, 0.16588776760790097)	(190, 0.17269497846148746)	(195, 0.19515232631134377)	(200, 0.24143951783945203)	(205, 0.26174140244202937)	(210, 0.2795193685413824)	(215, 0.28855573369343696)	(220, 0.29734339154772854)	(225, 0.31780186963408247)	(230, 0.3310662588481076)	(235, 0.3446530464110846)	(240, 0.3623849556034445)	(245, 0.3773166048506213)	(250, 0.39152976634870507)	(255, 0.4055034319304246)	(260, 0.42142069898725465)	(265, 0.43312836474491145)	(270, 0.44766392459194726)	(275, 0.46342459816500065)	(280, 0.48154338537610303)	(285, 0.5061009281848466)	(290, 0.5199364230455866)
SRR22279254_2 - illumina_universal_adapter	(1, 9.211381398628517e-05)	(2, 9.211381398628517e-05)	(3, 9.211381398628517e-05)	(4, 9.211381398628517e-05)	(5, 9.211381398628517e-05)	(6, 9.211381398628517e-05)	(7, 9.211381398628517e-05)	(8, 9.211381398628517e-05)	(9, 9.211381398628517e-05)	(10, 9.211381398628517e-05)	(15, 9.211381398628517e-05)	(20, 9.211381398628517e-05)	(25, 0.00013817072097942776)	(30, 0.0001658048651753133)	(35, 0.00020265039076982735)	(40, 0.00023028453496571293)	(45, 0.00024870729776296996)	(50, 0.0005066259769245685)	(55, 0.0008935039956669662)	(60, 0.0011237885306326792)	(65, 0.0015383006935709622)	(70, 0.0021462518658804447)	(75, 0.0027818371823858123)	(80, 0.0034450566430870655)	(85, 0.0038872029502212352)	(90, 0.004550422410922487)	(95, 0.005766324755541452)	(100, 0.006936170193167274)	(105, 0.008492893649535493)	(110, 0.010362804073457082)	(115, 0.0145355598470358)	(120, 0.019076770876559658)	(125, 0.021950721872931758)	(130, 0.02634455080007756)	(135, 0.041110395182079075)	(140, 0.043192167378169125)	(145, 0.045209459904468764)	(150, 0.04891243522671743)	(155, 0.05726715815527349)	(160, 0.1078560647965413)	(165, 0.1247773724258219)	(170, 0.13732327389075394)	(175, 0.15344319133835385)	(180, 0.16048068672690602)	(185, 0.1651877026216052)	(190, 0.1719672793309958)	(195, 0.19421276540868365)	(200, 0.23988279438308385)	(205, 0.2595767278133516)	(210, 0.2762032712378761)	(215, 0.28467774212461433)	(220, 0.2928666601879951)	(225, 0.31219213836231774)	(230, 0.3243695845713046)	(235, 0.3368049494594531)	(240, 0.3529617124326475)	(245, 0.3655444594231741)	(250, 0.3774547755716008)	(255, 0.3896782786875808)	(260, 0.40334796868314554)	(265, 0.4125777728445713)	(270, 0.424414397941809)	(275, 0.4367300148717753)	(280, 0.449358818769295)	(285, 0.4666209475103248)	(290, 0.4765968735650395)
SRR22279256_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.00011663074196833329)	(50, 0.0002915768549208332)	(55, 0.0003061556976668749)	(60, 0.0004956806533654165)	(65, 0.0012246227906674997)	(70, 0.0018369341860012493)	(75, 0.002055616827191874)	(80, 0.002376351367604791)	(85, 0.002769980121747916)	(90, 0.0031198723476529157)	(95, 0.0034406068880658324)	(100, 0.00395086638417729)	(105, 0.004271600924590207)	(110, 0.004971385376400206)	(115, 0.005656590985464165)	(120, 0.007027002203592081)	(125, 0.008207888466021458)	(130, 0.009709509268863747)	(135, 0.010817501317562914)	(140, 0.011458970398388746)	(145, 0.012217070221182912)	(150, 0.013514587225580622)	(155, 0.01412689862091437)	(160, 0.015147417613137287)	(165, 0.01631372503282062)	(170, 0.017888240049393118)	(175, 0.01927323011026708)	(180, 0.020920639340569785)	(185, 0.02237852361517395)	(190, 0.023967617474492494)	(195, 0.02622733810012895)	(200, 0.028093429971622286)	(205, 0.03010531027057603)	(210, 0.032306715525228326)	(215, 0.03482885532029353)	(220, 0.03780293924048602)	(225, 0.04082075968891665)	(230, 0.04340121485496602)	(235, 0.046550244888111034)	(240, 0.05036990168757394)	(245, 0.053927139317608105)	(250, 0.05733858852018185)	(255, 0.06083751077923185)	(260, 0.06580889615563205)	(265, 0.07308373868590685)	(270, 0.0796442179216256)	(275, 0.08562154344750268)	(280, 0.09095739989255393)	(285, 0.09907781530209914)	(290, 0.10722738839713643)
SRR22279257_1 - illumina_universal_adapter	(1, 4.110439282646137e-05)	(2, 8.220878565292273e-05)	(3, 8.220878565292273e-05)	(4, 8.220878565292273e-05)	(5, 0.00016441757130584547)	(6, 0.00016441757130584547)	(7, 0.00016441757130584547)	(8, 0.00016441757130584547)	(9, 0.00016441757130584547)	(10, 0.00019730108556701456)	(15, 0.0002055219641323068)	(20, 0.0002055219641323068)	(25, 0.00022196372126289136)	(30, 0.00024662635695876816)	(35, 0.0002548472355240604)	(40, 0.0003370560211769832)	(45, 0.000600124135266336)	(50, 0.0009454010350086114)	(55, 0.0014550955060567323)	(60, 0.002022336127061899)	(65, 0.0031403756119416483)	(70, 0.004159764554037891)	(75, 0.004907864503479487)	(80, 0.00568062708861696)	(85, 0.006519156702276771)	(90, 0.007242594016022492)	(95, 0.008114007143943475)	(100, 0.009125175207474422)	(105, 0.009939042185438358)	(110, 0.011032419034622229)	(115, 0.012281992576546658)	(120, 0.013794634232560435)	(125, 0.015348380281400675)	(130, 0.016581512066194515)	(135, 0.017559796615464297)	(140, 0.018603848193256414)	(145, 0.019960293156529637)	(150, 0.021218087577019356)	(155, 0.02295269295429602)	(160, 0.024892820295705005)	(165, 0.026923377301332197)	(170, 0.028731970585696494)	(175, 0.03102559570541304)	(180, 0.03332744170369488)	(185, 0.03576904263758668)	(190, 0.0379804589716503)	(195, 0.04061114011254383)	(200, 0.04386660802439957)	(205, 0.04721250560047352)	(210, 0.05044331087663338)	(215, 0.0538303128455338)	(220, 0.05753792907848062)	(225, 0.061344195854210935)	(230, 0.06534776371550827)	(235, 0.06921157664119564)	(240, 0.07397968620906517)	(245, 0.07836963536293123)	(250, 0.08200326368879043)	(255, 0.08603971506434893)	(260, 0.09084070814647961)	(265, 0.09666109017070654)	(270, 0.10322957214437507)	(275, 0.10923081349703842)	(280, 0.11561843614227052)	(285, 0.12326385320799234)	(290, 0.12828681001138592)
