Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR22279249_1	(1, 0.019046963857487637)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00025669762611169327)	(9, 0.01216746747769426)	(10, 0.00014375067062254821)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.00714646191094954)	(85, 0.003295997519274141)	(90, 0.0010781300296691116)	(95, 0.005216095762589607)	(100, 0.0007803607833795474)	(105, 0.00031830505637849964)	(110, 0.00927191825515436)	(115, 0.0)	(120, 0.0028647455074064967)	(125, 0.009251382445065424)	(130, 0.0)	(135, 0.018656783465797865)	(140, 0.013430419798163791)	(145, 0.0)	(150, 0.0)	(155, 0.0014683104213588853)	(160, 0.0010781300296691116)	(165, 0.0)	(170, 0.0034294802848522216)	(175, 7.187533531127411e-05)	(180, 0.0)	(185, 0.0)	(190, 0.00348081981007456)	(195, 0.006879496379793379)	(200, 0.0)	(205, 0.002228135394649497)	(210, 0.009713438172066474)	(215, 0.0)	(220, 0.004558949839743672)	(225, 0.0042303768783207045)	(230, 0.002053581008893546)	(235, 0.018759462516242543)	(240, 0.0067973531394376376)	(245, 0.0005852705875346606)	(250, 0.0018379550029597239)	(255, 0.0)	(260, 0.006366101127569993)	(265, 0.0015812573768480306)	(270, 0.0)	(275, 0.0031419789436071253)	(280, 0.006253154172080847)	(285, 0.0)	(290, 0.002094652629071417)	(295, 0.012177735382738728)	(300, 0.0)
SRR22279249_2	(1, 0.1568935890794669)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0015504536617146274)	(275, 0.001971437768537804)	(280, 0.000985718884268902)	(285, 0.000985718884268902)	(290, 0.012177735382738728)	(295, 0.0)	(300, 0.0)
SRR22279250_1	(1, 0.03263632723122221)	(2, 0.001058475477769369)	(3, 0.0)	(4, 0.00023521677283763753)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0018111691508498086)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0009643887686343137)	(40, 0.010302494650288523)	(45, 0.06860097179809699)	(50, 0.0792915741235676)	(55, 0.059239344239159004)	(60, 0.04512633786890075)	(65, 0.07363461073682243)	(70, 0.035588297730334555)	(75, 0.0498306733256535)	(80, 0.04242134498126792)	(85, 0.09198151901815815)	(90, 0.06695445438823351)	(95, 0.08906483103497144)	(100, 0.0403631982189386)	(105, 0.06867153682994827)	(110, 0.10267212134362877)	(115, 0.007926805244628384)	(120, 0.042797691817808146)	(125, 0.06877738437772521)	(130, 0.06548434955799827)	(135, 0.07489302047150379)	(140, 0.09964958581266514)	(145, 0.0756574749832261)	(150, 0.0269911246831189)	(155, 0.04916030552306624)	(160, 0.08746535697967552)	(165, 0.08210241455897736)	(170, 0.04540859799630592)	(175, 0.03978691712548638)	(180, 0.0618384895790149)	(185, 0.07699821058840065)	(190, 0.09005274148088951)	(195, 0.05873362817755809)	(200, 0.059121735852740186)	(205, 0.03183659020357424)	(210, 0.014771613334203635)	(215, 0.06013316797594203)	(220, 0.029884290989021848)	(225, 0.04622009586259577)	(230, 0.031507286721601545)	(235, 0.024932977920789575)	(240, 0.034188757931950614)	(245, 0.012642901540023017)	(250, 0.0023756894056601386)	(255, 0.0016700390871472264)	(260, 0.004057489331449247)	(265, 0.02996661685951502)	(270, 0.05068921454651088)	(275, 0.014712809140994225)	(280, 0.0018111691508498086)	(285, 0.0)	(290, 0.002246320180599438)	(295, 0.0006233244480197393)	(300, 0.00014701048302352346)
SRR22279250_2	(1, 0.43726798070516815)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0008467803822154949)	(15, 0.00010584754777693687)	(20, 0.004128054363300538)	(25, 0.017323715319492002)	(30, 0.02589736668942389)	(35, 0.045173381223468284)	(40, 0.011313926773490364)	(45, 0.03555301521440891)	(50, 0.00301077469232176)	(55, 0.0)	(60, 0.001575952378012171)	(65, 0.00015289090234446437)	(70, 0.01324270431075899)	(75, 0.06270879163851416)	(80, 0.01862916840874089)	(85, 0.03430636631836943)	(90, 0.007773914342283919)	(95, 0.013960115467913788)	(100, 0.012795792442367481)	(105, 0.0051159648092186155)	(110, 0.010502428907200514)	(115, 0.019593557177375206)	(120, 0.015077395138892564)	(125, 0.018052887315288677)	(130, 0.023627524831540687)	(135, 0.04004565557560778)	(140, 0.018899667697504174)	(145, 0.022216224194514862)	(150, 0.024509587729681828)	(155, 0.03009598608457572)	(160, 0.012219511348915269)	(165, 0.005986266868717874)	(170, 0.015912414682466177)	(175, 0.023615763992898806)	(180, 0.016229957325796986)	(185, 0.030366485373339)	(190, 0.022486723483278147)	(195, 0.017829431381092924)	(200, 0.00822082621067543)	(205, 0.033012674067762426)	(210, 0.0055158333230426)	(215, 0.016782716741965437)	(220, 0.04460886096865795)	(225, 0.0029519704991123508)	(230, 0.017911757251586096)	(235, 0.01650045661456027)	(240, 0.02112246620081985)	(245, 0.028226012740516504)	(250, 0.009926147813748303)	(255, 0.05048928028959889)	(260, 0.003469447399355153)	(265, 0.022780744449325194)	(270, 0.017206106933073183)	(275, 0.02132240045773184)	(280, 0.04966602158466716)	(285, 0.03474151734811906)	(290, 0.05012469429170056)	(295, 0.019017276083922993)	(300, 0.0073211220545714665)
SRR22279251_1	(1, 0.036272862772427694)	(2, 0.0014924433698852181)	(3, 0.0)	(4, 0.0001946665265067676)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0016222210542230632)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0007656883375932857)	(40, 0.009149326745818077)	(45, 0.06972954979472415)	(50, 0.0813186970060937)	(55, 0.06052831197517094)	(60, 0.04616192231897148)	(65, 0.07547870121089068)	(70, 0.03632477384616283)	(75, 0.04935445335368247)	(80, 0.04217774740979965)	(85, 0.09428348767144444)	(90, 0.06802946212989837)	(95, 0.0908833123417929)	(100, 0.04043872643967252)	(105, 0.0689249281518295)	(110, 0.10405574730208415)	(115, 0.007410305775690953)	(120, 0.042489213852210474)	(125, 0.06971657202629036)	(130, 0.0674195070135105)	(135, 0.07645203384342453)	(140, 0.10196632658424486)	(145, 0.07640012276968938)	(150, 0.02686398065793393)	(155, 0.05002929731223927)	(160, 0.08957255772998066)	(165, 0.0841738060615263)	(170, 0.04486414547559303)	(175, 0.038790549848581886)	(180, 0.06150164460770477)	(185, 0.07861932117186653)	(190, 0.09138944531071048)	(195, 0.05898395753155057)	(200, 0.05884120207877895)	(205, 0.031120688704215242)	(210, 0.01402896767692105)	(215, 0.06059320081733986)	(220, 0.02879766815456782)	(225, 0.04439694581197679)	(230, 0.029433578807823255)	(235, 0.02439820465551487)	(240, 0.03406664213868433)	(245, 0.012199102327757436)	(250, 0.0022711094759122886)	(255, 0.0014794656014514337)	(260, 0.003906308298569136)	(265, 0.02871980154396511)	(270, 0.050133119459709545)	(275, 0.015183989067527872)	(280, 0.0019855985703690292)	(285, 0.0)	(290, 0.002050487412537952)	(295, 0.0008565327166297773)	(300, 0.0001946665265067676)
SRR22279251_2	(1, 0.4368965743233554)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0007916438744608547)	(15, 9.084437903649154e-05)	(20, 0.003984174909171843)	(25, 0.01742914300657259)	(30, 0.026435714299619037)	(35, 0.04553898943414983)	(40, 0.010745592263173571)	(45, 0.03494913039218168)	(50, 0.0032963531821812646)	(55, 0.0)	(60, 0.0016611543595244167)	(65, 0.0002076442949405521)	(70, 0.012380791085830418)	(75, 0.06353915425180894)	(80, 0.018337586796937505)	(85, 0.03359944247506809)	(90, 0.007358394701955814)	(95, 0.01313350165498992)	(100, 0.012251013401492572)	(105, 0.004892618699536759)	(110, 0.00985012624124244)	(115, 0.01889563083959024)	(120, 0.01457403395114)	(125, 0.016858121195486072)	(130, 0.02350273863358374)	(135, 0.04008832669196034)	(140, 0.018285675723202367)	(145, 0.0210239848627309)	(150, 0.024527982339852716)	(155, 0.029225934512882707)	(160, 0.01183572481161147)	(165, 0.00538577390002057)	(170, 0.014833589319815689)	(175, 0.022256872863940427)	(180, 0.01520994460439544)	(185, 0.029861845166138146)	(190, 0.021867539810926893)	(195, 0.017000876648257703)	(200, 0.00760497230219772)	(205, 0.03223677678952071)	(210, 0.005554484889659769)	(215, 0.0156641664995779)	(220, 0.04325490218980376)	(225, 0.0029589312029028674)	(230, 0.016377943763436046)	(235, 0.016468788142472535)	(240, 0.019933852314293)	(245, 0.027344158089983955)	(250, 0.009408882114493766)	(255, 0.05018503053344468)	(260, 0.0035299530139893853)	(265, 0.02123162915767145)	(270, 0.016416877068737398)	(275, 0.020764429494055207)	(280, 0.04967889756452709)	(285, 0.035014019234350595)	(290, 0.049925475164768994)	(295, 0.01823376464946723)	(300, 0.006651106322314559)
SRR22279252_1	(1, 0.033786369681487224)	(2, 0.000837184381488179)	(3, 0.0)	(4, 5.979888439201279e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0017102480936115657)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0012916559028674762)	(40, 0.011493345580144856)	(45, 0.06897203325774755)	(50, 0.08069261459858204)	(55, 0.060313154797784096)	(60, 0.04640393428820192)	(65, 0.07407885798482543)	(70, 0.036800233454844664)	(75, 0.050960609278873296)	(80, 0.044083737573791824)	(85, 0.09250887415444377)	(90, 0.06747706114794721)	(95, 0.08931561372791029)	(100, 0.04178746041313853)	(105, 0.06888831481959873)	(110, 0.10354774821320933)	(115, 0.009053551096950734)	(120, 0.043091076092884414)	(125, 0.06960590143230289)	(130, 0.06650831922079661)	(135, 0.07587282451658582)	(140, 0.10131126993694806)	(145, 0.0767339284518308)	(150, 0.02793803878794837)	(155, 0.05064965508003483)	(160, 0.08945913105045113)	(165, 0.08344336328061464)	(170, 0.04687036558645962)	(175, 0.04086655759350154)	(180, 0.062477874412774956)	(185, 0.07753523350268378)	(190, 0.09142053445850915)	(195, 0.05904541844867342)	(200, 0.05996632126831042)	(205, 0.03348737525952716)	(210, 0.015511830611288115)	(215, 0.06166460958504358)	(220, 0.031083460106968244)	(225, 0.04652353205698594)	(230, 0.031215017652630673)	(235, 0.0252710085440646)	(240, 0.034814910493029844)	(245, 0.012796961259890736)	(250, 0.0021647196149908628)	(255, 0.001829845862395591)	(260, 0.004042404584900064)	(265, 0.03072466680061617)	(270, 0.051450960130887805)	(275, 0.015511830611288115)	(280, 0.001829845862395591)	(285, 0.0)	(290, 0.0023321564912884983)	(295, 0.0005142704057713099)	(300, 0.00011959776878402558)
SRR22279252_2	(1, 0.45435192361051313)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 5.979888439201279e-05)	(9, 0.0)	(10, 0.0011840179109618531)	(15, 0.0002272357606896486)	(20, 0.004484916329400958)	(25, 0.0182386597395639)	(30, 0.026777940430743323)	(35, 0.046487652726350734)	(40, 0.012079374647186582)	(45, 0.03709922787680473)	(50, 0.0034085364103447285)	(55, 0.0)	(60, 0.001889644746787604)	(65, 0.00028703464508166135)	(70, 0.014136456270271821)	(75, 0.0631954610254791)	(80, 0.01973363184936422)	(85, 0.035496617775098785)	(90, 0.008288125376732972)	(95, 0.015117157974300832)	(100, 0.01338299032693246)	(105, 0.005501497364065176)	(110, 0.010907316513103131)	(115, 0.020223982701378724)	(120, 0.016014141240181023)	(125, 0.01888448769099764)	(130, 0.02458930126199566)	(135, 0.04118947156921841)	(140, 0.020235942478257125)	(145, 0.022065788340652717)	(150, 0.02501985322961815)	(155, 0.03128677631390109)	(160, 0.013538467426351694)	(165, 0.006374561076188562)	(170, 0.017269917812413292)	(175, 0.023692317996115465)	(180, 0.017257958035534888)	(185, 0.03152597185146914)	(190, 0.02366839844235866)	(195, 0.01912368322856569)	(200, 0.008730637121233866)	(205, 0.034049484772812076)	(210, 0.006482199068094186)	(215, 0.017628711118765367)	(220, 0.045076399054699234)	(225, 0.003468335294736741)	(230, 0.018836648583484026)	(235, 0.017054641828602043)	(240, 0.022831214060870478)	(245, 0.02936125223647828)	(250, 0.011325908703847221)	(255, 0.051379201469617386)	(260, 0.0038988872623592335)	(265, 0.023728197326750675)	(270, 0.017772228441306197)	(275, 0.02273553584584326)	(280, 0.05019518355865553)	(285, 0.035006266923084284)	(290, 0.05119980481644135)	(295, 0.020223982701378724)	(300, 0.00786355329754968)
SRR22279253_1	(1, 0.050790982172319865)	(2, 0.0)	(3, 0.0006354546473748688)	(4, 0.0)	(5, 0.0006808442650445023)	(6, 0.0029049355308565427)	(7, 0.0)	(8, 0.0006354546473748688)	(9, 0.002814156295517276)	(10, 0.00017248054714460724)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.8155847067853392e-05)	(35, 0.0)	(40, 0.0)	(45, 0.004402792913954449)	(50, 0.0017248054714460723)	(55, 0.00015432470007675385)	(60, 0.001225519677080104)	(65, 0.0034223771722903646)	(70, 0.00101672743579979)	(75, 0.00010893508240712035)	(80, 0.0)	(85, 4.538961766963348e-05)	(90, 0.004339247449216961)	(95, 0.013789365848034653)	(100, 0.00048112994729811496)	(105, 0.003168195313340417)	(110, 0.001289065141817591)	(115, 0.000717155959180209)	(120, 0.00505640340839717)	(125, 0.0021968574952102604)	(130, 0.004765909855311516)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0031772732368743435)	(155, 0.0027415329072458623)	(160, 0.00417584482560628)	(165, 0.005237961879075704)	(170, 8.170131180534026e-05)	(175, 0.0020788444892692135)	(180, 0.0018518964009210462)	(185, 0.0035585460252992654)	(190, 0.00040850655902670134)	(195, 0.00032680524722136106)	(200, 0.012001014911851092)	(205, 0.005337819037948898)	(210, 0.004157688978538427)	(215, 0.003032026460331517)	(220, 0.00028141562955172756)	(225, 0.0021423899540067006)	(230, 0.0014161560712925647)	(235, 0.003286208319281464)	(240, 0.004829455320049003)	(245, 0.0024238055835584284)	(250, 0.0006990001121123557)	(255, 0.0)	(260, 0.011619742123426171)	(265, 0.004057831819665233)	(270, 0.0)	(275, 0.004239390290343767)	(280, 0.008651261127832141)	(285, 0.005973273685323766)	(290, 0.0)	(295, 0.006999079044657483)	(300, 0.011120456329060203)
SRR22279253_2	(1, 0.03889890234287589)	(2, 0.0016340262361068053)	(3, 4.538961766963348e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0033043641663493173)	(20, 0.0029049355308565427)	(25, 0.0015795586949032452)	(30, 0.0029775589191279564)	(35, 0.0006172988003070154)	(40, 0.00046297410023026154)	(45, 0.00101672743579979)	(50, 0.0)	(55, 0.0)	(60, 9.077923533926696e-05)	(65, 0.00046297410023026154)	(70, 9.077923533926696e-06)	(75, 0.01319022289479549)	(80, 0.007516520686091305)	(85, 4.538961766963348e-05)	(90, 2.7233770601780088e-05)	(95, 0.00042666240609455475)	(100, 0.005737247673441672)	(105, 0.00016340262361068053)	(110, 0.0)	(115, 0.00211515618340492)	(120, 0.0)	(125, 0.005737247673441672)	(130, 0.005183494337872144)	(135, 0.005746325596975599)	(140, 0.0)	(145, 0.0027506108307797893)	(150, 0.0)	(155, 0.006545182867961148)	(160, 4.538961766963348e-05)	(165, 0.01011280681679434)	(170, 0.0023874938894227213)	(175, 9.077923533926696e-06)	(180, 0.0)	(185, 0.0)	(190, 0.0031046498486029302)	(195, 0.002451039354160208)	(200, 0.00203345487159958)	(205, 8.170131180534026e-05)	(210, 0.0005265195649677484)	(215, 0.010657482228829942)	(220, 0.03447795358185359)	(225, 0.0)	(230, 0.0)	(235, 3.6311694135706784e-05)	(240, 0.005265195649677484)	(245, 0.024555783159271715)	(250, 0.02816879672577454)	(255, 0.0065905724856307815)	(260, 0.008015806480457273)	(265, 0.009885858728446172)	(270, 0.01352610606555078)	(275, 0.0306379919270026)	(280, 0.0009350261239944497)	(285, 0.024719185782882395)	(290, 0.06024110057113756)	(295, 0.0)	(300, 0.0)
