Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR22279249_1	(1, 29.609322641706076)	(2, 29.609322641706076)	(3, 29.609322641706076)	(4, 29.609322641706076)	(5, 29.609322641706076)	(6, 29.609322641706076)	(7, 29.609322641706076)	(8, 29.609322641706076)	(9, 29.609322641706076)	(10, 29.609322641706076)	(15, 29.609322641706076)	(20, 29.609322641706076)	(25, 29.609322641706076)	(30, 29.609322641706076)	(35, 29.609322641706076)	(40, 29.609322641706076)	(45, 29.609322641706076)	(50, 29.609322641706076)	(55, 29.609322641706076)	(60, 29.609322641706076)	(65, 29.609322641706076)	(70, 29.609322641706076)	(75, 29.609322641706076)	(80, 29.609322641706076)	(85, 29.609322641706076)	(90, 29.609322641706076)	(95, 29.609322641706076)	(100, 29.609322641706076)	(105, 29.609322641706076)	(110, 29.609322641706076)	(115, 29.609322641706076)	(120, 29.609322641706076)	(125, 29.609322641706076)	(130, 29.609322641706076)	(135, 29.609322641706076)	(140, 29.609322641706076)	(145, 29.609322641706076)	(150, 29.609322641706076)	(155, 29.609322641706076)	(160, 29.609322641706076)	(165, 29.609322641706076)	(170, 29.609322641706076)	(175, 29.609322641706076)	(180, 29.609322641706076)	(185, 29.609322641706076)	(190, 29.609322641706076)	(195, 29.609322641706076)	(200, 29.609322641706076)	(205, 29.609322641706076)	(210, 29.609322641706076)	(215, 29.609322641706076)	(220, 29.609322641706076)	(225, 29.609322641706076)	(230, 29.609322641706076)	(235, 29.609322641706076)	(240, 29.609322641706076)	(245, 29.609322641706076)	(250, 29.609322641706076)	(255, 29.609322641706076)	(260, 29.609322641706076)	(265, 29.609322641706076)	(270, 29.609322641706076)	(275, 29.609322641706076)	(280, 29.609322641706076)	(285, 29.609322641706076)	(290, 29.609322641706076)	(295, 29.609322641706076)	(300, 29.609322641706076)
SRR22279249_2	(1, 22.771262906114895)	(2, 22.771262906114895)	(3, 22.771262906114895)	(4, 22.771262906114895)	(5, 22.771262906114895)	(6, 22.771262906114895)	(7, 22.771262906114895)	(8, 22.771262906114895)	(9, 22.771262906114895)	(10, 22.771262906114895)	(15, 22.771262906114895)	(20, 22.771262906114895)	(25, 22.771262906114895)	(30, 22.771262906114895)	(35, 22.771262906114895)	(40, 22.771262906114895)	(45, 22.771262906114895)	(50, 22.771262906114895)	(55, 22.771262906114895)	(60, 22.771262906114895)	(65, 22.771262906114895)	(70, 22.771262906114895)	(75, 22.771262906114895)	(80, 22.771262906114895)	(85, 22.771262906114895)	(90, 22.771262906114895)	(95, 22.771262906114895)	(100, 22.771262906114895)	(105, 22.771262906114895)	(110, 22.771262906114895)	(115, 22.771262906114895)	(120, 22.771262906114895)	(125, 22.771262906114895)	(130, 22.771262906114895)	(135, 22.771262906114895)	(140, 22.771262906114895)	(145, 22.771262906114895)	(150, 22.771262906114895)	(155, 22.771262906114895)	(160, 22.771262906114895)	(165, 22.771262906114895)	(170, 22.771262906114895)	(175, 22.771262906114895)	(180, 22.771262906114895)	(185, 22.771262906114895)	(190, 22.771262906114895)	(195, 22.771262906114895)	(200, 22.771262906114895)	(205, 22.771262906114895)	(210, 22.771262906114895)	(215, 22.771262906114895)	(220, 22.771262906114895)	(225, 22.771262906114895)	(230, 22.771262906114895)	(235, 22.771262906114895)	(240, 22.771262906114895)	(245, 22.771262906114895)	(250, 22.771262906114895)	(255, 22.771262906114895)	(260, 22.771262906114895)	(265, 22.771262906114895)	(270, 22.771262906114895)	(275, 22.771262906114895)	(280, 22.771262906114895)	(285, 22.771262906114895)	(290, 22.771262906114895)	(295, 22.771262906114895)	(300, 22.771262906114895)
SRR22279250_1	(1, 29.572047779583066)	(2, 29.572047779583066)	(3, 29.572047779583066)	(4, 29.572047779583066)	(5, 29.572047779583066)	(6, 29.572047779583066)	(7, 29.572047779583066)	(8, 29.572047779583066)	(9, 29.572047779583066)	(10, 29.572047779583066)	(15, 29.572047779583066)	(20, 29.572047779583066)	(25, 29.572047779583066)	(30, 29.572047779583066)	(35, 29.572047779583066)	(40, 29.572047779583066)	(45, 29.572047779583066)	(50, 29.572047779583066)	(55, 29.572047779583066)	(60, 29.572047779583066)	(65, 29.572047779583066)	(70, 29.572047779583066)	(75, 29.572047779583066)	(80, 29.572047779583066)	(85, 29.572047779583066)	(90, 29.572047779583066)	(95, 29.572047779583066)	(100, 29.572047779583066)	(105, 29.572047779583066)	(110, 29.572047779583066)	(115, 29.572047779583066)	(120, 29.572047779583066)	(125, 29.572047779583066)	(130, 29.572047779583066)	(135, 29.572047779583066)	(140, 29.572047779583066)	(145, 29.572047779583066)	(150, 29.572047779583066)	(155, 29.572047779583066)	(160, 29.572047779583066)	(165, 29.572047779583066)	(170, 29.572047779583066)	(175, 29.572047779583066)	(180, 29.572047779583066)	(185, 29.572047779583066)	(190, 29.572047779583066)	(195, 29.572047779583066)	(200, 29.572047779583066)	(205, 29.572047779583066)	(210, 29.572047779583066)	(215, 29.572047779583066)	(220, 29.572047779583066)	(225, 29.572047779583066)	(230, 29.572047779583066)	(235, 29.572047779583066)	(240, 29.572047779583066)	(245, 29.572047779583066)	(250, 29.572047779583066)	(255, 29.572047779583066)	(260, 29.572047779583066)	(265, 29.572047779583066)	(270, 29.572047779583066)	(275, 29.572047779583066)	(280, 29.572047779583066)	(285, 29.572047779583066)	(290, 29.572047779583066)	(295, 29.572047779583066)	(300, 29.572047779583066)
SRR22279250_2	(1, 22.54457504855756)	(2, 22.54457504855756)	(3, 22.54457504855756)	(4, 22.54457504855756)	(5, 22.54457504855756)	(6, 22.54457504855756)	(7, 22.54457504855756)	(8, 22.54457504855756)	(9, 22.54457504855756)	(10, 22.54457504855756)	(15, 22.54457504855756)	(20, 22.54457504855756)	(25, 22.54457504855756)	(30, 22.54457504855756)	(35, 22.54457504855756)	(40, 22.54457504855756)	(45, 22.54457504855756)	(50, 22.54457504855756)	(55, 22.54457504855756)	(60, 22.54457504855756)	(65, 22.54457504855756)	(70, 22.54457504855756)	(75, 22.54457504855756)	(80, 22.54457504855756)	(85, 22.54457504855756)	(90, 22.54457504855756)	(95, 22.54457504855756)	(100, 22.54457504855756)	(105, 22.54457504855756)	(110, 22.54457504855756)	(115, 22.54457504855756)	(120, 22.54457504855756)	(125, 22.54457504855756)	(130, 22.54457504855756)	(135, 22.54457504855756)	(140, 22.54457504855756)	(145, 22.54457504855756)	(150, 22.54457504855756)	(155, 22.54457504855756)	(160, 22.54457504855756)	(165, 22.54457504855756)	(170, 22.54457504855756)	(175, 22.54457504855756)	(180, 22.54457504855756)	(185, 22.54457504855756)	(190, 22.54457504855756)	(195, 22.54457504855756)	(200, 22.54457504855756)	(205, 22.54457504855756)	(210, 22.54457504855756)	(215, 22.54457504855756)	(220, 22.54457504855756)	(225, 22.54457504855756)	(230, 22.54457504855756)	(235, 22.54457504855756)	(240, 22.54457504855756)	(245, 22.54457504855756)	(250, 22.54457504855756)	(255, 22.54457504855756)	(260, 22.54457504855756)	(265, 22.54457504855756)	(270, 22.54457504855756)	(275, 22.54457504855756)	(280, 22.54457504855756)	(285, 22.54457504855756)	(290, 22.54457504855756)	(295, 22.54457504855756)	(300, 22.54457504855756)
SRR22279251_1	(1, 29.67887615120917)	(2, 29.67887615120917)	(3, 29.67887615120917)	(4, 29.67887615120917)	(5, 29.67887615120917)	(6, 29.67887615120917)	(7, 29.67887615120917)	(8, 29.67887615120917)	(9, 29.67887615120917)	(10, 29.67887615120917)	(15, 29.67887615120917)	(20, 29.67887615120917)	(25, 29.67887615120917)	(30, 29.67887615120917)	(35, 29.67887615120917)	(40, 29.67887615120917)	(45, 29.67887615120917)	(50, 29.67887615120917)	(55, 29.67887615120917)	(60, 29.67887615120917)	(65, 29.67887615120917)	(70, 29.67887615120917)	(75, 29.67887615120917)	(80, 29.67887615120917)	(85, 29.67887615120917)	(90, 29.67887615120917)	(95, 29.67887615120917)	(100, 29.67887615120917)	(105, 29.67887615120917)	(110, 29.67887615120917)	(115, 29.67887615120917)	(120, 29.67887615120917)	(125, 29.67887615120917)	(130, 29.67887615120917)	(135, 29.67887615120917)	(140, 29.67887615120917)	(145, 29.67887615120917)	(150, 29.67887615120917)	(155, 29.67887615120917)	(160, 29.67887615120917)	(165, 29.67887615120917)	(170, 29.67887615120917)	(175, 29.67887615120917)	(180, 29.67887615120917)	(185, 29.67887615120917)	(190, 29.67887615120917)	(195, 29.67887615120917)	(200, 29.67887615120917)	(205, 29.67887615120917)	(210, 29.67887615120917)	(215, 29.67887615120917)	(220, 29.67887615120917)	(225, 29.67887615120917)	(230, 29.67887615120917)	(235, 29.67887615120917)	(240, 29.67887615120917)	(245, 29.67887615120917)	(250, 29.67887615120917)	(255, 29.67887615120917)	(260, 29.67887615120917)	(265, 29.67887615120917)	(270, 29.67887615120917)	(275, 29.67887615120917)	(280, 29.67887615120917)	(285, 29.67887615120917)	(290, 29.67887615120917)	(295, 29.67887615120917)	(300, 29.67887615120917)
SRR22279251_2	(1, 26.03074173786595)	(2, 26.03074173786595)	(3, 26.03074173786595)	(4, 26.03074173786595)	(5, 26.03074173786595)	(6, 26.03074173786595)	(7, 26.03074173786595)	(8, 26.03074173786595)	(9, 26.03074173786595)	(10, 26.030741737865945)	(15, 26.030741737865945)	(20, 26.030741737865945)	(25, 26.030741737865945)	(30, 26.030741737865945)	(35, 26.030741737865945)	(40, 26.030741737865945)	(45, 26.030741737865945)	(50, 26.030741737865945)	(55, 26.030741737865945)	(60, 26.030741737865945)	(65, 26.030741737865945)	(70, 26.030741737865945)	(75, 26.030741737865945)	(80, 26.030741737865945)	(85, 26.030741737865945)	(90, 26.030741737865945)	(95, 26.030741737865945)	(100, 26.030741737865945)	(105, 26.030741737865945)	(110, 26.030741737865945)	(115, 26.030741737865945)	(120, 26.030741737865945)	(125, 26.030741737865945)	(130, 26.030741737865945)	(135, 26.030741737865945)	(140, 26.030741737865945)	(145, 26.030741737865945)	(150, 26.030741737865945)	(155, 26.030741737865945)	(160, 26.030741737865945)	(165, 26.030741737865945)	(170, 26.030741737865945)	(175, 26.030741737865945)	(180, 26.030741737865945)	(185, 26.030741737865945)	(190, 26.030741737865945)	(195, 26.030741737865945)	(200, 26.030741737865945)	(205, 26.030741737865945)	(210, 26.030741737865945)	(215, 26.030741737865945)	(220, 26.030741737865945)	(225, 26.030741737865945)	(230, 26.030741737865945)	(235, 26.030741737865945)	(240, 26.030741737865945)	(245, 26.030741737865945)	(250, 26.030741737865945)	(255, 26.030741737865945)	(260, 26.030741737865945)	(265, 26.030741737865945)	(270, 26.030741737865945)	(275, 26.030741737865945)	(280, 26.030741737865945)	(285, 26.030741737865945)	(290, 26.030741737865945)	(295, 26.030741737865945)	(300, 26.03074173786595)
SRR22279252_1	(1, 29.632862955308706)	(2, 29.632862955308706)	(3, 29.632862955308706)	(4, 29.632862955308706)	(5, 29.632862955308706)	(6, 29.632862955308706)	(7, 29.632862955308706)	(8, 29.632862955308706)	(9, 29.632862955308706)	(10, 29.632862955308706)	(15, 29.632862955308706)	(20, 29.632862955308706)	(25, 29.632862955308706)	(30, 29.632862955308706)	(35, 29.632862955308706)	(40, 29.632862955308706)	(45, 29.632862955308706)	(50, 29.632862955308706)	(55, 29.632862955308706)	(60, 29.632862955308706)	(65, 29.632862955308706)	(70, 29.632862955308706)	(75, 29.632862955308706)	(80, 29.632862955308706)	(85, 29.632862955308706)	(90, 29.632862955308706)	(95, 29.632862955308706)	(100, 29.632862955308706)	(105, 29.632862955308706)	(110, 29.632862955308706)	(115, 29.632862955308706)	(120, 29.632862955308706)	(125, 29.632862955308706)	(130, 29.632862955308706)	(135, 29.632862955308706)	(140, 29.632862955308706)	(145, 29.632862955308706)	(150, 29.632862955308706)	(155, 29.632862955308706)	(160, 29.632862955308706)	(165, 29.632862955308706)	(170, 29.632862955308706)	(175, 29.632862955308706)	(180, 29.632862955308706)	(185, 29.632862955308706)	(190, 29.632862955308706)	(195, 29.632862955308706)	(200, 29.632862955308706)	(205, 29.632862955308706)	(210, 29.632862955308706)	(215, 29.632862955308706)	(220, 29.632862955308706)	(225, 29.632862955308706)	(230, 29.632862955308706)	(235, 29.632862955308706)	(240, 29.632862955308706)	(245, 29.632862955308706)	(250, 29.632862955308706)	(255, 29.632862955308706)	(260, 29.632862955308706)	(265, 29.632862955308706)	(270, 29.632862955308706)	(275, 29.632862955308706)	(280, 29.632862955308706)	(285, 29.632862955308706)	(290, 29.632862955308706)	(295, 29.632862955308706)	(300, 29.632862955308706)
SRR22279252_2	(1, 22.6287619478171)	(2, 22.6287619478171)	(3, 22.6287619478171)	(4, 22.6287619478171)	(5, 22.6287619478171)	(6, 22.6287619478171)	(7, 22.6287619478171)	(8, 22.6287619478171)	(9, 22.6287619478171)	(10, 22.6287619478171)	(15, 22.6287619478171)	(20, 22.6287619478171)	(25, 22.6287619478171)	(30, 22.6287619478171)	(35, 22.6287619478171)	(40, 22.6287619478171)	(45, 22.6287619478171)	(50, 22.6287619478171)	(55, 22.6287619478171)	(60, 22.6287619478171)	(65, 22.6287619478171)	(70, 22.6287619478171)	(75, 22.6287619478171)	(80, 22.6287619478171)	(85, 22.6287619478171)	(90, 22.6287619478171)	(95, 22.6287619478171)	(100, 22.6287619478171)	(105, 22.6287619478171)	(110, 22.6287619478171)	(115, 22.6287619478171)	(120, 22.6287619478171)	(125, 22.6287619478171)	(130, 22.6287619478171)	(135, 22.6287619478171)	(140, 22.6287619478171)	(145, 22.6287619478171)	(150, 22.6287619478171)	(155, 22.6287619478171)	(160, 22.6287619478171)	(165, 22.6287619478171)	(170, 22.6287619478171)	(175, 22.6287619478171)	(180, 22.6287619478171)	(185, 22.6287619478171)	(190, 22.6287619478171)	(195, 22.6287619478171)	(200, 22.6287619478171)	(205, 22.6287619478171)	(210, 22.6287619478171)	(215, 22.6287619478171)	(220, 22.6287619478171)	(225, 22.6287619478171)	(230, 22.6287619478171)	(235, 22.6287619478171)	(240, 22.6287619478171)	(245, 22.6287619478171)	(250, 22.6287619478171)	(255, 22.6287619478171)	(260, 22.6287619478171)	(265, 22.6287619478171)	(270, 22.6287619478171)	(275, 22.6287619478171)	(280, 22.6287619478171)	(285, 22.6287619478171)	(290, 22.6287619478171)	(295, 22.6287619478171)	(300, 22.6287619478171)
SRR22279253_1	(1, 29.48933820575749)	(2, 29.48933820575749)	(3, 29.48933820575749)	(4, 29.48933820575749)	(5, 29.48933820575749)	(6, 29.48933820575749)	(7, 29.48933820575749)	(8, 29.48933820575749)	(9, 29.48933820575749)	(10, 29.48933820575749)	(15, 29.48933820575749)	(20, 29.48933820575749)	(25, 29.48933820575749)	(30, 29.48933820575749)	(35, 29.48933820575749)	(40, 29.48933820575749)	(45, 29.48933820575749)	(50, 29.48933820575749)	(55, 29.48933820575749)	(60, 29.48933820575749)	(65, 29.48933820575749)	(70, 29.48933820575749)	(75, 29.48933820575749)	(80, 29.48933820575749)	(85, 29.48933820575749)	(90, 29.48933820575749)	(95, 29.48933820575749)	(100, 29.48933820575749)	(105, 29.48933820575749)	(110, 29.48933820575749)	(115, 29.48933820575749)	(120, 29.48933820575749)	(125, 29.48933820575749)	(130, 29.48933820575749)	(135, 29.48933820575749)	(140, 29.48933820575749)	(145, 29.48933820575749)	(150, 29.48933820575749)	(155, 29.48933820575749)	(160, 29.48933820575749)	(165, 29.48933820575749)	(170, 29.48933820575749)	(175, 29.48933820575749)	(180, 29.48933820575749)	(185, 29.48933820575749)	(190, 29.48933820575749)	(195, 29.48933820575749)	(200, 29.48933820575749)	(205, 29.48933820575749)	(210, 29.48933820575749)	(215, 29.48933820575749)	(220, 29.48933820575749)	(225, 29.48933820575749)	(230, 29.48933820575749)	(235, 29.48933820575749)	(240, 29.48933820575749)	(245, 29.48933820575749)	(250, 29.48933820575749)	(255, 29.48933820575749)	(260, 29.48933820575749)	(265, 29.48933820575749)	(270, 29.48933820575749)	(275, 29.48933820575749)	(280, 29.48933820575749)	(285, 29.48933820575749)	(290, 29.48933820575749)	(295, 29.48933820575749)	(300, 29.48933820575749)
SRR22279253_2	(1, 21.79558694903245)	(2, 21.79558694903245)	(3, 21.79558694903245)	(4, 21.79558694903245)	(5, 21.79558694903245)	(6, 21.79558694903245)	(7, 21.79558694903245)	(8, 21.79558694903245)	(9, 21.79558694903245)	(10, 21.79558694903245)	(15, 21.79558694903245)	(20, 21.79558694903245)	(25, 21.79558694903245)	(30, 21.79558694903245)	(35, 21.79558694903245)	(40, 21.79558694903245)	(45, 21.79558694903245)	(50, 21.79558694903245)	(55, 21.79558694903245)	(60, 21.79558694903245)	(65, 21.79558694903245)	(70, 21.79558694903245)	(75, 21.79558694903245)	(80, 21.79558694903245)	(85, 21.79558694903245)	(90, 21.79558694903245)	(95, 21.79558694903245)	(100, 21.79558694903245)	(105, 21.79558694903245)	(110, 21.79558694903245)	(115, 21.79558694903245)	(120, 21.79558694903245)	(125, 21.79558694903245)	(130, 21.79558694903245)	(135, 21.79558694903245)	(140, 21.79558694903245)	(145, 21.79558694903245)	(150, 21.79558694903245)	(155, 21.79558694903245)	(160, 21.79558694903245)	(165, 21.79558694903245)	(170, 21.79558694903245)	(175, 21.79558694903245)	(180, 21.79558694903245)	(185, 21.79558694903245)	(190, 21.79558694903245)	(195, 21.79558694903245)	(200, 21.79558694903245)	(205, 21.79558694903245)	(210, 21.79558694903245)	(215, 21.79558694903245)	(220, 21.79558694903245)	(225, 21.79558694903245)	(230, 21.79558694903245)	(235, 21.79558694903245)	(240, 21.79558694903245)	(245, 21.79558694903245)	(250, 21.79558694903245)	(255, 21.79558694903245)	(260, 21.79558694903245)	(265, 21.79558694903245)	(270, 21.79558694903245)	(275, 21.79558694903245)	(280, 21.79558694903245)	(285, 21.79558694903245)	(290, 21.79558694903245)	(295, 21.79558694903245)	(300, 21.79558694903245)
