Sample	Unique Reads	Duplicate Reads
SRR22279249_1	12006.0	1935811.0
SRR22279249_2	85535.0	1862282.0
SRR22279250_1	22757.0	1677802.0
SRR22279250_2	87362.0	1613197.0
SRR22279251_1	19799.0	1521298.0
SRR22279251_2	80578.0	1460519.0
SRR22279252_1	11716.0	1660556.0
SRR22279252_2	72957.0	1599315.0
SRR22279253_1	34548.0	2168599.0
SRR22279253_2	129305.0	2073842.0
SRR22279254_1	29200.0	2142027.0
SRR22279254_2	131918.0	2039309.0
SRR22279255_1	13997.0	2043696.0
SRR22279255_2	98201.0	1959492.0
SRR22279256_1	24210.0	1347641.0
SRR22279256_2	62406.0	1309445.0
SRR22279257_1	28886.0	2403944.0
SRR22279257_2	120927.0	2311903.0
SRR22279258_1	23315.0	2111468.0
SRR22279258_2	116369.0	2018414.0
SRR22279259_1	25748.0	1262004.0
SRR22279259_2	57055.0	1230697.0
SRR22279260_1	14764.0	1383437.0
SRR22279260_2	64523.0	1333678.0
