Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR22279249_1	99.3836176601806	57.0	301.0	301	40.0	1.947817
SRR22279249_2	95.60867371010727	58.0	301.0	301	40.0	1.947817
SRR22279250_1	98.66179297513347	58.0	301.0	301	40.0	1.700559
SRR22279250_2	94.86280687703278	60.0	301.0	301	50.0	1.700559
SRR22279251_1	98.7152658138975	51.0	301.0	301	40.0	1.541097
SRR22279251_2	94.77138687571257	51.0	301.0	301	40.0	1.541097
SRR22279252_1	99.29939627046318	56.0	301.0	301	40.0	1.672272
SRR22279252_2	95.63725279141192	57.0	301.0	301	40.0	1.672272
SRR22279253_1	98.4318794887495	58.0	301.0	301	30.0	2.203147
SRR22279253_2	94.13093859522063	60.0	301.0	301	40.0	2.203147
SRR22279254_1	98.65513831580023	50.0	301.0	301	40.0	2.171227
SRR22279254_2	93.92429911684506	51.0	301.0	301	40.0	2.171227
SRR22279255_1	99.31977219147852	57.0	301.0	301	40.0	2.057693
SRR22279255_2	95.22761655893275	58.0	301.0	301	40.0	2.057693
SRR22279256_1	98.23523108559166	58.0	301.0	301	40.0	1.371851
SRR22279256_2	95.45096369795262	59.0	301.0	301	30.0	1.371851
SRR22279257_1	98.81265850881483	59.0	301.0	301	40.0	2.43283
SRR22279257_2	95.02938245507012	60.0	301.0	301	40.0	2.43283
SRR22279258_1	98.90785152401907	50.0	301.0	301	40.0	2.134783
SRR22279258_2	94.54892382199729	51.0	301.0	301	40.0	2.134783
SRR22279259_1	98.00054668911406	51.0	301.0	301	30.0	1.287752
SRR22279259_2	95.56941088035585	52.0	301.0	301	30.0	1.287752
SRR22279260_1	98.94407170356766	57.0	301.0	301	40.0	1.398201
SRR22279260_2	95.38528437613762	57.0	301.0	301	30.0	1.398201
