Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR22279249_1	SRR22279249_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1418365.0	426.9 Mbp	0.0	250-301	57.0	0.4505892347879425	299.9915677558315	300	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR22279249_2	SRR22279249_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1418365.0	426.9 Mbp	0.0	250-301	57.0	1.0948521713381252	299.99316819013444	300	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279250_1	SRR22279250_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1225668.0	368.9 Mbp	0.0	250-301	58.0	1.1683424875251698	299.9818139985706	300	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR22279250_2	SRR22279250_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1225668.0	368.9 Mbp	0.0	250-301	59.0	1.768994540120163	299.98295133755636	300	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279251_1	SRR22279251_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1308103.0	393.6 Mbp	0.0	250-301	51.0	1.0795785958750954	299.96807896625876	300	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR22279251_2	SRR22279251_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1308103.0	393.6 Mbp	0.0	250-301	51.0	2.3030296543926587	299.97035860325985	300	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR22279252_1	SRR22279252_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1210001.0	364.1 Mbp	0.0	250-301	56.0	0.5390904635616004	299.98587935051296	300	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR22279252_2	SRR22279252_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1210001.0	364.1 Mbp	0.0	250-301	57.0	1.1347924505847515	299.98857521605356	300	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279253_1	SRR22279253_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1526911.0	459.5 Mbp	0.0	250-301	58.0	1.175903507146127	299.97817947476966	300	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR22279253_2	SRR22279253_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1526911.0	459.5 Mbp	0.0	250-301	60.0	1.8700500553077422	299.9810401523075	300	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
