Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR22279249_1	99.54941076521206	57.0	299.9915677558315	300	40.0	1418365.0
SRR22279249_2	98.90514782866188	57.0	299.99316819013444	300	30.0	1418365.0
SRR22279250_1	98.83165751247483	58.0	299.9818139985706	300	40.0	1225668.0
SRR22279250_2	98.23100545987984	59.0	299.98295133755636	300	30.0	1225668.0
SRR22279251_1	98.92042140412491	51.0	299.96807896625876	300	40.0	1308103.0
SRR22279251_2	97.69697034560734	51.0	299.97035860325985	300	40.0	1308103.0
SRR22279252_1	99.4609095364384	56.0	299.98587935051296	300	40.0	1210001.0
SRR22279252_2	98.86520754941525	57.0	299.98857521605356	300	30.0	1210001.0
SRR22279253_1	98.82409649285387	58.0	299.97817947476966	300	30.0	1526911.0
SRR22279253_2	98.12994994469226	60.0	299.9810401523075	300	30.0	1526911.0
SRR22279254_1	98.86630989694439	50.0	299.9581641028742	300	40.0	1786026.0
SRR22279254_2	97.48771854385099	51.0	299.9607094185639	300	40.0	1786026.0
SRR22279255_1	99.49314760162562	57.0	299.98559759093075	300	40.0	1430594.0
SRR22279255_2	98.92198625186461	57.0	299.9881559687794	300	30.0	1430594.0
SRR22279256_1	98.3615966225106	58.0	299.9834189784359	300	40.0	1233579.0
SRR22279256_2	97.80476159208287	59.0	299.98375620856064	300	30.0	1233579.0
SRR22279257_1	98.93207090788043	59.0	299.98356573284775	300	30.0	1776897.0
SRR22279257_2	98.25397870557494	60.0	299.985948538379	300	30.0	1776897.0
SRR22279258_1	99.04547702702854	50.0	299.98054110661917	300	40.0	1791366.0
SRR22279258_2	97.68428115750774	51.0	299.9817569385597	300	40.0	1791366.0
SRR22279259_1	98.44229711630088	51.0	299.97865920625196	300	30.0	1211014.0
SRR22279259_2	97.43306022886605	52.0	299.97898950796605	300	30.0	1211014.0
SRR22279260_1	99.36556696107306	57.0	299.98877660257085	300	40.0	1231178.0
SRR22279260_2	98.64917989112865	57.0	299.9895888328089	300	30.0	1231178.0
