Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR22279249_1	92.20067387276538	2.721959524712261
SRR22279249_2	84.15483335598653	8.21566789947704
SRR22279250_1	87.07802837395417	7.272462713714091
SRR22279250_2	63.90978537650055	21.612950163695885
SRR22279251_1	13.79996750081248	56.00828729281772
SRR22279251_2	13.856841078973027	54.050211244718916
SRR22279252_1	87.85280018612437	7.099545837163788
SRR22279252_2	85.40878694415139	7.050591251831776
SRR22279253_1	90.64802473249658	2.9882014637096574
SRR22279253_2	60.89204832956916	22.819245436706275
SRR22279254_1	17.158234087336478	49.74289292089628
SRR22279254_2	16.9557456105294	46.89739695734417
SRR22279255_1	92.03722446033836	2.639034938104885
SRR22279255_2	84.99223315751043	7.352986780862253
SRR22279256_1	27.252686690548362	43.68381687202299
SRR22279256_2	25.638704090068103	43.24686060701495
SRR22279257_1	91.6154178182357	2.5479471470078607
SRR22279257_2	59.6809751132242	23.463919651082627
SRR22279258_1	17.503178543319002	51.83750075679598
SRR22279258_2	17.006720348731612	46.90924502028211
SRR22279259_1	11.277640370630145	54.93004540588432
SRR22279259_2	9.29897744471926	50.71431208239518
SRR22279260_1	87.27625493669315	6.392371473667524
SRR22279260_2	78.91110161489313	11.851682094191759
