Sample	0
SRR22279249_1	(30.0, 698945.0)
SRR22279249_2	(30.0, 698945.0)
SRR22279250_1	(30.0, 549800.0)
SRR22279250_2	(30.0, 549800.0)
SRR22279251_1	(30.0, 24616.0)
SRR22279251_2	(30.0, 24616.0)
SRR22279252_1	(30.0, 618941.0)
SRR22279252_2	(30.0, 618941.0)
SRR22279253_1	(30.0, 648216.0)
SRR22279253_2	(30.0, 648216.0)
SRR22279254_1	(30.0, 37533.0)
SRR22279254_2	(30.0, 37533.0)
SRR22279255_1	(30.0, 709426.0)
SRR22279255_2	(30.0, 709426.0)
SRR22279256_1	(30.0, 25403.0)
SRR22279256_2	(30.0, 25403.0)
SRR22279257_1	(30.0, 776115.0)
SRR22279257_2	(30.0, 776115.0)
SRR22279258_1	(30.0, 33034.0)
SRR22279258_2	(30.0, 33034.0)
SRR22279259_1	(30.0, 27089.0)
SRR22279259_2	(30.0, 27089.0)
SRR22279260_1	(30.0, 580348.0)
SRR22279260_2	(30.0, 580348.0)
