Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR22279249_1	99.47821359334425	57.0	300.4825765975864	300	30.0	0.6989449999999999
SRR22279249_2	98.37827010708997	57.0	300.48196996902476	300	30.0	0.6989449999999999
SRR22279250_1	99.10421971626046	59.0	300.46181520552926	300	30.0	0.5498
SRR22279250_2	96.65805747544562	59.0	300.4616878865042	300	30.0	0.5498
SRR22279251_1	84.35976600584985	51.0	298.80443613909654	300	40.0	0.024616
SRR22279251_2	82.37731556711083	51.0	298.8027299317517	300	40.0	0.024616
SRR22279252_1	99.4521287166305	57.0	300.47200379357645	300	30.0	0.618941
SRR22279252_2	98.34410711198645	56.0	300.471680661	300	30.0	0.618941
SRR22279253_1	99.0962888913572	59.0	300.45086822910883	300	40.0	0.648216
SRR22279253_2	96.21113949671097	59.0	300.4505566045886	300	30.0	0.648216
SRR22279254_1	84.98121652945409	51.0	298.4774598353449	300	40.0	0.037533
SRR22279254_2	82.23430048224229	51.0	298.4782058455226	300	40.0	0.037533
SRR22279255_1	99.48733201207737	57.0	300.46934986876715	300	30.0	0.709426
SRR22279255_2	98.38785158705771	57.0	300.46881140527694	300	30.0	0.709426
SRR22279256_1	83.87198362398142	59.0	299.69977955359604	300	30.0	0.025403
SRR22279256_2	82.25800102350117	59.0	299.69914970672755	300	30.0	0.025403
SRR22279257_1	99.28412670802652	60.0	300.46446918304633	300	40.0	0.776115
SRR22279257_2	96.52989569844675	59.0	300.4643454900369	300	30.0	0.776115
SRR22279258_1	85.68444632802567	50.0	299.41033480656296	300	40.0	0.033034
SRR22279258_2	81.23448568141914	51.0	299.4090633892353	300	40.0	0.033034
SRR22279259_1	83.01155450551884	51.0	299.5165011628336	300	30.0	0.027089
SRR22279259_2	78.84750267636309	52.0	299.5175347927203	300	30.0	0.027089
SRR22279260_1	99.18359329230049	57.0	300.4731643772357	300	30.0	0.580348
SRR22279260_2	97.80683314149441	56.0	300.4727852943406	300	30.0	0.580348
