Sample	Unique Reads	Duplicate Reads
ERR4588253_1	41397.0	191999.0
ERR4588253_2	50087.0	183309.0
ERR4588254_1	29152.0	133396.0
ERR4588254_2	34386.0	128162.0
ERR4588255_1	33600.0	165674.0
ERR4588255_2	41148.0	158126.0
ERR4588256_1	53459.0	427109.0
ERR4588256_2	88543.0	392025.0
ERR4588257_1	57734.0	521104.0
ERR4588257_2	98657.0	480181.0
ERR4588258_1	93165.0	579644.0
ERR4588258_2	127363.0	545446.0
ERR4588259_1	87695.0	692430.0
ERR4588259_2	146588.0	633537.0
ERR4588260_1	73107.0	503280.0
ERR4588260_2	93859.0	482528.0
ERR4588261_1	60094.0	397918.0
ERR4588261_2	72589.0	385423.0
ERR4588262_1	38578.0	285486.0
ERR4588262_2	47698.0	276366.0
ERR4588263_1	24105.0	240327.0
ERR4588263_2	31676.0	232756.0
ERR4588264_1	56029.0	416918.0
ERR4588264_2	68829.0	404118.0
ERR4588265_1	49637.0	295539.0
ERR4588265_2	72156.0	273020.0
ERR4588266_1	47745.0	326439.0
ERR4588266_2	68018.0	306166.0
ERR4588267_1	35946.0	287595.0
ERR4588267_2	57873.0	265668.0
ERR4588268_1	134790.0	1316058.0
ERR4588268_2	206567.0	1244281.0
ERR4588269_1	54989.0	465894.0
ERR4588269_2	90177.0	430706.0
ERR4588270_1	56517.0	393038.0
ERR4588270_2	85032.0	364523.0
ERR4588271_1	56061.0	497758.0
ERR4588271_2	79216.0	474603.0
ERR4588272_1	72593.0	570262.0
ERR4588272_2	101629.0	541226.0
ERR4588273_1	41944.0	243504.0
ERR4588273_2	50173.0	235275.0
ERR4588274_1	42988.0	359869.0
ERR4588274_2	53076.0	349781.0
ERR4588275_1	37664.0	318765.0
ERR4588275_2	47295.0	309134.0
ERR4588276_1	39734.0	343208.0
ERR4588276_2	51012.0	331930.0
ERR4588277_1	35776.0	271476.0
ERR4588277_2	52655.0	254597.0
ERR4588278_1	58565.0	518353.0
ERR4588278_2	79727.0	497191.0
ERR4588279_1	37281.0	311923.0
ERR4588279_2	55319.0	293885.0
ERR4588280_1	79269.0	700347.0
ERR4588280_2	116270.0	663346.0
ERR4588281_1	55307.0	351313.0
ERR4588281_2	88888.0	317732.0
ERR4588282_1	26077.0	179858.0
ERR4588282_2	35787.0	170148.0
ERR4588283_1	117452.0	873066.0
ERR4588283_2	178739.0	811779.0
ERR4588284_1	62547.0	687616.0
ERR4588284_2	95003.0	655160.0
ERR4588285_1	26532.0	203495.0
ERR4588285_2	36190.0	193837.0
ERR4588286_1	22501.0	104719.0
ERR4588286_2	27416.0	99804.0
ERR4588287_1	9573.0	84109.0
ERR4588287_2	12904.0	80778.0
