Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR4588253_1	7.506555382268762	52.00131964558092
ERR4588253_2	6.7833210509177535	49.562117602701036
ERR4588254_1	8.649752688436646	51.77424514604917
ERR4588254_2	7.466102320545316	50.0805915791028
ERR4588255_1	6.560815761213204	55.553157963407166
ERR4588255_2	5.853247287654185	53.082690165300036
ERR4588256_1	5.034875397446355	57.40290656056997
ERR4588256_2	4.3365351001315116	50.207462835644456
ERR4588257_1	6.248034856039168	55.28472560543712
ERR4588257_2	5.847059108075143	48.32060092806625
ERR4588258_1	4.301369333644467	48.86988729342205
ERR4588258_2	4.396492912550219	44.95049858132097
ERR4588259_1	4.36506970036853	52.781285050472675
ERR4588259_2	4.144464028200609	46.71148854350262
ERR4588260_1	4.541740184979883	49.42217641966248
ERR4588260_2	4.594482526496954	48.11021067442535
ERR4588261_1	4.986550570727404	55.17977694907554
ERR4588261_2	5.925172266228832	51.10106285424837
ERR4588262_1	6.146625357953985	58.775427076133106
ERR4588262_2	6.196615483361311	54.86015108126792
ERR4588263_1	12.15926967991771	58.978111574998465
ERR4588263_2	11.260361832153446	56.034065468627134
ERR4588264_1	3.8528630057913467	59.405387918730874
ERR4588264_2	3.5809509310768437	55.81957386345619
ERR4588265_1	3.378856003893666	54.13615083319817
ERR4588265_2	2.7971237861264977	47.486499640762986
ERR4588266_1	4.323274111132491	57.74137857310839
ERR4588266_2	3.995627819468497	51.82717593483421
ERR4588267_1	5.201504600653395	59.79087658132971
ERR4588267_2	4.2847737999202575	52.272818591770424
ERR4588268_1	4.7731395707889455	55.54923741150003
ERR4588268_2	4.216430666754891	51.53689428527315
ERR4588269_1	4.937001207564847	55.6284232735566
ERR4588269_2	4.668994764659242	49.2223781540192
ERR4588270_1	3.9203212065264537	52.821345552824475
ERR4588270_2	3.6427133498682025	47.317680817697486
ERR4588271_1	4.579113392642722	59.0983696839581
ERR4588271_2	4.472941520605107	55.20431765612952
ERR4588272_1	5.497973882135162	54.07829137208234
ERR4588272_2	5.460018200060667	48.71222904076348
ERR4588273_1	3.778972001905776	58.1615565707239
ERR4588273_2	3.8658529749726744	55.191138140747164
ERR4588274_1	5.875533998416311	63.28523520753024
ERR4588274_2	5.453299806134683	59.39824801356313
ERR4588275_1	7.054139814661546	62.44834174548081
ERR4588275_2	6.617587233362045	59.53443743354215
ERR4588276_1	6.100401627400494	62.09452084127623
ERR4588276_2	5.6431522267079615	58.02836983146273
ERR4588277_1	5.063270540142945	60.278859047296656
ERR4588277_2	4.778813482092875	53.83561376329527
ERR4588278_1	4.314477967406114	60.49889239025304
ERR4588278_2	4.301651187863786	55.88575846134111
ERR4588279_1	4.826405195816772	63.161074901776615
ERR4588279_2	4.775718491197123	56.60702626544943
ERR4588280_1	4.413583097319706	58.69517813898125
ERR4588280_2	4.258378483766367	54.16102286253747
ERR4588281_1	6.041021100782057	51.00068860361027
ERR4588281_2	4.957208204220157	44.814568884954035
ERR4588282_1	5.48134119989317	58.62917910991337
ERR4588282_2	5.504649525335664	54.00490446014521
ERR4588283_1	3.930468704253734	50.55142864642539
ERR4588283_2	3.4626326831011656	45.662673469841025
ERR4588284_1	7.375597036910644	58.17375690349965
ERR4588284_2	7.416788084722921	54.02959090224388
ERR4588285_1	7.452168658461833	59.244349576354125
ERR4588285_2	7.336964791089742	55.33306959617782
ERR4588286_1	16.922653670806476	47.18912120735735
ERR4588286_2	16.046219147932714	43.266781952523175
ERR4588287_1	21.085160436369847	54.034926666809014
ERR4588287_2	19.42849213296044	50.95642706176211
