Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR4588253_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0005938542028546633)	(22.0, 0.0011877084057093266)	(23.0, 0.00178156260856399)	(24.0, 0.0)	(25.0, 0.0011877084057093266)	(26.0, 0.001484635507136658)	(27.0, 0.0004453906521409975)	(28.0, 0.0010392448549956608)	(29.0, 0.002672343912845985)	(30.0, 0.003117734564986982)	(31.0, 0.0026723439128459843)	(32.0, 0.003117734564986982)	(33.0, 0.002672343912845985)	(34.0, 0.002523880362132319)	(35.0, 0.003711588767841645)	(36.0, 0.0035631252171279795)	(37.0, 0.0028208074635596506)	(38.0, 0.0028208074635596506)	(39.0, 0.003711588767841645)	(40.0, 0.0035631252171279795)	(41.0, 0.005790078477832967)	(42.0, 0.004156979419982643)	(43.0, 0.002523880362132319)	(44.0, 0.006532396231401297)	(45.0, 0.008610885941392617)	(46.0, 0.014400964419225584)	(47.0, 0.03711588767841645)	(48.0, 0.08670271361678097)	(49.0, 0.1604890983214724)	(50.0, 0.2792599388924055)	(51.0, 0.48473349308012076)	(52.0, 1.2614947904140268)	(53.0, 3.4453936214119727)	(54.0, 8.446982181404746)	(55.0, 14.934987811142378)	(56.0, 20.280714881690017)	(57.0, 18.665728377026614)	(58.0, 13.790482298690158)	(59.0, 12.3052529373509)	(60.0, 4.413821362717289)	(61.0, 0.8297627849386715)	(62.0, 0.3003417630937465)	(63.0, 0.11446539760023658)	(64.0, 0.04483599231552705)	(65.0, 0.018409480288494567)	(66.0, 0.002375416811418653)	(67.0, 0.001484635507136658)	(68.0, 0.00178156260856399)	(69.0, 0.0010392448549956608)	(70.0, 0.00178156260856399)	(71.0, 0.0010392448549956608)	(72.0, 0.0)	(73.0, 0.0011877084057093266)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0004453906521409975)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0005938542028546633)	(80.0, 0.0005938542028546633)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR4588253_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0005985980832889434)	(20.0, 0.0005985980832889434)	(21.0, 0.0005985980832889434)	(22.0, 0.0004489485624667076)	(23.0, 0.0)	(24.0, 0.0028433408956224813)	(25.0, 0.0031426399372669524)	(26.0, 0.0010475466457556509)	(27.0, 0.0)	(28.0, 0.0004489485624667076)	(29.0, 0.00359158849973366)	(30.0, 0.0020950932915113018)	(31.0, 0.0008978971249334152)	(32.0, 0.0017957942498668304)	(33.0, 0.0022447428123335378)	(34.0, 0.0020950932915113018)	(35.0, 0.006883877957822851)	(36.0, 0.003741238020555896)	(37.0, 0.0025440418539780093)	(38.0, 0.0028433408956224813)	(39.0, 0.0047887846663115475)	(40.0, 0.0004489485624667076)	(41.0, 0.0022447428123335378)	(42.0, 0.003890887541378132)	(43.0, 0.002843340895622481)	(44.0, 0.0011971961665778869)	(45.0, 0.008530022686867445)	(46.0, 0.015713199686334764)	(47.0, 0.03277324506006966)	(48.0, 0.07138282143220653)	(49.0, 0.14096984861454614)	(50.0, 0.2436294198985992)	(51.0, 0.47947706471444573)	(52.0, 1.2253302764924718)	(53.0, 3.386718305727964)	(54.0, 7.8669256601042115)	(55.0, 13.62947975840569)	(56.0, 18.687783211718447)	(57.0, 18.256493292708758)	(58.0, 15.117893892503254)	(59.0, 11.888906181722044)	(60.0, 6.252656278994766)	(61.0, 1.8604428428620516)	(62.0, 0.511502062170403)	(63.0, 0.1782325792992827)	(64.0, 0.05611857030833841)	(65.0, 0.01661109681126818)	(66.0, 0.003741238020555896)	(67.0, 0.001945443770689066)	(68.0, 0.0008978971249334152)	(69.0, 0.0008978971249334152)	(70.0, 0.001945443770689066)	(71.0, 0.0023943923331557738)	(72.0, 0.0020950932915113018)	(73.0, 0.0010475466457556509)	(74.0, 0.0)	(75.0, 0.0004489485624667076)	(76.0, 0.0)	(77.0, 0.0005985980832889434)	(78.0, 0.0004489485624667076)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0004489485624667076)	(83.0, 0.0004489485624667076)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0011971961665778869)
ERR4588254_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0008619166440413606)	(27.0, 0.0008619166440413606)	(28.0, 0.0017238332880827212)	(29.0, 0.0008619166440413606)	(30.0, 0.0008619166440413606)	(31.0, 0.0023702707711137413)	(32.0, 0.0015083541270723808)	(33.0, 0.0015083541270723808)	(34.0, 0.0008619166440413606)	(35.0, 0.0008619166440413606)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.001292874966062041)	(39.0, 0.001292874966062041)	(40.0, 0.0032321874151551022)	(41.0, 0.0006464374830310205)	(42.0, 0.0021547916101034015)	(43.0, 0.0015083541270723808)	(44.0, 0.0064643748303102044)	(45.0, 0.018315728685878906)	(46.0, 0.03620049904973716)	(47.0, 0.04740541542227484)	(48.0, 0.07864989376877408)	(49.0, 0.18078701608767547)	(50.0, 0.38376838575941563)	(51.0, 1.6275141031111)	(52.0, 2.3317000012929023)	(53.0, 4.1520679535082285)	(54.0, 7.4316607840856514)	(55.0, 9.309561672290839)	(56.0, 14.004637111544943)	(57.0, 17.68911528566047)	(58.0, 18.25345520834656)	(59.0, 12.573855482436407)	(60.0, 5.9093005115475465)	(61.0, 3.942622209006169)	(62.0, 1.4284113583375402)	(63.0, 0.48719838304438046)	(64.0, 0.07046168565038116)	(65.0, 0.008619166440413606)	(66.0, 0.0008619166440413606)	(67.0, 0.0008619166440413606)	(68.0, 0.0)	(69.0, 0.0008619166440413606)	(70.0, 0.0008619166440413606)	(71.0, 0.0)	(72.0, 0.0006464374830310205)	(73.0, 0.0)	(74.0, 0.0008619166440413606)	(75.0, 0.0008619166440413606)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR4588254_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0008519665517931815)	(29.0, 0.0008519665517931815)	(30.0, 0.0014909414656380671)	(31.0, 0.003194874569224429)	(32.0, 0.0)	(33.0, 0.0008519665517931815)	(34.0, 0.0008519665517931815)	(35.0, 0.001703933103586363)	(36.0, 0.0014909414656380671)	(37.0, 0.0012779498276897722)	(38.0, 0.0008519665517931815)	(39.0, 0.0008519665517931815)	(40.0, 0.001916924741534658)	(41.0, 0.0012779498276897722)	(42.0, 0.0014909414656380671)	(43.0, 0.003194874569224429)	(44.0, 0.0042598327589659065)	(45.0, 0.014270439742535787)	(46.0, 0.023642071812260777)	(47.0, 0.03173575405429602)	(48.0, 0.05516483422860848)	(49.0, 0.17316220165196425)	(50.0, 0.3950994883940878)	(51.0, 1.252816814411869)	(52.0, 2.288595149754444)	(53.0, 4.045350179551961)	(54.0, 7.070044430055742)	(55.0, 9.10816141358304)	(56.0, 13.043820899591507)	(57.0, 16.630813074278528)	(58.0, 17.11025725130011)	(59.0, 13.786735732755101)	(60.0, 7.549701598715355)	(61.0, 4.025115973946863)	(62.0, 2.0866790769794665)	(63.0, 1.0794416211219502)	(64.0, 0.17806100932477503)	(65.0, 0.016187364484070446)	(66.0, 0.0014909414656380671)	(67.0, 0.0)	(68.0, 0.0008519665517931815)	(69.0, 0.0006389749138448861)	(70.0, 0.0006389749138448861)	(71.0, 0.0)	(72.0, 0.0006389749138448861)	(73.0, 0.0014909414656380671)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0006389749138448861)	(97.0, 0.0006389749138448861)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.001703933103586363)
ERR4588255_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0005581727656344247)	(25.0, 0.0005581727656344247)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0014884607083584657)	(31.0, 0.0020466334739928905)	(32.0, 0.002604806239627315)	(33.0, 0.0044653821250753975)	(34.0, 0.002604806239627315)	(35.0, 0.0035350941823513566)	(36.0, 0.0035350941823513566)	(37.0, 0.005023554890709822)	(38.0, 0.0027908638281721235)	(39.0, 0.003349036593806548)	(40.0, 0.0013024031198136574)	(41.0, 0.0018605758854480822)	(42.0, 0.0014884607083584657)	(43.0, 0.006698073187613096)	(44.0, 0.00632595801052348)	(45.0, 0.00855864907306118)	(46.0, 0.019536046797204866)	(47.0, 0.034606711469334354)	(48.0, 0.050607664084187806)	(49.0, 0.09916869469438286)	(50.0, 0.22233881831104518)	(51.0, 0.5959424561090243)	(52.0, 1.0754128617889809)	(53.0, 2.414097211368901)	(54.0, 5.360877298741561)	(55.0, 11.754560271495283)	(56.0, 23.53237774155898)	(57.0, 15.109922823312086)	(58.0, 17.517694076670313)	(59.0, 13.937760015479883)	(60.0, 4.810705009414504)	(61.0, 1.9820714907678634)	(62.0, 0.9023793044423147)	(63.0, 0.3179724188230768)	(64.0, 0.1365662699918896)	(65.0, 0.04670045472474685)	(66.0, 0.002604806239627315)	(67.0, 0.002418748651082507)	(68.0, 0.0029769214167169314)	(69.0, 0.003907209359440973)	(70.0, 0.003907209359440973)	(71.0, 0.0005581727656344247)	(72.0, 0.0018605758854480822)	(73.0, 0.0005581727656344247)	(74.0, 0.0005581727656344247)	(75.0, 0.0)	(76.0, 0.0005581727656344247)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR4588255_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.001109555678428586)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.000554777839214293)	(30.0, 0.0033286670352857583)	(31.0, 0.0033286670352857574)	(32.0, 0.0)	(33.0, 0.0020341854104524077)	(34.0, 0.002219111356857172)	(35.0, 0.0020341854104524077)	(36.0, 0.0025889632496667)	(37.0, 0.0029588151424762292)	(38.0, 0.0033286670352857574)	(39.0, 0.0020341854104524077)	(40.0, 0.0014794075712381146)	(41.0, 0.004253296767309579)	(42.0, 0.004993000552928637)	(43.0, 0.0020341854104524073)	(44.0, 0.0033286670352857574)	(45.0, 0.005732704338547693)	(46.0, 0.017198113015643075)	(47.0, 0.029403225478357543)	(48.0, 0.036800263334548125)	(49.0, 0.07618948991876283)	(50.0, 0.18732998370802606)	(51.0, 0.5148338347908668)	(52.0, 0.9675325515897207)	(53.0, 2.249993989906784)	(54.0, 5.086758007755837)	(55.0, 11.528653350765806)	(56.0, 20.40565355603359)	(57.0, 16.983783843759582)	(58.0, 16.086153299910816)	(59.0, 14.428662042285008)	(60.0, 6.858903352152798)	(61.0, 2.625948438947655)	(62.0, 1.0990148994835076)	(63.0, 0.47451997847462724)	(64.0, 0.19195313236814504)	(65.0, 0.0706417115266199)	(66.0, 0.009061371373833452)	(67.0, 0.0059176302849524584)	(68.0, 0.003513592981690522)	(69.0, 0.0020341854104524073)	(70.0, 0.000554777839214293)	(71.0, 0.00129448162483335)	(72.0, 0.002219111356857172)	(73.0, 0.003513592981690522)	(74.0, 0.000554777839214293)	(75.0, 0.000554777839214293)	(76.0, 0.000554777839214293)	(77.0, 0.000554777839214293)	(78.0, 0.000554777839214293)	(79.0, 0.000554777839214293)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.000554777839214293)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0007397037856190573)
ERR4588256_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.00021869491621797594)	(10.0, 0.00021869491621797594)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.00029159322162396786)	(30.0, 0.00029159322162396786)	(31.0, 0.0)	(32.0, 0.00029159322162396786)	(33.0, 0.0)	(34.0, 0.00043738983243595187)	(35.0, 0.00021869491621797594)	(36.0, 0.00021869491621797594)	(37.0, 0.0007289830540599196)	(38.0, 0.0010934745810898797)	(39.0, 0.0006560847486539277)	(40.0, 0.00043738983243595187)	(41.0, 0.0005102881378419438)	(42.0, 0.0021869491621797593)	(43.0, 0.0037178135757055908)	(44.0, 0.010351559367650863)	(45.0, 0.02391064417316536)	(46.0, 0.11430454287659532)	(47.0, 0.1398918480740987)	(48.0, 0.3595344422623507)	(49.0, 1.8570843302176172)	(50.0, 3.527476100290689)	(51.0, 6.389099079002338)	(52.0, 7.7278764577834975)	(53.0, 7.056045675161796)	(54.0, 6.206926213792907)	(55.0, 10.696587047137902)	(56.0, 12.853283412574273)	(57.0, 13.254515685528768)	(58.0, 15.21642777892006)	(59.0, 9.316622125802095)	(60.0, 2.9305118773209506)	(61.0, 1.3884211247625036)	(62.0, 0.6317367146483298)	(63.0, 0.19288891610425543)	(64.0, 0.05839154263019967)	(65.0, 0.024348034005601295)	(66.0, 0.00626925426491531)	(67.0, 0.0027701356054276953)	(68.0, 0.0018953559405557913)	(69.0, 0.0010205762756838876)	(70.0, 0.00029159322162396786)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR4588256_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.00022092856274923362)	(5.0, 0.00022092856274923362)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0002945714169989781)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0002945714169989781)	(34.0, 0.00022092856274923362)	(35.0, 0.00022092856274923362)	(36.0, 0.00022092856274923362)	(37.0, 0.00022092856274923362)	(38.0, 0.00022092856274923362)	(39.0, 0.0005154999797482117)	(40.0, 0.0002945714169989781)	(41.0, 0.00022092856274923362)	(42.0, 0.0005154999797482117)	(43.0, 0.003534857003987738)	(44.0, 0.00957357105246679)	(45.0, 0.03424392722613121)	(46.0, 0.12187892378332715)	(47.0, 0.14522370858049632)	(48.0, 0.4691786244251211)	(49.0, 1.7860601441190411)	(50.0, 3.532205861234805)	(51.0, 6.081058689672519)	(52.0, 7.363548996431738)	(53.0, 7.009032296073456)	(54.0, 6.538896314543079)	(55.0, 9.47967641329849)	(56.0, 11.97027774402509)	(57.0, 12.87173992289625)	(58.0, 13.750593745512715)	(59.0, 10.642791653319005)	(60.0, 4.900931950320447)	(61.0, 2.0076514925565236)	(62.0, 0.8280402531841353)	(63.0, 0.29795898829446593)	(64.0, 0.10361549592939026)	(65.0, 0.027910641760653155)	(66.0, 0.007806142550472918)	(67.0, 0.0032402855869887587)	(68.0, 0.001546499939244635)	(69.0, 0.0009573571052466788)	(70.0, 0.001251928522245657)	(71.0, 0.00044185712549846723)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.00044185712549846723)	(76.0, 0.00044185712549846723)	(77.0, 0.00022092856274923362)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.00022092856274923362)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.00044185712549846723)	(90.0, 0.0)	(91.0, 0.00022092856274923362)	(92.0, 0.00022092856274923362)	(93.0, 0.00022092856274923362)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.00044185712549846723)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.00022092856274923362)	(100.0, 0.0023565713359918247)
ERR4588257_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.00022840332372516016)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.00034260498558774026)	(36.0, 0.0005139074783816103)	(37.0, 0.001256218280488381)	(38.0, 0.0005139074783816103)	(39.0, 0.0005139074783816103)	(40.0, 0.0010278149567632207)	(41.0, 0.0008565124639693506)	(42.0, 0.00034260498558774026)	(43.0, 0.0026266382228393417)	(44.0, 0.005767183924060292)	(45.0, 0.007708612175724157)	(46.0, 0.019928189995020204)	(47.0, 0.05144784866909232)	(48.0, 0.2967530183499122)	(49.0, 2.2517141669445544)	(50.0, 5.066670930194836)	(51.0, 10.624066401415261)	(52.0, 10.411023201210877)	(53.0, 6.840736646399567)	(54.0, 5.152093773268242)	(55.0, 6.766676868681611)	(56.0, 7.52257766855013)	(57.0, 7.176375330613665)	(58.0, 11.520492346204678)	(59.0, 14.873852844305905)	(60.0, 8.11334286536525)	(61.0, 2.383331582241144)	(62.0, 0.6000726322569321)	(63.0, 0.22480597137648828)	(64.0, 0.07525889516744001)	(65.0, 0.005710083093129002)	(66.0, 0.0009136132949006407)	(67.0, 0.00022840332372516016)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.00022840332372516016)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR4588257_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0001741167348236935)	(37.0, 0.0)	(38.0, 0.0001741167348236935)	(39.0, 0.0001741167348236935)	(40.0, 0.0001741167348236935)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.001799206259844833)	(44.0, 0.004643112928631825)	(45.0, 0.00870583674118468)	(46.0, 0.02048773579758791)	(47.0, 0.07481215706258017)	(48.0, 0.44144396168967076)	(49.0, 2.194161053336603)	(50.0, 5.029594041028684)	(51.0, 9.853266023673186)	(52.0, 10.01316322515304)	(53.0, 7.101989457812046)	(54.0, 5.531978859906591)	(55.0, 6.3131245712374175)	(56.0, 7.252368277788132)	(57.0, 7.262467048407903)	(58.0, 9.549780554875333)	(59.0, 13.495265765980038)	(60.0, 10.006198555759847)	(61.0, 4.154947643097747)	(62.0, 1.2036109489245752)	(63.0, 0.37046237279320965)	(64.0, 0.09547400959499175)	(65.0, 0.013348949669816503)	(66.0, 0.0026117510223554025)	(67.0, 0.0001741167348236935)	(68.0, 0.0001741167348236935)	(69.0, 0.0007545058509026717)	(70.0, 0.0002321556464315913)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0001741167348236935)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0001741167348236935)	(82.0, 0.0001741167348236935)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0001741167348236935)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0001741167348236935)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0013929338785895477)
