Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR4588253_1	86.69370413286984	56.0	299.4320200849749	300	27.27272727272727	0.160518
ERR4588253_2	86.06947507444647	56.0	299.4501115139735	300	36.36363636363637	0.160518
ERR4588254_1	86.13638165021268	56.0	299.8007952513893	300	27.27272727272727	0.113549
ERR4588254_2	85.92589983179067	56.0	299.7937146077905	300	36.36363636363637	0.113549
ERR4588255_1	88.11292492051847	56.0	299.57252690144287	300	36.36363636363637	0.130848
ERR4588255_2	87.46025923208609	56.0	299.56913365125945	300	45.45454545454545	0.130848
ERR4588256_1	89.82648169360655	55.0	300.0521918580338	300	36.36363636363637	0.329994
ERR4588256_2	88.77009885028212	55.0	300.0851500330309	300	45.45454545454545	0.329994
ERR4588257_1	91.18394677458858	55.0	300.1659239901938	300	36.36363636363637	0.420551
ERR4588257_2	90.12557335495576	55.0	300.21219186258026	300	45.45454545454545	0.420551
ERR4588258_1	88.50737809527304	55.0	299.9011286304347	300	36.36363636363637	0.490506
ERR4588258_2	87.77303437674564	55.0	299.9357051697635	300	45.45454545454545	0.490506
ERR4588259_1	90.06075721491928	55.0	299.9266244116489	300	36.36363636363637	0.53327
ERR4588259_2	89.00256905507528	56.0	299.9564967089842	300	45.45454545454545	0.53327
ERR4588260_1	89.07020170203734	55.0	299.8921662929771	300	36.36363636363637	0.44288099999999997
ERR4588260_2	88.8595356314676	56.0	299.9184126209975	300	45.45454545454545	0.44288099999999997
ERR4588261_1	88.08315138591303	55.0	299.7719296160598	300	36.36363636363637	0.294499
ERR4588261_2	87.91676711975254	56.0	299.8978926923351	300	45.45454545454545	0.294499
ERR4588262_1	88.74489879301477	55.0	300.08892323074036	300	36.36363636363637	0.208039
ERR4588262_2	88.81507794211663	56.0	300.1738111604074	300	45.45454545454545	0.208039
ERR4588263_1	91.71152557516194	55.0	300.1948402948403	300	36.36363636363637	0.17908
ERR4588263_2	91.4747598838508	55.0	300.21866205048025	300	45.45454545454545	0.17908
ERR4588264_1	89.59724127171913	55.0	299.9207255637387	300	36.36363636363637	0.307678
ERR4588264_2	89.3343040451381	56.0	300.0255299371421	300	45.45454545454545	0.307678
ERR4588265_1	86.3911428964379	55.0	299.86721221290054	300	45.45454545454545	0.14542
ERR4588265_2	84.57021042497593	55.0	299.86721221290054	300	54.54545454545454	0.14542
ERR4588266_1	87.47793726104932	55.0	300.00782890682495	300	45.45454545454545	0.16713699999999998
