Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
SRR33022247_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.001845397233288198)	(6, 0.0025374211957712722)	(7, 0.015224527174627633)	(8, 0.015224527174627633)	(9, 0.015224527174627633)	(10, 0.015409066897956453)	(15, 0.015455201828788656)	(20, 0.017577408647070088)	(25, 0.01900759150286844)	(30, 0.021683417491136326)	(35, 0.021683417491136326)	(40, 0.021960227076129556)	(45, 0.022975195554438062)	(50, 0.023252005139431292)	(55, 0.02357494965525673)	(60, 0.024451513341068622)	(65, 0.025651021542705953)	(70, 0.027219609191000922)	(75, 0.027634823568490768)	(80, 0.02878819683929589)	(85, 0.030449054349255267)	(90, 0.0345089282624893)	(95, 0.03953763572319964)	(100, 0.0457197164547151)	(105, 0.04936437599045929)	(110, 0.05185566225539837)	(115, 0.054300813589505226)	(120, 0.05656142520028327)	(125, 0.05817614777941045)	(130, 0.0606212991135173)	(135, 0.061774672384322424)	(140, 0.06205148196931566)	(145, 0.06606522095171749)	(150, 0.07238570647572957)	(155, 0.07782962831392976)	(160, 0.0830428754979689)	(165, 0.08419624876877403)	(170, 0.08511894738541813)	(175, 0.08774863844285381)	(180, 0.08880974185199453)	(185, 0.08904041650615555)	(190, 0.09019378977696067)	(195, 0.09019378977696067)	(200, 0.09047059936195391)	(205, 0.09088581373944375)	(210, 0.09217759180274547)	(215, 0.0922698616644099)	(220, 0.09282348083439637)	(225, 0.09296188562689298)	(230, 0.09323869521188619)	(235, 0.09439206848269133)	(240, 0.0950379575143422)	(245, 0.09513022737600661)	(250, 0.09614519585431511)	(255, 0.09660654516263716)	(260, 0.0977599184334423)	(265, 0.09854421225758976)	(270, 0.09872875198091859)	(275, 0.09983599032089151)	(280, 0.10011279990588476)	(285, 0.10057414921420679)	(290, 0.10080482386836781)
SRR33075535_1 - illumina_universal_adapter	(1, 0.0004249486115714721)	(2, 0.0004856555560816824)	(3, 0.0004856555560816824)	(4, 0.0004856555560816824)	(5, 0.0004856555560816824)	(6, 0.0004856555560816824)	(7, 0.0005463625005918927)	(8, 0.0005463625005918927)	(9, 0.0005463625005918927)	(10, 0.0005463625005918927)	(15, 0.0005706452783959769)	(20, 0.0011291491678899117)	(25, 0.002379712224800244)	(30, 0.00448017250485352)	(35, 0.00518437306117196)	(40, 0.014047586959662664)	(45, 0.028313718919562088)	(50, 0.030511310310831697)	(55, 0.03223538753492167)	(60, 0.03383805086999122)	(65, 0.03505218976019543)	(70, 0.039908745321012254)	(75, 0.04239773004593088)	(80, 0.044558897270494356)	(85, 0.047752082551731426)	(90, 0.05191657894513184)	(95, 0.05489121922613216)	(100, 0.05883717061929582)	(105, 0.06375443312462285)	(110, 0.06851385757422335)	(115, 0.07440243119171375)	(120, 0.08125017453246547)	(125, 0.08949417759695202)	(130, 0.09783531177265492)	(135, 0.10657711178212521)	(140, 0.11584099151438329)	(145, 0.12461921569055971)	(150, 0.13490297209058932)	(155, 0.14409400348943519)	(160, 0.1534550143329096)	(165, 0.16446725406706175)	(170, 0.17561304907913636)	(175, 0.18531401881186796)	(180, 0.1942986465993791)	(185, 0.20492236188866592)	(190, 0.2165902366235283)	(195, 0.22950867441530107)	(200, 0.24070303498298382)	(205, 0.2521037991620013)	(210, 0.263286018340782)	(215, 0.2753667002983139)	(220, 0.2876780686449846)	(225, 0.29964947810239806)	(230, 0.3129807231168403)	(235, 0.32626340257567427)	(240, 0.34128230064750026)	(245, 0.3540186176057424)	(250, 0.36641497567472736)	(255, 0.3790420201328511)	(260, 0.3913412470906197)	(265, 0.4040289984932536)	(270, 0.4176273540635408)	(275, 0.43155352713418293)	(280, 0.444824065204115)	(285, 0.4573661199399243)	(290, 0.4650151949482109)
SRR33075535_2 - illumina_universal_adapter	(1, 0.0003642416670612618)	(2, 0.0004249486115714721)	(3, 0.0004249486115714721)	(4, 0.0004249486115714721)	(5, 0.0004249486115714721)	(6, 0.0004249486115714721)	(7, 0.0004856555560816824)	(8, 0.0004856555560816824)	(9, 0.0004856555560816824)	(10, 0.00048565555608168237)	(15, 0.0005220797227878086)	(20, 0.0011412905567919538)	(25, 0.002488984724918622)	(30, 0.004747283060698446)	(35, 0.005512190561527096)	(40, 0.015201018905356658)	(45, 0.030620582810950075)	(50, 0.032903163924533976)	(55, 0.03471223087093825)	(60, 0.036327035594909844)	(65, 0.03748046754060384)	(70, 0.04227631615691045)	(75, 0.04482600782633929)	(80, 0.047023599217608895)	(85, 0.050083229220923495)	(90, 0.05434485672554027)	(95, 0.057538042006777326)	(100, 0.061581124511157326)	(105, 0.06652266979428845)	(110, 0.0711849631326726)	(115, 0.0770128298056528)	(120, 0.08361774536836368)	(125, 0.09172819315492776)	(130, 0.0997900753858837)	(135, 0.10848330983974581)	(140, 0.11763791707188553)	(145, 0.1265496965259844)	(150, 0.13684559431491605)	(155, 0.14610947404717414)	(160, 0.15556761600186492)	(165, 0.1664827246248007)	(170, 0.17759209547016921)	(175, 0.18736591353631307)	(180, 0.19616842049029357)	(185, 0.206682863279462)	(190, 0.2179986377361652)	(195, 0.23054069247197462)	(200, 0.2415286494283227)	(205, 0.25271086860710346)	(210, 0.2636866841745495)	(215, 0.27490532752003627)	(220, 0.2865367780881926)	(225, 0.29785255254489584)	(230, 0.31005464839144803)	(235, 0.3223174511825106)	(240, 0.33640146230887935)	(245, 0.34791149898801527)	(250, 0.3599193326121348)	(255, 0.3719757317918626)	(260, 0.3823201951364024)	(265, 0.3929560518145913)	(270, 0.40427182627129443)	(275, 0.4151990762831323)	(280, 0.4252642876829252)	(285, 0.4339089565811792)	(290, 0.439639692142943)
SRR33075536_1 - illumina_universal_adapter	(1, 0.0005824930264662988)	(2, 0.0005824930264662988)	(3, 0.0006553046547745861)	(4, 0.0006553046547745861)	(5, 0.0006553046547745861)	(6, 0.0006553046547745861)	(7, 0.0006553046547745861)	(8, 0.0007281162830828734)	(9, 0.0007281162830828734)	(10, 0.0007281162830828734)	(15, 0.0008154902370528183)	(20, 0.0015436065201356918)	(25, 0.003320210250857903)	(30, 0.006043365149587849)	(35, 0.00696079166627227)	(40, 0.015741874040251725)	(45, 0.030420698307202454)	(50, 0.03330403878821063)	(55, 0.034614648097759805)	(60, 0.03608544298958721)	(65, 0.03797854532560268)	(70, 0.047385807703033404)	(75, 0.05019633655573329)	(80, 0.052919491454463244)	(85, 0.05682219473178744)	(90, 0.06006959335433706)	(95, 0.06419073151658612)	(100, 0.0678313129320005)	(105, 0.07243300784108427)	(110, 0.0778210683358975)	(115, 0.08341300138997398)	(120, 0.09085434980308096)	(125, 0.09879081728868429)	(130, 0.1054894870930467)	(135, 0.11342595457865001)	(140, 0.12168279322880982)	(145, 0.12977944629669136)	(150, 0.1385022793680242)	(155, 0.1473416110446503)	(160, 0.15744786505384056)	(165, 0.16742305813207592)	(170, 0.17719437865104806)	(175, 0.18644145544620058)	(180, 0.1969117675969323)	(185, 0.20911499650140125)	(190, 0.2211434774979303)	(195, 0.2332447701227677)	(200, 0.24425388832298073)	(205, 0.25577268792135177)	(210, 0.26721867589141457)	(215, 0.28029564433558296)	(220, 0.29297942998688664)	(225, 0.3067117030858296)	(230, 0.3192061785035317)	(235, 0.33207927438843693)	(240, 0.34575329818473327)	(245, 0.35731578476008935)	(250, 0.3694753266875733)	(255, 0.3820280514079221)	(260, 0.39482833566451897)	(265, 0.40873535667140193)	(270, 0.42053084045734435)	(275, 0.43250107215122685)	(280, 0.4448790489636357)	(285, 0.45830551322368385)	(290, 0.46548473977488103)
SRR33075536_2 - illumina_universal_adapter	(1, 0.0005096813981580114)	(2, 0.0005096813981580114)	(3, 0.0005096813981580114)	(4, 0.0005096813981580114)	(5, 0.0005096813981580114)	(6, 0.0005096813981580114)	(7, 0.0005096813981580114)	(8, 0.0005824930264662988)	(9, 0.0005824930264662988)	(10, 0.0005824930264662988)	(15, 0.0006553046547745861)	(20, 0.0012523600069025424)	(25, 0.0027959665270382342)	(30, 0.005388060494813264)	(35, 0.006305487011497683)	(40, 0.01585837264554498)	(45, 0.03181868157072157)	(50, 0.03486220763400798)	(55, 0.0363621271771587)	(60, 0.037832922068986106)	(65, 0.03965321277669329)	(70, 0.049002225851477385)	(75, 0.052089438891748774)	(80, 0.054754344487832084)	(85, 0.058715297067802916)	(90, 0.062035507318660824)	(95, 0.06638964269149641)	(100, 0.07024865899183563)	(105, 0.07479210459827276)	(110, 0.08010735346477774)	(115, 0.08578666047282416)	(120, 0.09349013074784093)	(125, 0.10147028521042925)	(130, 0.10786314617589687)	(135, 0.11550836714826704)	(140, 0.12350308393651702)	(145, 0.13149780072476697)	(150, 0.14019150914477646)	(155, 0.1490454031470642)	(160, 0.1593555297155177)	(165, 0.16946178372470797)	(170, 0.17943697680294332)	(175, 0.18862580429544917)	(180, 0.19909611644618092)	(185, 0.21102266116307838)	(190, 0.22277445797203596)	(195, 0.23432238222173032)	(200, 0.24547712367855995)	(205, 0.25664642746105126)	(210, 0.267670107986926)	(215, 0.28025195735859804)	(220, 0.2924406239374053)	(225, 0.3054884677302504)	(230, 0.3170218296542831)	(235, 0.32884643809154895)	(240, 0.3414428497888827)	(245, 0.3524519679890957)	(250, 0.36378145735386525)	(255, 0.3747468885770933)	(260, 0.38641131143208096)	(265, 0.3983524184746401)	(270, 0.4082547999245671)	(275, 0.41862317579566727)	(280, 0.4285692442225793)	(285, 0.43906868102463437)	(290, 0.4445878024504025)
SRR33075537_1 - illumina_universal_adapter	(1, 0.00034093597836011157)	(2, 0.00034093597836011157)	(3, 0.00034093597836011157)	(4, 0.00034093597836011157)	(5, 0.00034093597836011157)	(6, 0.00034093597836011157)	(7, 0.00034093597836011157)	(8, 0.00034093597836011157)	(9, 0.00034093597836011157)	(10, 0.000409123174032134)	(15, 0.0004636729305697518)	(20, 0.0007227842741234366)	(25, 0.0012273695220964018)	(30, 0.0016364926961285355)	(35, 0.0019228789179510293)	(40, 0.004404892840412641)	(45, 0.008223375798045891)	(50, 0.009164359098319799)	(55, 0.010337178863878584)	(60, 0.011428173994630938)	(65, 0.012573718881920914)	(70, 0.016705862939645467)	(75, 0.018778753688074946)	(80, 0.020756182362563595)	(85, 0.022815435671858668)	(90, 0.02574748508575563)	(95, 0.028911370964937462)	(100, 0.0327025790443019)	(105, 0.036548336880203966)	(110, 0.041880575581756105)	(115, 0.04732191379638349)	(120, 0.052422316032650754)	(125, 0.058518251325729555)	(130, 0.06589610589744237)	(135, 0.0735739841301121)	(140, 0.08179735992815798)	(145, 0.09029348450889195)	(150, 0.1002624525161416)	(155, 0.10937226185792379)	(160, 0.11804567314740504)	(165, 0.12712820761091842)	(170, 0.13663350268759833)	(175, 0.14575694946851492)	(180, 0.15537134405827008)	(185, 0.16581762243522385)	(190, 0.17668666142534423)	(195, 0.1878148117590183)	(200, 0.19842473940558494)	(205, 0.20829824533889374)	(210, 0.21914000945074533)	(215, 0.2298453991712528)	(220, 0.2399098292524433)	(225, 0.2505743066555476)	(230, 0.26140243332826474)	(235, 0.2715896003616649)	(240, 0.28376783350868806)	(245, 0.295059633111975)	(250, 0.3067196435718908)	(255, 0.31948428660169337)	(260, 0.33134885864862523)	(265, 0.3421087981256704)	(270, 0.3532505858984788)	(275, 0.3652242574584859)	(280, 0.3771024669445522)	(285, 0.3895670863133979)	(290, 0.3965767300284818)
SRR33075537_2 - illumina_universal_adapter	(1, 0.00034093597836011157)	(2, 0.00034093597836011157)	(3, 0.00034093597836011157)	(4, 0.00034093597836011157)	(5, 0.00034093597836011157)	(6, 0.00034093597836011157)	(7, 0.00034093597836011157)	(8, 0.00034093597836011157)	(9, 0.00034093597836011157)	(10, 0.000409123174032134)	(15, 0.0004636729305697518)	(20, 0.0007364217132578412)	(25, 0.001295556717768424)	(30, 0.001704679891800558)	(35, 0.001963791235354243)	(40, 0.004650366744831922)	(45, 0.009055259585244562)	(50, 0.010118979837728113)	(55, 0.011237249846749278)	(60, 0.012314607538367231)	(65, 0.013460152425657203)	(70, 0.017646846239919377)	(75, 0.019651549792676835)	(80, 0.021560791271493455)	(85, 0.023483670189444486)	(90, 0.02647026935987906)	(95, 0.029715979873867322)	(100, 0.03353446283150057)	(105, 0.03721657139778978)	(110, 0.042303336194922644)	(115, 0.047458288187727536)	(120, 0.05289962640235492)	(125, 0.05939104743033143)	(130, 0.06661889017156582)	(135, 0.07462406694346121)	(140, 0.08276561810670069)	(145, 0.09123446780916586)	(150, 0.10102614910766827)	(155, 0.1099450343015688)	(160, 0.11841388400403394)	(165, 0.12756460566321937)	(170, 0.1371108130573025)	(175, 0.146029698251203)	(180, 0.15542589381480768)	(185, 0.16577671011782064)	(190, 0.17657756191226898)	(195, 0.1873647762675829)	(200, 0.1973746565922358)	(205, 0.2069754137428565)	(210, 0.2172171305327943)	(215, 0.22740429756619443)	(220, 0.23722325374296563)	(225, 0.24723313406761852)	(230, 0.2575294006140939)	(235, 0.2672801695951931)	(240, 0.27885835542030246)	(245, 0.28945464562773476)	(250, 0.30055552108314)	(255, 0.31218825666478695)	(260, 0.3230572956549074)	(265, 0.3321261926792863)	(270, 0.3415496631211598)	(275, 0.35158681832408145)	(280, 0.36036932912663794)	(285, 0.37005191091206513)	(290, 0.37482501460910667)
SRR33075538_1 - illumina_universal_adapter	(1, 0.0002669425072574994)	(2, 0.0002669425072574994)	(3, 0.0002669425072574994)	(4, 0.0002669425072574994)	(5, 0.0003336781340718743)	(6, 0.0003336781340718743)	(7, 0.0004004137608862491)	(8, 0.0004004137608862491)	(9, 0.0004004137608862491)	(10, 0.00040041376088624915)	(15, 0.0004938436384263739)	(20, 0.001361406787013247)	(25, 0.004017484734225365)	(30, 0.007100670693049485)	(35, 0.007914845340184858)	(40, 0.013413860989689344)	(45, 0.021568954586405953)	(50, 0.023317428008942577)	(55, 0.02467883479595582)	(60, 0.025986853081517568)	(65, 0.027788715005505688)	(70, 0.03366145016517068)	(75, 0.03638426373919717)	(80, 0.039707697954553034)	(85, 0.042937702292368776)	(90, 0.04652807901498215)	(95, 0.05043878674630451)	(100, 0.05453635423270713)	(105, 0.05935466648870499)	(110, 0.06525409589909573)	(115, 0.07096666555440621)	(120, 0.0780139477460042)	(125, 0.08568854482965732)	(130, 0.0939637625546398)	(135, 0.10301311355066903)	(140, 0.11180886916480363)	(145, 0.12148553505288798)	(150, 0.13184290433447896)	(155, 0.14196002535953817)	(160, 0.15254429577229806)	(165, 0.16503720511194903)	(170, 0.17535453301745135)	(175, 0.18572524942440521)	(180, 0.1961493543328106)	(185, 0.20769461777169745)	(190, 0.22053455237078312)	(195, 0.23389502485902097)	(200, 0.24680169508492106)	(205, 0.2590143147919517)	(210, 0.2713203643765224)	(215, 0.2842003403516967)	(220, 0.29732056458340284)	(225, 0.3105876071941006)	(230, 0.32332076479028327)	(235, 0.33618739364009476)	(240, 0.35201708432046447)	(245, 0.3659247889485802)	(250, 0.37885815342520607)	(255, 0.3935666855750943)	(260, 0.40735426607494407)	(265, 0.42000734091894965)	(270, 0.4341819880543228)	(275, 0.4486235776969535)	(280, 0.4614501651706764)	(285, 0.47595849044012145)	(290, 0.4862357769695352)
SRR33075538_2 - illumina_universal_adapter	(1, 0.0002669425072574994)	(2, 0.0002669425072574994)	(3, 0.0002669425072574994)	(4, 0.0002669425072574994)	(5, 0.0003336781340718743)	(6, 0.0003336781340718743)	(7, 0.0004004137608862491)	(8, 0.0004004137608862491)	(9, 0.0004004137608862491)	(10, 0.0004938436384263739)	(15, 0.0006406620174179985)	(20, 0.0015749607928192467)	(25, 0.0042176916146684906)	(30, 0.0075144315792986085)	(35, 0.008422036103974106)	(40, 0.014401548266542094)	(45, 0.0233574693850312)	(50, 0.025119289932930694)	(55, 0.02642730821849244)	(60, 0.027775367880142815)	(65, 0.029630618305582435)	(70, 0.035556741966698925)	(75, 0.03825286128999966)	(80, 0.041416130001001035)	(85, 0.044819646968534146)	(90, 0.04846341219259902)	(95, 0.05237411992392138)	(100, 0.0565250759117755)	(105, 0.06139677666922487)	(110, 0.06734959458106711)	(115, 0.07328906536754645)	(120, 0.08038973606059595)	(125, 0.08805098601888618)	(130, 0.09637959224532017)	(135, 0.10541559611598653)	(140, 0.11433147585838702)	(145, 0.12382128199139111)	(150, 0.13363141913310422)	(155, 0.14334812639727718)	(160, 0.15401247956221428)	(165, 0.1662250992692449)	(170, 0.17642230304648138)	(175, 0.18635256431646036)	(180, 0.1964029497147052)	(185, 0.20789482465214054)	(190, 0.22077480062731486)	(195, 0.23424205011845575)	(200, 0.24709533184290433)	(205, 0.2589609262905002)	(210, 0.27067970235910443)	(215, 0.28254529680670026)	(220, 0.29514498314925425)	(225, 0.30779805799325965)	(230, 0.31935666855750944)	(235, 0.3310220561246622)	(240, 0.34534352163902693)	(245, 0.35841035736928156)	(250, 0.36999566218425706)	(255, 0.3830358036637859)	(260, 0.39466114985485)	(265, 0.4058193466582135)	(270, 0.4174179985985519)	(275, 0.4287630551569956)	(280, 0.43862658080016015)	(285, 0.4495712235977177)	(290, 0.4565384230371384)
SRR33075539_1 - illumina_universal_adapter	(1, 0.00047194633026332244)	(2, 0.00047194633026332244)	(3, 0.00047194633026332244)	(4, 0.00047194633026332244)	(5, 0.0005191409632896547)	(6, 0.0005191409632896547)	(7, 0.0005191409632896547)	(8, 0.0005191409632896547)	(9, 0.000566335596315987)	(10, 0.00100996514676351)	(15, 0.004464612284291031)	(20, 0.0086649346236346)	(25, 0.016848483990400613)	(30, 0.02119039022882318)	(35, 0.02614582669658807)	(40, 0.033857429733090756)	(45, 0.32566184573490303)	(50, 0.5351210660323709)	(55, 1.2773604985641032)	(60, 1.2863086009858957)	(65, 1.2887815997564758)	(70, 1.292406147572898)	(75, 1.2954266040865832)	(80, 1.299485342526848)	(85, 1.3034780084808755)	(90, 1.3080464489578245)	(95, 1.3121618209577206)	(100, 1.3167774560676961)	(105, 1.321279824058408)	(110, 1.3270281303610154)	(115, 1.3340412528287282)	(120, 1.3412053981221255)	(125, 1.347463406461417)	(130, 1.3550145477456303)	(135, 1.3637266770022913)	(140, 1.3725992680112418)	(145, 1.3818022214513765)	(150, 1.391562071561222)	(155, 1.4015201391297782)	(160, 1.4121011758542816)	(165, 1.4231447199824436)	(170, 1.434282653376658)	(175, 1.4453167585782147)	(180, 1.4556901389174022)	(185, 1.4670734844033535)	(190, 1.479910424586516)	(195, 1.492350929852257)	(200, 1.504744240484972)	(205, 1.5170526007782394)	(210, 1.5288890147412435)	(215, 1.5417825884840375)	(220, 1.5546195286672)	(225, 1.567796270208152)	(230, 1.5818225151435779)	(235, 1.5954900808680037)	(240, 1.6087234559685872)	(245, 1.6234764982526186)	(250, 1.6382767351696763)	(255, 1.6509343357473387)	(260, 1.6646396571781856)	(265, 1.6783355396824273)	(270, 1.6936171618563534)	(275, 1.7069732430028057)	(280, 1.7221887926904955)	(285, 1.7376403155433162)	(290, 1.7469565361027144)
