Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR33022240_1	(1, 33.783957920453766)	(2, 33.828862844256136)	(3, 33.833037910886354)	(4, 33.84401694799426)	(5, 33.845387992892775)	(6, 37.59461064033349)	(7, 37.58957493336978)	(8, 37.467028719333015)	(9, 37.465348014761155)	(10, 37.57185898312034)	(15, 37.63681704025148)	(20, 37.394973689605685)	(25, 37.33087926262557)	(30, 37.328643733342446)	(35, 37.35644604660698)	(40, 37.32017870566528)	(45, 37.30113527642999)	(50, 37.15527574660015)	(55, 37.10824762523064)	(60, 37.12883123761362)	(65, 37.073669531196614)	(70, 36.876624752272264)	(75, 36.781815502631034)	(80, 36.927817689469)	(85, 36.83379219913893)	(90, 36.7878673204401)	(95, 36.910963660903434)	(100, 36.78703273423084)	(105, 36.66670880885669)	(110, 36.619836585115834)	(115, 36.72870566527711)	(120, 36.73237886967813)	(125, 36.72133149388369)	(130, 36.706091112553814)	(135, 36.74804252374769)	(140, 36.62983709765598)	(145, 36.630985187589694)	(150, 36.40685394314222)	(155, 36.390347160527575)	(160, 36.432885857308825)	(165, 36.437265512881844)	(170, 36.1709821123488)	(175, 36.06345631449464)	(180, 35.74060727465318)	(185, 35.68097963507142)	(190, 35.613131705733615)	(195, 35.490515871659944)	(200, 35.36234794642247)	(205, 35.39333569671291)	(210, 35.27862622155403)	(215, 35.19078965352286)	(220, 35.026939110230295)	(225, 34.88758969452607)	(230, 34.783997642315306)	(235, 34.622606010387486)	(240, 34.1409784391444)	(245, 33.25807336157999)	(250, 32.355411996856425)	(255, 31.944953615116514)	(260, 31.04071747078521)	(265, 30.931770655368005)	(270, 30.876034049750565)	(275, 30.939849996583064)	(280, 30.420113356796282)	(285, 28.918331852661787)	(290, 28.22590377912936)	(295, 26.41998095059113)	(300, 20.95397282682977)
SRR33022240_2	(1, 32.27548605890795)	(2, 32.46046179867423)	(3, 33.34340617098339)	(4, 33.25381201735803)	(5, 33.130834415362536)	(6, 36.97632491628511)	(7, 36.933282221690696)	(8, 36.51083168181508)	(9, 36.74637804961389)	(10, 35.958392844939524)	(15, 36.3187265085765)	(20, 36.69318834142008)	(25, 36.34626016537962)	(30, 36.67375709013872)	(35, 36.246873932208025)	(40, 36.56184565707647)	(45, 35.95927099706144)	(50, 36.75520270962892)	(55, 36.098673375247735)	(60, 36.54076146381466)	(65, 35.520600269937816)	(70, 35.4334218888813)	(75, 35.85721656529761)	(80, 35.563519954896464)	(85, 35.64650575753434)	(90, 35.89260233718308)	(95, 35.45619917310189)	(100, 35.637883977994946)	(105, 35.58983846442972)	(110, 35.532756013804416)	(115, 35.62593196883756)	(120, 35.25784698968086)	(125, 34.926698643477074)	(130, 34.612548264197365)	(135, 34.56363655778036)	(140, 34.544985221759035)	(145, 34.259333783229685)	(150, 34.526037039568095)	(155, 34.69495788628442)	(160, 34.00188529351466)	(165, 33.79821038064649)	(170, 33.582318219093835)	(175, 32.6679547085355)	(180, 32.9454520604114)	(185, 31.66876922025558)	(190, 31.880635378938017)	(195, 31.083239510011616)	(200, 31.276444081869748)	(205, 30.61111699583134)	(210, 29.68471220870635)	(215, 28.79974842821021)	(220, 27.209866397867835)	(225, 26.63905513223536)	(230, 27.476392400738057)	(235, 27.225773508508166)	(240, 28.02570986810634)	(245, 27.62519732795736)	(250, 24.79938281623727)	(255, 24.466955255244994)	(260, 21.9908716599467)	(265, 21.720725842274312)	(270, 20.925091830110027)	(275, 20.369257841864275)	(280, 19.618386096494227)	(285, 18.342789414337453)	(290, 18.433003314426294)	(295, 16.89943193466821)	(300, 13.78055059625504)
SRR33022241_1	(1, 33.766054276749145)	(2, 33.820955972815895)	(3, 33.82655436493852)	(4, 33.84340180167625)	(5, 33.8497536141312)	(6, 37.62178081565372)	(7, 37.59825711666474)	(8, 37.47791890497105)	(9, 37.51014831057467)	(10, 37.57095629944321)	(15, 37.64035240909418)	(20, 37.419924701517076)	(25, 37.305045956462756)	(30, 37.28783705216673)	(35, 37.33188034988318)	(40, 37.277462062237745)	(45, 37.2642484632185)	(50, 37.13321342481802)	(55, 37.09522405544825)	(60, 37.12460004485682)	(65, 37.036701586755484)	(70, 36.82810344940216)	(75, 36.781869571181886)	(80, 36.87458556437933)	(85, 36.78349922371575)	(90, 36.7350220691187)	(95, 36.84523526965262)	(100, 36.71527113333144)	(105, 36.57901136445294)	(110, 36.55042973266644)	(115, 36.65222596512926)	(120, 36.66433164430721)	(125, 36.63424578487454)	(130, 36.623542425621515)	(135, 36.682237353534866)	(140, 36.57541149597487)	(145, 36.55239864210139)	(150, 36.32669742770105)	(155, 36.30208366449714)	(160, 36.303012157068544)	(165, 36.31915364330991)	(170, 36.078951047276036)	(175, 35.992763245281864)	(180, 35.74394334975906)	(185, 35.67865359867084)	(190, 35.5907037512058)	(195, 35.4898621414993)	(200, 35.41359030918541)	(205, 35.37673281232648)	(210, 35.25803383423447)	(215, 35.135981482408944)	(220, 35.03248112638518)	(225, 34.83741624731349)	(230, 34.75239123854899)	(235, 34.55115832932308)	(240, 34.098715483658836)	(245, 33.20711655586742)	(250, 32.29940488503807)	(255, 31.97182469258926)	(260, 31.084551181410983)	(265, 31.01970999849751)	(270, 30.80953925951411)	(275, 30.759365384908513)	(280, 30.26366271157284)	(285, 28.913460747018433)	(290, 28.06910693560434)	(295, 26.24970440228291)	(300, 20.680469211020842)
SRR33022241_2	(1, 32.29551714902262)	(2, 32.61351278963677)	(3, 33.37387286358519)	(4, 33.21689142254904)	(5, 33.14487663286437)	(6, 36.999015763034066)	(7, 36.91058032963228)	(8, 36.5129899681865)	(9, 36.74954217738476)	(10, 35.998573291902474)	(15, 36.41420393302834)	(20, 36.75173667741633)	(25, 36.43848410087122)	(30, 36.56854796739824)	(35, 36.412342157351624)	(40, 36.59886899849534)	(45, 36.02387645648562)	(50, 36.74844166109586)	(55, 36.164511289328644)	(60, 36.544958071940755)	(65, 35.53520106088551)	(70, 35.453546845977804)	(75, 35.88056981223285)	(80, 35.55696750493751)	(85, 35.58289474543756)	(90, 35.84063461509149)	(95, 35.509694951866024)	(100, 35.56414590224263)	(105, 35.58322267925851)	(110, 35.56475691306705)	(115, 35.66309046052273)	(120, 35.29026236883192)	(125, 34.90124357905143)	(130, 34.67683188927769)	(135, 34.63728298337032)	(140, 34.563487421582224)	(145, 34.24063026006066)	(150, 34.45809088513824)	(155, 34.68328517395082)	(160, 34.082010891932086)	(165, 33.91840849753614)	(170, 33.61595204240058)	(175, 32.71220954666307)	(180, 32.985911039785385)	(185, 31.969378907279214)	(190, 32.01511936050728)	(195, 31.15074547240108)	(200, 31.317881103303513)	(205, 30.802450575843956)	(210, 29.81064108231226)	(215, 28.815026162847666)	(220, 27.30488002978841)	(225, 26.679352581117893)	(230, 27.73604071082813)	(235, 27.28911656022246)	(240, 28.08617125287704)	(245, 27.660819311948682)	(250, 24.75259636050074)	(255, 24.50885922145114)	(260, 21.914990669346462)	(265, 21.682496477868824)	(270, 20.96316471379826)	(275, 20.374634558476085)	(280, 19.657944120599513)	(285, 18.435886324985464)	(290, 18.80701769666775)	(295, 17.14079596898347)	(300, 13.95196945381381)
SRR33022242_1	(1, 33.80009044952536)	(2, 33.834500785944904)	(3, 33.84607627617255)	(4, 33.85232139145911)	(5, 33.84705395065378)	(6, 37.6210311245891)	(7, 37.61572123983175)	(8, 37.51198968465607)	(9, 37.48965684796576)	(10, 37.57544924727846)	(15, 37.593233263178846)	(20, 37.420191612489646)	(25, 37.26740772831187)	(30, 37.245024544312955)	(35, 37.1905180211166)	(40, 37.21285144324073)	(45, 37.22274937285401)	(50, 37.190059919151594)	(55, 37.165307191761784)	(60, 37.171504008758085)	(65, 37.10154437442005)	(70, 36.89514587547237)	(75, 36.68094032380344)	(80, 36.76840296580774)	(85, 36.67766891961116)	(90, 36.76280329130894)	(95, 36.756814888752935)	(100, 36.67634174113873)	(105, 36.688891685961586)	(110, 36.598534366428886)	(115, 36.54453307262014)	(120, 36.590213302812714)	(125, 36.31511004692252)	(130, 36.20727196620876)	(135, 36.07195771996944)	(140, 36.14537814634089)	(145, 36.03647808867566)	(150, 36.09465528193029)	(155, 36.0234703346047)	(160, 35.95216947138253)	(165, 35.77630076077125)	(170, 35.61066865323877)	(175, 35.50173727486411)	(180, 35.35559894270652)	(185, 35.231800765162006)	(190, 34.893741419735555)	(195, 34.986164149789104)	(200, 34.70876628603711)	(205, 34.7207398712631)	(210, 34.465350221147624)	(215, 34.081595131532346)	(220, 33.78907112142776)	(225, 33.56175448661844)	(230, 33.75550410242751)	(235, 32.963112107649565)	(240, 32.18650633585753)	(245, 31.18050476104055)	(250, 29.586689283926624)	(255, 29.153846153846153)	(260, 27.9132363659781)	(265, 27.732921578212494)	(270, 27.726742616947725)	(275, 27.848067922031923)	(280, 26.74904208391023)	(285, 25.768602598740735)	(290, 25.45287960260752)	(295, 24.04437676178991)	(300, 20.906495973678894)
SRR33022242_2	(1, 32.66092112157411)	(2, 33.45750921326476)	(3, 33.56283461201837)	(4, 33.62667909737814)	(5, 33.33173022038656)	(6, 36.31250896445538)	(7, 36.27922558814145)	(8, 36.48373225769626)	(9, 36.73723973807691)	(10, 37.279455956350056)	(15, 36.89300026051805)	(20, 36.249244644012336)	(25, 35.99493219212767)	(30, 35.85694514777813)	(35, 36.03311711310874)	(40, 34.81471722082857)	(45, 35.66852824864546)	(50, 36.83578581318221)	(55, 36.21715204009051)	(60, 35.07784454975748)	(65, 35.68695390001376)	(70, 36.05261820640641)	(75, 36.09001952421794)	(80, 36.25022729468104)	(85, 36.31308825122136)	(90, 35.60408369361906)	(95, 35.26301404748453)	(100, 34.96896439684217)	(105, 34.95332189785936)	(110, 34.855067076080054)	(115, 34.40802015063212)	(120, 34.17539948540367)	(125, 33.922699903696135)	(130, 33.79648593348886)	(135, 33.61730425288398)	(140, 33.43191668105858)	(145, 33.36639785497049)	(150, 32.641115895406394)	(155, 32.0498432500944)	(160, 31.663997283587072)	(165, 31.22886686356758)	(170, 30.33966284866243)	(175, 29.523847939419312)	(180, 29.84590972025045)	(185, 29.514182427032996)	(190, 28.97865771733499)	(195, 28.364571594165568)	(200, 28.10252907410714)	(205, 27.79573189472729)	(210, 26.782924944456965)	(215, 25.549016617539014)	(220, 24.28411835130127)	(225, 24.519125537501427)	(230, 24.146345283013343)	(235, 23.851746202729874)	(240, 23.697363206069777)	(245, 23.429374727407374)	(250, 21.49517280542814)	(255, 21.45413711445524)	(260, 19.65826149572487)	(265, 19.224932162855982)	(270, 19.004227417622143)	(275, 18.22306345809904)	(280, 18.06326607674452)	(285, 18.045592415119415)	(290, 17.721118354228445)	(295, 16.75319339513563)	(300, 15.613427802837599)
SRR33022243_1	(1, 33.780734772090916)	(2, 33.81688422593632)	(3, 33.83316620893426)	(4, 33.841647896166656)	(5, 33.85589016802697)	(6, 37.62030873877117)	(7, 37.610535680811246)	(8, 37.48164111200707)	(9, 37.50291897392562)	(10, 37.57093523210455)	(15, 37.589096546327184)	(20, 37.39438967855581)	(25, 37.35331575799594)	(30, 37.35033489349167)	(35, 37.29503179330927)	(40, 37.29583547817911)	(45, 37.28428247098135)	(50, 37.26379520169485)	(55, 37.20102357495455)	(60, 37.21379981373316)	(65, 37.13536510978139)	(70, 36.89844053594861)	(75, 36.58262392249395)	(80, 36.768614335405275)	(85, 36.73048497814489)	(90, 36.854599094850286)	(95, 36.8207752985179)	(100, 36.743276094466445)	(105, 36.709779604078825)	(110, 36.63750658331276)	(115, 36.644911136435994)	(120, 36.64218140485662)	(125, 36.44450468196277)	(130, 36.26885445894839)	(135, 36.138237368222164)	(140, 36.204897389586314)	(145, 36.16666686503391)	(150, 36.203890179929)	(155, 36.123405648110406)	(160, 36.075072676797284)	(165, 35.86911957676366)	(170, 35.69068695566789)	(175, 35.66296235684084)	(180, 35.47624740758814)	(185, 35.45877641135811)	(190, 35.127481202224494)	(195, 35.18943694450974)	(200, 34.892624606860934)	(205, 34.87288180982335)	(210, 34.60360869681651)	(215, 34.3450637800266)	(220, 34.03764851507244)	(225, 33.722526087771556)	(230, 33.80992897460999)	(235, 33.373240656159155)	(240, 32.477396846556005)	(245, 31.546927638606626)	(250, 30.00923121784591)	(255, 29.450707724717848)	(260, 28.236707064154945)	(265, 27.94620012675667)	(270, 27.763127200016662)	(275, 27.88908285898767)	(280, 26.749230087152647)	(285, 25.54545476185517)	(290, 25.25539831645724)	(295, 24.13251546520589)	(300, 20.22800206500296)
SRR33022243_2	(1, 32.60651279319918)	(2, 33.428617548954556)	(3, 33.53990454568447)	(4, 33.59263948440387)	(5, 33.26881637243846)	(6, 36.19871636559479)	(7, 36.15780461025301)	(8, 36.376294718174705)	(9, 36.656739378178216)	(10, 37.245177742005545)	(15, 36.837073349262226)	(20, 36.18824941903195)	(25, 35.924004022887615)	(30, 35.796150584538665)	(35, 35.94759474763224)	(40, 34.67907919911211)	(45, 35.486839920613434)	(50, 36.81495639392163)	(55, 36.15856634045174)	(60, 34.94520452158285)	(65, 35.59904307643784)	(70, 35.91533517616498)	(75, 35.87636523772826)	(80, 36.08973836352978)	(85, 36.220062664210886)	(90, 35.48397391074069)	(95, 35.28699672991606)	(100, 34.94486650380716)	(105, 34.763454505961434)	(110, 34.63872326877471)	(115, 34.23283771278606)	(120, 33.93015261383552)	(125, 33.62529271565742)	(130, 33.589451524501825)	(135, 33.304724512537305)	(140, 33.25227581774415)	(145, 32.914288689794304)	(150, 32.29271982313577)	(155, 31.88699018379716)	(160, 31.2790922913499)	(165, 30.748235374631406)	(170, 30.047013630804845)	(175, 29.233118898347698)	(180, 29.420893723759736)	(185, 28.962629694980613)	(190, 28.62851548900996)	(195, 28.14952109189263)	(200, 27.89207175736513)	(205, 27.837571746950847)	(210, 26.962953430315075)	(215, 25.730295438247783)	(220, 24.333107293864202)	(225, 24.4710209267519)	(230, 24.329053460962815)	(235, 24.126051767898428)	(240, 24.038030867926103)	(245, 23.231294316481048)	(250, 21.078322824828835)	(255, 21.280967456862562)	(260, 19.475491628406587)	(265, 19.250421778342464)	(270, 18.961874808451633)	(275, 18.24036158380371)	(280, 17.644482663199206)	(285, 17.44186362053934)	(290, 17.681683661779893)	(295, 17.11029972298015)	(300, 15.010785474757274)
SRR33022244_1	(1, 33.75967715881621)	(2, 33.812127515466166)	(3, 33.840531985138874)	(4, 33.847033018105975)	(5, 33.8523381330643)	(6, 37.59800576421144)	(7, 37.59333261540467)	(8, 37.48049690109871)	(9, 37.47425942352218)	(10, 37.5346442143924)	(15, 37.62372962050858)	(20, 37.30939617476273)	(25, 37.232878393275655)	(30, 37.23773999835632)	(35, 37.21274219465124)	(40, 37.202769598744)	(45, 37.22736356757645)	(50, 37.198986587014375)	(55, 37.17774487271409)	(60, 37.117053450733565)	(65, 37.047292039210234)	(70, 36.76566695100421)	(75, 36.4845559375062)	(80, 36.69237559760476)	(85, 36.62412977127359)	(90, 36.724141390382215)	(95, 36.706711593886645)	(100, 36.627793474595244)	(105, 36.61769051795719)	(110, 36.553857402364066)	(115, 36.534072044141276)	(120, 36.54081169392434)	(125, 36.319293671553304)	(130, 36.16748519980616)	(135, 36.00994198947478)	(140, 36.11531228479852)	(145, 36.079733724037666)	(150, 36.048643256524414)	(155, 36.01341808670122)	(160, 35.882668257445445)	(165, 35.787486786806355)	(170, 35.58909929236795)	(175, 35.53212088407247)	(180, 35.3367917657361)	(185, 35.27565966780685)	(190, 35.00687256104992)	(195, 35.030878206236345)	(200, 34.67890366625385)	(205, 34.60334120220933)	(210, 34.38579011355553)	(215, 34.10990798232762)	(220, 33.79835292050546)	(225, 33.55441568636341)	(230, 33.6312194112796)	(235, 33.15798587003035)	(240, 32.30640496277634)	(245, 31.384674395735505)	(250, 29.764066631337016)	(255, 29.206794061218535)	(260, 27.95839622293952)	(265, 27.67498745986448)	(270, 27.457101117418176)	(275, 27.709543822460024)	(280, 26.685217943304416)	(285, 25.432323509991015)	(290, 25.018284509461072)	(295, 23.8546455179997)	(300, 20.424086837250297)
SRR33022244_2	(1, 32.65148625402772)	(2, 33.46874318085851)	(3, 33.568588164946)	(4, 33.6178985283407)	(5, 33.33271034129006)	(6, 36.31231738870453)	(7, 36.30346277776046)	(8, 36.5023975038754)	(9, 36.75648898876914)	(10, 37.309230673313174)	(15, 36.913141778630475)	(20, 36.32399005857731)	(25, 36.097573590049514)	(30, 35.96593929157444)	(35, 36.103340352030656)	(40, 34.79493718596525)	(45, 35.73825492324304)	(50, 36.89683308441991)	(55, 36.29761666576926)	(60, 35.253530083572564)	(65, 35.76876698586153)	(70, 36.20027177378445)	(75, 36.17740480124239)	(80, 36.29254308280457)	(85, 36.384512861786455)	(90, 35.7363618587173)	(95, 35.49646240651577)	(100, 35.30655005993759)	(105, 35.11711579717004)	(110, 34.926002431511016)	(115, 34.523278459022805)	(120, 34.11680406498766)	(125, 33.96665429184367)	(130, 33.9339649216277)	(135, 33.590389863603)	(140, 33.586252327364136)	(145, 33.43406155860423)	(150, 32.90500301813431)	(155, 32.38010440194181)	(160, 31.865242145057486)	(165, 31.449381211617975)	(170, 30.448793738150634)	(175, 29.75106116468811)	(180, 29.915707334491465)	(185, 29.587281610351774)	(190, 29.19047488147092)	(195, 28.65231489484707)	(200, 28.483333380565476)	(205, 28.249632864507028)	(210, 27.409107964190476)	(215, 26.497232951792036)	(220, 24.73539548895193)	(225, 24.92168409060638)	(230, 24.67783045736779)	(235, 24.43124775056891)	(240, 24.363413977504273)	(245, 23.42645671031862)	(250, 21.470683855390273)	(255, 21.668532336546065)	(260, 20.016244930809627)	(265, 19.889233053813477)	(270, 19.208527292152567)	(275, 18.36032952925607)	(280, 18.225548719489215)	(285, 18.22201934439888)	(290, 18.010958519782243)	(295, 17.47598613641967)	(300, 15.158348612933484)
