Sample	Unique Reads	Duplicate Reads
SRR33022240_1	14963.0	453293.0
SRR33022240_2	14992.0	453264.0
SRR33022241_1	15779.0	443460.0
SRR33022241_2	15872.0	443367.0
SRR33022242_1	16703.0	666551.0
SRR33022242_2	20940.0	662314.0
SRR33022243_1	16707.0	655447.0
SRR33022243_2	20132.0	652022.0
SRR33022244_1	16798.0	688936.0
SRR33022244_2	20948.0	684786.0
SRR33022245_1	11562.0	636083.0
SRR33022245_2	19768.0	627877.0
SRR33022246_1	13902.0	449823.0
SRR33022246_2	14160.0	449565.0
SRR33022247_1	18134.0	415377.0
SRR33022247_2	12776.0	420735.0
SRR33022248_1	55486.0	1798230.0
SRR33022248_2	44054.0	1809662.0
SRR33022249_1	165426.0	12288355.0
SRR33022249_2	211785.0	12241996.0
SRR33022250_1	16668.0	422133.0
SRR33022250_2	11083.0	427718.0
SRR33022251_1	13948.0	706900.0
SRR33022251_2	23303.0	697545.0
SRR33022252_1	24827.0	553693.0
SRR33022252_2	16653.0	561867.0
SRR33022253_1	33254.0	818093.0
SRR33022253_2	23168.0	828179.0
SRR33022254_1	22384.0	509535.0
SRR33022254_2	15588.0	516331.0
SRR33022255_1	17466.0	423383.0
SRR33022255_2	13669.0	427180.0
SRR33022256_1	14096.0	404292.0
SRR33022256_2	13362.0	405026.0
SRR33022257_1	16762.0	478360.0
SRR33022257_2	15741.0	479381.0
SRR33022258_1	18765.0	537452.0
SRR33022258_2	15433.0	540784.0
SRR33022259_1	15183.0	449589.0
SRR33022259_2	14782.0	449990.0
SRR33022260_1	11147.0	329306.0
SRR33022260_2	11902.0	328551.0
SRR33022261_1	11430.0	342177.0
SRR33022261_2	12401.0	341206.0
SRR33022262_1	17191.0	654679.0
SRR33022262_2	23298.0	648572.0
SRR33022263_1	15323.0	746185.0
SRR33022263_2	21859.0	739649.0
SRR33075535_1	54337.0	1592921.0
SRR33075535_2	1223380.0	423878.0
SRR33075536_1	52833.0	1320574.0
SRR33075536_2	903103.0	470304.0
SRR33075537_1	54850.0	1411701.0
SRR33075537_2	982485.0	484066.0
SRR33075538_1	60088.0	1438362.0
SRR33075538_2	982333.0	516117.0
SRR33075539_1	116340.0	2002545.0
SRR33075539_2	1394711.0	724174.0
SRR33075540_1	83635.0	1422740.0
SRR33075540_2	1015365.0	491010.0
SRR33075541_1	31232.0	362132.0
SRR33075541_2	261387.0	131977.0
SRR33075542_1	36786.0	419682.0
SRR33075542_2	278019.0	178449.0
SRR33075543_1	34368.0	412424.0
SRR33075543_2	331116.0	115676.0
SRR33075544_1	30427.0	367188.0
SRR33075544_2	242080.0	155535.0
SRR33075545_1	39518.0	438785.0
SRR33075545_2	296536.0	181767.0
SRR33075546_1	35250.0	372717.0
SRR33075546_2	255735.0	152232.0
SRR33075547_1	82952.0	1693935.0
SRR33075547_2	1298994.0	477893.0
SRR33075548_1	78098.0	480126.0
SRR33075548_2	379886.0	178338.0
SRR33075549_1	97033.0	462191.0
SRR33075549_2	364645.0	194579.0
SRR33075550_1	60453.0	477599.0
SRR33075550_2	408729.0	129323.0
SRR33075551_1	74592.0	465478.0
SRR33075551_2	351131.0	188939.0
SRR33075552_1	57227.0	393900.0
SRR33075552_2	312934.0	138193.0
SRR33075553_1	102345.0	453974.0
SRR33075553_2	366050.0	190269.0
SRR33075554_1	33013.0	394804.0
SRR33075554_2	320594.0	107223.0
SRR33075555_1	31797.0	438073.0
SRR33075555_2	330775.0	139095.0
SRR33075556_1	37019.0	487000.0
SRR33075556_2	401985.0	122034.0
SRR33075557_1	33789.0	463484.0
SRR33075557_2	345939.0	151334.0
SRR33075558_1	136601.0	1353193.0
SRR33075558_2	1025319.0	464475.0
SRR33075559_1	35894.0	448255.0
SRR33075559_2	337636.0	146513.0
SRR33075560_1	29007.0	373789.0
SRR33075560_2	295826.0	106970.0
SRR33075561_1	44155.0	361052.0
SRR33075561_2	292888.0	112319.0
SRR33075562_1	41929.0	313303.0
SRR33075562_2	243039.0	112193.0
SRR33075563_1	53844.0	529941.0
SRR33075563_2	451576.0	132209.0
SRR33075564_1	47720.0	390331.0
SRR33075564_2	292551.0	145500.0
SRR33075565_1	49547.0	374333.0
SRR33075565_2	284645.0	139235.0
SRR33075566_1	38244.0	305837.0
SRR33075566_2	244636.0	99445.0
SRR33075567_1	71223.0	1809642.0
SRR33075567_2	1243889.0	636976.0
SRR33075568_1	57312.0	1553387.0
SRR33075568_2	1050282.0	560417.0
SRR33075569_1	84706.0	1463459.0
SRR33075569_2	1049902.0	498263.0
SRR33075570_1	90502.0	1700233.0
SRR33075570_2	1216697.0	574038.0
