Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR33022240_1	(1.0, 2.556080434634046)	(2.0, 0.744464566391034)	(3.0, 0.2652395270962892)	(4.0, 0.10250802979566732)	(5.0, 0.0822199822319415)	(6.0, 0.05637941638761703)	(7.0, 0.04783708057131142)	(8.0, 0.05467094922435591)	(9.0, 0.040362536732044006)	('>10', 0.7006850953324677)	('>50', 0.48221485683045173)	('>100', 2.1902549033007586)	('>500', 5.839967880817331)	('>1k', 86.83711474065468)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022240_2	(1.0, 2.64897833663637)	(2.0, 0.4061880680653318)	(3.0, 0.22103293924690767)	(4.0, 0.16230438050980658)	(5.0, 0.11211815758901114)	(6.0, 0.10891478165789654)	(7.0, 0.1151079751247181)	(8.0, 0.09738262830588396)	(9.0, 0.09610127793343812)	('>10', 2.5921718034579375)	('>50', 1.3249162851090002)	('>100', 2.7598151438529355)	('>500', 1.7718940066971913)	('>1k', 5.150814938836875)	('>5k', 0.0)	('>10k+', 82.4322592769767)
SRR33022241_1	(1.0, 2.722765270371201)	(2.0, 0.8122132484392659)	(3.0, 0.29396458053431873)	(4.0, 0.15329708496011882)	(5.0, 0.11431955909667951)	(6.0, 0.0953751750178012)	(7.0, 0.053349127578450437)	(8.0, 0.059228419189136815)	(9.0, 0.04899409675571979)	('>10', 0.6560853934443721)	('>50', 0.3181350016004738)	('>100', 1.9129472888844372)	('>500', 17.94882403280209)	('>1k', 74.81050172132593)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022241_2	(1.0, 2.8743203430022275)	(2.0, 0.42069597747578064)	(3.0, 0.22210657195926303)	(4.0, 0.17942726989650268)	(5.0, 0.16440241355808197)	(6.0, 0.14502252639693056)	(7.0, 0.11889234146054668)	(8.0, 0.10103671508735104)	(9.0, 0.1136663044732699)	('>10', 2.5529190682847056)	('>50', 1.21069856871912)	('>100', 2.81639843305991)	('>500', 1.9114230280964812)	('>1k', 5.223423968783139)	('>5k', 0.0)	('>10k+', 81.9455664697467)
SRR33022242_1	(1.0, 1.637312039153814)	(2.0, 0.7795051327910265)	(3.0, 0.5369891724014788)	(4.0, 0.3524311603005617)	(5.0, 0.23344173616253985)	(6.0, 0.12821000682030403)	(7.0, 0.08503426251437972)	(8.0, 0.07727726438484078)	(9.0, 0.05005459170381732)	('>10', 0.5002532001276246)	('>50', 0.3032547193283903)	('>100', 1.5645718868824772)	('>500', 1.3363990551098128)	('>1k', 23.384275832999148)	('>5k', 51.942323059945494)	('>10k+', 17.08866687937429)
SRR33022242_2	(1.0, 2.595667204290059)	(2.0, 0.3995585828988926)	(3.0, 0.21646415535071878)	(4.0, 0.15455452876968157)	(5.0, 0.11415959511396932)	(6.0, 0.10625623852915608)	(7.0, 0.07991171657977854)	(8.0, 0.05503077918314419)	(9.0, 0.044785687313941815)	('>10', 1.3175188143794254)	('>50', 0.9443047534299105)	('>100', 3.292333451395821)	('>500', 2.154250103182711)	('>1k', 3.5944173030820163)	('>5k', 0.0)	('>10k+', 84.93078708650077)
SRR33022243_1	(1.0, 1.657060733105806)	(2.0, 0.8700387113667404)	(3.0, 0.5338062408317141)	(4.0, 0.31540391041338744)	(5.0, 0.162165218089902)	(6.0, 0.12229340299990776)	(7.0, 0.06560996438316219)	(8.0, 0.05117874772745532)	(9.0, 0.048203239138649774)	('>10', 0.6028380400920027)	('>50', 0.3786334679255052)	('>100', 1.3223160168651826)	('>500', 1.4554700262142306)	('>1k', 35.83836442243891)	('>5k', 56.57661785840745)	('>10k+', 0.0)
SRR33022243_2	(1.0, 2.5581935092255645)	(2.0, 0.3713434718829316)	(3.0, 0.21379029210567818)	(4.0, 0.14996563287579928)	(5.0, 0.11009381778580504)	(6.0, 0.0928358679707329)	(7.0, 0.09997708858386621)	(8.0, 0.07617301987342186)	(9.0, 0.05623711232842474)	('>10', 0.9414509174980733)	('>50', 0.6953763572038552)	('>100', 2.6639728395576014)	('>500', 2.5227849570187786)	('>1k', 4.206327716564954)	('>5k', 0.8468297443740571)	('>10k+', 84.39464765515045)
SRR33022244_1	(1.0, 1.539815284512295)	(2.0, 0.7983177797867185)	(3.0, 0.5653688216806899)	(4.0, 0.37067790413952)	(5.0, 0.23450761901793027)	(6.0, 0.15898341301396846)	(7.0, 0.09918751257555963)	(8.0, 0.07254858062669504)	(9.0, 0.045909648677830456)	('>10', 0.4885693476578994)	('>50', 0.23224047587334604)	('>100', 2.10986008892869)	('>500', 1.3666622268446753)	('>1k', 25.670295040340978)	('>5k', 66.2470562563232)	('>10k+', 0.0)
SRR33022244_2	(1.0, 2.5227635341360912)	(2.0, 0.3678439752087897)	(3.0, 0.22189663527618056)	(4.0, 0.1422632323226598)	(5.0, 0.1069808171350679)	(6.0, 0.09096911867644183)	(7.0, 0.08331751056347009)	(8.0, 0.06121286490377394)	(9.0, 0.062488132922602566)	('>10', 1.122802642355335)	('>50', 1.1103333550601218)	('>100', 3.372800516908637)	('>500', 1.9068090810418654)	('>1k', 3.5067036588856424)	('>5k', 0.0)	('>10k+', 85.32081492460331)
SRR33022245_1	(1.0, 1.0638544264218823)	(2.0, 0.5558600776660052)	(3.0, 0.491009735271638)	(4.0, 0.38539632051509704)	(5.0, 0.2902824850033583)	(6.0, 0.19547746064587854)	(7.0, 0.1610450169460121)	(8.0, 0.10623103706505878)	(9.0, 0.09866516378571594)	('>10', 0.4771132333299879)	('>50', 0.18883802082931234)	('>100', 0.49378903565996807)	('>500', 0.689420901882976)	('>1k', 4.831041697226103)	('>5k', 22.718773402095284)	('>10k+', 67.25320198565572)
SRR33022245_2	(1.0, 2.561434119000378)	(2.0, 0.4020721228450772)	(3.0, 0.23160836569416887)	(4.0, 0.1735518686934972)	(5.0, 0.12352446170355673)	(6.0, 0.10468698129376434)	(7.0, 0.07890124991314687)	(8.0, 0.08399663395841858)	(9.0, 0.07226181009658068)	('>10', 1.3471886604544157)	('>50', 1.0372966671556176)	('>100', 3.1961954465795306)	('>500', 2.5112523064333083)	('>1k', 3.4305831126620294)	('>5k', 0.0)	('>10k+', 84.6454461935165)
SRR33022246_1	(1.0, 2.133807752439485)	(2.0, 0.9320178985390047)	(3.0, 0.5401908458677018)	(4.0, 0.29068952504178125)	(5.0, 0.17143781335921074)	(6.0, 0.08927704997573993)	(7.0, 0.07547576688770284)	(8.0, 0.05002965119413446)	(9.0, 0.038816108685104316)	('>10', 0.5664995417542724)	('>50', 0.3793196398727694)	('>100', 1.9686236454795405)	('>500', 1.8021456682300934)	('>1k', 87.66467194997036)	('>5k', 3.2969971427031104)	('>10k+', 0.0)
SRR33022246_2	(1.0, 2.5898970294894603)	(2.0, 0.38255431559652814)	(3.0, 0.2257803655183568)	(4.0, 0.1854547414954984)	(5.0, 0.10890074936654268)	(6.0, 0.1190360666343199)	(7.0, 0.06943770553668661)	(8.0, 0.06038061351016227)	(9.0, 0.07180980106744299)	('>10', 1.0085718906679606)	('>50', 1.0312146207342714)	('>100', 3.1402231926249393)	('>500', 2.90603267022481)	('>1k', 3.837403633619063)	('>5k', 0.0)	('>10k+', 84.26330260391396)
SRR33022247_1	(1.0, 3.354701495463783)	(2.0, 0.8391943918378081)	(3.0, 0.30933471122993417)	(4.0, 0.1983802025784813)	(5.0, 0.12341093997614823)	(6.0, 0.10795573814735959)	(7.0, 0.06781834832334127)	(8.0, 0.06827969763166333)	(9.0, 0.060206084736027454)	('>10', 1.3300700558924687)	('>50', 1.3206123950718667)	('>100', 7.117927803446741)	('>500', 22.601963964005527)	('>1k', 62.50014417165885)	('>5k', 0.0)	('>10k+', 0.0)
SRR33022247_2	(1.0, 2.3990164032746573)	(2.0, 0.36677270011602936)	(3.0, 0.23182802743182987)	(4.0, 0.1753127371623788)	(5.0, 0.13955816576741997)	(6.0, 0.12733240909688565)	(7.0, 0.13725141922580972)	(8.0, 0.10703303953071548)	(9.0, 0.08719501927286735)	('>10', 2.4555316935441085)	('>50', 0.8707968194578685)	('>100', 2.6781327348094974)	('>500', 3.630588381840368)	('>1k', 1.4747030640514314)	('>5k', 2.2405429158660333)	('>10k+', 82.87840446955211)
SRR33022248_1	(1.0, 2.141428352563176)	(2.0, 0.8995984282381982)	(3.0, 0.4842165682337532)	(4.0, 0.2626076486365765)	(5.0, 0.16129763135237543)	(6.0, 0.11943577117530409)	(7.0, 0.08307637200088903)	(8.0, 0.07466084340859118)	(9.0, 0.062145441912353355)	('>10', 0.8952827725498405)	('>50', 0.4207764296148925)	('>100', 2.9812549495176177)	('>500', 2.19888051891444)	('>1k', 77.14007971016056)	('>5k', 12.075258561721428)	('>10k+', 0.0)
SRR33022248_2	(1.0, 2.0312172954217367)	(2.0, 0.26627595597168063)	(3.0, 0.15277421136786867)	(4.0, 0.10983343726870783)	(5.0, 0.08604338528663506)	(6.0, 0.07379771227091961)	(7.0, 0.058908700146084944)	(8.0, 0.05394569610447339)	(9.0, 0.04903663775896631)	('>10', 1.1476946846226714)	('>50', 1.0835532519544526)	('>100', 2.3373051751185185)	('>500', 1.2823431420994371)	('>1k', 4.398030766309402)	('>5k', 0.29168437883688764)	('>10k+', 86.57755556946157)
SRR33022249_1	(1.0, 0.8754823022765007)	(2.0, 0.20522900462050728)	(3.0, 0.1767988374504575)	(4.0, 0.1758343864065665)	(5.0, 0.17552117850341925)	(6.0, 0.17972302322250847)	(7.0, 0.17370087691716032)	(8.0, 0.1687835617868091)	(9.0, 0.1579273997062462)	('>10', 1.7826290741635096)	('>50', 0.2975968425277916)	('>100', 0.726432592500084)	('>500', 0.4724456211306986)	('>1k', 2.9210026528149196)	('>5k', 2.494365854756025)	('>10k+', 89.0165267912168)
SRR33022249_2	(1.0, 1.4750478947666337)	(2.0, 0.18534037063289655)	(3.0, 0.11181091781986396)	(4.0, 0.08121234870456392)	(5.0, 0.06559981251257488)	(6.0, 0.0533395597499344)	(7.0, 0.0446141322097258)	(8.0, 0.04075610167063041)	(9.0, 0.034691512389476806)	('>10', 0.5180073251208556)	('>50', 0.25942251993064064)	('>100', 1.1269339931332363)	('>500', 1.1222981540075627)	('>1k', 2.4518054841600656)	('>5k', 1.5643791518760737)	('>10k+', 90.86474072131526)
