Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR33022240_1	SRR33022240_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	468256.0	0.0	301.0	56.0	3.195474270484521	301.0	301	pass	warn	warn	pass	fail	warn	pass	pass	fail	warn	pass
SRR33022240_2	SRR33022240_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	468256.0	0.0	301.0	51.0	3.201667463951343	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022241_1	SRR33022241_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	459239.0	0.0	301.0	55.0	3.4359015675933446	301.0	301	pass	warn	warn	pass	fail	warn	pass	pass	fail	warn	pass
SRR33022241_2	SRR33022241_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	459239.0	0.0	301.0	52.0	3.4561524609190424	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022242_1	SRR33022242_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	683254.0	0.0	301.0	58.0	2.4446252784469613	301.0	301	pass	warn	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022242_2	SRR33022242_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	683254.0	0.0	301.0	56.0	3.064746053444254	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022243_1	SRR33022243_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	672154.0	0.0	301.0	58.0	2.485591099658709	301.0	301	pass	warn	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022243_2	SRR33022243_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	672154.0	0.0	301.0	56.0	2.995146945491658	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022244_1	SRR33022244_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	705734.0	0.0	301.0	58.0	2.380216908920358	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022244_2	SRR33022244_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	705734.0	0.0	301.0	56.0	2.9682571620468905	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022245_1	SRR33022245_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	647645.0	0.0	301.0	58.0	1.7852372827706537	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022245_2	SRR33022245_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	647645.0	0.0	301.0	56.0	3.052289448694887	301.0	301	pass	fail	warn	pass	fail	pass	pass	pass	fail	fail	pass
SRR33022246_1	SRR33022246_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	463725.0	0.0	301.0	57.0	2.9978974607795568	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022246_2	SRR33022246_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	463725.0	0.0	301.0	55.0	3.0535338832282064	301.0	301	pass	fail	warn	pass	fail	pass	pass	pass	fail	fail	pass
SRR33022247_1	SRR33022247_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	433511.0	0.0	301.0	59.0	4.183054178556023	301.0	301	pass	fail	warn	pass	fail	pass	pass	pass	fail	warn	pass
SRR33022247_2	SRR33022247_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	433511.0	0.0	301.0	57.0	2.9468687069070914	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022248_1	SRR33022248_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1853716.0	0.0	301.0	59.0	2.993230894052811	301.0	301	pass	warn	warn	pass	fail	pass	pass	pass	fail	warn	pass
SRR33022248_2	SRR33022248_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1853716.0	0.0	301.0	57.0	2.3764697504903665	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022249_1	SRR33022249_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12453781.0	0.0	301.0	59.0	1.328315695659515	301.0	301	pass	warn	pass	pass	fail	pass	pass	pass	fail	warn	pass
SRR33022249_2	SRR33022249_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12453781.0	0.0	301.0	58.0	1.7005628839824118	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022250_1	SRR33022250_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	438801.0	0.0	301.0	59.0	3.798304926378928	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022250_2	SRR33022250_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	438801.0	0.0	301.0	57.0	2.525518401279851	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022251_1	SRR33022251_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	720848.0	0.0	301.0	58.0	1.9349432890151599	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022251_2	SRR33022251_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	720848.0	0.0	301.0	56.0	3.2327203515859098	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022252_1	SRR33022252_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	578520.0	0.0	301.0	58.0	4.291467883564959	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	warn	pass
SRR33022252_2	SRR33022252_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	578520.0	0.0	301.0	57.0	2.878552167600083	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022253_1	SRR33022253_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	851347.0	0.0	301.0	59.0	3.906045361057242	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	warn	pass
SRR33022253_2	SRR33022253_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	851347.0	0.0	301.0	57.0	2.7213345439638594	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022254_1	SRR33022254_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	531919.0	0.0	301.0	59.0	4.207971514459909	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	warn	pass
SRR33022254_2	SRR33022254_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	531919.0	0.0	301.0	57.0	2.9305213763749745	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022255_1	SRR33022255_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	440849.0	0.0	301.0	59.0	3.9619007868907494	301.0	301	pass	warn	warn	pass	fail	warn	pass	pass	fail	warn	pass
SRR33022255_2	SRR33022255_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	440849.0	0.0	301.0	57.0	3.1006081447389016	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022256_1	SRR33022256_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	418388.0	0.0	301.0	55.0	3.369121485319847	301.0	301	pass	warn	warn	pass	fail	warn	pass	pass	fail	warn	pass
SRR33022256_2	SRR33022256_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	418388.0	0.0	301.0	51.0	3.193686243391302	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022257_1	SRR33022257_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	495122.0	0.0	301.0	56.0	3.3852262674653923	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	warn	pass
SRR33022257_2	SRR33022257_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	495122.0	0.0	301.0	52.0	3.179216435545179	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022258_1	SRR33022258_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	556217.0	0.0	301.0	55.0	3.373683292671745	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	warn	pass
SRR33022258_2	SRR33022258_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	556217.0	0.0	301.0	51.0	2.774456731815101	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022259_1	SRR33022259_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	464772.0	0.0	301.0	55.0	3.2667630580155436	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	warn	pass
SRR33022259_2	SRR33022259_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	464772.0	0.0	301.0	51.0	3.1804841944006954	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022260_1	SRR33022260_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	340453.0	0.0	301.0	55.0	3.274167065644891	301.0	301	pass	warn	warn	pass	fail	warn	pass	pass	fail	warn	pass
SRR33022260_2	SRR33022260_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	340453.0	0.0	301.0	51.0	3.495930422114066	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022261_1	SRR33022261_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	353607.0	0.0	301.0	55.0	3.2324020734883643	301.0	301	pass	warn	warn	pass	fail	warn	pass	pass	fail	warn	pass
SRR33022261_2	SRR33022261_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	353607.0	0.0	301.0	52.0	3.507000709827577	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR33022262_1	SRR33022262_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	671870.0	0.0	301.0	58.0	2.5586795064521413	301.0	301	pass	warn	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022262_2	SRR33022262_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	671870.0	0.0	301.0	55.0	3.467635107982199	301.0	301	pass	fail	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR33022263_1	SRR33022263_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	761508.0	0.0	301.0	58.0	2.012191598775062	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	pass
