Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR33022240_1	96.80452572951548	56.0	301.0	301	18.181818181818183	0.468256
SRR33022240_2	96.79833253604866	51.0	301.0	301	36.36363636363637	0.468256
SRR33022241_1	96.56409843240665	55.0	301.0	301	18.181818181818183	0.45923899999999995
SRR33022241_2	96.54384753908096	52.0	301.0	301	45.45454545454545	0.45923899999999995
SRR33022242_1	97.55537472155304	58.0	301.0	301	27.27272727272727	0.6832539999999999
SRR33022242_2	96.93525394655575	56.0	301.0	301	36.36363636363637	0.6832539999999999
SRR33022243_1	97.5144089003413	58.0	301.0	301	27.27272727272727	0.6721539999999999
SRR33022243_2	97.00485305450835	56.0	301.0	301	36.36363636363637	0.6721539999999999
SRR33022244_1	97.61978309107964	58.0	301.0	301	36.36363636363637	0.705734
SRR33022244_2	97.0317428379531	56.0	301.0	301	36.36363636363637	0.705734
SRR33022245_1	98.21476271722935	58.0	301.0	301	36.36363636363637	0.6476449999999999
SRR33022245_2	96.94771055130511	56.0	301.0	301	36.36363636363637	0.6476449999999999
SRR33022246_1	97.00210253922045	57.0	301.0	301	36.36363636363637	0.463725
SRR33022246_2	96.94646611677179	55.0	301.0	301	36.36363636363637	0.463725
SRR33022247_1	95.81694582144398	59.0	301.0	301	27.27272727272727	0.433511
SRR33022247_2	97.0531312930929	57.0	301.0	301	36.36363636363637	0.433511
SRR33022248_1	97.00676910594719	59.0	301.0	301	18.181818181818183	1.853716
SRR33022248_2	97.62353024950963	57.0	301.0	301	45.45454545454545	1.853716
SRR33022249_1	98.67168430434049	59.0	301.0	301	18.181818181818183	12.453781
SRR33022249_2	98.29943711601759	58.0	301.0	301	45.45454545454545	12.453781
SRR33022250_1	96.20169507362107	59.0	301.0	301	45.45454545454545	0.438801
SRR33022250_2	97.47448159872015	57.0	301.0	301	45.45454545454545	0.438801
SRR33022251_1	98.06505671098483	58.0	301.0	301	36.36363636363637	0.7208479999999999
SRR33022251_2	96.76727964841409	56.0	301.0	301	36.36363636363637	0.7208479999999999
