Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR22279249_1	46.635849260993204	47.87580147416313
SRR22279249_2	44.917412672751084	42.78800318510413
SRR22279250_1	40.36166930991515	49.94275411791063
SRR22279250_2	48.23349263389274	36.090720757115776
SRR22279251_1	41.54800119655025	48.32551098340988
SRR22279251_2	46.843190272903	36.863221458480496
SRR22279252_1	45.79434446070974	48.54832228249951
SRR22279252_2	45.33335486093171	42.762720418687884
SRR22279253_1	40.21896859356184	48.805322568126414
SRR22279253_2	49.27837316347933	33.12852024853544
SRR22279254_1	42.511354178996484	45.76688664980681
SRR22279254_2	47.23020669879289	34.06723479396667
SRR22279255_1	46.61837310036045	47.47559524185581
SRR22279255_2	45.70662387440692	41.622681323210024
SRR22279256_1	40.05974409757328	45.74039017356839
SRR22279256_2	49.92101911942332	33.097909321055994
SRR22279257_1	41.43939362799702	48.30884196594087
SRR22279257_2	47.998709322065245	35.72148485508645
SRR22279258_1	42.63215511834224	46.06468198407052
SRR22279258_2	46.3226473135677	36.125826372048124
SRR22279259_1	39.30259863700464	45.985640092191666
SRR22279259_2	49.393516764097434	32.57653647596741
SRR22279260_1	45.957054815437836	47.893829284916826
SRR22279260_2	47.41371233463572	40.374452600162655
