Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22279249_1	(1.0, 0.401032985428038)	(2.0, 0.07125024143530607)	(3.0, 0.04206339554614455)	(4.0, 0.029759136985027437)	(5.0, 0.022891643834636488)	(6.0, 0.01974404280737397)	(7.0, 0.03004528253296039)	(8.0, 0.019457897259441016)	(9.0, 0.018027169519776235)	('>10', 0.48329983045876285)	('>50', 0.8172316848965226)	('>100', 2.887208578643527)	('>500', 0.573149532509711)	('>1k', 1.0939344297476912)	('>5k', 1.290230275629699)	('>10k+', 92.20067387276538)
SRR22279249_2	(1.0, 1.296525477684224)	(2.0, 0.2652569229338503)	(3.0, 0.14679266608960648)	(4.0, 0.10816301711865742)	(5.0, 0.07797466181173054)	(6.0, 0.06524118492871399)	(7.0, 0.06109207448368613)	(8.0, 0.044638705477541146)	(9.0, 0.045067923799440586)	('>10', 0.8272467790741761)	('>50', 0.7011996652097089)	('>100', 3.3052672241735763)	('>500', 1.1631816523474665)	('>1k', 2.833985506727997)	('>5k', 0.0)	('>10k+', 89.05836653813962)
SRR22279250_1	(1.0, 0.6340487449981812)	(2.0, 0.1757002546380502)	(3.0, 0.11731538741360495)	(4.0, 0.08875954892688251)	(5.0, 0.07002546380502)	(6.0, 0.05347399054201528)	(7.0, 0.0598399417970171)	(8.0, 0.042197162604583484)	(9.0, 0.0523826846125864)	('>10', 0.8684976355038195)	('>50', 1.0862131684248817)	('>100', 2.4010549290651144)	('>500', 0.5121862495452891)	('>1k', 0.7699163332120771)	('>5k', 1.3350309203346673)	('>10k+', 91.73335758457621)
SRR22279250_2	(1.0, 2.5107311749727175)	(2.0, 0.6234994543470352)	(3.0, 0.3792288104765369)	(4.0, 0.29392506365951254)	(5.0, 0.23190251000363768)	(6.0, 0.19752637322662786)	(7.0, 0.16678792288104766)	(8.0, 0.1571480538377592)	(9.0, 0.12768279374317934)	('>10', 2.55529283375773)	('>50', 1.6344125136413243)	('>100', 5.210622044379774)	('>500', 3.25918515823936)	('>1k', 12.053473990542015)	('>5k', 4.111131320480175)	('>10k+', 66.48744998181157)
SRR22279251_1	(1.0, 11.244718882027948)	(2.0, 3.2011699707507315)	(3.0, 2.2058823529411766)	(4.0, 1.3487162820929477)	(5.0, 1.3812154696132597)	(6.0, 0.9506012349691259)	(7.0, 0.8531036724081897)	(8.0, 0.8774780630484237)	(9.0, 0.8774780630484237)	('>10', 15.372115697107573)	('>50', 6.906077348066299)	('>100', 22.97692557686058)	('>500', 6.585147871303218)	('>1k', 25.219369515762107)	('>5k', 0.0)	('>10k+', 0.0)
SRR22279251_2	(1.0, 13.381540461488461)	(2.0, 3.0224244393890154)	(3.0, 2.181507962300943)	(4.0, 1.6412089697757555)	(5.0, 1.1171595710107247)	(6.0, 1.0724731881702956)	(7.0, 0.7393565160870978)	(8.0, 0.7149821254468639)	(9.0, 0.8774780630484237)	('>10', 14.33214169645759)	('>50', 7.007637309067273)	('>100', 18.951088722781932)	('>500', 9.887877803054923)	('>1k', 25.073123171920702)	('>5k', 0.0)	('>10k+', 0.0)
SRR22279252_1	(1.0, 0.37951921103950137)	(2.0, 0.09920170096988241)	(3.0, 0.06155675581355896)	(4.0, 0.04717735616157275)	(5.0, 0.05331687511410619)	(6.0, 0.037806511444548024)	(7.0, 0.03732181257987434)	(8.0, 0.0284356667275233)	(9.0, 0.031990125068463715)	('>10', 0.5935945429370489)	('>50', 1.0083352048095053)	('>100', 2.5764975983171254)	('>500', 0.34526715793589374)	('>1k', 1.0123743620151193)	('>5k', 1.2802512678914468)	('>10k+', 92.40735385117483)
SRR22279252_2	(1.0, 1.328721154358816)	(2.0, 0.2730470270995135)	(3.0, 0.13862387529667608)	(4.0, 0.10986507599270368)	(5.0, 0.076743986906668)	(6.0, 0.0785212160771382)	(7.0, 0.04636952472044993)	(8.0, 0.05557880314925009)	(9.0, 0.03635241485052695)	('>10', 0.8590479544900079)	('>50', 0.6488502135098498)	('>100', 3.709723543924219)	('>500', 0.792644210029712)	('>1k', 2.197463086142298)	('>5k', 0.0)	('>10k+', 89.64844791345217)
SRR22279253_1	(1.0, 0.6704555271699557)	(2.0, 0.16290866007627086)	(3.0, 0.10366914732126328)	(4.0, 0.08145433003813543)	(5.0, 0.047052217162180505)	(6.0, 0.03795031285867674)	(7.0, 0.03995581719673689)	(8.0, 0.024683130314586493)	(9.0, 0.03332222592469177)	('>10', 0.8699260740247078)	('>50', 0.8890555000185124)	('>100', 3.2054130104779888)	('>500', 0.44013106742197045)	('>1k', 1.0791156034408282)	('>5k', 0.0)	('>10k+', 92.31490737655349)
SRR22279253_2	(1.0, 2.843342342675898)	(2.0, 0.7010009009342565)	(3.0, 0.4364285978747825)	(4.0, 0.33075394621545906)	(5.0, 0.2553161291915041)	(6.0, 0.23047872931245142)	(7.0, 0.1619830426894739)	(8.0, 0.17771853826502276)	(9.0, 0.15411529490169945)	('>10', 3.1156281239586803)	('>50', 2.0170745553951153)	('>100', 5.190862305157539)	('>500', 3.0104162809927555)	('>1k', 11.328168388315007)	('>5k', 5.578850259789946)	('>10k+', 64.46786256433042)
